Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0007	269.819	208.561	0.00036873	8.57004e-05
1	0.0007	268.279	207.473	0.000367129	8.56354e-05
2	0.0007	270.142	208.853	0.000367801	8.5677e-05
3	0.0007	269.536	208.498	0.000369277	8.57203e-05
4	0.0007	268.245	207.482	0.000367527	8.56499e-05
5	0.0007	268.849	207.971	0.000368659	8.56951e-05
6	0.0007	268.106	207.337	0.000363757	8.55248e-05
7	0.0007	267.801	207.091	0.000362786	8.54751e-05
8	0.0007	268.662	207.785	0.0003643	8.55734e-05
9	0.0007	274.355	211.912	0.000365561	8.56962e-05
10	0.0007	268.922	208.022	0.000368343	8.56916e-05
11	0.0007	268.831	207.803	0.000359311	8.54077e-05
12	0.0007	277.967	214.594	0.000370011	8.58767e-05
13	0.0007	269.417	208.381	0.00036837	8.56745e-05
14	0.0007	269.306	208.11	0.000362893	8.552e-05
15	0.0007	268.466	207.465	0.000359162	8.54013e-05
16	0.0007	270.474	209.161	0.000367839	8.57044e-05
17	0.0007	269.917	208.753	0.000368331	8.57093e-05
18	0.0007	268.938	207.894	0.000362627	8.55194e-05
19	0.0007	271.008	209.491	0.000368584	8.56927e-05
20	0.0007	269.772	208.564	0.000366544	8.56311e-05
21	0.0007	268.453	207.572	0.000365588	8.55939e-05
22	0.0007	271.415	209.742	0.000368297	8.57124e-05
23	0.0007	270.176	208.963	0.000368292	8.5709e-05
24	0.0007	270.223	208.853	0.000362821	8.55521e-05
25	0.0007	273.28	211.214	0.000369584	8.57966e-05
26	0.0007	269.22	208.223	0.00036677	8.56532e-05
27	0.0007	268.216	207.332	0.000359201	8.54124e-05
28	0.0007	267.227	206.532	0.000362208	8.54637e-05
29	0.0007	269.728	208.598	0.000366733	8.56592e-05
30	0.0007	269.697	208.639	0.00036945	8.57311e-05
31	0.0007	268.485	207.542	0.00036265	8.55106e-05
32	0.0007	267.994	207.089	0.000363755	8.55242e-05
33	0.0007	269.188	208.215	0.000366522	8.56467e-05
34	0.0007	272.577	210.496	0.000363787	8.5611e-05
35	0.0007	268.21	207.396	0.000362755	8.55162e-05
36	0.0007	268.828	207.912	0.000368506	8.5687e-05
37	0.0007	268.189	207.344	0.000361504	8.54778e-05
38	0.0007	268.834	207.871	0.000363067	8.55371e-05
39	0.0007	279.04	215.403	0.000373101	8.59741e-05
40	0.0007	268.657	207.584	0.000358847	8.53944e-05
41	0.0007	269.197	208.235	0.000367466	8.56673e-05
42	0.0007	268.75	207.9	0.000369517	8.57057e-05
43	0.0007	269.541	208.485	0.000367539	8.56734e-05
44	0.0007	268.968	207.978	0.000364963	8.55925e-05
45	0.0007	269.069	208.153	0.000368228	8.56871e-05
46	0.0007	268.982	207.967	0.000363098	8.55362e-05
47	0.0007	269.34	208.235	0.000367149	8.56536e-05
48	0.0007	269.16	208.196	0.000367388	8.56631e-05
49	0.0007	270.705	209.244	0.000364194	8.56012e-05
50	0.0007	269.96	208.537	0.000363194	8.55349e-05
51	0.0007	268.655	207.824	0.000368376	8.56859e-05
52	0.0007	267.845	207.12	0.000367053	8.56272e-05
53	0.0007	268.755	207.365	0.000347125	8.50162e-05
54	0.0007	270.036	208.768	0.000365447	8.56196e-05
55	0.0007	268.645	207.775	0.00036671	8.56338e-05
56	0.0007	268.617	207.771	0.000366708	8.5634e-05
57	0.0007	267.517	206.773	0.000360921	8.54426e-05
58	0.0007	268.163	207.353	0.000361525	8.54727e-05
59	0.0007	268.079	207.058	0.000353154	8.52022e-05
60	0.0007	270.974	209.574	0.000370292	8.57792e-05
61	0.0007	269.643	208.533	0.00036815	8.56692e-05
62	0.0007	270.667	209.383	0.000368581	8.57228e-05
