Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0364	269.866	208.82	0.000367631	8.56512e-05
1	0.0364	268.5	207.738	0.00036751	8.56503e-05
2	0.0364	269.338	207.979	0.000348649	8.50627e-05
3	0.0364	269.568	208.502	0.000365718	8.56212e-05
4	0.0364	269.556	208.404	0.000364832	8.55781e-05
5	0.0364	269.259	208.162	0.000363791	8.55554e-05
6	0.0364	268.47	207.657	0.000363928	8.55514e-05
7	0.0364	267.407	206.75	0.000365085	8.5556e-05
8	0.0364	269.121	208.053	0.000361138	8.54704e-05
9	0.0364	266.967	205.92	0.000350529	8.50813e-05
10	0.0364	268.617	207.707	0.000355204	8.52921e-05
11	0.0364	268.202	207.355	0.000363515	8.55045e-05
12	0.0364	268.044	207.246	0.000359343	8.54082e-05
13	0.0364	265.84	205.264	0.000349981	8.50695e-05
14	0.0364	268.418	207.47	0.000360379	8.54263e-05
15	0.0364	266.983	206.233	0.000353744	8.52009e-05
16	0.0364	271.381	210.011	0.000366386	8.56852e-05
17	0.0364	266.368	205.739	0.000349301	8.50621e-05
18	0.0364	269.313	208.302	0.000359439	8.54132e-05
19	0.0364	265.623	204.952	0.000343576	8.48457e-05
20	0.0364	265.837	205.099	0.000338348	8.46821e-05
21	0.0364	271.907	210.197	0.000364094	8.56135e-05
22	0.0364	269.504	208.503	0.000364971	8.55923e-05
23	0.0364	268.026	207.041	0.000352364	8.51793e-05
24	0.0364	267.847	206.834	0.000348154	8.50489e-05
25	0.0364	268.641	207.675	0.000360449	8.54412e-05
26	0.0364	266.931	206.222	0.000352599	8.51684e-05
27	0.0364	269.339	208.336	0.000362798	8.55209e-05
28	0.0364	267.298	206.583	0.000357359	8.5329e-05
29	0.0364	267.961	207.182	0.000357559	8.5352e-05
30	0.0364	266.197	205.416	0.000345058	8.4875e-05
31	0.0364	270.635	209.405	0.00036178	8.55318e-05
32	0.0364	270.241	209.141	0.000365797	8.56395e-05
33	0.0364	268.197	207.239	0.000356781	8.53241e-05
34	0.0364	266.434	205.819	0.000351987	8.51152e-05
35	0.0364	269.494	208.16	0.000352436	8.52067e-05
36	0.0364	268.338	207.512	0.000356818	8.53274e-05
37	0.0364	267.844	206.999	0.000354118	8.52465e-05
38	0.0364	268.91	207.98	0.000360942	8.54499e-05
39	0.0364	267.596	206.576	0.00034216	8.48448e-05
40	0.0364	270.366	208.811	0.000354112	8.52628e-05
41	0.0364	269.252	208.33	0.000363037	8.55444e-05
42	0.0364	270.766	209.336	0.000362473	8.55386e-05
43	0.0364	267.322	206.469	0.000353819	8.52185e-05
44	0.0364	267.363	206.573	0.000357476	8.533e-05
45	0.0364	270.562	209.053	0.000354439	8.52832e-05
46	0.0364	267.77	207.032	0.000359939	8.53973e-05
47	0.0364	270.239	209.103	0.000367933	8.5684e-05
48	0.0364	265.84	205.272	0.000350552	8.50783e-05
49	0.0364	270.133	208.893	0.000361414	8.54727e-05
50	0.0364	268.915	207.65	0.000353616	8.5225e-05
51	0.0364	269.976	208.795	0.000364903	8.5577e-05
52	0.0364	270.352	209.183	0.00036794	8.56994e-05
53	0.0364	268.501	207.502	0.000354566	8.5264e-05
54	0.0364	267.523	206.695	0.000346527	8.49988e-05
55	0.0364	271.459	209.77	0.000364235	8.55971e-05
56	0.0364	269.049	208.235	0.000365286	8.56099e-05
57	0.0364	268.364	207.555	0.000363306	8.5536e-05
58	0.0364	268.396	207.533	0.000360655	8.54481e-05
59	0.0364	267.208	206.404	0.000351299	8.5145e-05
60	0.0364	267.949	207.168	0.000363222	8.55153e-05
61	0.0364	265.745	205.152	0.000352178	8.50921e-05
62	0.0364	267.986	207.179	0.000361305	8.54247e-05
63	0.0364	267.797	207.067	0.00036106	8.54538e-05
64	0.0364	268.181	207.301	0.000358212	8.53724e-05
65	0.0364	272.83	211.039	0.000369293	8.57834e-05
66	0.0364	269.032	207.711	0.000351736	8.51231e-05
67	0.0364	267.533	206.764	0.000358894	8.53843e-05
68	0.0364	269.221	208.024	0.000360238	8.54171e-05
69	0.0364	269.21	207.923	0.000360658	8.54288e-05
70	0.0364	268.822	207.875	0.00035679	8.53473e-05
71	0.0364	269.658	208.774	0.000362083	8.54776e-05
72	0.0364	268.031	207.197	0.000360761	8.54351e-05
73	0.0364	265.491	204.865	0.000350526	8.50516e-05
74	0.0364	265.865	205.177	0.000347736	8.49888e-05
75	0.0364	272.847	211.237	0.000368156	8.57548e-05
76	0.0364	270.443	209.236	0.000367314	8.56813e-05
77	0.0364	269.528	208.631	0.000369918	8.57077e-05
78	0.0364	270.82	209.207	0.000363996	8.55745e-05
79	0.0364	268.458	207.319	0.000356324	8.52982e-05
80	0.0364	269.296	208.264	0.00036182	8.55066e-05
81	0.0364	269.551	208.589	0.000364335	8.55893e-05
82	0.0364	268.215	207.466	0.000359953	8.54305e-05
83	0.0364	270.084	208.763	0.000353739	8.52691e-05
84	0.0364	268.06	207.129	0.000353878	8.52332e-05
85	0.0364	270.109	208.968	0.000362672	8.5553e-05
86	0.0364	267.226	206.435	0.000352308	8.50993e-05
87	0.0364	267.746	206.844	0.000353563	8.52099e-05
88	0.0364	266.505	205.842	0.00035428	8.52092e-05
89	0.0364	269.488	208.418	0.000364071	8.55687e-05
90	0.0364	268.684	207.754	0.000359154	8.54129e-05
91	0.0364	267.449	206.685	0.000352919	8.51976e-05
92	0.0364	268.379	207.379	0.000355393	8.5288e-05
93	0.0364	272.072	210.713	0.000366948	8.57016e-05
94	0.0364	269.351	208.307	0.000363318	8.55428e-05
95	0.0364	271.329	210.193	0.000370823	8.58123e-05
96	0.0364	268.577	207.597	0.000364427	8.55588e-05
97	0.0364	268.345	207.529	0.000366341	8.55936e-05
98	0.0364	266.46	205.574	0.000345035	8.48981e-05
99	0.0364	269.388	208.518	0.000364971	8.55803e-05
100	0.0364	269.96	208.903	0.000364647	8.55727e-05
101	0.0364	269.767	208.567	0.000367696	8.56823e-05
102	0.0364	267.566	206.632	0.000340468	8.47692e-05
103	0.0364	268.423	207.376	0.000355339	8.52848e-05
