Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	1.937	291.915	224.675	0.000378737	8.63027e-05
1	1.937	304.219	233.681	0.000388274	8.6739e-05
2	1.937	282.113	217.355	0.000369032	8.58676e-05
3	1.937	308.105	236.332	0.00038786	8.67606e-05
4	1.937	275.645	212.722	0.000366827	8.57173e-05
5	1.937	284.355	219.347	0.000377713	8.61889e-05
6	1.937	296.463	227.764	0.000377599	8.63104e-05
7	1.937	291.769	224.538	0.000378149	8.62821e-05
8	1.937	286.533	220.76	0.000375361	8.61309e-05
9	1.937	271.979	210.276	0.000369902	8.57805e-05
10	1.937	280.399	216.355	0.000373121	8.59895e-05
11	1.937	303.522	233.028	0.000384778	8.6618e-05
12	1.937	304.813	233.926	0.000385207	8.66444e-05
13	1.937	279.885	215.871	0.000369794	8.58698e-05
14	1.937	299.986	230.637	0.000385829	8.66165e-05
15	1.937	310.268	237.684	0.000385481	8.66987e-05
16	1.937	283.85	218.967	0.000377186	8.61657e-05
17	1.937	316.282	241.994	0.000389024	8.68663e-05
18	1.937	287.088	221.275	0.000378038	8.62297e-05
19	1.937	286.814	220.988	0.000376005	8.61532e-05
20	1.937	299.076	229.997	0.000385787	8.66095e-05
21	1.937	306.254	234.854	0.000384	8.66168e-05
22	1.937	287.582	221.445	0.000374487	8.61146e-05
23	1.937	305.499	234.21	0.000381718	8.65343e-05
24	1.937	319.522	244.087	0.000387333	8.68383e-05
25	1.937	300.54	230.861	0.000382968	8.65281e-05
26	1.937	287.506	221.073	0.000368432	8.59041e-05
27	1.937	294.256	226.347	0.000379661	8.63583e-05
28	1.937	300.365	230.709	0.000382222	8.65038e-05
29	1.937	299.409	230.217	0.00038556	8.66052e-05
30	1.937	295.863	227.067	0.000372468	8.61223e-05
31	1.937	295.146	227.08	0.000381774	8.64353e-05
32	1.937	306.3	234.995	0.000385948	8.6682e-05
33	1.937	309.163	237.001	0.000386758	8.67332e-05
34	1.937	296.454	227.992	0.000382094	8.64616e-05
35	1.937	303.44	233.132	0.000388071	8.67265e-05
36	1.937	282.146	217.778	0.000377457	8.61551e-05
37	1.937	314.305	240.591	0.000388052	8.68193e-05
38	1.937	305.35	234.473	0.000388493	8.67583e-05
39	1.937	299.63	230.203	0.000382333	8.65004e-05
40	1.937	313.218	239.74	0.000386159	8.675e-05
41	1.937	292.113	224.634	0.000375249	8.61875e-05
42	1.937	302.086	231.617	0.000377368	8.63558e-05
43	1.937	296.7	227.957	0.000378033	8.63278e-05
44	1.937	288.496	222.327	0.000379496	8.62935e-05
45	1.937	311.557	238.286	0.000380891	8.65586e-05
46	1.937	316.767	242.319	0.000389058	8.68732e-05
47	1.937	310.006	237.647	0.00038784	8.6771e-05
48	1.937	281.601	217.327	0.000375708	8.60886e-05
49	1.937	301.434	231.538	0.00038402	8.65738e-05
50	1.937	296.165	227.499	0.000376441	8.62683e-05
51	1.937	290.254	223.391	0.000376164	8.61999e-05
52	1.937	310.6	237.987	0.000386604	8.67432e-05
53	1.937	314.458	240.8	0.000390017	8.68852e-05
54	1.937	308.437	236.302	0.000383212	8.661e-05
55	1.937	292.228	224.916	0.000379223	8.63232e-05
56	1.937	300.66	231.049	0.000384883	8.65951e-05
57	1.937	316.794	242.419	0.000390431	8.69181e-05
58	1.937	309.755	237.345	0.00038567	8.67032e-05
59	1.937	305.434	234.514	0.000388174	8.67477e-05
60	1.937	308.869	236.7	0.000385023	8.66741e-05
61	1.937	294.657	226.752	0.000382272	8.64493e-05
62	1.937	293.583	225.678	0.000375783	8.62205e-05
63	1.937	286.389	220.622	0.000374664	8.61084e-05
64	1.937	289.487	223.014	0.00037934	8.62987e-05
65	1.937	287.341	221.389	0.000376671	8.61865e-05
66	1.937	277.915	214.321	0.00036698	8.57488e-05
67	1.937	286.322	220.534	0.000373802	8.6078e-05
68	1.937	295.376	227.255	0.000381876	8.64441e-05
69	1.937	299.247	229.606	0.000376359	8.62951e-05
70	1.937	314.439	240.816	0.000390475	8.69008e-05
71	1.937	283.233	218.293	0.000372213	8.59899e-05
72	1.937	293.916	226.291	0.000383369	8.64784e-05
73	1.937	304.402	233.475	0.000382037	8.65349e-05
74	1.937	284.209	219.034	0.000373308	8.60383e-05
75	1.937	280.402	216.175	0.000369257	8.58567e-05
76	1.937	284.937	219.587	0.000374204	8.60774e-05
77	1.937	307.074	235.193	0.00038018	8.64963e-05
78	1.937	293.868	226.235	0.000382517	8.64504e-05
79	1.937	319.966	244.775	0.000393863	8.70549e-05
80	1.937	294.94	226.852	0.000380312	8.63871e-05
81	1.937	291.198	224.039	0.000376034	8.62045e-05
82	1.937	290.343	223.491	0.000376817	8.6223e-05
83	1.937	299.772	230.351	0.000383056	8.65261e-05
84	1.937	294.092	226.422	0.000383424	8.64828e-05
85	1.937	294.488	226.603	0.000381369	8.64184e-05
86	1.937	296.451	227.951	0.000381317	8.64361e-05
87	1.937	284.165	218.948	0.000372165	8.59979e-05
88	1.937	296.461	228.107	0.000384315	8.65349e-05
89	1.937	295.941	227.547	0.000380466	8.6402e-05
90	1.937	302.425	232.128	0.000382025	8.65172e-05
91	1.937	295.955	227.349	0.00037638	8.62647e-05
92	1.937	287.442	221.528	0.000377264	8.62086e-05
93	1.937	290.424	223.745	0.000380892	8.63608e-05
94	1.937	292.856	225.174	0.000375787	8.62137e-05
95	1.937	302.716	232.417	0.000383973	8.65826e-05
96	1.937	292.833	225.105	0.000374668	8.61757e-05
97	1.937	297.847	229.03	0.000383236	8.65137e-05
98	1.937	281.834	217.455	0.000375093	8.60712e-05
99	1.937	309.393	236.937	0.000382899	8.66085e-05
100	1.937	296.172	227.622	0.000378689	8.63449e-05
101	1.937	304.475	233.827	0.000387721	8.67239e-05
102	1.937	294.889	226.739	0.000378722	8.63328e-05
103	1.937	286.642	220.977	0.000377153	8.61969e-05
104	1.937	290.317	223.523	0.000377919	8.62604e-05
105	1.937	298.037	229.194	0.00038415	8.65456e-05
106	1.937	279.576	215.508	0.000367441	8.57849e-05
107	1.937	309.732	237.216	0.000383623	8.66381e-05
108	1.937	298.902	229.659	0.000381446	8.64642e-05
109	1.937	303.116	232.907	0.000387941	8.67186e-05
110	1.937	285.756	219.919	0.00036947	8.59224e-05
111	1.937	306.56	235.21	0.000386727	8.67102e-05
112	1.937	296.566	228.23	0.000384987	8.65556e-05
113	1.937	295.969	227.646	0.000381876	8.64496e-05
114	1.937	310.315	237.797	0.000386889	8.67486e-05
115	1.937	276.607	213.594	0.000371046	8.58753e-05
116	1.937	273.244	211.074	0.000367767	8.5722e-05
117	1.937	281.978	217.417	0.000371997	8.59701e-05
118	1.937	304.573	233.796	0.000385783	8.66593e-05
119	1.937	295.232	227.185	0.000382617	8.64682e-05
120	1.937	299.407	230.233	0.000385703	8.66105e-05
121	1.937	295.025	226.823	0.000378549	8.63305e-05
122	1.937	313.766	240.063	0.000385387	8.67283e-05
123	1.937	289.687	223.011	0.00037636	8.62001e-05
124	1.937	292.306	224.905	0.000377964	8.62824e-05
125	1.937	280.504	216.424	0.00037299	8.59863e-05
126	1.937	317.542	242.905	0.000389777	8.69053e-05
127	1.937	295.011	226.963	0.000381494	8.64291e-05
128	1.937	294.833	226.951	0.000383719	8.64999e-05
129	1.937	318.123	243.406	0.000391905	8.69777e-05
130	1.937	289.254	222.865	0.000379771	8.63114e-05
131	1.937	309.261	237.184	0.000388809	8.68025e-05
132	1.937	316.376	242.175	0.000391236	8.69418e-05
133	1.937	293.417	225.683	0.000377957	8.62927e-05
