Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0315	348.409	263.448	0.000359226	8.62295e-05
1	0.0315	287.754	220.994	0.000346178	8.52586e-05
2	0.0315	292.364	225.059	0.000375489	8.62142e-05
3	0.0315	290.428	223.09	0.000352224	8.54905e-05
4	0.0315	308.159	236.064	0.000370781	8.62829e-05
5	0.0315	295.378	226.771	0.0003583	8.57531e-05
6	0.0315	295.378	226.192	0.000337613	8.50187e-05
7	0.0315	300.364	230.668	0.000374983	8.63188e-05
8	0.0315	316.637	241.915	0.000370539	8.63566e-05
9	0.0315	306.554	234.725	0.00035879	8.58724e-05
10	0.0315	311.62	238.377	0.000367472	8.6204e-05
11	0.0315	271.401	209.474	0.000352601	8.52568e-05
12	0.0315	315.29	241.24	0.000378735	8.65898e-05
13	0.0315	307.624	235.427	0.000357596	8.58136e-05
14	0.0315	326.995	249.281	0.000375386	8.6594e-05
15	0.0315	300.689	230.33	0.000350286	8.5506e-05
16	0.0315	336.899	256.431	0.00038945	8.70868e-05
17	0.0315	305.033	233.776	0.00036546	8.60596e-05
18	0.0315	335.339	254.478	0.000359106	8.61391e-05
19	0.0315	288.43	221.786	0.000357	8.56285e-05
20	0.0315	313.284	239.381	0.00036198	8.60582e-05
21	0.0315	289.148	222.88	0.000379277	8.6286e-05
22	0.0315	275.593	212.616	0.00035688	8.54518e-05
23	0.0315	273.875	210.775	0.0003319	8.45468e-05
24	0.0315	323.093	246.711	0.000377457	8.65928e-05
25	0.0315	302.001	231.722	0.000371225	8.62292e-05
26	0.0315	306.364	234.632	0.000364837	8.60807e-05
27	0.0315	271.337	209.386	0.000350165	8.51686e-05
28	0.0315	313.214	239.91	0.000377561	8.64973e-05
29	0.0315	307.159	235.331	0.000366037	8.61177e-05
30	0.0315	283.856	218.594	0.000359385	8.5647e-05
31	0.0315	301.12	230.843	0.00035951	8.58515e-05
32	0.0315	331.035	252.002	0.000374246	8.65861e-05
33	0.0315	299.847	230.306	0.000371006	8.61599e-05
34	0.0315	271.25	209.003	0.000337292	8.4732e-05
35	0.0315	289.733	222.726	0.000357107	8.56369e-05
36	0.0315	303.957	232.898	0.000359647	8.58596e-05
37	0.0315	307.036	235.482	0.000378687	8.64961e-05
38	0.0315	305.658	234.376	0.000373062	8.62792e-05
39	0.0315	319.999	243.776	0.000349795	8.56766e-05
40	0.0315	286.343	220.349	0.000358358	8.56241e-05
41	0.0315	277.45	213.885	0.00035457	8.53922e-05
42	0.0315	302.009	231.709	0.000369119	8.61493e-05
43	0.0315	282.171	216.561	0.000329616	8.45901e-05
44	0.0315	323.355	246.777	0.000374448	8.65309e-05
45	0.0315	299.425	230.108	0.000378939	8.64245e-05
46	0.0315	285.996	220.173	0.000361644	8.57452e-05
47	0.0315	297.205	228.015	0.000357911	8.57622e-05
48	0.0315	287.618	221.151	0.000352942	8.54339e-05
49	0.0315	321.8	245.756	0.000378582	8.6639e-05
50	0.0315	301.195	231.123	0.000368825	8.61453e-05
51	0.0315	294.872	226.084	0.000345304	8.53091e-05
52	0.0315	270.4	208.719	0.000348792	8.51074e-05
53	0.0315	292.973	224.626	0.000343234	8.5211e-05
54	0.0315	309.021	236.921	0.000380002	8.65658e-05
55	0.0315	314.283	240.806	0.000391283	8.69333e-05
56	0.0315	297.618	228.43	0.000359204	8.57733e-05
57	0.0315	281.022	216.822	0.000369985	8.59231e-05
58	0.0315	315.019	241.182	0.000384572	8.67512e-05
59	0.0315	315.332	240.423	0.000345789	8.55242e-05
60	0.0315	343.149	260.516	0.000383408	8.69527e-05
61	0.0315	300.177	230.246	0.000362703	8.59465e-05
62	0.0315	328.746	250.715	0.000386062	8.69199e-05
63	0.0315	269.33	208.167	0.000358705	8.54115e-05
64	0.0315	300.661	230.762	0.000369017	8.6144e-05
65	0.0315	277.449	213.993	0.000358689	8.55289e-05
66	0.0315	264.55	202.3	0.000279625	8.21226e-05
67	0.0315	306.283	234.36	0.000356086	8.57893e-05
68	0.0315	283.526	217.559	0.000328083	8.45212e-05
69	0.0315	314.875	239.706	0.000334233	8.5087e-05
70	0.0315	288.823	222.054	0.000356037	8.55974e-05
71	0.0315	367.997	277.247	0.000388782	8.725e-05
72	0.0315	309.122	236.985	0.000380828	8.65633e-05
73	0.0315	295.836	227.399	0.000363014	8.58012e-05
74	0.0315	315.614	241.334	0.000371613	8.63821e-05
75	0.0315	327.726	250.188	0.000389891	8.70137e-05
76	0.0315	307.218	235.376	0.0003707	8.62696e-05
77	0.0315	312.965	239.564	0.000375114	8.64536e-05
78	0.0315	285.323	218.892	0.000330768	8.46526e-05
79	0.0315	296.825	227.882	0.000356912	8.56456e-05
80	0.0315	283.684	218.232	0.000349916	8.53352e-05
81	0.0315	330.842	252.032	0.000379604	8.67579e-05
82	0.0315	307.741	235.518	0.000359742	8.59087e-05
83	0.0315	285.223	219.391	0.00035269	8.5446e-05
84	0.0315	285.458	219.946	0.000366394	8.58416e-05
85	0.0315	312.488	239.444	0.000371166	8.61765e-05
86	0.0315	287.401	221.256	0.000364135	8.58337e-05
87	0.0315	361.569	272.74	0.000379899	8.69636e-05
88	0.0315	296.235	227.714	0.000369349	8.60408e-05
89	0.0315	313.436	239.523	0.000361624	8.60426e-05
90	0.0315	293.164	223.898	0.000314955	8.41172e-05
91	0.0315	302.234	232.16	0.000382148	8.65419e-05
92	0.0315	270.753	208.82	0.000344252	8.49529e-05
93	0.0315	314.129	240.356	0.000369979	8.62604e-05
94	0.0315	293.969	225.804	0.000360637	8.58121e-05
95	0.0315	323.032	246.654	0.000379607	8.66822e-05
