Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.2495	289.118	222.186	0.000379759	8.6282e-05
1	0.2495	288.863	221.581	0.000373604	8.61172e-05
2	0.2495	290.905	223.446	0.000381034	8.63654e-05
3	0.2495	283.649	218.017	0.000377349	8.61498e-05
4	0.2495	294.198	225.812	0.000383063	8.64394e-05
5	0.2495	288.196	221.239	0.000379794	8.6271e-05
6	0.2495	280.459	215.583	0.000377047	8.60196e-05
7	0.2495	294.786	226.368	0.000382639	8.64272e-05
8	0.2495	297.416	228.471	0.000385513	8.65565e-05
9	0.2495	293.532	225.646	0.000383252	8.64593e-05
10	0.2495	281.672	216.551	0.0003665	8.57296e-05
11	0.2495	284.338	218.904	0.000379896	8.61441e-05
12	0.2495	284.974	219.199	0.000378056	8.6194e-05
13	0.2495	289.163	221.894	0.000380713	8.62903e-05
14	0.2495	289.425	222.097	0.000380181	8.63168e-05
15	0.2495	286.589	220.2	0.000368658	8.59435e-05
16	0.2495	283.586	218.257	0.000379201	8.61491e-05
17	0.2495	288.337	221.761	0.000380913	8.6291e-05
18	0.2495	289.677	222.497	0.000375336	8.61497e-05
19	0.2495	288.338	221.958	0.000382277	8.62727e-05
20	0.2495	280.045	215.565	0.000373871	8.60063e-05
21	0.2495	302.701	231.984	0.000387796	8.66688e-05
22	0.2495	293.599	225.253	0.000383579	8.6393e-05
23	0.2495	283.921	218.385	0.000377894	8.61699e-05
24	0.2495	288.807	221.711	0.000379982	8.63e-05
25	0.2495	286.711	220.374	0.000379161	8.62582e-05
26	0.2495	291.456	223.715	0.000381688	8.63808e-05
27	0.2495	289.674	222.579	0.000380762	8.63466e-05
28	0.2495	290.837	223.328	0.000382692	8.63456e-05
29	0.2495	281.727	216.587	0.00037647	8.60997e-05
30	0.2495	279.893	215.332	0.000371249	8.59032e-05
31	0.2495	295.39	226.558	0.000379944	8.63009e-05
32	0.2495	293.776	225.266	0.000378627	8.62687e-05
33	0.2495	286.892	220.934	0.000380945	8.62622e-05
34	0.2495	289.143	222.444	0.000384421	8.62699e-05
35	0.2495	289.137	221.995	0.000381931	8.62875e-05
36	0.2495	287.503	221.062	0.000372585	8.59554e-05
37	0.2495	290.599	223.14	0.000382093	8.63351e-05
38	0.2495	290.183	222.929	0.000381167	8.63368e-05
39	0.2495	291.427	223.615	0.000380453	8.63493e-05
40	0.2495	290.297	222.509	0.000373279	8.60771e-05
41	0.2495	292.469	224.65	0.000384384	8.63744e-05
42	0.2495	295.941	226.955	0.000384148	8.65073e-05
43	0.2495	287.937	220.862	0.000379748	8.62778e-05
44	0.2495	293.427	225.52	0.000385716	8.63921e-05
45	0.2495	288.641	221.514	0.000379673	8.62888e-05
46	0.2495	286.86	220.773	0.000380569	8.62604e-05
47	0.2495	292.364	224.084	0.00037994	8.63423e-05
48	0.2495	292.18	224.514	0.000382816	8.63952e-05
49	0.2495	284.078	218.511	0.0003778	8.61804e-05
50	0.2495	284.17	218.819	0.000377588	8.61768e-05
51	0.2495	295.159	226.41	0.000383992	8.64825e-05
52	0.2495	288.143	221.653	0.000381625	8.62852e-05
53	0.2495	286.706	220.459	0.000379102	8.62517e-05
54	0.2495	284.727	218.833	0.000378202	8.61968e-05
55	0.2495	284.223	218.877	0.000378976	8.61752e-05
56	0.2495	289.902	222.667	0.000382257	8.63236e-05
57	0.2495	285.127	219.244	0.000378184	8.6087e-05
58	0.2495	294.693	225.898	0.000383092	8.64727e-05
59	0.2495	288.292	221.721	0.000380313	8.6304e-05
60	0.2495	284.626	218.539	0.000377704	8.61752e-05
61	0.2495	281.098	216.589	0.000377416	8.60867e-05
62	0.2495	289.597	222.646	0.000381137	8.63344e-05
63	0.2495	289.756	222.537	0.000380551	8.63323e-05
64	0.2495	286.666	220.304	0.000379161	8.62474e-05
65	0.2495	289.808	222.566	0.000380779	8.63463e-05
66	0.2495	291.699	224.077	0.000381695	8.63924e-05
67	0.2495	292.312	224.538	0.000382368	8.64149e-05
68	0.2495	288.728	221.672	0.000380922	8.62933e-05
69	0.2495	288.408	221.492	0.000380293	8.63003e-05
70	0.2495	298.697	229.058	0.000385184	8.6579e-05
71	0.2495	289.406	222.293	0.000377281	8.62066e-05
72	0.2495	300.208	229.873	0.000380922	8.64041e-05
73	0.2495	283.382	217.727	0.000377514	8.61322e-05
74	0.2495	288.477	221.679	0.000374814	8.6139e-05
75	0.2495	292.932	225.249	0.000384619	8.64196e-05
76	0.2495	283.375	218.041	0.000377442	8.61647e-05
77	0.2495	284.848	219.054	0.000379092	8.61933e-05
78	0.2495	289.818	222.708	0.000381052	8.63261e-05
79	0.2495	286.807	220.919	0.000381643	8.622e-05
80	0.2495	293.098	225.468	0.00038278	8.64448e-05
81	0.2495	289.727	222.755	0.00038176	8.6341e-05
82	0.2495	285.357	219.569	0.000379522	8.62132e-05
83	0.2495	289.423	222.074	0.000373592	8.60911e-05
84	0.2495	281.638	216.86	0.000376769	8.61018e-05
85	0.2495	286.386	220.288	0.000378477	8.61976e-05
86	0.2495	286.932	220.644	0.000379289	8.62531e-05
87	0.2495	291.006	223.289	0.000372631	8.61078e-05
88	0.2495	292.662	224.958	0.000383937	8.64063e-05
89	0.2495	286.818	220.258	0.000380211	8.62074e-05
90	0.2495	290.292	223.272	0.000381089	8.62943e-05
91	0.2495	292.582	224.549	0.00038289	8.63969e-05
92	0.2495	289.72	222.442	0.00038147	8.63267e-05
93	0.2495	292.842	224.33	0.000378831	8.63118e-05
94	0.2495	291.637	223.895	0.000381501	8.63825e-05
95	0.2495	285.588	219.364	0.000370864	8.59994e-05
96	0.2495	289.638	222.366	0.00037868	8.6267e-05
97	0.2495	291.218	223.427	0.000382897	8.63578e-05
98	0.2495	300.031	229.878	0.000386842	8.65826e-05
99	0.2495	294.697	226.158	0.000383026	8.64668e-05
100	0.2495	281.595	216.576	0.000376472	8.60915e-05
101	0.2495	292.222	224.009	0.000380117	8.63159e-05
102	0.2495	291.912	223.983	0.000381447	8.63729e-05
103	0.2495	288.609	221.406	0.000379793	8.62952e-05
104	0.2495	291.967	223.991	0.000381653	8.63943e-05
105	0.2495	286.898	220.592	0.000380055	8.62515e-05
106	0.2495	287.751	221.187	0.000380411	8.62675e-05
107	0.2495	283.954	218.464	0.000378281	8.6173e-05
108	0.2495	285.91	219.803	0.000378979	8.618e-05
109	0.2495	290.655	223.678	0.000382516	8.63769e-05
110	0.2495	288.497	221.112	0.000379625	8.62279e-05
111	0.2495	278.241	214.258	0.000373992	8.59664e-05
112	0.2495	286.996	220.81	0.000380634	8.62338e-05
113	0.2495	281.207	216.591	0.000377822	8.60763e-05
114	0.2495	288.943	221.458	0.000373153	8.60949e-05
115	0.2495	290.496	223.044	0.00038072	8.63426e-05
116	0.2495	299.39	229.549	0.000386419	8.65814e-05
117	0.2495	291.204	223.647	0.000381766	8.63791e-05
118	0.2495	291.973	224.038	0.00038239	8.63332e-05
119	0.2495	285.628	219.931	0.000381787	8.61816e-05
120	0.2495	290.099	222.593	0.000379184	8.62993e-05
121	0.2495	291.088	223.666	0.000382042	8.63759e-05
122	0.2495	278.968	214.532	0.000374521	8.60037e-05
123	0.2495	293.116	224.989	0.000385004	8.63734e-05
124	0.2495	290.37	223.07	0.000382343	8.63314e-05
125	0.2495	274.49	211.727	0.000374184	8.58344e-05
126	0.2495	287.952	221.263	0.000381354	8.62352e-05
127	0.2495	288.138	221.619	0.0003813	8.62859e-05
128	0.2495	288.251	221.078	0.000380724	8.62373e-05
129	0.2495	287.458	220.486	0.000378846	8.62398e-05
130	0.2495	298.974	229.283	0.000385356	8.6589e-05
131	0.2495	296.427	227.487	0.000384827	8.64883e-05
132	0.2495	289.653	222.581	0.000381509	8.63368e-05
133	0.2495	282.73	217.405	0.000369519	8.58927e-05
134	0.2495	291.09	223.431	0.000381815	8.63656e-05
135	0.2495	292.817	224.855	0.000383202	8.64063e-05
136	0.2495	288.243	221.673	0.000380859	8.6275e-05
137	0.2495	285.341	219.397	0.000377566	8.6162e-05
138	0.2495	281.494	216.792	0.000376768	8.61037e-05
139	0.2495	287.341	220.849	0.000379475	8.62572e-05
140	0.2495	289.331	222.508	0.000382232	8.63068e-05
141	0.2495	284.649	219.316	0.000380614	8.61601e-05
142	0.2495	282.881	217.904	0.000377479	8.61562e-05
143	0.2495	283.884	218.419	0.000378794	8.61551e-05
144	0.2495	288.043	221.498	0.000380063	8.63054e-05
145	0.2495	298.251	228.58	0.000385127	8.65518e-05
146	0.2495	283.134	217.324	0.000376545	8.61108e-05
147	0.2495	293.073	225.198	0.000384729	8.64158e-05
148	0.2495	284.004	218.452	0.000377989	8.61409e-05
149	0.2495	291.153	223.554	0.000381759	8.63585e-05
150	0.2495	288.497	221.609	0.000379825	8.62947e-05
151	0.2495	292.629	224.445	0.00037898	8.62851e-05
152	0.2495	287.236	220.618	0.000380262	8.62382e-05
153	0.2495	294.795	226.497	0.000383317	8.64842e-05
154	0.2495	293.07	224.881	0.000384384	8.63762e-05
155	0.2495	295.587	226.419	0.000384421	8.64458e-05
156	0.2495	281.232	216.573	0.000378318	8.60766e-05
157	0.2495	300.231	230.362	0.000387088	8.65278e-05
158	0.2495	290.058	222.885	0.000381871	8.63451e-05
159	0.2495	289.9	222.853	0.000381021	8.63563e-05
160	0.2495	291.72	223.804	0.000381372	8.63786e-05
161	0.2495	296.063	227.233	0.000385304	8.64701e-05
162	0.2495	281.163	216.223	0.000375888	8.6081e-05
163	0.2495	297.522	227.627	0.000380004	8.64065e-05
164	0.2495	299.497	229.448	0.000382424	8.64943e-05
165	0.2495	298.089	228.404	0.000385377	8.65304e-05
166	0.2495	288.803	221.936	0.000380614	8.63141e-05
167	0.2495	296.373	227.306	0.00038436	8.65121e-05
168	0.2495	287.838	221.243	0.000380464	8.62572e-05
169	0.2495	289.179	221.79	0.000379746	8.62845e-05
170	0.2495	287.415	221.279	0.000381412	8.62539e-05
171	0.2495	296.79	227.098	0.000385527	8.64776e-05
172	0.2495	289.484	222.509	0.000381777	8.63219e-05
173	0.2495	287.917	220.686	0.000379225	8.62547e-05
174	0.2495	292.248	224.529	0.000382007	8.6408e-05
175	0.2495	296.747	227.61	0.000384821	8.64465e-05
176	0.2495	287.295	220.604	0.00037924	8.62602e-05
177	0.2495	286.595	220.474	0.00038007	8.62537e-05
178	0.2495	288.732	221.843	0.000381444	8.62857e-05
