Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0345	272.095	210.174	0.000368358	8.5744e-05
1	0.0345	272.389	210.309	0.000369345	8.5773e-05
2	0.0345	270.621	208.674	0.000352753	8.52455e-05
3	0.0345	277.619	213.753	0.00037219	8.5932e-05
4	0.0345	274.666	212.06	0.000370408	8.58425e-05
5	0.0345	276.179	213.022	0.000370259	8.58593e-05
6	0.0345	280.532	216.313	0.000374686	8.60499e-05
7	0.0345	276.904	213.423	0.000365645	8.57351e-05
8	0.0345	272.193	209.941	0.000369282	8.57683e-05
9	0.0345	272.7	210.17	0.000369812	8.57898e-05
10	0.0345	276.5	213.15	0.000371058	8.58827e-05
11	0.0345	278.417	214.893	0.0003696	8.58789e-05
12	0.0345	276.875	213.716	0.000372281	8.59292e-05
13	0.0345	276.823	213.536	0.000367577	8.5792e-05
14	0.0345	272.092	210.026	0.000368334	8.57395e-05
15	0.0345	273.206	210.725	0.000368516	8.57634e-05
16	0.0345	276.744	213.492	0.000372995	8.59449e-05
17	0.0345	279.309	214.739	0.000360198	8.55984e-05
18	0.0345	271.709	209.688	0.00036808	8.57278e-05
19	0.0345	270.332	208.784	0.000368353	8.57137e-05
20	0.0345	286.549	220.595	0.000372266	8.60624e-05
21	0.0345	271.359	209.644	0.000369306	8.5757e-05
22	0.0345	279.4	215.285	0.00037371	8.60021e-05
23	0.0345	273.97	211.514	0.000369936	8.58163e-05
24	0.0345	272.805	210.561	0.000368721	8.57638e-05
25	0.0345	273.528	210.939	0.000361645	8.55654e-05
26	0.0345	277.233	213.804	0.000374063	8.59831e-05
27	0.0345	276.435	212.705	0.000364063	8.56777e-05
28	0.0345	275.331	212.377	0.00036982	8.58351e-05
29	0.0345	269.796	208.049	0.00035453	8.52901e-05
30	0.0345	281.028	216.743	0.000374854	8.60622e-05
31	0.0345	277.158	213.938	0.000372251	8.59317e-05
32	0.0345	274.9	212.087	0.000366468	8.57313e-05
33	0.0345	272.477	210.363	0.000370825	8.58204e-05
34	0.0345	273.867	210.898	0.000362275	8.55874e-05
35	0.0345	272.834	210.475	0.000365338	8.56659e-05
36	0.0345	276.829	213.252	0.000360243	8.55705e-05
37	0.0345	273.846	211.253	0.000368758	8.57805e-05
38	0.0345	278.327	214.64	0.000370608	8.59007e-05
39	0.0345	276.741	213.369	0.000371729	8.5907e-05
40	0.0345	279.496	215.511	0.000372393	8.59673e-05
41	0.0345	273.937	211.427	0.000371414	8.58583e-05
42	0.0345	271.59	209.384	0.000360368	8.54971e-05
43	0.0345	274.575	211.93	0.000367158	8.57477e-05
44	0.0345	281.749	216.935	0.000362624	8.57131e-05
45	0.0345	275.036	212.044	0.00037015	8.58383e-05
46	0.0345	278.083	214.333	0.000372423	8.59484e-05
47	0.0345	274.919	212.367	0.000371061	8.58683e-05
48	0.0345	273.144	210.996	0.000368701	8.57719e-05
49	0.0345	274.657	212.131	0.000371527	8.5874e-05
50	0.0345	274.622	211.888	0.000368604	8.57875e-05
51	0.0345	275.458	212.561	0.000365588	8.57167e-05
52	0.0345	273.097	210.489	0.000359838	8.55018e-05
53	0.0345	280.023	215.379	0.000371778	8.59548e-05
54	0.0345	276.895	213.726	0.000373501	8.59635e-05
55	0.0345	285.179	219.761	0.000378804	8.62325e-05
56	0.0345	272.969	210.856	0.000368988	8.57758e-05
57	0.0345	278.581	214.829	0.000374148	8.60065e-05
58	0.0345	274.331	211.632	0.000371094	8.58538e-05
59	0.0345	277.642	213.879	0.000367699	8.58029e-05
60	0.0345	275.902	213.038	0.000368993	8.5821e-05
61	0.0345	275.81	212.73	0.000369157	8.58214e-05
62	0.0345	273.723	211.321	0.00037011	8.58182e-05
63	0.0345	269.065	207.511	0.000353523	8.5246e-05
64	0.0345	283.682	218.079	0.000370565	8.59747e-05
65	0.0345	274.216	211.684	0.000370446	8.58366e-05
66	0.0345	273.632	211.039	0.000369521	8.5799e-05
67	0.0345	277.267	213.899	0.000371581	8.59163e-05
68	0.0345	282.547	217.577	0.000376476	8.61237e-05
69	0.0345	273.931	211.318	0.000364641	8.5662e-05
70	0.0345	276.175	213.164	0.000370314	8.58596e-05
71	0.0345	273.694	211.183	0.000368796	8.57782e-05
72	0.0345	281.415	217.019	0.000374213	8.60501e-05
73	0.0345	277.596	214.087	0.000372035	8.59308e-05
74	0.0345	275.324	212.598	0.000371772	8.58931e-05
75	0.0345	282.357	217.87	0.000377322	8.61533e-05
76	0.0345	272.284	210.076	0.000367047	8.57049e-05
77	0.0345	277.365	213.795	0.000373365	8.59649e-05
78	0.0345	271.597	209.733	0.000366852	8.56934e-05
79	0.0345	279.83	215.756	0.000369343	8.58884e-05
80	0.0345	279.128	215.196	0.000368989	8.58653e-05
81	0.0345	269.811	208.383	0.000364269	8.55879e-05
82	0.0345	276.247	212.853	0.000359463	8.55374e-05
83	0.0345	269.616	208.285	0.000365233	8.56162e-05
84	0.0345	277.462	213.894	0.000369493	8.58552e-05
85	0.0345	277.463	214.006	0.000370884	8.58973e-05
86	0.0345	274.844	211.951	0.000370541	8.58435e-05
87	0.0345	271.268	209.339	0.000366021	8.5662e-05
88	0.0345	275.745	212.801	0.000372423	8.59153e-05
89	0.0345	273.539	211.113	0.000363231	8.56176e-05
90	0.0345	276.613	213.444	0.000370179	8.58657e-05
91	0.0345	268.921	207.581	0.000363879	8.55603e-05
92	0.0345	276.155	212.92	0.000365737	8.57287e-05
93	0.0345	274.278	211.807	0.000371691	8.58731e-05
94	0.0345	271.769	209.615	0.000368074	8.57292e-05
95	0.0345	271.131	208.865	0.000366363	8.56649e-05
96	0.0345	277.655	213.584	0.000367914	8.58074e-05
97	0.0345	277.613	213.778	0.000371948	8.59258e-05
98	0.0345	277.955	214.037	0.00036546	8.5745e-05
99	0.0345	276.756	213.382	0.000365999	8.57464e-05
100	0.0345	276.746	213.463	0.000368868	8.58286e-05
101	0.0345	273.72	211.432	0.000368829	8.57838e-05
102	0.0345	276.051	213.172	0.000373408	8.59486e-05
103	0.0345	272.113	210.244	0.000371058	8.58211e-05
104	0.0345	272.305	210.23	0.000369856	8.57886e-05
105	0.0345	278.47	214.963	0.000373913	8.60025e-05
106	0.0345	275.617	212.758	0.000370522	8.58615e-05
107	0.0345	276.207	213.171	0.000369942	8.58528e-05
108	0.0345	275.347	212.391	0.000369937	8.5837e-05
109	0.0345	276.38	213.132	0.000366551	8.57559e-05
110	0.0345	282.271	217.553	0.000373939	8.60545e-05
111	0.0345	276.984	213.596	0.000372194	8.59264e-05
112	0.0345	278.114	214.54	0.00036787	8.58209e-05
113	0.0345	275.749	212.7	0.000368275	8.57967e-05
114	0.0345	274.997	212.066	0.000366767	8.57407e-05
115	0.0345	279.875	215.998	0.000373682	8.60131e-05
116	0.0345	271.973	209.933	0.000369875	8.57853e-05
117	0.0345	276.022	212.783	0.000368257	8.58004e-05
118	0.0345	273.533	211.036	0.000368439	8.5764e-05
119	0.0345	274.9	212.131	0.000367567	8.57662e-05
120	0.0345	272.04	209.841	0.000364016	8.56158e-05
121	0.0345	277.563	213.67	0.000369513	8.58522e-05
122	0.0345	275.874	212.829	0.000373253	8.59405e-05
123	0.0345	276.348	213.281	0.000372789	8.59355e-05
