Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.673	332.215	252.99	0.000377532	8.66182e-05
1	0.673	319.425	244.319	0.000385894	8.6783e-05
2	0.673	323.031	247.174	0.000397802	8.70853e-05
3	0.673	315.518	241.7	0.000386729	8.67217e-05
4	0.673	316.945	243.023	0.000393933	8.68486e-05
5	0.673	311.198	238.711	0.000389354	8.67648e-05
6	0.673	307.092	235.769	0.000387377	8.65954e-05
7	0.673	304.164	233.858	0.000388725	8.6555e-05
8	0.673	327.073	249.99	0.000399676	8.69806e-05
9	0.673	308.247	236.752	0.000388311	8.65614e-05
10	0.673	314.596	241.079	0.000392599	8.69098e-05
11	0.673	302.284	232.338	0.000381483	8.64148e-05
12	0.673	324.463	247.898	0.00039085	8.69632e-05
13	0.673	329.476	251.319	0.000392603	8.71095e-05
14	0.673	345.265	262.29	0.000397332	8.73001e-05
15	0.673	315.282	241.1	0.000371453	8.63274e-05
16	0.673	317.41	243.032	0.000390857	8.69195e-05
17	0.673	314.302	240.93	0.000391524	8.68737e-05
18	0.673	322.637	246.446	0.000383882	8.67477e-05
19	0.673	314.508	241.009	0.000391454	8.68861e-05
20	0.673	326.182	249.504	0.000400948	8.7152e-05
21	0.673	319.145	244.333	0.000392453	8.69079e-05
22	0.673	312.943	239.772	0.000386078	8.67205e-05
23	0.673	293.259	225.862	0.000382438	8.63913e-05
24	0.673	333.896	254.605	0.000396357	8.71878e-05
25	0.673	305.709	234.788	0.000386572	8.66414e-05
26	0.673	318.394	243.742	0.000392363	8.69297e-05
27	0.673	325.053	247.974	0.000385421	8.68292e-05
28	0.673	317.403	243.57	0.00040017	8.69229e-05
29	0.673	311.29	238.047	0.000362861	8.59836e-05
30	0.673	310.539	238.289	0.000389829	8.67439e-05
31	0.673	319.631	244.44	0.000386247	8.68155e-05
32	0.673	284.508	219.377	0.000372354	8.60163e-05
33	0.673	315.848	242.059	0.000394174	8.6873e-05
34	0.673	319.843	244.761	0.000391626	8.69406e-05
35	0.673	317.292	242.961	0.000390496	8.68371e-05
36	0.673	321.521	245.769	0.000387076	8.68385e-05
37	0.673	306.023	234.879	0.000384361	8.65922e-05
38	0.673	297.227	228.748	0.000385907	8.65467e-05
39	0.673	321.608	245.836	0.000388838	8.68034e-05
40	0.673	301.588	231.299	0.000366237	8.6008e-05
41	0.673	309.694	237.704	0.000389642	8.67188e-05
42	0.673	300.98	231.071	0.000372998	8.62255e-05
43	0.673	308.638	236.656	0.00037619	8.63225e-05
44	0.673	305.548	234.899	0.000389194	8.65798e-05
45	0.673	325.403	248.89	0.00039936	8.70325e-05
46	0.673	311.038	238.466	0.000387564	8.67899e-05
47	0.673	299.033	229.788	0.000380163	8.64432e-05
48	0.673	325.254	248.618	0.000397841	8.7172e-05
49	0.673	331.677	253.101	0.000399104	8.72152e-05
50	0.673	319.007	244.046	0.000387347	8.68129e-05
51	0.673	316.227	242.153	0.00038874	8.6826e-05
52	0.673	336.817	256.566	0.000396885	8.72284e-05
53	0.673	324.944	248.352	0.000395434	8.71109e-05
54	0.673	299.99	230.619	0.000382932	8.65103e-05
55	0.673	322.765	246.655	0.000387039	8.68593e-05
56	0.673	333.294	255.048	0.000409171	8.71867e-05
57	0.673	290.421	223.375	0.000370861	8.59643e-05
58	0.673	324.743	248.164	0.000392404	8.70149e-05
59	0.673	323.738	247.672	0.000398381	8.70884e-05
60	0.673	290.491	224.127	0.00038579	8.6238e-05
61	0.673	316.43	242.355	0.000390057	8.6826e-05
62	0.673	307.321	235.929	0.000387247	8.66607e-05
63	0.673	300.671	231.092	0.000382053	8.64926e-05
64	0.673	304.938	234.25	0.000388096	8.66892e-05
65	0.673	314.641	240.881	0.000378038	8.64157e-05
66	0.673	297.411	228.923	0.00038596	8.65112e-05
67	0.673	306.703	235.534	0.000388205	8.66968e-05
68	0.673	296.479	228.413	0.000380265	8.61361e-05
69	0.673	320.346	245.015	0.000389853	8.68988e-05
70	0.673	313.102	240.807	0.000400589	8.67398e-05
71	0.673	316.791	242.446	0.000385165	8.67707e-05
72	0.673	314.131	240.981	0.000393426	8.68034e-05
73	0.673	317.003	242.775	0.000394344	8.70071e-05
74	0.673	318.46	243.736	0.000392853	8.69922e-05
75	0.673	292.342	225.255	0.000383372	8.6308e-05
76	0.673	308.736	236.835	0.000384253	8.66187e-05
77	0.673	320.02	244.89	0.000390085	8.68654e-05
78	0.673	328.705	251.066	0.000394286	8.69956e-05
79	0.673	319.746	244.819	0.000394904	8.69854e-05
80	0.673	323.791	247.397	0.000392707	8.70185e-05
81	0.673	307.508	235.987	0.000386	8.66374e-05
82	0.673	327.637	250.39	0.000398492	8.71687e-05
83	0.673	337.742	257.036	0.000393034	8.71854e-05
84	0.673	295.571	227.261	0.00037228	8.61435e-05
85	0.673	313.176	240.177	0.000389032	8.67247e-05
86	0.673	320.176	244.756	0.000388251	8.68688e-05
87	0.673	333.993	254.472	0.000390112	8.70424e-05
88	0.673	330.938	252.88	0.000403227	8.72575e-05
89	0.673	316.982	242.587	0.000389148	8.68432e-05
90	0.673	322.891	246.775	0.000391511	8.68893e-05
91	0.673	337.03	256.871	0.000399445	8.72735e-05
92	0.673	332.685	253.56	0.000389194	8.69528e-05
93	0.673	333.12	254.051	0.00039823	8.72284e-05
94	0.673	307.797	236.175	0.000384757	8.66479e-05
95	0.673	312.917	240.141	0.000394635	8.68635e-05
96	0.673	316.78	242.558	0.00038333	8.66183e-05
97	0.673	326.898	249.769	0.000393945	8.7043e-05
98	0.673	330.424	252.168	0.000391387	8.69627e-05
99	0.673	320.204	244.983	0.000389818	8.68691e-05
100	0.673	325.733	248.543	0.000393922	8.70796e-05
101	0.673	316.031	242.19	0.000394885	8.69553e-05
102	0.673	312.546	239.496	0.000386765	8.67443e-05
103	0.673	308.079	236.163	0.000382954	8.65891e-05
104	0.673	329.677	251.696	0.000394243	8.70521e-05
105	0.673	307.439	236.76	0.00039094	8.63343e-05
106	0.673	321.292	245.758	0.000391561	8.69646e-05
107	0.673	325.392	248.779	0.000387811	8.67444e-05
108	0.673	322.167	246.532	0.000392634	8.69075e-05
109	0.673	300.676	230.81	0.000379123	8.64227e-05
110	0.673	304.977	234.054	0.000385878	8.66651e-05
111	0.673	317.557	242.964	0.000384643	8.67344e-05
112	0.673	322.512	246.498	0.000383863	8.67037e-05
113	0.673	318.935	243.868	0.000380972	8.66482e-05
114	0.673	310.043	237.665	0.000377735	8.64192e-05
115	0.673	335.215	255.531	0.00039862	8.72668e-05
116	0.673	304.7	234.097	0.000389338	8.67378e-05
117	0.673	321.653	246.165	0.000396329	8.70655e-05
118	0.673	311.699	238.884	0.000388311	8.67899e-05
119	0.673	308.342	236.712	0.00038699	8.66408e-05
120	0.673	312.851	239.504	0.000377509	8.64797e-05
121	0.673	307.098	235.907	0.000391472	8.67371e-05
122	0.673	326.45	249.19	0.000388127	8.69146e-05
123	0.673	319.788	244.769	0.000392965	8.69651e-05
124	0.673	322.555	246.788	0.000394491	8.69983e-05
125	0.673	331.871	253.484	0.000403293	8.72741e-05
126	0.673	311.772	238.815	0.000380237	8.65221e-05
127	0.673	341.236	259.557	0.000403435	8.7412e-05
128	0.673	319.585	244.731	0.000397098	8.70541e-05
129	0.673	324.923	248.371	0.000397155	8.71435e-05
130	0.673	332.893	253.703	0.000376707	8.6484e-05
131	0.673	304.951	234.078	0.000382842	8.65877e-05
132	0.673	304.243	233.423	0.000375549	8.63499e-05
133	0.673	317.431	243.069	0.000393084	8.6969e-05
134	0.673	328.675	250.934	0.000391357	8.69812e-05
135	0.673	308.065	236.499	0.000390643	8.67984e-05
136	0.673	302.332	232.233	0.00037695	8.62412e-05
137	0.673	313.743	240.055	0.000378095	8.65028e-05
138	0.673	335.634	255.884	0.000400542	8.73161e-05
139	0.673	319.584	244.431	0.000386992	8.68316e-05
140	0.673	318.931	244.173	0.000394652	8.70341e-05
141	0.673	349.299	265.113	0.000403727	8.75319e-05
142	0.673	318.147	243.358	0.000384337	8.6765e-05
143	0.673	326.547	249.131	0.00038988	8.69989e-05
144	0.673	329.193	251.508	0.00039478	8.69888e-05
145	0.673	309.385	237.197	0.000381394	8.65762e-05
146	0.673	323.147	246.508	0.000371262	8.64159e-05
147	0.673	328.158	250.616	0.000399549	8.72119e-05
148	0.673	338.885	257.507	0.000391316	8.71249e-05
149	0.673	292.646	225.348	0.000381016	8.63696e-05
150	0.673	320.679	244.992	0.000379922	8.66654e-05
151	0.673	313.599	240.746	0.0003971	8.68629e-05
152	0.673	314.58	240.706	0.000385288	8.67413e-05
153	0.673	309.773	237.554	0.000387391	8.6744e-05
154	0.673	314.051	240.571	0.000380537	8.64346e-05
155	0.673	323.954	247.587	0.00039459	8.70348e-05
156	0.673	323.385	247.165	0.000390981	8.69605e-05
157	0.673	317.79	243.29	0.000393097	8.69901e-05
158	0.673	308.744	237.171	0.000393567	8.68e-05
159	0.673	310.164	238.022	0.000392297	8.68641e-05
160	0.673	315.727	241.994	0.000395362	8.69325e-05
161	0.673	315.332	241.804	0.000392731	8.68355e-05
162	0.673	334.392	255.14	0.000402688	8.72842e-05
163	0.673	325.423	248.82	0.000398195	8.71297e-05
164	0.673	326.329	249.36	0.000393432	8.7012e-05
165	0.673	325.267	248.43	0.000383093	8.66979e-05
166	0.673	317.997	243.283	0.000386276	8.6824e-05
167	0.673	301.076	231.694	0.000389691	8.65482e-05
168	0.673	302.64	232.722	0.000389689	8.66689e-05
169	0.673	294.118	226.493	0.000381303	8.63432e-05
170	0.673	320.231	244.766	0.000380355	8.66089e-05
171	0.673	323.744	247.48	0.000393055	8.70254e-05
172	0.673	326.567	249.232	0.000388062	8.6945e-05
173	0.673	303.782	233.555	0.000389862	8.6667e-05
174	0.673	315.966	241.764	0.000390024	8.68722e-05
175	0.673	306.675	234.566	0.000356385	8.57588e-05
176	0.673	311.593	238.614	0.000380587	8.65264e-05
177	0.673	293.092	225.027	0.000362178	8.57762e-05
178	0.673	316.555	242.246	0.000386488	8.68089e-05
179	0.673	308.185	236.39	0.000383671	8.66227e-05
180	0.673	325.898	249.102	0.000395691	8.70994e-05
181	0.673	324.302	247.934	0.000391529	8.6925e-05
182	0.673	305.24	234.4	0.000384768	8.66074e-05
183	0.673	320.166	245.054	0.000396083	8.70858e-05
184	0.673	316.052	242.329	0.000395817	8.69522e-05
185	0.673	310.84	238.517	0.000394401	8.68391e-05
186	0.673	353.409	268.02	0.000403755	8.74868e-05
187	0.673	301.495	231.634	0.000382125	8.64591e-05
188	0.673	344.003	261.578	0.000399469	8.73071e-05
189	0.673	315.206	241.511	0.000391146	8.68456e-05
190	0.673	322.567	246.703	0.000397559	8.70972e-05
191	0.673	324.329	247.694	0.000386664	8.68775e-05
