Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0026	286.563	220.911	0.000378854	8.62331e-05
1	0.0026	293.59	226.131	0.000383971	8.64094e-05
2	0.0026	291.751	224.642	0.000381366	8.63866e-05
3	0.0026	286.044	220.507	0.000377651	8.62047e-05
4	0.0026	292.712	225.327	0.000380718	8.63782e-05
5	0.0026	284.812	219.567	0.000376448	8.61488e-05
6	0.0026	304.115	233.374	0.000384741	8.66184e-05
7	0.0026	289.421	222.924	0.000378904	8.6282e-05
8	0.0026	295.28	227.202	0.000382812	8.64727e-05
9	0.0026	288.087	221.984	0.000378492	8.62558e-05
10	0.0026	290.777	223.916	0.000379647	8.63226e-05
11	0.0026	294.821	226.842	0.000381723	8.64329e-05
12	0.0026	289.645	223.091	0.000379421	8.63003e-05
13	0.0026	289.269	222.849	0.000379754	8.63018e-05
14	0.0026	279.78	215.977	0.000374449	8.60284e-05
15	0.0026	286.447	220.772	0.00037771	8.62085e-05
16	0.0026	291.643	224.532	0.000380357	8.63527e-05
17	0.0026	286.475	220.784	0.000377474	8.62014e-05
18	0.0026	286.016	220.56	0.000378866	8.61782e-05
19	0.0026	299.632	230.345	0.000385109	8.65921e-05
20	0.0026	289.064	222.625	0.0003799	8.63107e-05
21	0.0026	282.193	217.727	0.00037603	8.61072e-05
22	0.0026	290.396	223.354	0.0003793	8.63057e-05
23	0.0026	287.432	221.514	0.000377791	8.62248e-05
24	0.0026	295.324	227.188	0.000382787	8.64693e-05
25	0.0026	286.791	221.056	0.00037809	8.6227e-05
26	0.0026	285.105	219.891	0.000377876	8.61527e-05
27	0.0026	288.993	222.702	0.000379888	8.62462e-05
28	0.0026	292.288	225.051	0.000381125	8.63873e-05
29	0.0026	291.413	224.347	0.000379811	8.6338e-05
30	0.0026	294.346	226.52	0.000381868	8.64331e-05
31	0.0026	298.753	229.756	0.00038499	8.65377e-05
32	0.0026	285.984	220.423	0.000377426	8.61969e-05
33	0.0026	292.934	225.499	0.00038134	8.64006e-05
34	0.0026	289.008	222.662	0.000378926	8.62794e-05
35	0.0026	285.475	220.077	0.00037763	8.61911e-05
36	0.0026	288.359	222.205	0.000378901	8.627e-05
37	0.0026	290.175	223.491	0.000379614	8.63143e-05
38	0.0026	283.134	218.384	0.000375655	8.61087e-05
39	0.0026	288.958	222.569	0.000378453	8.62616e-05
40	0.0026	290.318	223.561	0.000379362	8.6306e-05
41	0.0026	279.729	215.685	0.000374623	8.603e-05
42	0.0026	293.199	225.669	0.000380872	8.63878e-05
43	0.0026	298.145	229.226	0.000384201	8.65445e-05
44	0.0026	282.521	218.079	0.00037811	8.61563e-05
45	0.0026	297.466	228.665	0.000382563	8.64834e-05
46	0.0026	288.895	222.58	0.000378949	8.62794e-05
