Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.1275	235.871	174.742	0.00016378	7.16644e-05
1	0.1275	242.632	181.057	0.000179224	7.38809e-05
2	0.1275	226.564	166.223	0.000148915	6.9279e-05
3	0.1275	236.117	173.993	0.000159221	7.09805e-05
4	0.1275	237.031	175.307	0.000165291	7.18916e-05
5	0.1275	240.587	178.635	0.000174161	7.31783e-05
6	0.1275	237.092	176.244	0.000168207	7.23199e-05
7	0.1275	232.259	171.726	0.000158576	7.0835e-05
8	0.1275	236.97	175.411	0.000161825	7.13975e-05
9	0.1275	238.354	177.178	0.000169197	7.24894e-05
10	0.1275	236.021	175.696	0.000171454	7.27493e-05
11	0.1275	240.567	178.844	0.00017328	7.30747e-05
12	0.1275	241.548	179.099	0.000164679	7.19053e-05
13	0.1275	238.513	176.943	0.000167252	7.22057e-05
14	0.1275	241.353	179.51	0.000170559	7.273e-05
15	0.1275	240.376	178.584	0.000167536	7.22745e-05
16	0.1275	248.259	186.353	0.00019217	7.54642e-05
17	0.1275	238.686	177.32	0.000171812	7.28326e-05
18	0.1275	243.707	181.609	0.000172834	7.30579e-05
19	0.1275	237.155	176.322	0.000169402	7.24846e-05
20	0.1275	237.843	176.711	0.000167201	7.21757e-05
21	0.1275	245.041	183.824	0.000191064	7.53175e-05
22	0.1275	238.225	176.517	0.000163532	7.16842e-05
23	0.1275	237.342	176.265	0.000167792	7.22763e-05
24	0.1275	243.789	181.435	0.000175805	7.34578e-05
25	0.1275	235.9	174.591	0.000163092	7.15674e-05
26	0.1275	237.409	176.298	0.000168797	7.23889e-05
27	0.1275	241.115	178.554	0.000161936	7.15003e-05
28	0.1275	242.566	180.366	0.000169897	7.26436e-05
29	0.1275	234.354	173.676	0.000164291	7.16987e-05
30	0.1275	233.557	173.402	0.000168314	7.22546e-05
31	0.1275	240.922	178.91	0.000169262	7.25236e-05
32	0.1275	236.331	175.268	0.000161934	7.13938e-05
33	0.1275	235.585	175.077	0.000171396	7.27161e-05
34	0.1275	244.603	182.06	0.000172341	7.303e-05
35	0.1275	230.71	169.44	0.000149646	6.94698e-05
36	0.1275	239.375	178.168	0.000173164	7.30432e-05
37	0.1275	241.569	179.05	0.000163819	7.17862e-05
38	0.1275	235.702	174.317	0.000159175	7.09853e-05
39	0.1275	241.857	180.234	0.000174545	7.32791e-05
40	0.1275	233.34	172.976	0.000165077	7.18075e-05
41	0.1275	238.778	177.579	0.000170077	7.26078e-05
42	0.1275	234.976	174.239	0.000166494	7.20286e-05
43	0.1275	234.012	173.044	0.000161038	7.12349e-05
44	0.1275	236.445	175.708	0.000168739	7.23877e-05
45	0.1275	235.848	175.163	0.000167489	7.21877e-05
46	0.1275	245.228	182.872	0.000176091	7.35282e-05
47	0.1275	237.119	176.258	0.000170675	7.26391e-05
48	0.1275	250.987	187.609	0.000181147	7.42458e-05
49	0.1275	233.903	173.691	0.000167474	7.21598e-05
50	0.1275	240.505	179.026	0.000173174	7.30616e-05
51	0.1275	241.235	179.498	0.000171393	7.28404e-05
52	0.1275	237.7	176.248	0.000164794	7.1854e-05
53	0.1275	240.43	178.188	0.000162827	7.16174e-05
54	0.1275	241.98	181.444	0.000187316	7.48235e-05
55	0.1275	237.369	176.5	0.000170855	7.26828e-05
56	0.1275	250.876	188.432	0.000196635	7.59977e-05
57	0.1275	236.835	175.36	0.000163643	7.16597e-05
58	0.1275	237.637	177.223	0.000177143	7.35263e-05
59	0.1275	239.568	176.4	0.000155846	7.05645e-05
60	0.1275	240.129	179.956	0.000187755	7.48654e-05
61	0.1275	238.828	177.538	0.000169247	7.24971e-05
62	0.1275	244.661	183.555	0.000191259	7.53333e-05
63	0.1275	236.877	175.673	0.000164847	7.18453e-05
64	0.1275	235.598	173.406	0.000154341	7.02671e-05
65	0.1275	236.748	175.623	0.000165623	7.19491e-05
66	0.1275	235.183	174.147	0.000163306	7.15845e-05
67	0.1275	247.074	184.57	0.000181036	7.41827e-05
68	0.1275	232.114	172.21	0.000165775	7.18858e-05
69	0.1275	227.643	164.737	0.000131888	6.66079e-05
70	0.1275	242.024	180.863	0.000180692	7.4063e-05
71	0.1275	235.067	174.51	0.000167165	7.21371e-05
72	0.1275	242.702	181.526	0.000183953	7.44606e-05
73	0.1275	244.479	182.285	0.000179282	7.39108e-05
74	0.1275	246.114	185.182	0.000201554	7.64049e-05
75	0.1275	247.769	184.215	0.000171298	7.29388e-05
76	0.1275	238.556	178.185	0.000180395	7.39548e-05
77	0.1275	238.554	177.774	0.000171914	7.28182e-05
78	0.1275	242.627	181.799	0.000187939	7.49282e-05
79	0.1275	240.919	179.364	0.000173311	7.30775e-05
80	0.1275	236.517	175.435	0.000165443	7.19157e-05
81	0.1275	238.121	176.355	0.000162963	7.15989e-05
82	0.1275	245.636	183.506	0.000180098	7.40394e-05
83	0.1275	234.467	173.106	0.000161351	7.12785e-05
84	0.1275	231.411	170.754	0.000157034	7.05986e-05
85	0.1275	235.503	174.401	0.000163472	7.16177e-05
86	0.1275	252.908	191.587	0.000229723	7.88376e-05
87	0.1275	245.875	183.419	0.000177339	7.3707e-05
88	0.1275	245.609	182.461	0.000165407	7.20563e-05
89	0.1275	236.933	175.922	0.000167754	7.22494e-05
90	0.1275	234.042	173.256	0.000162336	7.14214e-05
91	0.1275	240.466	179.12	0.000172806	7.30064e-05
92	0.1275	236.363	175.214	0.000164585	7.17951e-05
93	0.1275	240.003	178.026	0.000168105	7.23581e-05
94	0.1275	233.246	173.15	0.00016643	7.19998e-05
95	0.1275	239.062	177.945	0.000172063	7.2886e-05
96	0.1275	232.584	171.686	0.000157471	7.06854e-05
97	0.1275	237.622	175.822	0.00016076	7.12673e-05
98	0.1275	237.095	175.661	0.000162498	7.15069e-05
99	0.1275	244.496	182.225	0.000178337	7.38006e-05
100	0.1275	240.753	179.509	0.000173647	7.3112e-05
101	0.1275	243.608	182.086	0.000184304	7.45182e-05
102	0.1275	226.442	166.323	0.000149814	6.94078e-05
103	0.1275	239.608	178.341	0.000171828	7.28656e-05
104	0.1275	231.303	170.768	0.000157068	7.0604e-05
105	0.1275	238.878	177.794	0.000171594	7.28186e-05
106	0.1275	235.169	173.751	0.00015929	7.09997e-05
107	0.1275	241.922	180.596	0.000177708	7.36816e-05
108	0.1275	241.703	179.665	0.000170126	7.26727e-05
109	0.1275	240.928	179.831	0.000177656	7.36637e-05
110	0.1275	230.736	170.379	0.000159161	7.08869e-05
111	0.1275	238.099	174.654	0.000149551	6.95699e-05
112	0.1275	240.221	178.82	0.000170131	7.2629e-05
113	0.1275	236.528	174.431	0.000156395	7.0595e-05
114	0.1275	244.968	183.058	0.00018191	7.42601e-05
115	0.1275	237.939	176.686	0.00016615	7.20335e-05
116	0.1275	238.276	176.728	0.000165093	7.19124e-05
117	0.1275	244.181	181.545	0.000172025	7.29695e-05
118	0.1275	237.66	176.05	0.000163514	7.16615e-05
119	0.1275	238.976	178.21	0.000174591	7.32203e-05
120	0.1275	241.564	179.801	0.000173071	7.30643e-05
121	0.1275	243.089	180.447	0.000169784	7.2642e-05
122	0.1275	245.018	183.418	0.000187231	7.48808e-05
123	0.1275	233.188	172.932	0.00016531	7.18394e-05
124	0.1275	242.447	181.03	0.000179653	7.39199e-05
125	0.1275	240.282	179.121	0.000175	7.33074e-05
126	0.1275	239.597	177.768	0.000165642	7.20158e-05
127	0.1275	245.025	182.896	0.000179292	7.39308e-05
128	0.1275	247.925	186.165	0.000194118	7.56828e-05
129	0.1275	239.942	178.724	0.000176887	7.35178e-05
130	0.1275	239.451	178.367	0.000173458	7.30706e-05
131	0.1275	235.889	174.71	0.000162408	7.14758e-05
132	0.1275	235.844	174.251	0.000160204	7.11399e-05
133	0.1275	235.885	174.183	0.000157584	7.07691e-05
134	0.1275	233.2	172.104	0.000156842	7.06051e-05
135	0.1275	241.951	179.569	0.00016858	7.24638e-05
136	0.1275	246.896	184.651	0.000183091	7.44306e-05
137	0.1275	243.09	181.229	0.000177655	7.36766e-05
138	0.1275	236.966	176.483	0.000174187	7.3132e-05
139	0.1275	239.298	177.737	0.000167778	7.23085e-05
140	0.1275	239.627	177.827	0.000166821	7.21727e-05
141	0.1275	241.405	179.567	0.000171109	7.27915e-05
142	0.1275	239.807	178.418	0.000171047	7.27654e-05
143	0.1275	239.566	178.228	0.000170926	7.27459e-05
144	0.1275	239.987	178.8	0.000175389	7.33434e-05
145	0.1275	235.545	174.138	0.000158638	7.09053e-05
146	0.1275	236.971	175.962	0.00016813	7.23068e-05
147	0.1275	230.662	168.569	0.000143134	6.84583e-05
148	0.1275	239.85	178.598	0.000173377	7.30764e-05
149	0.1275	246.246	184.108	0.000183364	7.44471e-05
150	0.1275	234.478	174.074	0.000165812	7.19337e-05
151	0.1275	235.341	175.208	0.000169919	7.2513e-05
152	0.1275	233.408	173.199	0.000167764	7.21697e-05
153	0.1275	237.751	177.154	0.000174543	7.31971e-05
154	0.1275	233.775	172.476	0.000157036	7.06376e-05
155	0.1275	236.787	176.002	0.000169902	7.25507e-05
156	0.1275	236.23	175.4	0.000167085	7.21523e-05
157	0.1275	238.28	176.163	0.000160009	7.11626e-05
158	0.1275	236.75	176.147	0.000170151	7.25836e-05
159	0.1275	237.573	175.981	0.000161586	7.13747e-05
160	0.1275	239.217	178.119	0.000172112	7.28967e-05
161	0.1275	236.621	174.658	0.000156316	7.05864e-05
162	0.1275	235.626	174.193	0.000159453	7.10385e-05
163	0.1275	243.858	182.268	0.000180754	7.40727e-05
164	0.1275	239.013	178.299	0.000176294	7.34296e-05
165	0.1275	241.969	180.357	0.000176021	7.34577e-05
166	0.1275	236.952	176.084	0.000168444	7.2354e-05
167	0.1275	234.248	173.009	0.000158664	7.08742e-05
168	0.1275	235.946	175.28	0.000168225	7.22981e-05
169	0.1275	234.434	172.695	0.000155704	7.04367e-05
170	0.1275	236.869	175.561	0.000165226	7.18789e-05
171	0.1275	246.307	183.884	0.000179571	7.39924e-05
172	0.1275	235.757	174.785	0.000164698	7.18025e-05
173	0.1275	239.366	177.631	0.000168242	7.23649e-05
174	0.1275	235.234	173.167	0.000157442	7.0696e-05
175	0.1275	238.269	176.972	0.000168408	7.23767e-05
176	0.1275	242.247	180.625	0.000176698	7.35562e-05
177	0.1275	236.462	174.613	0.000159817	7.10951e-05
178	0.1275	236.137	171.551	0.000135603	6.73536e-05
179	0.1275	236.039	174.437	0.00015894	7.09682e-05
180	0.1275	230.012	169.895	0.000159008	7.08648e-05
181	0.1275	240.246	177.793	0.000161157	7.13764e-05
182	0.1275	236.621	174.967	0.000164959	7.18304e-05
183	0.1275	235.989	174.602	0.000162146	7.14316e-05
184	0.1275	234.635	173.82	0.00016358	7.16184e-05
185	0.1275	232.989	171.364	0.000151607	6.9807e-05
186	0.1275	240.471	179.167	0.000180597	7.40012e-05
187	0.1275	235.28	174.14	0.000166899	7.20812e-05
188	0.1275	237.821	176.665	0.000168044	7.23075e-05
189	0.1275	240.902	179.224	0.000171059	7.27912e-05
190	0.1275	235.017	173.39	0.000156815	7.06159e-05
191	0.1275	238.49	177.066	0.000168996	7.24489e-05
192	0.1275	245.385	184.529	0.000199747	7.62195e-05
193	0.1275	234.597	173.43	0.000158611	7.0886e-05
194	0.1275	254.055	189.363	0.000178447	7.39695e-05
195	0.1275	241.557	180.029	0.000174733	7.3292e-05
196	0.1275	238.096	177.948	0.000180417	7.39382e-05
197	0.1275	243.789	181.624	0.000175682	7.34257e-05
198	0.1275	240.628	179.26	0.000172289	7.29354e-05
199	0.1275	233.212	171.611	0.000152683	6.99769e-05
200	0.1275	232.579	171.999	0.000160625	7.11523e-05
201	0.1275	242.714	181.035	0.000177537	7.36725e-05
202	0.1275	247.294	184.206	0.000175432	7.34821e-05
203	0.1275	238.906	177.822	0.000171426	7.27977e-05
204	0.1275	239.173	178.707	0.000180401	7.39757e-05
205	0.1275	234.088	172.931	0.000158506	7.08699e-05
206	0.1275	243.943	182.815	0.000188113	7.49723e-05
207	0.1275	242.12	179.698	0.000166493	7.21766e-05
208	0.1275	239.063	178.082	0.000175035	7.32839e-05
209	0.1275	240.708	179.692	0.000178274	7.37348e-05
210	0.1275	239.058	177.116	0.000165257	7.19274e-05
211	0.1275	236.599	174.978	0.000161103	7.12868e-05
212	0.1275	233.214	173.348	0.000170209	7.25273e-05
213	0.1275	232.715	172.151	0.00016052	7.11435e-05
214	0.1275	245.271	182.56	0.00017165	7.29382e-05
215	0.1275	236.468	175.325	0.000164947	7.18466e-05
216	0.1275	240.752	178.775	0.000172653	7.29779e-05
217	0.1275	242.939	179.742	0.000168534	7.24434e-05
218	0.1275	237.672	176.586	0.000166971	7.21349e-05
219	0.1275	243.251	181.266	0.000176976	7.36111e-05
220	0.1275	232.73	171.801	0.000156692	7.05673e-05
221	0.1275	238.389	177.294	0.000170234	7.26261e-05
222	0.1275	241.978	180.529	0.000176953	7.35888e-05
223	0.1275	237.717	176.018	0.000162145	7.14776e-05
224	0.1275	244.29	182.76	0.000182609	7.43172e-05
225	0.1275	238.148	176.83	0.000167807	7.22846e-05
