Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0021	395.195	295.088	0.000407165	8.7862e-05
1	0.0021	415.134	307.349	0.000405567	8.78124e-05
2	0.0021	401.158	298.564	0.000404139	8.77838e-05
3	0.0021	432.366	318.032	0.000405764	8.78921e-05
4	0.0021	400.927	298.452	0.000404155	8.77854e-05
5	0.0021	412.622	305.724	0.00040431	8.78165e-05
6	0.0021	419.451	310.389	0.0004082	8.79504e-05
7	0.0021	415.251	307.649	0.000408927	8.79603e-05
8	0.0021	416.872	308.861	0.000409626	8.79362e-05
9	0.0021	385.126	288.768	0.000407867	8.78473e-05
10	0.0021	412.263	305.856	0.000407695	8.7879e-05
11	0.0021	411.186	305.325	0.000408832	8.79537e-05
12	0.0021	399.777	298.106	0.000407043	8.78497e-05
13	0.0021	405.074	301.583	0.00040918	8.79171e-05
14	0.0021	431.464	317.232	0.000402756	8.77891e-05
15	0.0021	410.246	304.402	0.000406557	8.78464e-05
16	0.0021	403.892	300.59	0.000410019	8.78432e-05
17	0.0021	423.148	312.745	0.000409331	8.79928e-05
18	0.0021	407.863	302.799	0.000404493	8.78042e-05
19	0.0021	407.019	302.361	0.000405222	8.78345e-05
20	0.0021	410.586	304.252	0.000406597	8.78601e-05
21	0.0021	412.996	306.356	0.000407632	8.79099e-05
22	0.0021	401.049	298.482	0.000403362	8.77714e-05
23	0.0021	405.05	300.399	0.00039927	8.75919e-05
24	0.0021	410.611	303.981	0.000402547	8.77568e-05
25	0.0021	398.662	297.034	0.000404974	8.77519e-05
26	0.0021	428.672	315.821	0.00040642	8.78986e-05
27	0.0021	400.866	297.664	0.000402124	8.77143e-05
28	0.0021	411.641	305.648	0.000408582	8.79484e-05
29	0.0021	411.893	305.695	0.000408167	8.7934e-05
30	0.0021	400.174	298.296	0.000406424	8.7855e-05
31	0.0021	392.69	293.416	0.000405987	8.77822e-05
32	0.0021	377.143	283.402	0.000405206	8.77185e-05
33	0.0021	406.573	302.029	0.000405074	8.78201e-05
34	0.0021	392.882	293.308	0.000405134	8.77863e-05
35	0.0021	414.203	306.826	0.000405235	8.78263e-05
36	0.0021	406.428	301.437	0.000400918	8.76921e-05
37	0.0021	398.398	297.081	0.000405729	8.77959e-05
38	0.0021	407.122	302.247	0.00040022	8.76956e-05
39	0.0021	419.969	310.408	0.000405386	8.7853e-05
40	0.0021	418.247	309.154	0.000405581	8.78577e-05
41	0.0021	403.537	300.44	0.00040797	8.79105e-05
42	0.0021	401.775	298.85	0.000403249	8.77584e-05
43	0.0021	398.207	297.138	0.000408818	8.79211e-05
44	0.0021	417.845	308.958	0.000403914	8.78059e-05
45	0.0021	411.868	305.736	0.000408635	8.79327e-05
46	0.0021	400.945	298.622	0.000405938	8.78225e-05
47	0.0021	423.434	312.695	0.000406365	8.78968e-05
48	0.0021	399.409	297.696	0.000406592	8.78571e-05
49	0.0021	409.315	303.527	0.000402597	8.77483e-05
50	0.0021	423.595	312.741	0.00040619	8.78941e-05
51	0.0021	422.09	311.714	0.000405576	8.78731e-05
52	0.0021	394.722	294.792	0.000407054	8.7851e-05
53	0.0021	395.33	295.232	0.000408286	8.78539e-05
54	0.0021	421.476	311.537	0.000407067	8.79188e-05
55	0.0021	389.382	291.227	0.000405039	8.77817e-05
56	0.0021	404.076	300.976	0.000409668	8.79614e-05
57	0.0021	431.063	318.238	0.000413875	8.79357e-05
58	0.0021	414.261	306.692	0.000404452	8.78122e-05
59	0.0021	412.613	305.799	0.000400459	8.77058e-05
60	0.0021	401.859	299.355	0.000407641	8.78918e-05
61	0.0021	414.689	307.161	0.000405884	8.78689e-05
62	0.0021	406.181	302.171	0.000407569	8.79076e-05
63	0.0021	398.627	297.345	0.000407971	8.78942e-05
64	0.0021	439.437	322.04	0.000402728	8.78127e-05
65	0.0021	404.451	301.022	0.000407615	8.79007e-05
66	0.0021	403.096	299.875	0.000408678	8.79318e-05
67	0.0021	404.532	300.887	0.000406182	8.78525e-05
