Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.7529	384.14	287.777	0.000405839	8.76063e-05
1	0.7529	389.822	291.41	0.000407416	8.7759e-05
2	0.7529	392.209	292.359	0.000394611	8.74674e-05
3	0.7529	392.756	293.07	0.000403999	8.76702e-05
4	0.7529	399.938	297.719	0.000406089	8.77748e-05
5	0.7529	392.413	293.12	0.000407123	8.77279e-05
6	0.7529	366.086	275.897	0.000403474	8.74935e-05
7	0.7529	395.743	295.19	0.000408181	8.77701e-05
8	0.7529	394.738	294.299	0.000405454	8.77249e-05
9	0.7529	391.646	292.209	0.000401559	8.76144e-05
10	0.7529	392.378	293.71	0.000413623	8.77588e-05
11	0.7529	383.71	287.109	0.000404332	8.76828e-05
12	0.7529	391.24	292.335	0.000406229	8.76704e-05
13	0.7529	385.042	288.559	0.000409413	8.76973e-05
14	0.7529	409.512	303.264	0.000401495	8.76995e-05
15	0.7529	385.382	288.197	0.000401233	8.76223e-05
16	0.7529	387.668	289.997	0.000406755	8.76735e-05
17	0.7529	384.982	288.171	0.000405194	8.76378e-05
18	0.7529	376.674	282.841	0.000403038	8.75317e-05
19	0.7529	386.947	289.232	0.000394915	8.73643e-05
20	0.7529	385.433	288.47	0.00040261	8.76319e-05
21	0.7529	383.995	287.834	0.00040709	8.76934e-05
22	0.7529	394.414	293.813	0.000402124	8.76173e-05
23	0.7529	395.725	295.758	0.000412307	8.77841e-05
24	0.7529	387.197	290.013	0.0004107	8.77165e-05
25	0.7529	385.426	288.22	0.000399481	8.75042e-05
26	0.7529	378.633	284.391	0.000409383	8.76366e-05
27	0.7529	363.449	273.911	0.000400419	8.74686e-05
28	0.7529	395.436	294.606	0.000401779	8.76846e-05
29	0.7529	382.828	286.316	0.000396654	8.74929e-05
30	0.7529	374.536	281.566	0.000406784	8.76585e-05
31	0.7529	389.086	290.66	0.000397521	8.74859e-05
32	0.7529	388.199	290.168	0.000405456	8.76815e-05
33	0.7529	397.192	295.821	0.000404171	8.77482e-05
34	0.7529	389.431	291.114	0.000403285	8.75878e-05
35	0.7529	391.77	292.463	0.000405815	8.77332e-05
36	0.7529	385.998	288.541	0.000397277	8.74715e-05
37	0.7529	388.603	289.613	0.000381236	8.70084e-05
38	0.7529	393.939	293.807	0.000402824	8.7696e-05
39	0.7529	387.49	290.038	0.000407962	8.7732e-05
40	0.7529	389.854	291.204	0.000402915	8.76624e-05
41	0.7529	395.13	295.604	0.000414308	8.77054e-05
42	0.7529	385.002	287.7	0.000395347	8.74496e-05
43	0.7529	380.723	285.639	0.000403747	8.75464e-05
44	0.7529	393.147	293.26	0.000400601	8.75601e-05
45	0.7529	389.783	291.502	0.000409045	8.77992e-05
46	0.7529	395.923	295.29	0.000407923	8.77152e-05
47	0.7529	391.127	292.184	0.000406548	8.77504e-05
48	0.7529	397.031	295.659	0.000402562	8.76431e-05
49	0.7529	393.207	292.96	0.000392348	8.737e-05
50	0.7529	385.67	288.438	0.000398286	8.74639e-05
51	0.7529	396.268	295.237	0.000404539	8.7715e-05
52	0.7529	395.228	294.75	0.00040788	8.77278e-05
53	0.7529	386.991	289.668	0.000408099	8.77324e-05
54	0.7529	382.756	285.966	0.000378643	8.68916e-05
55	0.7529	387.125	290.323	0.000413109	8.77637e-05
56	0.7529	386.363	288.856	0.000402219	8.76166e-05
57	0.7529	384.076	287.247	0.000403809	8.76928e-05
58	0.7529	385.559	288.319	0.000402512	8.76234e-05
59	0.7529	390.249	291.378	0.000404073	8.76914e-05
60	0.7529	388.714	290.784	0.000402138	8.75149e-05
61	0.7529	402.005	298.921	0.000405284	8.77806e-05
62	0.7529	379.621	284.779	0.000405633	8.76694e-05
63	0.7529	394.08	294.072	0.000408418	8.775e-05
64	0.7529	399.109	297.049	0.000402783	8.76764e-05
65	0.7529	385.284	288.42	0.000406898	8.76707e-05
66	0.7529	398	296.976	0.000409368	8.77952e-05
67	0.7529	388.257	290.63	0.00040853	8.76515e-05
68	0.7529	395.476	295.129	0.000403084	8.75802e-05
69	0.7529	391.923	292.831	0.000407757	8.77756e-05
70	0.7529	386.766	289.191	0.000398506	8.75171e-05
71	0.7529	397.38	296.158	0.000403748	8.76587e-05
72	0.7529	380.021	285.391	0.000402942	8.73852e-05
73	0.7529	396.1	294.612	0.000396633	8.75212e-05
74	0.7529	380.845	285.328	0.00040198	8.75873e-05
