Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.7037	268.568	207.801	0.000369611	8.5715e-05
1	0.7037	268.73	207.938	0.000369661	8.57258e-05
2	0.7037	268.725	207.929	0.000369562	8.57258e-05
3	0.7037	268.334	207.588	0.000369169	8.57044e-05
4	0.7037	268.53	207.761	0.000369327	8.57164e-05
5	0.7037	268.917	208.078	0.000369718	8.57333e-05
6	0.7037	268.707	207.886	0.000369453	8.5724e-05
7	0.7037	268.668	207.799	0.000369547	8.57167e-05
8	0.7037	268.463	207.582	0.000369119	8.57012e-05
9	0.7037	268.833	208.026	0.000370143	8.57224e-05
10	0.7037	269.045	208.187	0.00036987	8.57406e-05
11	0.7037	267.783	207.12	0.000368623	8.5676e-05
12	0.7037	268.391	207.66	0.000369844	8.56948e-05
13	0.7037	268.532	207.76	0.000369301	8.57145e-05
14	0.7037	268.578	207.802	0.000369428	8.57188e-05
15	0.7037	268.871	207.939	0.000369609	8.57283e-05
16	0.7037	268.447	207.692	0.0003694	8.57101e-05
17	0.7037	268.519	207.669	0.000369148	8.57032e-05
18	0.7037	268.13	207.413	0.000368997	8.56953e-05
19	0.7037	268.08	207.38	0.000369072	8.56907e-05
20	0.7037	268.217	207.466	0.000369027	8.56969e-05
21	0.7037	268.479	207.757	0.000370122	8.56998e-05
22	0.7037	268.122	207.361	0.000369659	8.56761e-05
23	0.7037	268.77	207.924	0.000370073	8.57164e-05
24	0.7037	268.79	207.981	0.00036969	8.57289e-05
25	0.7037	268.029	207.33	0.000368897	8.56885e-05
26	0.7037	268.817	208.024	0.000370527	8.57152e-05
27	0.7037	268.303	207.558	0.000369172	8.57041e-05
28	0.7037	268.984	207.977	0.000369621	8.5731e-05
29	0.7037	268.638	207.854	0.00036946	8.57162e-05
30	0.7037	268.464	207.69	0.000369827	8.57014e-05
31	0.7037	268.329	207.578	0.000369265	8.5702e-05
32	0.7037	268.37	207.613	0.000369325	8.57062e-05
33	0.7037	268.044	207.35	0.000369037	8.56876e-05
34	0.7037	268.392	207.655	0.000369526	8.57036e-05
35	0.7037	268.501	207.657	0.00036942	8.57052e-05
36	0.7037	268.536	207.756	0.000369391	8.57163e-05
37	0.7037	268.879	207.994	0.000369526	8.57248e-05
38	0.7037	268.565	207.79	0.000369421	8.57188e-05
39	0.7037	268.165	207.444	0.000368902	8.5695e-05
40	0.7037	268.099	207.355	0.000368909	8.56899e-05
41	0.7037	268.133	207.402	0.000368969	8.56923e-05
42	0.7037	268.912	208.093	0.000369807	8.57344e-05
43	0.7037	267.809	207.139	0.000368629	8.56762e-05
44	0.7037	268.645	207.83	0.000369383	8.57179e-05
45	0.7037	267.778	207.105	0.000368492	8.56704e-05
46	0.7037	268.353	207.608	0.00036921	8.57068e-05
47	0.7037	267.269	206.685	0.000368268	8.56477e-05
48	0.7037	268.441	207.703	0.000369784	8.57025e-05
49	0.7037	268.486	207.708	0.000369404	8.57086e-05
50	0.7037	267.592	206.927	0.000368386	8.56614e-05
51	0.7037	268.595	207.793	0.000369432	8.572e-05
52	0.7037	268.723	207.913	0.0003697	8.57236e-05
53	0.7037	266.618	206.113	0.000367436	8.56117e-05
54	0.7037	268.386	207.598	0.000369095	8.57015e-05
55	0.7037	269.052	208.168	0.000369804	8.57381e-05
56	0.7037	268.634	207.761	0.000369545	8.57144e-05
57	0.7037	268.716	207.914	0.000369517	8.57249e-05
58	0.7037	268.399	207.656	0.000369407	8.57078e-05
59	0.7037	269.018	208.154	0.000370237	8.57294e-05
60	0.7037	268.569	207.781	0.00036944	8.57185e-05
61	0.7037	267.938	207.227	0.000368957	8.56798e-05
62	0.7037	268.568	207.797	0.000369466	8.57179e-05
63	0.7037	268.652	207.733	0.000369167	8.57013e-05
64	0.7037	268.095	207.398	0.000369135	8.5691e-05
65	0.7037	267.556	206.862	0.000368209	8.56536e-05
66	0.7037	268.626	207.833	0.000369421	8.57173e-05
67	0.7037	266.955	206.42	0.000368065	8.56265e-05
68	0.7037	268.137	207.42	0.000369037	8.56941e-05
69	0.7037	268.537	207.736	0.000369361	8.5715e-05
70	0.7037	268.468	207.677	0.000369435	8.57068e-05
71	0.7037	268.323	207.595	0.000369429	8.57026e-05
72	0.7037	268.303	207.579	0.000369506	8.56937e-05
73	0.7037	267.996	207.304	0.000368903	8.56887e-05
74	0.7037	268.688	207.882	0.000369579	8.57189e-05
75	0.7037	267.491	206.849	0.000368328	8.56583e-05
76	0.7037	268.51	207.715	0.000369132	8.57079e-05
77	0.7037	269.687	208.643	0.000370271	8.57583e-05
78	0.7037	268.071	207.332	0.000368895	8.56897e-05
79	0.7037	268.549	207.78	0.000369441	8.57181e-05
80	0.7037	267.536	206.891	0.000368382	8.56614e-05
81	0.7037	268.953	208.106	0.000369894	8.57331e-05
82	0.7037	267.832	207.107	0.000368688	8.5676e-05
83	0.7037	267.774	207.109	0.000368699	8.56753e-05
84	0.7037	268.055	207.358	0.000368993	8.56914e-05
85	0.7037	268.608	207.879	0.000371055	8.56898e-05
86	0.7037	267.658	207.011	0.000368607	8.56642e-05
87	0.7037	268.53	207.551	0.000369165	8.57046e-05
88	0.7037	268.475	207.696	0.000369343	8.57135e-05
89	0.7037	268.759	207.929	0.000369697	8.57239e-05
90	0.7037	268.405	207.642	0.000369252	8.57095e-05
91	0.7037	268.54	207.753	0.000369124	8.5708e-05
92	0.7037	268.798	207.981	0.000369804	8.57255e-05
93	0.7037	268.673	207.897	0.000369835	8.57195e-05
94	0.7037	268.505	207.724	0.000369414	8.57115e-05
95	0.7037	268.918	208.098	0.000369874	8.57372e-05
96	0.7037	267.944	207.253	0.000368713	8.56818e-05
97	0.7037	266.558	206.045	0.000367457	8.56044e-05
98	0.7037	268.951	208.068	0.000369732	8.57293e-05
99	0.7037	268.457	207.701	0.000369324	8.57131e-05
100	0.7037	268.769	207.973	0.000369772	8.57275e-05
101	0.7037	267.501	206.849	0.000368361	8.566e-05
102	0.7037	268.265	207.526	0.000369125	8.57013e-05
103	0.7037	268.934	208.084	0.000369776	8.57346e-05
104	0.7037	268.793	208.009	0.000370112	8.57232e-05
105	0.7037	269.075	208.192	0.000369817	8.57408e-05
106	0.7037	268.492	207.695	0.000369468	8.57095e-05
107	0.7037	268.71	207.846	0.000369402	8.57136e-05
108	0.7037	268.283	207.536	0.000369182	8.57032e-05
109	0.7037	268.06	207.378	0.000369261	8.56867e-05
110	0.7037	269.348	208.362	0.000369886	8.57446e-05
111	0.7037	268.366	207.711	0.000371328	8.56664e-05
112	0.7037	268.775	207.97	0.000369659	8.57303e-05
