Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	2.5604	312.232	237.768	0.000328572	8.47943e-05
1	2.5604	319.422	242.508	0.000315193	8.42845e-05
2	2.5604	342.44	259.594	0.000364501	8.63693e-05
3	2.5604	316.624	239.58	0.00029455	8.33959e-05
4	2.5604	314.091	238.109	0.000302857	8.37732e-05
5	2.5604	310.41	235.329	0.000296631	8.34516e-05
6	2.5604	315.856	241.703	0.000372918	8.63615e-05
7	2.5604	328.565	249.405	0.000341621	8.54765e-05
8	2.5604	323.906	245.21	0.000315262	8.43933e-05
9	2.5604	320.949	243.743	0.00032672	8.4853e-05
10	2.5604	306.09	234.528	0.0003542	8.55708e-05
11	2.5604	315.799	239.55	0.000307219	8.39644e-05
12	2.5604	332.411	250.383	0.000294425	8.3508e-05
13	2.5604	334.504	254.191	0.000364543	8.63019e-05
14	2.5604	325.462	246.387	0.000319043	8.45421e-05
15	2.5604	292.712	222.621	0.000285804	8.27668e-05
16	2.5604	315.452	239.318	0.000307596	8.39838e-05
17	2.5604	317.505	241.221	0.000322697	8.46606e-05
18	2.5604	311.129	236.741	0.000321361	8.45567e-05
19	2.5604	316.469	240.8	0.000328796	8.48467e-05
20	2.5604	324.883	247.062	0.000353263	8.58598e-05
21	2.5604	309.204	233.931	0.000281746	8.27041e-05
22	2.5604	351.776	265.126	0.0003416	8.56304e-05
23	2.5604	330.134	249.913	0.000324676	8.48275e-05
24	2.5604	310.193	236.306	0.000328985	8.48295e-05
25	2.5604	308.966	235.023	0.000316405	8.43271e-05
26	2.5604	317.681	241.788	0.000328911	8.47788e-05
27	2.5604	307.034	234.123	0.00032976	8.48518e-05
28	2.5604	333.135	252.188	0.00033002	8.50699e-05
29	2.5604	312.14	236.602	0.000298268	8.35431e-05
30	2.5604	324.27	246.528	0.000346246	8.56049e-05
31	2.5604	306.339	233.266	0.000318689	8.44021e-05
32	2.5604	321.001	242.451	0.000288812	8.31552e-05
33	2.5604	322.678	244.405	0.0003133	8.4297e-05
34	2.5604	316.693	239.804	0.000295708	8.34409e-05
35	2.5604	323.932	246.613	0.000353479	8.58664e-05
36	2.5604	296.218	225.999	0.000311743	8.39882e-05
37	2.5604	309.319	235.96	0.000337317	8.51657e-05
38	2.5604	313.122	237.773	0.000310983	8.41019e-05
39	2.5604	313.692	239.407	0.000349678	8.56523e-05
40	2.5604	311.802	235.973	0.000286992	8.29929e-05
