Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	2.5032	263.373	203.007	0.000337423	8.46007e-05
1	2.5032	262.575	202.546	0.000350285	8.49396e-05
2	2.5032	262.631	202.288	0.000330698	8.43058e-05
3	2.5032	262.309	202.131	0.000341845	8.47232e-05
4	2.5032	269.331	207.604	0.000353722	8.52278e-05
5	2.5032	262.442	202.145	0.000335685	8.4511e-05
6	2.5032	265.576	204.9	0.000348571	8.49961e-05
7	2.5032	266.131	204.959	0.00034452	8.48371e-05
8	2.5032	264.505	204.409	0.000363657	8.53262e-05
9	2.5032	263.743	203.022	0.000329208	8.43111e-05
10	2.5032	263.183	202.898	0.000338429	8.46322e-05
11	2.5032	267.627	206.202	0.000338013	8.46891e-05
12	2.5032	265.362	204.859	0.000345043	8.48832e-05
13	2.5032	265.835	205.231	0.000353049	8.51647e-05
14	2.5032	262.301	202.361	0.000345967	8.47027e-05
15	2.5032	258.095	198.082	0.00030363	8.31838e-05
16	2.5032	265.994	205.465	0.000357098	8.52883e-05
17	2.5032	262.559	201.933	0.000322393	8.40288e-05
18	2.5032	264.089	203.823	0.000350648	8.50379e-05
19	2.5032	261.676	201.528	0.000336134	8.44847e-05
20	2.5032	264.132	203.836	0.000354713	8.51763e-05
21	2.5032	263.156	203.195	0.000345529	8.46388e-05
22	2.5032	262.833	202.653	0.000343739	8.48003e-05
23	2.5032	264.533	204.264	0.000352651	8.50688e-05
24	2.5032	261.184	200.622	0.000315668	8.3716e-05
25	2.5032	266.927	206.02	0.000350257	8.50508e-05
26	2.5032	263.899	203.678	0.000351471	8.50188e-05
27	2.5032	262.122	201.909	0.000333451	8.44338e-05
28	2.5032	261.474	201.553	0.000350672	8.49776e-05
29	2.5032	262.664	202.453	0.000339819	8.46681e-05
30	2.5032	268.535	207.075	0.000358509	8.53417e-05
31	2.5032	265.488	205.021	0.000352605	8.51414e-05
32	2.5032	263.638	203.316	0.000342939	8.47949e-05
33	2.5032	265.515	204.931	0.000348506	8.49612e-05
34	2.5032	265.373	204.792	0.000347785	8.49027e-05
35	2.5032	265.781	205.136	0.000351686	8.5108e-05
36	2.5032	263.872	203.414	0.000333372	8.44793e-05
37	2.5032	261.946	201.736	0.000329527	8.42849e-05
38	2.5032	260.281	200.125	0.000333933	8.43795e-05
39	2.5032	261.054	200.803	0.000319432	8.38805e-05
40	2.5032	263.317	202.994	0.000340057	8.46645e-05
41	2.5032	264.76	204.26	0.000350043	8.50116e-05
42	2.5032	262.187	202.047	0.000336966	8.45276e-05
43	2.5032	263.732	203.492	0.000350115	8.5024e-05
44	2.5032	264.594	204.126	0.000357247	8.52275e-05
45	2.5032	261.011	201.025	0.000330511	8.42409e-05
46	2.5032	258.965	198.728	0.000300808	8.30719e-05
47	2.5032	262.172	201.942	0.000332419	8.43996e-05
48	2.5032	261.9	201.702	0.000331823	8.43634e-05
49	2.5032	265.709	205.158	0.000356977	8.52791e-05
50	2.5032	266.904	206.244	0.000356541	8.52333e-05
51	2.5032	265.451	204.753	0.000342124	8.48064e-05
52	2.5032	264.882	204.503	0.00036005	8.53482e-05
53	2.5032	262.425	202.293	0.000344935	8.48281e-05
54	2.5032	261.772	201.645	0.000339259	8.46199e-05
55	2.5032	262.716	202.43	0.000339838	8.46549e-05
56	2.5032	261.715	201.475	0.000333387	8.44138e-05
57	2.5032	260.544	200.068	0.000307061	8.33771e-05
58	2.5032	264.326	203.65	0.000332812	8.44542e-05
59	2.5032	261.988	201.846	0.000337074	8.45591e-05
60	2.5032	264.324	203.867	0.000343673	8.48298e-05
61	2.5032	261.524	201.528	0.000341453	8.46762e-05
62	2.5032	263.434	203.174	0.000347701	8.49314e-05
63	2.5032	265.284	204.649	0.000339715	8.46817e-05
64	2.5032	265.595	205.117	0.000362962	8.54508e-05
65	2.5032	260.922	200.989	0.000343169	8.47254e-05
66	2.5032	264.539	204.113	0.000346852	8.49248e-05
67	2.5032	263.166	202.849	0.000345114	8.48147e-05
68	2.5032	265.136	204.715	0.000357182	8.52737e-05
69	2.5032	264.127	203.596	0.00033767	8.46273e-05
70	2.5032	265.505	204.814	0.000347429	8.49737e-05
71	2.5032	265.597	205.1	0.000352803	8.50572e-05
72	2.5032	265.214	204.756	0.000352736	8.51385e-05
73	2.5032	266.855	206.158	0.00035588	8.52661e-05
