Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0106	278.138	214.831	0.00037358	8.598e-05
1	0.0106	283.965	218.861	0.000368563	8.59088e-05
2	0.0106	282.778	217.901	0.000362532	8.57007e-05
3	0.0106	276.657	213.731	0.000372485	8.59055e-05
4	0.0106	278.042	214.649	0.000371298	8.59179e-05
5	0.0106	273.209	211.167	0.000368618	8.57621e-05
6	0.0106	274.819	212.453	0.000372882	8.59103e-05
7	0.0106	274.255	211.832	0.00036725	8.57417e-05
8	0.0106	274.002	211.773	0.000372831	8.59008e-05
9	0.0106	278.666	215.101	0.00037075	8.59015e-05
10	0.0106	276.309	213.511	0.000373784	8.59422e-05
11	0.0106	285.14	219.89	0.000379064	8.6239e-05
12	0.0106	282.716	218.299	0.000379081	8.6122e-05
13	0.0106	271.307	209.829	0.000369713	8.5757e-05
14	0.0106	277.746	214.387	0.000366597	8.577e-05
15	0.0106	280.334	216.424	0.000374579	8.60274e-05
16	0.0106	275.959	213.19	0.000369532	8.58333e-05
17	0.0106	272	210.282	0.000366863	8.56681e-05
18	0.0106	275.784	212.954	0.000366958	8.57495e-05
19	0.0106	280.035	216.074	0.000370992	8.59366e-05
20	0.0106	278.779	215.291	0.000375516	8.60506e-05
21	0.0106	275.585	212.986	0.000372723	8.59098e-05
22	0.0106	286.206	220.698	0.000377465	8.62049e-05
23	0.0106	275.169	212.168	0.000353271	8.53237e-05
24	0.0106	279.437	215.582	0.000367161	8.58072e-05
25	0.0106	273.944	211.76	0.000370964	8.58158e-05
26	0.0106	270.616	209.3	0.000368371	8.57185e-05
27	0.0106	282.758	218.073	0.000371902	8.59906e-05
28	0.0106	273.366	211.14	0.000360847	8.54756e-05
29	0.0106	271.876	210.144	0.000366755	8.56913e-05
30	0.0106	276.102	213.267	0.000369998	8.5847e-05
31	0.0106	277.578	214.21	0.00036642	8.57613e-05
32	0.0106	282.642	218.045	0.000373245	8.60178e-05
33	0.0106	279.97	215.825	0.000361292	8.56402e-05
34	0.0106	274.306	211.772	0.000360372	8.553e-05
35	0.0106	283.094	218.448	0.000374497	8.60065e-05
36	0.0106	272.598	210.56	0.000361224	8.55221e-05
37	0.0106	276.369	213.499	0.00037283	8.59216e-05
38	0.0106	282.007	217.609	0.000373797	8.60284e-05
39	0.0106	276.407	213.523	0.000373962	8.59652e-05
40	0.0106	274.586	212.306	0.00037396	8.59114e-05
41	0.0106	278.681	215.235	0.00037176	8.58774e-05
42	0.0106	281.015	216.838	0.000370785	8.59287e-05
43	0.0106	276.207	213.39	0.000372288	8.58614e-05
44	0.0106	286.098	220.617	0.000375447	8.61185e-05
45	0.0106	277.329	214.303	0.000375192	8.59973e-05
46	0.0106	285.058	219.702	0.000371512	8.60143e-05
47	0.0106	282.002	217.539	0.000372527	8.6003e-05
48	0.0106	278.267	214.719	0.000365292	8.57495e-05
49	0.0106	272.863	210.717	0.000361818	8.55624e-05
50	0.0106	273.635	211.574	0.000372807	8.58808e-05
51	0.0106	272.521	210.661	0.000366568	8.56645e-05
52	0.0106	277.022	213.839	0.000364123	8.56814e-05
53	0.0106	275.647	212.824	0.000365776	8.57148e-05
54	0.0106	278.085	214.744	0.000369395	8.58273e-05
55	0.0106	279.446	215.834	0.000376464	8.60664e-05
56	0.0106	275.759	213.014	0.000369679	8.58252e-05
57	0.0106	280.942	216.773	0.000370904	8.59172e-05
58	0.0106	274.09	211.932	0.000373458	8.58974e-05
59	0.0106	276.575	213.566	0.000367724	8.57944e-05
60	0.0106	276.131	213.289	0.000369865	8.58515e-05
61	0.0106	278.476	215.117	0.000375541	8.60416e-05
62	0.0106	282.708	218.129	0.000376161	8.61118e-05
63	0.0106	275.156	212.404	0.000361401	8.55773e-05
64	0.0106	282.158	217.664	0.000373046	8.60201e-05
65	0.0106	285.622	220.283	0.000377326	8.61779e-05
66	0.0106	273.314	211.234	0.00037031	8.58123e-05
67	0.0106	274.587	212.206	0.000371911	8.58874e-05
68	0.0106	283.381	218.585	0.00037378	8.60384e-05
69	0.0106	276.382	213.511	0.000370678	8.58257e-05
70	0.0106	270.473	208.921	0.000359197	8.54491e-05
71	0.0106	275.566	212.979	0.000373236	8.59203e-05
72	0.0106	276.706	213.784	0.000373398	8.59523e-05
73	0.0106	276.867	213.708	0.00036522	8.57176e-05
74	0.0106	273.788	211.589	0.000370883	8.5822e-05
75	0.0106	274.637	212.171	0.000370679	8.58502e-05
76	0.0106	280.673	216.777	0.000376063	8.60148e-05
77	0.0106	275.37	212.701	0.000369483	8.58216e-05
78	0.0106	281.43	217.205	0.000377119	8.61157e-05
79	0.0106	275.6	212.674	0.00036186	8.55968e-05
80	0.0106	287.775	221.802	0.000379863	8.62844e-05
81	0.0106	279.163	215.642	0.000376082	8.60641e-05
82	0.0106	292.28	225.09	0.000381287	8.63595e-05
83	0.0106	277.918	214.626	0.000375139	8.60189e-05
84	0.0106	278.925	215.239	0.000365591	8.5728e-05
85	0.0106	283.894	218.81	0.000367688	8.58865e-05
86	0.0106	277.423	214.233	0.000371249	8.5911e-05
87	0.0106	276.439	213.414	0.000367043	8.57636e-05
88	0.0106	277.218	213.856	0.000360964	8.55884e-05
89	0.0106	281.345	216.849	0.000362264	8.56789e-05
90	0.0106	274.444	211.997	0.000367774	8.57503e-05
91	0.0106	274.149	211.793	0.000367131	8.5738e-05
92	0.0106	277.127	214.098	0.000373817	8.59708e-05
93	0.0106	278.316	214.946	0.000374642	8.60077e-05
94	0.0106	272.837	210.888	0.00036872	8.57604e-05
95	0.0106	276.5	213.607	0.00037005	8.58267e-05
96	0.0106	269.597	208.508	0.00036581	8.56354e-05
97	0.0106	277.965	214.612	0.000371605	8.59181e-05
98	0.0106	277.169	214.089	0.000372989	8.59431e-05
99	0.0106	281.542	217.269	0.000372299	8.59697e-05
100	0.0106	280.554	216.706	0.000377978	8.60887e-05
101	0.0106	283.206	218.493	0.000376478	8.61409e-05
102	0.0106	285.37	220.001	0.000374585	8.61102e-05
103	0.0106	274.137	211.804	0.000366642	8.57097e-05
104	0.0106	271.448	209.893	0.000369236	8.57502e-05
