Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	3.5625	292.108	224.999	0.000382594	8.64341e-05
1	3.5625	287.487	221.742	0.000380393	8.63142e-05
2	3.5625	290.55	223.947	0.00038193	8.63969e-05
3	3.5625	286.703	221.223	0.000380057	8.6295e-05
4	3.5625	292.974	225.993	0.000383615	8.6483e-05
5	3.5625	290.597	224.022	0.000381846	8.63953e-05
6	3.5625	288.243	222.372	0.000380902	8.63401e-05
7	3.5625	286.467	221.155	0.000380109	8.62971e-05
8	3.5625	280.206	216.459	0.000376341	8.60984e-05
9	3.5625	290.11	223.665	0.00037961	8.63288e-05
10	3.5625	290.53	224.169	0.000382015	8.64052e-05
11	3.5625	295.492	227.664	0.000384646	8.65372e-05
12	3.5625	289.429	223.158	0.000381431	8.63688e-05
13	3.5625	287.576	221.975	0.000380675	8.6328e-05
14	3.5625	286.376	220.913	0.000379933	8.62746e-05
15	3.5625	293.082	225.854	0.000383392	8.64717e-05
16	3.5625	291.427	224.718	0.000382614	8.64317e-05
17	3.5625	290.234	223.616	0.000381277	8.63727e-05
18	3.5625	293.629	226.341	0.000383736	8.64916e-05
19	3.5625	283.192	218.704	0.000378029	8.61907e-05
20	3.5625	289.459	223.397	0.000381753	8.63843e-05
21	3.5625	287.097	221.611	0.000380412	8.63131e-05
22	3.5625	288.71	222.878	0.00038139	8.63648e-05
23	3.5625	287.457	221.77	0.00038053	8.63161e-05
24	3.5625	289.9	223.631	0.000381842	8.63899e-05
25	3.5625	287.044	221.595	0.00038041	8.63129e-05
26	3.5625	290.994	224.335	0.000382293	8.64142e-05
27	3.5625	288.593	222.602	0.000381028	8.63485e-05
28	3.5625	287.09	221.761	0.000380509	8.63197e-05
29	3.5625	285.406	220.465	0.000379583	8.62678e-05
30	3.5625	288.242	222.594	0.000381321	8.63544e-05
31	3.5625	290.129	223.92	0.000382223	8.64043e-05
32	3.5625	286.498	221.164	0.000380116	8.62945e-05
33	3.5625	285.624	220.656	0.000379801	8.62791e-05
34	3.5625	288.545	222.534	0.000380935	8.63431e-05
35	3.5625	288.697	222.768	0.000380988	8.63512e-05
36	3.5625	287.59	221.978	0.000380704	8.63266e-05
37	3.5625	288.569	222.686	0.000380969	8.63465e-05
38	3.5625	288.691	222.744	0.000381108	8.63536e-05
39	3.5625	289.29	223.375	0.000381792	8.63859e-05
40	3.5625	285.057	220.015	0.000379182	8.62477e-05
41	3.5625	289.119	223.211	0.000381623	8.63771e-05
42	3.5625	284.704	219.714	0.000378889	8.62331e-05
43	3.5625	298.108	229.461	0.000380922	8.64709e-05
44	3.5625	290.767	224.267	0.000382276	8.64115e-05
45	3.5625	291.39	224.58	0.000382441	8.64231e-05
46	3.5625	289.782	223.559	0.000380585	8.63559e-05
47	3.5625	288.712	222.826	0.000379759	8.63197e-05
48	3.5625	290.366	224.146	0.00038228	8.64122e-05
49	3.5625	289.457	223.301	0.000381759	8.63749e-05
50	3.5625	292.31	225.3	0.000382933	8.64491e-05
51	3.5625	288.965	223.039	0.000381464	8.63688e-05
52	3.5625	287.736	222.175	0.000380809	8.63351e-05
53	3.5625	294.095	226.817	0.000383975	8.65049e-05
54	3.5625	299.641	230.724	0.00038644	8.66423e-05
55	3.5625	286.404	221.138	0.000380102	8.62962e-05
56	3.5625	290.638	224.089	0.000382113	8.64059e-05
57	3.5625	287.758	221.879	0.00038016	8.63064e-05
58	3.5625	296.821	228.648	0.000385346	8.65772e-05
59	3.5625	286.045	220.833	0.000379767	8.62802e-05
60	3.5625	289.511	223.318	0.000381126	8.63667e-05
61	3.5625	289.8	223.623	0.000381845	8.63901e-05
62	3.5625	285.748	220.471	0.000379471	8.62642e-05
63	3.5625	288.739	222.642	0.000381017	8.63479e-05
64	3.5625	287.41	221.822	0.000380583	8.63218e-05
65	3.5625	288.891	222.796	0.000381181	8.63556e-05
66	3.5625	291.403	224.753	0.000382666	8.64344e-05
67	3.5625	291.369	224.712	0.000382701	8.64303e-05
68	3.5625	288.657	223.014	0.000380351	8.63411e-05
69	3.5625	293.535	226.323	0.000383791	8.64939e-05
70	3.5625	290.075	223.703	0.000381868	8.63843e-05
71	3.5625	294.191	226.579	0.000383714	8.64931e-05
72	3.5625	292.162	225.182	0.000382666	8.64395e-05
73	3.5625	290.454	224.077	0.000381944	8.6401e-05
74	3.5625	287.094	221.544	0.000380336	8.63098e-05
75	3.5625	282.761	218.289	0.00037775	8.61736e-05
76	3.5625	291.745	224.92	0.00038245	8.64289e-05
77	3.5625	288.02	222.103	0.000380662	8.63277e-05
78	3.5625	295.298	227.447	0.000384456	8.65307e-05
79	3.5625	294.566	226.845	0.000383989	8.65067e-05
80	3.5625	292.56	225.61	0.000382703	8.64512e-05
81	3.5625	290.122	223.709	0.000381676	8.63831e-05
82	3.5625	291.555	224.854	0.000382739	8.64379e-05
83	3.5625	288.195	222.285	0.000380784	8.63345e-05
84	3.5625	289.676	223.463	0.000381742	8.6385e-05
85	3.5625	290.296	223.889	0.000381903	8.63937e-05
86	3.5625	293.887	226.515	0.000384013	8.64955e-05
87	3.5625	287.661	221.977	0.000380652	8.63266e-05
88	3.5625	291.295	224.666	0.000382587	8.64296e-05
89	3.5625	295.384	228.28	0.000385526	8.65803e-05
90	3.5625	283.82	219.221	0.000378441	8.62119e-05
91	3.5625	282.533	218.399	0.000376102	8.61346e-05
92	3.5625	287.971	222.233	0.00038031	8.63199e-05
93	3.5625	294.239	226.646	0.000383892	8.6501e-05
94	3.5625	289.975	223.723	0.000381996	8.63951e-05
95	3.5625	284.75	219.842	0.000379179	8.62399e-05
96	3.5625	292.242	225.288	0.00038105	8.63991e-05
97	3.5625	286.87	221.34	0.000380136	8.62997e-05
98	3.5625	287.971	222.498	0.000381236	8.6355e-05
99	3.5625	293.493	226.265	0.000383316	8.64793e-05
100	3.5625	289.07	223.026	0.000381283	8.63633e-05
101	3.5625	288.381	222.63	0.000381088	8.63492e-05
102	3.5625	284.089	219.351	0.000378708	8.6223e-05
103	3.5625	279.996	216.278	0.0003763	8.60931e-05
104	3.5625	296.449	228.478	0.000385293	8.65737e-05
105	3.5625	286.911	221.587	0.000379663	8.62943e-05
106	3.5625	290.911	224.42	0.000382465	8.64234e-05
107	3.5625	293.363	226.174	0.000383637	8.64862e-05
108	3.5625	288.933	222.894	0.000381312	8.63617e-05
109	3.5625	292.782	225.752	0.000383363	8.64721e-05
110	3.5625	289.444	223.396	0.000381692	8.63831e-05
111	3.5625	290.171	223.873	0.000382061	8.64017e-05
112	3.5625	287.706	222.096	0.000380788	8.63334e-05
113	3.5625	285.312	220.291	0.000379441	8.62612e-05
114	3.5625	289.956	223.649	0.000381853	8.63913e-05
115	3.5625	286.947	221.446	0.000380209	8.63021e-05
116	3.5625	300.141	231.149	0.000387069	8.66685e-05
117	3.5625	289.617	223.43	0.000381732	8.63844e-05
118	3.5625	291.471	224.882	0.000382218	8.64252e-05
119	3.5625	288.416	222.536	0.000381064	8.63487e-05
120	3.5625	291.213	224.528	0.000382398	8.6422e-05
121	3.5625	290.326	223.754	0.00038181	8.63883e-05
122	3.5625	283.584	219.075	0.000378552	8.6213e-05
123	3.5625	288.484	222.584	0.00038104	8.63496e-05
124	3.5625	287.887	222.187	0.000380832	8.63354e-05
125	3.5625	284.602	219.783	0.000379031	8.62387e-05
126	3.5625	285.928	220.567	0.000379484	8.62653e-05
127	3.5625	298.917	230.213	0.00038639	8.66324e-05
128	3.5625	288.618	222.65	0.000381112	8.63517e-05
129	3.5625	291.106	224.617	0.000382603	8.64298e-05
130	3.5625	292.693	225.536	0.0003831	8.64585e-05
131	3.5625	291.405	224.883	0.000383073	8.64378e-05
132	3.5625	288.17	222.419	0.000381006	8.63454e-05
133	3.5625	290.798	224.277	0.000382357	8.64186e-05
134	3.5625	280.797	216.99	0.000376971	8.61278e-05
135	3.5625	288.407	222.418	0.00038099	8.63386e-05
136	3.5625	282.321	218.152	0.000377866	8.6175e-05
137	3.5625	288.216	222.596	0.00038127	8.63582e-05
138	3.5625	290.444	224.239	0.000382428	8.64197e-05
139	3.5625	289.153	223.016	0.000381333	8.63647e-05
140	3.5625	285.725	220.438	0.000379361	8.626e-05
141	3.5625	294.407	226.854	0.000384072	8.65101e-05
142	3.5625	292.398	225.394	0.000383072	8.64559e-05
143	3.5625	289.985	223.68	0.00038188	8.63929e-05
144	3.5625	289.398	223.548	0.000381636	8.63863e-05
145	3.5625	288.481	222.455	0.000380765	8.63376e-05
146	3.5625	290.933	224.361	0.000382347	8.64161e-05
147	3.5625	285.022	220.066	0.000379226	8.62505e-05
148	3.5625	288.329	222.408	0.00038088	8.63407e-05
149	3.5625	286.047	220.722	0.000379656	8.62747e-05
150	3.5625	288.813	222.96	0.000381453	8.63687e-05
151	3.5625	288.881	222.806	0.000381412	8.63553e-05
152	3.5625	295.025	227.165	0.000383923	8.65111e-05
153	3.5625	284.093	219.304	0.00037866	8.62202e-05
154	3.5625	286.792	221.479	0.00038038	8.63114e-05
155	3.5625	294.891	227.16	0.000384235	8.65197e-05
156	3.5625	292.392	225.476	0.000383139	8.64591e-05
157	3.5625	292.04	225.19	0.000382958	8.64507e-05
158	3.5625	293.114	225.931	0.000383434	8.6476e-05
159	3.5625	300.499	231.374	0.000387187	8.6675e-05
160	3.5625	289.34	223.273	0.000381475	8.6374e-05
161	3.5625	293.049	225.756	0.000383249	8.64674e-05
162	3.5625	285.912	220.728	0.000379778	8.62798e-05
163	3.5625	289.009	223.128	0.000381606	8.63769e-05
164	3.5625	289.196	223.09	0.000381429	8.6368e-05
165	3.5625	285.951	220.806	0.000379813	8.62821e-05
166	3.5625	290.587	224.056	0.00038211	8.64057e-05
167	3.5625	288.712	222.707	0.000381173	8.63545e-05
168	3.5625	290.031	223.91	0.000382154	8.64062e-05
169	3.5625	293.183	226.16	0.000383743	8.64892e-05
170	3.5625	288.813	222.916	0.000381407	8.6367e-05
171	3.5625	282.338	218.157	0.000377866	8.61797e-05
172	3.5625	290.406	223.966	0.000382078	8.64036e-05
173	3.5625	286.455	220.958	0.000379861	8.62832e-05
174	3.5625	291.347	224.72	0.000382676	8.64338e-05
175	3.5625	288.966	222.895	0.000381307	8.63628e-05
176	3.5625	286.932	221.432	0.000380242	8.63049e-05
177	3.5625	288.564	222.613	0.000381177	8.63469e-05
178	3.5625	288.757	222.751	0.000381152	8.63545e-05
179	3.5625	288.811	222.7	0.00038106	8.63506e-05
180	3.5625	288.857	222.816	0.00038113	8.63565e-05
181	3.5625	284.83	219.804	0.000378982	8.62384e-05
182	3.5625	287.123	221.592	0.000380339	8.63129e-05
183	3.5625	291.452	224.656	0.000382496	8.64244e-05
184	3.5625	284.206	219.348	0.000378655	8.62207e-05
185	3.5625	289.403	223.248	0.00038157	8.63764e-05
186	3.5625	289.025	223.116	0.00038157	8.63749e-05
187	3.5625	286.322	221.07	0.000379942	8.62936e-05
188	3.5625	287.965	222.192	0.000380484	8.63249e-05
189	3.5625	285.835	220.701	0.000379737	8.62783e-05
190	3.5625	295.516	227.701	0.000384581	8.65384e-05
191	3.5625	293.371	225.976	0.000383964	8.64635e-05
192	3.5625	287.939	222.078	0.000380614	8.63262e-05
193	3.5625	290.103	223.721	0.000381961	8.63898e-05
194	3.5625	291.213	224.503	0.000382368	8.64194e-05
195	3.5625	293.137	225.91	0.000382462	8.64499e-05
196	3.5625	289.388	223.164	0.000381468	8.63716e-05
197	3.5625	295.305	227.662	0.00038514	8.65392e-05
198	3.5625	291.36	224.618	0.000382499	8.64264e-05
199	3.5625	282.531	218.366	0.000378002	8.61839e-05
200	3.5625	284.746	219.761	0.00037896	8.62373e-05
201	3.5625	288.368	222.623	0.00038148	8.63495e-05
202	3.5625	291.623	224.811	0.000382684	8.64353e-05
203	3.5625	291.03	224.441	0.000382387	8.64203e-05
204	3.5625	290.476	224.064	0.000382085	8.64055e-05
205	3.5625	282.046	217.758	0.000377426	8.61551e-05
206	3.5625	286.639	221.375	0.000380332	8.63086e-05
207	3.5625	291.936	225.077	0.000382876	8.64464e-05
208	3.5625	289.747	223.49	0.000381747	8.63862e-05
209	3.5625	289.797	223.634	0.000382313	8.63741e-05
210	3.5625	290.896	224.428	0.000382433	8.64229e-05
211	3.5625	285.864	220.514	0.000379475	8.62654e-05
212	3.5625	288.658	222.657	0.00038108	8.63525e-05
213	3.5625	287.524	221.849	0.000380501	8.63204e-05
214	3.5625	289.95	223.528	0.000381702	8.63841e-05
215	3.5625	285.453	220.289	0.000379403	8.62592e-05
216	3.5625	287.802	222.244	0.000380975	8.63429e-05
217	3.5625	289.049	223.006	0.000381425	8.63687e-05
218	3.5625	290.248	223.823	0.000379422	8.63294e-05
219	3.5625	289.409	223.35	0.000381689	8.63827e-05
220	3.5625	289.239	222.973	0.00038123	8.63624e-05
221	3.5625	294.022	226.526	0.000383017	8.64756e-05
222	3.5625	287.242	221.521	0.000380222	8.63056e-05
223	3.5625	290.553	224.156	0.000382275	8.64134e-05
224	3.5625	289.622	223.368	0.000381649	8.63804e-05
225	3.5625	292.156	225.21	0.000382936	8.64495e-05
226	3.5625	286.756	221.357	0.000380254	8.63055e-05
227	3.5625	284.954	219.949	0.000379107	8.62448e-05
228	3.5625	288.463	222.639	0.00038108	8.63527e-05
229	3.5625	289.564	223.511	0.000381385	8.63764e-05
230	3.5625	286.023	220.806	0.000379839	8.62834e-05
231	3.5625	287.405	221.804	0.000380528	8.63202e-05
232	3.5625	291.07	224.425	0.000382382	8.64197e-05
233	3.5625	292.731	225.476	0.000383011	8.64553e-05
234	3.5625	291.396	224.783	0.000382707	8.64367e-05
235	3.5625	288.629	222.647	0.000380901	8.63453e-05
236	3.5625	290.421	223.949	0.000381963	8.64014e-05
237	3.5625	289.588	223.355	0.000381072	8.63642e-05
238	3.5625	294.959	227.283	0.000384578	8.65256e-05
239	3.5625	297.63	229.198	0.000385639	8.65934e-05
240	3.5625	304.775	234.258	0.000388928	8.67693e-05
241	3.5625	291.637	224.985	0.000382883	8.64458e-05
242	3.5625	289.046	223.078	0.000381509	8.63723e-05
243	3.5625	287.514	221.79	0.000380452	8.63174e-05
244	3.5625	291.941	225.214	0.000383054	8.64551e-05
245	3.5625	291.2	224.475	0.000380552	8.63716e-05
246	3.5625	294.241	226.763	0.000384116	8.65086e-05
247	3.5625	288.438	222.61	0.00038104	8.63505e-05
248	3.5625	287.698	222.034	0.00038072	8.63308e-05
249	3.5625	289.441	223.063	0.000380828	8.63476e-05
250	3.5625	285.188	220.151	0.000379058	8.62482e-05
251	3.5625	286.11	220.985	0.000379873	8.62892e-05
252	3.5625	291.564	224.92	0.000382731	8.644e-05
253	3.5625	293.389	226.151	0.000383619	8.64859e-05
254	3.5625	286.863	221.353	0.000380193	8.63034e-05
255	3.5625	286.436	221.124	0.000380055	8.6295e-05
256	3.5625	286.273	220.932	0.000379814	8.62827e-05
257	3.5625	293.771	226.613	0.000384075	8.65088e-05
258	3.5625	288.908	222.82	0.000381249	8.6357e-05
259	3.5625	288.195	222.372	0.000381273	8.6336e-05
260	3.5625	289.399	223.188	0.000381511	8.63742e-05
261	3.5625	288.76	222.869	0.000381365	8.6365e-05
262	3.5625	290.578	223.953	0.000381997	8.6401e-05
263	3.5625	292.13	225.2	0.000382881	8.64474e-05
264	3.5625	291.53	224.772	0.000382236	8.64234e-05
265	3.5625	292.163	225.267	0.000382358	8.64382e-05
266	3.5625	287.865	222.095	0.000380914	8.63286e-05
267	3.5625	286.564	221.12	0.000379957	8.62931e-05
