Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0604	402.284	300.006	0.000411162	8.80074e-05
1	0.0604	376.554	283.367	0.000408946	8.78594e-05
2	0.0604	311.069	238.557	0.00039142	8.69022e-05
3	0.0604	341.105	259.524	0.00040199	8.7465e-05
4	0.0604	314.773	241.185	0.000392969	8.69839e-05
5	0.0604	352.651	267.41	0.00040511	8.76284e-05
6	0.0604	339.914	258.716	0.000401681	8.74463e-05
7	0.0604	342.974	260.798	0.000402259	8.74851e-05
8	0.0604	338.255	257.567	0.000401221	8.74205e-05
9	0.0604	346.415	263.166	0.000403494	8.75429e-05
10	0.0604	377.432	283.954	0.000409578	8.78813e-05
11	0.0604	413.81	307.259	0.00041166	8.80466e-05
12	0.0604	324.826	248.218	0.000395649	8.71563e-05
13	0.0604	344.74	262.023	0.00040309	8.75195e-05
14	0.0604	377.562	284.045	0.000409726	8.78851e-05
15	0.0604	395.554	295.713	0.000411322	8.79933e-05
16	0.0604	361.545	273.407	0.000407055	8.77346e-05
17	0.0604	322.947	246.934	0.000396117	8.71502e-05
18	0.0604	362.083	273.769	0.000406704	8.77261e-05
19	0.0604	341.368	259.706	0.00040208	8.74696e-05
20	0.0604	333.668	254.399	0.0003998	8.73453e-05
21	0.0604	402.778	300.326	0.000411689	8.80237e-05
22	0.0604	353.048	267.746	0.00040597	8.763e-05
23	0.0604	362.233	273.843	0.000406016	8.77116e-05
24	0.0604	352.285	267.14	0.000404899	8.76187e-05
25	0.0604	373.225	281.177	0.000409043	8.78477e-05
26	0.0604	351.993	266.966	0.000404872	8.76178e-05
27	0.0604	358.947	271.655	0.00040632	8.76992e-05
28	0.0604	359.423	271.981	0.000406608	8.77102e-05
29	0.0604	325.37	248.651	0.000397236	8.71944e-05
30	0.0604	402.715	300.294	0.000411568	8.80188e-05
31	0.0604	400.843	299.094	0.000411437	8.80122e-05
32	0.0604	357.069	270.377	0.000405276	8.76604e-05
33	0.0604	355.737	269.49	0.000405817	8.76671e-05
34	0.0604	339.688	258.551	0.000401644	8.74434e-05
35	0.0604	373.869	281.61	0.000409197	8.78552e-05
36	0.0604	374.283	281.89	0.000409241	8.78557e-05
37	0.0604	317.843	243.341	0.000394121	8.70465e-05
38	0.0604	356.438	269.969	0.000405954	8.76747e-05
39	0.0604	357.971	270.998	0.000406125	8.76887e-05
40	0.0604	333.18	254.056	0.000399636	8.7337e-05
41	0.0604	365.948	276.361	0.000407961	8.77806e-05
42	0.0604	361.776	273.554	0.000407065	8.7736e-05
43	0.0604	341.404	259.727	0.000401971	8.74663e-05
44	0.0604	319.682	244.625	0.000394868	8.70828e-05
45	0.0604	335.223	255.473	0.00040028	8.73718e-05
46	0.0604	346.551	263.254	0.000403328	8.75393e-05
47	0.0604	334.418	254.902	0.000400004	8.73564e-05
48	0.0604	348.705	264.728	0.00040405	8.7574e-05
49	0.0604	385.668	289.338	0.000410582	8.7941e-05
50	0.0604	344.035	261.541	0.00040287	8.75097e-05
51	0.0604	340.488	259.094	0.000401591	8.74486e-05
52	0.0604	341.901	260.079	0.000402282	8.74779e-05
53	0.0604	380.031	285.661	0.000409996	8.79039e-05
54	0.0604	361.553	273.411	0.000407048	8.77346e-05
55	0.0604	335.676	255.782	0.000400401	8.73782e-05
56	0.0604	338.266	257.582	0.000401201	8.74209e-05
57	0.0604	370.38	279.301	0.000408602	8.78218e-05
58	0.0604	342.327	260.358	0.000402341	8.74832e-05
59	0.0604	389.341	291.721	0.000410963	8.79648e-05
60	0.0604	346.881	263.473	0.000403626	8.75486e-05
61	0.0604	350.279	265.799	0.000404511	8.75971e-05
62	0.0604	318.922	244.102	0.000394576	8.70701e-05
63	0.0604	359.153	271.806	0.000406597	8.77081e-05
64	0.0604	328.799	251.018	0.000398207	8.72604e-05
65	0.0604	353.981	268.31	0.000405378	8.76451e-05
66	0.0604	314.677	241.106	0.000392918	8.69797e-05
67	0.0604	373.489	281.349	0.000408682	8.78405e-05
68	0.0604	337.348	256.947	0.000400961	8.74073e-05
69	0.0604	390.753	292.617	0.000410771	8.79646e-05
70	0.0604	336.426	256.304	0.000400629	8.7389e-05
71	0.0604	350.361	265.857	0.000404528	8.75984e-05
72	0.0604	352.715	267.451	0.000405094	8.76288e-05
73	0.0604	388.207	290.986	0.00041085	8.79577e-05
74	0.0604	355.399	269.277	0.000405807	8.76625e-05
75	0.0604	324.438	247.977	0.00039665	8.71792e-05
76	0.0604	353.946	268.287	0.000405401	8.76451e-05
77	0.0604	330.273	252.042	0.000398693	8.7287e-05
78	0.0604	307.945	236.353	0.000390237	8.683e-05
79	0.0604	348.586	264.648	0.000404109	8.75746e-05
80	0.0604	323.244	247.144	0.000396286	8.71559e-05
81	0.0604	346.425	263.174	0.000403479	8.75429e-05
82	0.0604	350.673	266.06	0.000404629	8.76032e-05
83	0.0604	361.263	273.155	0.000406796	8.77225e-05
84	0.0604	363.864	274.954	0.000407271	8.77538e-05
85	0.0604	351.415	266.583	0.000404899	8.76117e-05
86	0.0604	375.794	282.879	0.000409453	8.78713e-05
87	0.0604	373.73	281.52	0.00040919	8.78539e-05
88	0.0604	356.239	269.833	0.000405914	8.76728e-05
89	0.0604	378.335	284.549	0.000409803	8.78916e-05
90	0.0604	318.779	244.003	0.000394537	8.70677e-05
91	0.0604	362.336	273.938	0.000407182	8.77425e-05
92	0.0604	351.84	266.86	0.000404913	8.7618e-05
93	0.0604	358.315	271.226	0.0004064	8.76963e-05
94	0.0604	364.721	275.529	0.000407659	8.77686e-05
95	0.0604	487.043	350.251	0.000400746	8.78009e-05
96	0.0604	382.462	287.252	0.000410288	8.79214e-05
97	0.0604	327.987	250.452	0.000397805	8.72433e-05
98	0.0604	315.628	241.794	0.000393324	8.69992e-05
