Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.3585	283.639	218.097	0.000347819	8.52625e-05
1	0.3585	320.046	244.745	0.000374232	8.63097e-05
2	0.3585	309.689	237.041	0.000368056	8.62125e-05
3	0.3585	317.893	243.268	0.000388459	8.6878e-05
4	0.3585	306.559	234.801	0.000367432	8.61587e-05
5	0.3585	308.549	236.878	0.000385166	8.65294e-05
6	0.3585	290.447	223.685	0.000366517	8.57716e-05
7	0.3585	302.81	232.485	0.000378056	8.64066e-05
8	0.3585	306.365	234.568	0.000362735	8.60111e-05
9	0.3585	312.723	238.728	0.000352738	8.57457e-05
10	0.3585	322.537	245.845	0.000364538	8.6223e-05
11	0.3585	305.442	234.096	0.000368281	8.61784e-05
12	0.3585	296.469	227.628	0.000363291	8.59142e-05
13	0.3585	308.445	235.995	0.000359941	8.5937e-05
14	0.3585	302.545	231.433	0.000346696	8.54265e-05
15	0.3585	312.903	239.578	0.000377739	8.64858e-05
16	0.3585	285.579	220.039	0.00036829	8.59151e-05
17	0.3585	299.069	229.761	0.000375936	8.63318e-05
18	0.3585	299.812	229.755	0.000355421	8.57074e-05
19	0.3585	304.86	233.858	0.000377637	8.64451e-05
20	0.3585	297.863	228.427	0.000355641	8.56941e-05
21	0.3585	296.081	227.559	0.00037264	8.61994e-05
22	0.3585	297.949	228.667	0.000362142	8.58942e-05
23	0.3585	298.063	228.89	0.000368309	8.6096e-05
24	0.3585	300.759	231.116	0.000384503	8.65887e-05
25	0.3585	287.337	220.524	0.000333149	8.46815e-05
26	0.3585	312.075	238.339	0.000354209	8.57917e-05
27	0.3585	323.648	247.017	0.000380858	8.67254e-05
28	0.3585	299.064	229.633	0.000368429	8.60982e-05
29	0.3585	298.512	228.98	0.000361048	8.58656e-05
30	0.3585	286.255	220.229	0.000358424	8.56419e-05
31	0.3585	300.121	230.427	0.000372902	8.62558e-05
32	0.3585	310.4	237.891	0.000383654	8.66793e-05
33	0.3585	321.132	245.841	0.000388573	8.674e-05
34	0.3585	293.237	225.316	0.000364678	8.59223e-05
35	0.3585	316.081	242.407	0.00038569	8.64986e-05
36	0.3585	305.181	233.794	0.000366528	8.61176e-05
37	0.3585	324.845	248.702	0.000386673	8.65472e-05
38	0.3585	315.799	241.443	0.000373317	8.64366e-05
39	0.3585	310.983	238.234	0.000381918	8.66357e-05
40	0.3585	299.883	230.325	0.000368932	8.60493e-05
41	0.3585	304.945	233.747	0.000369197	8.62004e-05
42	0.3585	294.009	226.116	0.000372481	8.6174e-05
43	0.3585	316.088	241.982	0.000387628	8.6838e-05
44	0.3585	297.514	228.583	0.000371096	8.61741e-05
45	0.3585	324.408	247.397	0.000374253	8.6542e-05
46	0.3585	294.331	226.118	0.000365236	8.59558e-05
47	0.3585	302.781	232.249	0.000373672	8.63037e-05
48	0.3585	270.867	209.315	0.000350588	8.49583e-05
49	0.3585	290.175	223.144	0.000362675	8.58215e-05
50	0.3585	301.451	231.23	0.000365823	8.60587e-05
51	0.3585	285.851	220.081	0.000362043	8.5755e-05
52	0.3585	310.203	237.709	0.000382158	8.66146e-05
53	0.3585	295.61	226.963	0.000358016	8.57003e-05
54	0.3585	298.366	228.959	0.000363162	8.59395e-05
55	0.3585	298.996	229.666	0.000362757	8.57744e-05
56	0.3585	296.08	227.641	0.000374207	8.62216e-05
57	0.3585	298.029	229.055	0.000366547	8.58802e-05
58	0.3585	301.28	230.944	0.000360652	8.58927e-05
59	0.3585	302.739	232.103	0.000368992	8.616e-05
60	0.3585	281.841	216.986	0.000352037	8.53557e-05
61	0.3585	321.295	245.483	0.000385012	8.68265e-05
62	0.3585	286.489	220.035	0.000344595	8.51802e-05
63	0.3585	303.279	232.72	0.00037296	8.6289e-05
64	0.3585	308.373	236.484	0.00038268	8.66213e-05
65	0.3585	302.785	232.673	0.000385472	8.66094e-05
66	0.3585	313.263	239.492	0.000368345	8.62504e-05
67	0.3585	299.396	229.888	0.000371157	8.61967e-05
68	0.3585	321.045	245.21	0.00038081	8.67047e-05
69	0.3585	321.545	245.357	0.000371376	8.64308e-05
70	0.3585	310.195	237.757	0.000375918	8.63385e-05
71	0.3585	300.887	231.097	0.000377595	8.63926e-05
72	0.3585	304.28	233.217	0.000368826	8.61792e-05
73	0.3585	295.994	227.423	0.000369151	8.60879e-05
74	0.3585	298.154	229.042	0.00037187	8.62053e-05
75	0.3585	322.321	245.976	0.000376778	8.65956e-05
76	0.3585	302.764	232.131	0.000367684	8.61189e-05
77	0.3585	305.42	234.25	0.000371962	8.62414e-05
78	0.3585	297.001	228.148	0.00037056	8.61257e-05
