Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.1309	318.221	243.298	0.000373501	8.63349e-05
1	0.1309	321.188	245.699	0.000386622	8.66306e-05
2	0.1309	297.103	227.397	0.000342706	8.5159e-05
3	0.1309	305.878	233.934	0.000344255	8.51904e-05
4	0.1309	309.63	237.14	0.000357232	8.55808e-05
5	0.1309	307.915	236.467	0.000374462	8.60223e-05
6	0.1309	301.873	231.374	0.000347825	8.52155e-05
7	0.1309	313.846	238.746	0.0003294	8.47833e-05
8	0.1309	322.659	246.338	0.000365228	8.60037e-05
9	0.1309	303.588	231.993	0.000346255	8.53804e-05
10	0.1309	304.21	232.461	0.000341723	8.51711e-05
11	0.1309	324.173	246.658	0.000357733	8.59946e-05
12	0.1309	315.381	241.388	0.000376448	8.62797e-05
13	0.1309	293.896	225.616	0.000344373	8.49406e-05
14	0.1309	322.467	246.043	0.000361091	8.5908e-05
15	0.1309	290.252	222.666	0.000340172	8.49617e-05
16	0.1309	300.957	232.21	0.000370143	8.52121e-05
17	0.1309	311.182	237.84	0.000349609	8.5325e-05
18	0.1309	289.898	222.387	0.000342505	8.50919e-05
19	0.1309	326.268	248.547	0.000362309	8.60249e-05
20	0.1309	321.922	245.835	0.000360968	8.57968e-05
21	0.1309	311.078	237.744	0.000348085	8.53222e-05
22	0.1309	280.921	215.296	0.000308602	8.35184e-05
23	0.1309	315.095	241.991	0.000382447	8.61062e-05
24	0.1309	312.726	238.167	0.000337035	8.51672e-05
25	0.1309	325.835	248.479	0.000374601	8.64603e-05
26	0.1309	300.298	229.827	0.000342389	8.51403e-05
27	0.1309	308.585	235.538	0.000342813	8.52438e-05
28	0.1309	300.868	231.016	0.0003608	8.56111e-05
29	0.1309	307.305	236.04	0.000374886	8.60676e-05
30	0.1309	323.803	246.674	0.000337049	8.49405e-05
31	0.1309	332.102	253.249	0.00037035	8.61299e-05
32	0.1309	311.187	237.549	0.000344308	8.52841e-05
33	0.1309	308.93	236.375	0.000364267	8.60377e-05
34	0.1309	302.677	231.356	0.000337305	8.50015e-05
35	0.1309	321.718	246.002	0.000379801	8.65061e-05
36	0.1309	302.046	231.467	0.000353553	8.5465e-05
37	0.1309	302.515	231.923	0.000361333	8.57839e-05
38	0.1309	298.302	228.069	0.000331914	8.47867e-05
39	0.1309	327.825	248.735	0.000334111	8.50408e-05
40	0.1309	305.387	233.898	0.000355628	8.56339e-05
41	0.1309	292.833	224.718	0.000344192	8.49975e-05
42	0.1309	331.949	252.002	0.000350433	8.57678e-05
43	0.1309	300.059	229.645	0.000338533	8.48518e-05
44	0.1309	285.266	219.383	0.000345082	8.50189e-05
45	0.1309	312.22	239.281	0.000377415	8.62792e-05
46	0.1309	304.105	232.495	0.000342793	8.52589e-05
47	0.1309	333.377	253.728	0.000357137	8.57146e-05
48	0.1309	325.775	248.3	0.000362989	8.60513e-05
49	0.1309	319.2	244.351	0.000376927	8.62538e-05
50	0.1309	320.786	245.402	0.0003742	8.62039e-05
51	0.1309	298.082	229.323	0.000370499	8.58249e-05
52	0.1309	308.579	236.044	0.000369032	8.60978e-05
53	0.1309	317.235	242.804	0.000368026	8.59401e-05
54	0.1309	322.674	246.55	0.000375952	8.6334e-05
55	0.1309	321.869	245.376	0.000366406	8.62379e-05
56	0.1309	283.4	215.288	0.00026664	8.15549e-05
57	0.1309	317.53	243.058	0.000384013	8.66576e-05
58	0.1309	309.393	236.395	0.000353831	8.56978e-05
59	0.1309	289.797	222.225	0.000328806	8.43899e-05
60	0.1309	340.537	258.258	0.000369119	8.64449e-05
61	0.1309	298.79	229.491	0.000358582	8.55246e-05
62	0.1309	279.376	213.319	0.000286156	8.24548e-05
63	0.1309	303.838	232.643	0.000351391	8.54761e-05
64	0.1309	307.24	235.494	0.000337674	8.45904e-05
65	0.1309	308.435	236.178	0.000367077	8.60713e-05
66	0.1309	298.993	228.884	0.000335176	8.47624e-05
67	0.1309	304.223	232.568	0.000335622	8.48454e-05
68	0.1309	338.935	257.639	0.000374901	8.64787e-05
69	0.1309	315.525	239.373	0.000309452	8.39743e-05
70	0.1309	316.45	243.102	0.000383387	8.61037e-05
71	0.1309	321.237	244.975	0.000357762	8.58567e-05
72	0.1309	310.82	238.284	0.000362078	8.5651e-05
73	0.1309	327.732	246.872	0.000288016	8.31276e-05
74	0.1309	301.559	231.152	0.00035766	8.5705e-05
75	0.1309	325.518	248.723	0.000384708	8.64895e-05
76	0.1309	306.645	234.076	0.000334014	8.4922e-05
77	0.1309	325.443	247.717	0.000350166	8.55858e-05
78	0.1309	315.154	241.217	0.000371144	8.61368e-05
79	0.1309	343.874	261.113	0.000383563	8.68665e-05
80	0.1309	270.094	207.594	0.000315377	8.37318e-05
81	0.1309	306.379	234.531	0.000356208	8.55997e-05
82	0.1309	304.022	232.305	0.000340289	8.50998e-05
83	0.1309	324.106	246.437	0.000339404	8.52082e-05
84	0.1309	286.16	219.249	0.000326199	8.44541e-05
85	0.1309	278.243	213.501	0.000316587	8.38876e-05
86	0.1309	324.621	248.041	0.000375797	8.62705e-05
87	0.1309	330.692	251.763	0.000369316	8.63426e-05
88	0.1309	313.753	240.17	0.000348389	8.51039e-05
89	0.1309	302.691	231.184	0.0003362	8.50429e-05
90	0.1309	303.894	232.079	0.000341438	8.51909e-05
91	0.1309	306.921	235.652	0.000375253	8.61265e-05
92	0.1309	292.239	223.665	0.000328365	8.45617e-05
93	0.1309	313.97	241.038	0.000375526	8.59683e-05
94	0.1309	292.592	225.065	0.000356337	8.53826e-05
95	0.1309	300.5	230.383	0.000357221	8.55904e-05
96	0.1309	285.345	218.991	0.000326451	8.42641e-05
97	0.1309	280.72	215.566	0.000324011	8.41647e-05
98	0.1309	290.728	224.349	0.000383775	8.60755e-05
99	0.1309	307.669	235.175	0.00035114	8.54482e-05
100	0.1309	299.494	230.007	0.000375952	8.6223e-05
101	0.1309	298.222	228.987	0.000367438	8.60169e-05
102	0.1309	320.639	245.907	0.000378493	8.59646e-05
103	0.1309	320.939	244.607	0.000353646	8.57115e-05
104	0.1309	306.388	234.553	0.000365231	8.60627e-05
105	0.1309	323.51	246.739	0.000369093	8.62469e-05
106	0.1309	291.695	224.169	0.000340628	8.46875e-05
107	0.1309	332.913	253.272	0.000365396	8.6007e-05
108	0.1309	319.414	243.811	0.000364083	8.60332e-05
109	0.1309	299.505	228.544	0.000311949	8.38953e-05
110	0.1309	286.569	220.054	0.00033727	8.47562e-05
111	0.1309	316.479	242.421	0.000386735	8.66156e-05
112	0.1309	340.625	258.239	0.000364516	8.62891e-05
113	0.1309	312.129	238.764	0.000361771	8.58791e-05
114	0.1309	326.133	246.736	0.000323283	8.47059e-05
115	0.1309	315.271	241.346	0.000375622	8.61838e-05
116	0.1309	330.392	251.061	0.0003566	8.59492e-05
117	0.1309	305.884	234.884	0.000375884	8.61827e-05
118	0.1309	324.892	248.285	0.000380798	8.64719e-05
119	0.1309	317.499	240.039	0.000289476	8.30651e-05
120	0.1309	293.933	225.399	0.000349669	8.5376e-05
121	0.1309	322.474	245.147	0.000339236	8.53002e-05
122	0.1309	307.319	234.754	0.000339452	8.49304e-05
123	0.1309	289.302	222.615	0.000359928	8.54649e-05
124	0.1309	326.934	249.045	0.000356043	8.57161e-05
125	0.1309	300.219	230.249	0.000355588	8.54947e-05
126	0.1309	298.595	228.294	0.000334866	8.48833e-05
127	0.1309	298.485	229.202	0.000363058	8.57847e-05
128	0.1309	295.481	227.767	0.000364948	8.53892e-05
129	0.1309	330.563	251.389	0.000362361	8.61373e-05
130	0.1309	323.582	247.462	0.000370587	8.5947e-05
131	0.1309	332.02	253.073	0.000385345	8.68019e-05
132	0.1309	322.983	245.916	0.000356516	8.58774e-05
133	0.1309	288.447	221.292	0.000335529	8.47765e-05
134	0.1309	306.437	234.346	0.000346092	8.52679e-05
135	0.1309	320.416	243.469	0.000337203	8.51745e-05
136	0.1309	307.822	235.335	0.000348844	8.54241e-05
137	0.1309	310.433	236.065	0.000315132	8.41293e-05
138	0.1309	319.1	243.193	0.000349741	8.56087e-05
139	0.1309	293.921	225.574	0.000350411	8.53323e-05
140	0.1309	334.271	254.678	0.000380525	8.6654e-05
141	0.1309	335.761	255.707	0.000383344	8.67621e-05
142	0.1309	329.442	250.739	0.000366725	8.61284e-05
143	0.1309	302.021	231.373	0.000352075	8.54752e-05
144	0.1309	318.005	242.048	0.000341058	8.5199e-05
145	0.1309	296.995	227.993	0.000352724	8.53702e-05
146	0.1309	313.055	239.202	0.000360553	8.59544e-05
147	0.1309	340.943	258.619	0.000371302	8.65226e-05
148	0.1309	308.902	236.307	0.000369357	8.62071e-05
149	0.1309	306.278	234.442	0.000348571	8.5321e-05
150	0.1309	314.363	240.329	0.000365156	8.59649e-05
151	0.1309	312.989	238.403	0.000334869	8.49949e-05
152	0.1309	296.178	227.893	0.000367622	8.57665e-05
153	0.1309	302.962	232.094	0.000348615	8.5343e-05
154	0.1309	306.726	234.366	0.000340158	8.50959e-05
155	0.1309	326.223	249.033	0.000367372	8.6023e-05
156	0.1309	315.419	241.369	0.000378048	8.64153e-05
157	0.1309	315.244	240.097	0.000340046	8.52302e-05
158	0.1309	319.221	244.137	0.00036938	8.6098e-05
159	0.1309	300.307	231.213	0.000389434	8.6247e-05
160	0.1309	297.586	228.284	0.000361877	8.5806e-05
161	0.1309	309.367	236.877	0.000365468	8.59066e-05
162	0.1309	295.828	225.156	0.000298056	8.32812e-05
163	0.1309	315.812	241.557	0.000383055	8.66404e-05
164	0.1309	311.081	237.353	0.000345338	8.5404e-05
165	0.1309	327.109	249.426	0.000372416	8.63935e-05
