Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.8429	516.211	368.683	0.000382568	8.70634e-05
1	0.8429	516.623	365.024	0.000341504	8.60105e-05
2	0.8429	437.107	320.658	0.000366228	8.66622e-05
3	0.8429	493.162	352.94	0.00034617	8.60998e-05
4	0.8429	411.523	305.19	0.000386336	8.71944e-05
5	0.8429	576.349	397.336	0.000322727	8.55565e-05
6	0.8429	488.973	351.51	0.000363616	8.66992e-05
7	0.8429	523.855	370.16	0.000335518	8.57314e-05
8	0.8429	534.373	375.479	0.00035917	8.66179e-05
9	0.8429	508.197	360.98	0.000355361	8.64228e-05
10	0.8429	442.332	324.369	0.000378161	8.69495e-05
11	0.8429	616.498	414.581	0.000341367	8.65162e-05
12	0.8429	426.901	315.724	0.000386576	8.71091e-05
13	0.8429	482.344	347.517	0.000359084	8.64029e-05
14	0.8429	505.254	359.341	0.000360137	8.65173e-05
15	0.8429	429.543	316.469	0.000371156	8.66625e-05
16	0.8429	536.166	376.379	0.00034658	8.62598e-05
17	0.8429	1671.02	1333.88	0.000207284	7.51583e-05
18	0.8429	524.816	369.998	0.000361949	8.66757e-05
19	0.8429	506.696	358.556	0.000330265	8.55915e-05
20	0.8429	516.873	368.114	0.000384711	8.70805e-05
21	0.8429	380.644	285.499	0.000377949	8.69351e-05
22	0.8429	521.73	371.02	0.000395943	8.73325e-05
23	0.8429	482.31	348.075	0.000381186	8.72202e-05
24	0.8429	484.682	347.383	0.000367245	8.67734e-05
25	0.8429	498.902	356.523	0.000393911	8.74899e-05
26	0.8429	416.498	307.378	0.000370885	8.67664e-05
27	0.8429	524.021	371.475	0.000353543	8.62247e-05
28	0.8429	504.634	361.316	0.000384288	8.72671e-05
29	0.8429	489.179	349.503	0.000323108	8.52644e-05
30	0.8429	574.918	396.178	0.00032836	8.58509e-05
31	0.8429	652.099	425.821	0.000298583	8.5568e-05
32	0.8429	429.741	315.618	0.000376128	8.69491e-05
33	0.8429	432.194	316.129	0.000349264	8.60919e-05
34	0.8429	536.299	376.038	0.000357578	8.6521e-05
35	0.8429	570.98	396.104	0.000330699	8.58425e-05
36	0.8429	430.089	318.258	0.000393211	8.74376e-05
37	0.8429	481.078	347.343	0.000369947	8.68306e-05
38	0.8429	504.756	359.252	0.000355828	8.64847e-05
39	0.8429	494.77	354.73	0.000340963	8.58611e-05
40	0.8429	635.064	423.805	0.000303226	8.54439e-05
41	0.8429	472.972	341.14	0.000331724	8.55577e-05
42	0.8429	485.352	349.455	0.000386514	8.73122e-05
43	0.8429	489.341	352.623	0.000381856	8.69095e-05
44	0.8429	438.67	322.163	0.000385084	8.7255e-05
45	0.8429	524.909	370.926	0.000360755	8.65636e-05
46	0.8429	517.154	365.219	0.000373468	8.70108e-05
47	0.8429	434.788	319.695	0.000371583	8.6776e-05
48	0.8429	430.982	317.26	0.000364493	8.66226e-05
49	0.8429	521.938	368.544	0.000352843	8.63548e-05
50	0.8429	490.986	353.665	0.000400097	8.76303e-05
51	0.8429	441.477	323.896	0.000377796	8.7047e-05
52	0.8429	553.049	383.763	0.000348208	8.637e-05
53	0.8429	542.39	380.925	0.000334513	8.58404e-05
54	0.8429	442.953	322.523	0.000325022	8.51944e-05
55	0.8429	436.525	319.715	0.000359378	8.64716e-05
56	0.8429	504.534	359.128	0.000343519	8.60552e-05
57	0.8429	511.837	364.453	0.000345987	8.61212e-05
58	0.8429	413.506	306.483	0.000370974	8.68053e-05
59	0.8429	503.698	359.087	0.000366392	8.67662e-05
60	0.8429	494.062	353.96	0.00035882	8.64689e-05
61	0.8429	488.055	350.577	0.000359994	8.65436e-05
62	0.8429	413.591	306.522	0.000382983	8.71881e-05
63	0.8429	515.191	365.223	0.000371207	8.69649e-05
64	0.8429	514.048	363.939	0.000352684	8.63909e-05
65	0.8429	475.055	343.734	0.000374495	8.69939e-05
66	0.8429	550.518	386.507	0.000375661	8.6922e-05
67	0.8429	497.315	354.723	0.000363797	8.66914e-05
68	0.8429	510.709	363.364	0.000369631	8.67743e-05
69	0.8429	426.26	313.946	0.000376751	8.6966e-05
70	0.8429	460.881	335.154	0.000363907	8.6568e-05
71	0.8429	529.541	372.371	0.000343776	8.61618e-05
72	0.8429	495.855	353.254	0.000353828	8.63776e-05
73	0.8429	621.014	415.603	0.000330119	8.6231e-05
74	0.8429	466.884	339.432	0.00037571	8.69516e-05
75	0.8429	452.258	330.183	0.000366048	8.65232e-05
76	0.8429	490.415	352.389	0.000368532	8.67203e-05
77	0.8429	524.203	369.52	0.000371959	8.69075e-05
78	0.8429	448.93	329.57	0.000373555	8.65762e-05
79	0.8429	462.979	337.471	0.000386478	8.72892e-05
80	0.8429	443.788	324.976	0.000380291	8.70377e-05
81	0.8429	552.277	382.31	0.000332408	8.58562e-05
82	0.8429	472.062	340.952	0.000360927	8.65278e-05
83	0.8429	481.989	347.681	0.000395273	8.75398e-05
84	0.8429	497.639	354.756	0.00034855	8.62399e-05
85	0.8429	471.193	340.267	0.00036446	8.66662e-05
86	0.8429	477.148	343.847	0.000374368	8.70342e-05
87	0.8429	557.353	387.488	0.000349539	8.63709e-05
88	0.8429	499.159	357.39	0.000370936	8.67958e-05
89	0.8429	417.111	308.196	0.000371488	8.67998e-05
90	0.8429	469.271	339.232	0.000352741	8.622e-05
91	0.8429	579.865	397.787	0.000346054	8.6316e-05
92	0.8429	515.875	366.128	0.000363504	8.66444e-05
93	0.8429	494.534	356.279	0.000392177	8.74051e-05
94	0.8429	505.203	361.235	0.000385114	8.72904e-05
95	0.8429	486.765	350.739	0.000376965	8.70182e-05
96	0.8429	472.93	342.839	0.000371829	8.67551e-05
97	0.8429	552.712	383.027	0.000334999	8.59396e-05
98	0.8429	474.951	344.398	0.000403829	8.76065e-05
99	0.8429	460.181	334.183	0.000360355	8.64662e-05
100	0.8429	500.197	356.937	0.00034555	8.60997e-05
101	0.8429	507.825	362.756	0.000378843	8.69047e-05
102	0.8429	466.277	338.021	0.000383247	8.71391e-05
103	0.8429	537.715	379.746	0.000371329	8.67596e-05
104	0.8429	504.365	360.223	0.000351609	8.63366e-05
105	0.8429	535.329	375.981	0.000351115	8.62737e-05
106	0.8429	548.195	381.71	0.000369646	8.69314e-05
107	0.8429	528.228	371.634	0.00036446	8.66637e-05
108	0.8429	459.641	333.529	0.000363156	8.65726e-05
109	0.8429	608.613	411.765	0.000319848	8.57874e-05
110	0.8429	574.441	394.594	0.000290335	8.43829e-05
111	0.8429	462.9	335.58	0.000361458	8.6544e-05
112	0.8429	461.903	335.929	0.000382782	8.71493e-05
113	0.8429	579.892	397.046	0.000352417	8.65774e-05
114	0.8429	442.013	324.957	0.000389244	8.73111e-05
115	0.8429	514.543	364.353	0.000354812	8.63985e-05
116	0.8429	525.101	371.699	0.000364119	8.67403e-05
117	0.8429	466.59	338.029	0.000367809	8.67491e-05
118	0.8429	526.117	371.205	0.000325037	8.54594e-05
119	0.8429	524.313	372.031	0.000376256	8.68847e-05
120	0.8429	493.353	353.251	0.000363946	8.65956e-05
121	0.8429	528.938	372.442	0.000349222	8.63122e-05
122	0.8429	532.179	372.353	0.000336306	8.58436e-05
123	0.8429	463.87	337.76	0.000386993	8.72353e-05
124	0.8429	484.281	348.809	0.000350942	8.61339e-05
