Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	3.9567	349.667	264.698	0.000347586	8.52255e-05
1	3.9567	344.008	260.922	0.000357367	8.51366e-05
2	3.9567	349.392	264.537	0.000342303	8.48657e-05
3	3.9567	359.338	269.45	0.000327858	8.47037e-05
4	3.9567	362.108	273.672	0.000383709	8.61512e-05
5	3.9567	348.037	264.406	0.000372714	8.57419e-05
6	3.9567	337.208	257.344	0.000392016	8.59016e-05
7	3.9567	348.406	263.709	0.000367071	8.57674e-05
8	3.9567	339.936	257.847	0.000360161	8.53709e-05
9	3.9567	362.717	272.827	0.000340631	8.49288e-05
10	3.9567	333.536	253.058	0.000352977	8.51352e-05
11	3.9567	315.311	240.445	0.000357144	8.50947e-05
12	3.9567	368.236	278.268	0.000387055	8.64562e-05
13	3.9567	359.088	270.663	0.00035583	8.54859e-05
14	3.9567	365.695	275.719	0.000371303	8.60139e-05
15	3.9567	359.674	271.751	0.000373378	8.59164e-05
16	3.9567	374.469	282.2	0.00037589	8.59891e-05
17	3.9567	349.801	266.093	0.000381394	8.57467e-05
18	3.9567	342.431	260.026	0.000363019	8.52913e-05
19	3.9567	365.309	273.902	0.000345549	8.52661e-05
20	3.9567	354.122	267.704	0.000345464	8.50914e-05
21	3.9567	353.361	269.447	0.000372798	8.52122e-05
22	3.9567	353.498	265.28	0.000337716	8.51112e-05
23	3.9567	349.719	264.445	0.000362498	8.56118e-05
24	3.9567	350.685	265.085	0.000376071	8.62115e-05
25	3.9567	343.918	259.363	0.000344005	8.52226e-05
26	3.9567	354.96	269.878	0.000399161	8.60444e-05
27	3.9567	342.457	258.215	0.000346305	8.53731e-05
28	3.9567	347.676	263.065	0.000358353	8.54772e-05
29	3.9567	351.311	267.615	0.000389354	8.58225e-05
30	3.9567	347.635	261.346	0.000349605	8.56349e-05
31	3.9567	338.646	256.614	0.00035384	8.52526e-05
32	3.9567	349.345	264.036	0.000354771	8.51617e-05
33	3.9567	355.505	268.569	0.000365118	8.55828e-05
34	3.9567	369.122	276.451	0.000351022	8.56497e-05
35	3.9567	326.151	250.061	0.000399823	8.5952e-05
36	3.9567	338.72	257.085	0.000370877	8.58907e-05
37	3.9567	347.182	262.528	0.000348498	8.51241e-05
38	3.9567	344.495	261.252	0.000353142	8.507e-05
39	3.9567	342.236	260.11	0.000362807	8.52548e-05
40	3.9567	344.094	259.206	0.000320355	8.40868e-05
41	3.9567	338.855	257.733	0.000358544	8.50201e-05
42	3.9567	346.821	263.666	0.000376831	8.58432e-05
43	3.9567	349.633	263.146	0.00033973	8.4926e-05
44	3.9567	350.553	265.309	0.000366022	8.56673e-05
45	3.9567	343.903	259.847	0.000343763	8.50001e-05
46	3.9567	349.706	265.091	0.000353172	8.49541e-05
47	3.9567	342.839	260.272	0.000344237	8.46921e-05
48	3.9567	344.446	260.58	0.000349716	8.5157e-05
49	3.9567	337.449	256.916	0.000369817	8.54674e-05
50	3.9567	354.731	266.621	0.000327645	8.44127e-05
51	3.9567	363.311	273.514	0.00036108	8.57625e-05
52	3.9567	362.675	275.412	0.000397943	8.58508e-05
53	3.9567	352.307	265.286	0.000342031	8.50415e-05
