Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	1.9482	322.123	245.716	0.000395019	8.7005e-05
1	1.9482	329.424	251.436	0.000405404	8.70532e-05
2	1.9482	314.912	240.67	0.000391408	8.68516e-05
3	1.9482	324.424	247.181	0.00039407	8.7023e-05
4	1.9482	308.254	235.779	0.000387544	8.67027e-05
5	1.9482	308.487	236.123	0.000391894	8.66329e-05
6	1.9482	307.377	235.283	0.00038756	8.67022e-05
7	1.9482	301.445	230.946	0.000385207	8.65529e-05
8	1.9482	298.368	228.934	0.000383793	8.64835e-05
9	1.9482	312.753	239.331	0.000391606	8.68234e-05
10	1.9482	318.409	242.946	0.000392646	8.69049e-05
11	1.9482	309.261	236.488	0.000387764	8.67213e-05
12	1.9482	302.016	231.349	0.000384214	8.6535e-05
13	1.9482	319.906	244.4	0.000393704	8.70151e-05
14	1.9482	308.942	236.079	0.000389082	8.66285e-05
15	1.9482	306.659	234.52	0.000386012	8.66333e-05
16	1.9482	301.666	231.656	0.000386797	8.66337e-05
17	1.9482	317.39	242.19	0.000391419	8.69023e-05
18	1.9482	316.976	241.799	0.000391141	8.68801e-05
19	1.9482	323.553	246.799	0.000396169	8.70182e-05
20	1.9482	323.343	246.637	0.000395516	8.70345e-05
21	1.9482	320.017	244.033	0.000392592	8.69583e-05
22	1.9482	327.687	249.833	0.000396891	8.71629e-05
23	1.9482	327.141	249.153	0.000394857	8.71029e-05
24	1.9482	295.055	226.368	0.000381359	8.63285e-05
25	1.9482	290.664	223.563	0.000380556	8.63092e-05
26	1.9482	321.891	245.287	0.000393357	8.69835e-05
27	1.9482	307.194	234.84	0.000386383	8.66453e-05
28	1.9482	303.541	232.383	0.000385366	8.65884e-05
29	1.9482	315.81	241.145	0.000391744	8.68669e-05
30	1.9482	300.628	231.428	0.000400366	8.62365e-05
31	1.9482	320.273	244.663	0.000394277	8.6953e-05
32	1.9482	333.494	253.286	0.000396694	8.71471e-05
33	1.9482	319.008	243.48	0.000393	8.69231e-05
34	1.9482	322.361	245.772	0.00039342	8.69862e-05
35	1.9482	342.758	259.711	0.000399684	8.73341e-05
36	1.9482	321.511	245.841	0.000396432	8.70742e-05
37	1.9482	314.022	240.021	0.00039091	8.68645e-05
38	1.9482	322.506	246.148	0.000395167	8.7011e-05
39	1.9482	307.245	234.926	0.000387171	8.66538e-05
40	1.9482	334.903	254.545	0.000396955	8.72e-05
41	1.9482	333.61	253.429	0.000396896	8.71989e-05
42	1.9482	310.245	237.693	0.000390986	8.67983e-05
43	1.9482	300.233	230.443	0.000385444	8.65645e-05
44	1.9482	301.916	231.541	0.000386125	8.65915e-05
45	1.9482	320.674	245.233	0.000395169	8.70521e-05
