Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.4369	280.119	216.406	0.000372738	8.54724e-05
1	0.4369	278.828	215.395	0.000369721	8.54143e-05
2	0.4369	285.354	220.381	0.000379579	8.54724e-05
3	0.4369	276.913	214.366	0.000378867	8.52866e-05
4	0.4369	281.073	217.329	0.000378301	8.55322e-05
5	0.4369	278.245	215.433	0.000375662	8.52413e-05
6	0.4369	283.75	219.033	0.000377364	8.55646e-05
7	0.4369	278.155	215.158	0.000380283	8.55397e-05
8	0.4369	274.958	212.781	0.000376733	8.53518e-05
9	0.4369	277.963	215.276	0.000373196	8.53419e-05
10	0.4369	286.656	221.641	0.000382581	8.56807e-05
11	0.4369	284.927	220.341	0.000381866	8.57346e-05
12	0.4369	280.479	217.229	0.000386044	8.55257e-05
13	0.4369	289.115	223.325	0.000384392	8.57945e-05
14	0.4369	278.08	215.015	0.000368054	8.53089e-05
15	0.4369	277.396	214.767	0.000379453	8.55182e-05
16	0.4369	272.111	210.728	0.00037613	8.52068e-05
17	0.4369	276.124	213.527	0.000373997	8.5648e-05
18	0.4369	274.325	212.555	0.000375664	8.54107e-05
19	0.4369	287.372	221.982	0.000384731	8.56992e-05
20	0.4369	290.692	223.937	0.000377707	8.59159e-05
21	0.4369	275.656	212.943	0.000369699	8.5334e-05
22	0.4369	275.393	213.388	0.000378322	8.53193e-05
23	0.4369	270.436	208.865	0.000364359	8.5144e-05
24	0.4369	276.058	213.691	0.000376308	8.52711e-05
25	0.4369	280.663	216.841	0.000375178	8.55776e-05
26	0.4369	281.712	217.484	0.000371181	8.54373e-05
27	0.4369	281.316	217.797	0.000381031	8.56396e-05
28	0.4369	284.956	220.46	0.000387662	8.57609e-05
29	0.4369	279.355	216.186	0.000380912	8.54373e-05
30	0.4369	276.824	214.315	0.00037911	8.53698e-05
31	0.4369	279.379	216.156	0.000377795	8.55144e-05
32	0.4369	281.765	218.098	0.000384357	8.55735e-05
33	0.4369	279.226	215.497	0.000369453	8.54528e-05
34	0.4369	287.058	221.043	0.000369156	8.56247e-05
35	0.4369	282.397	218.839	0.000388847	8.55718e-05
36	0.4369	285.148	220.075	0.00037715	8.57699e-05
37	0.4369	273.99	212.218	0.000368081	8.48218e-05
38	0.4369	269.1	208.3	0.000369873	8.51648e-05
39	0.4369	284.704	219.705	0.000378701	8.5808e-05
40	0.4369	278.072	214.989	0.000375677	8.54654e-05
41	0.4369	281.966	218.039	0.000373306	8.54049e-05
42	0.4369	284.43	219.539	0.000375894	8.56366e-05
43	0.4369	287.507	222.251	0.000385272	8.57561e-05
44	0.4369	275.344	213.304	0.000380861	8.53429e-05
45	0.4369	281.617	217.739	0.000381196	8.5713e-05
46	0.4369	276.809	214.173	0.000373578	8.53766e-05
47	0.4369	271.938	210.366	0.000366948	8.52789e-05
48	0.4369	281.675	217.824	0.000377083	8.56045e-05
49	0.4369	279.106	215.393	0.000369788	8.55014e-05
50	0.4369	286.026	220.947	0.000377119	8.56252e-05
51	0.4369	274.749	212.428	0.000371098	8.53782e-05
52	0.4369	268.402	207.659	0.000354833	8.48058e-05
53	0.4369	272.304	210.641	0.000368346	8.52716e-05
54	0.4369	281.517	217.795	0.000378513	8.55174e-05
55	0.4369	271.267	210.249	0.000374658	8.52057e-05
56	0.4369	272.571	211.103	0.000376361	8.53511e-05
57	0.4369	278.171	214.941	0.000375278	8.51403e-05
58	0.4369	281.538	217.456	0.000374306	8.55465e-05
59	0.4369	278.805	215.747	0.000377909	8.53589e-05
60	0.4369	274.981	212.688	0.000375577	8.53705e-05
61	0.4369	273.904	211.945	0.000370941	8.53914e-05
62	0.4369	276.315	213.87	0.000376397	8.52268e-05
63	0.4369	274.199	212.362	0.00037493	8.50313e-05
64	0.4369	282.635	218.635	0.000385247	8.56235e-05
65	0.4369	278.482	215.596	0.000378605	8.52829e-05
66	0.4369	277.296	214.181	0.000366282	8.52324e-05
67	0.4369	279.55	216.175	0.000374407	8.54165e-05
68	0.4369	290.977	224.397	0.000384196	8.60936e-05
69	0.4369	277.555	214.709	0.000376185	8.55044e-05
70	0.4369	289.068	223.234	0.000377476	8.56549e-05
71	0.4369	277.367	215.002	0.000377414	8.54783e-05
72	0.4369	282.868	218.801	0.000382975	8.56334e-05
73	0.4369	278.065	215.07	0.000372595	8.53724e-05
74	0.4369	277.614	215.297	0.000386031	8.53229e-05
75	0.4369	272.647	210.796	0.000365706	8.51764e-05
76	0.4369	278.772	215.676	0.000379715	8.55355e-05
77	0.4369	277.289	214.515	0.000373264	8.54194e-05
78	0.4369	268.713	207.908	0.000362934	8.50756e-05
79	0.4369	280.612	216.88	0.000377407	8.57447e-05
80	0.4369	283.166	219.046	0.000383483	8.55936e-05
81	0.4369	278.462	215.115	0.000372751	8.55831e-05
82	0.4369	280.328	216.808	0.000374821	8.53518e-05
83	0.4369	274.583	212.427	0.00037101	8.5423e-05
84	0.4369	278.44	215.615	0.000377716	8.53564e-05
85	0.4369	283.268	219.323	0.000384086	8.55747e-05
86	0.4369	279.636	216.562	0.000382459	8.55208e-05
87	0.4369	287.596	221.788	0.000376301	8.5697e-05
88	0.4369	279.131	215.543	0.000371592	8.55514e-05
89	0.4369	271.899	210.921	0.000380767	8.51307e-05
90	0.4369	277.511	214.674	0.000374248	8.53385e-05
91	0.4369	278.652	215.702	0.000374532	8.55089e-05
92	0.4369	274.014	212.027	0.000376482	8.53909e-05
93	0.4369	278.88	215.849	0.000381346	8.56294e-05
94	0.4369	278.074	214.998	0.000373435	8.51811e-05
95	0.4369	275.388	212.818	0.000371657	8.54111e-05
96	0.4369	279.825	216.91	0.000381388	8.53675e-05
97	0.4369	281.728	217.504	0.00037229	8.55203e-05
98	0.4369	270.2	209.527	0.000375357	8.51532e-05
99	0.4369	285.866	220.949	0.000386921	8.57244e-05
100	0.4369	277.58	215.088	0.000377185	8.53146e-05
101	0.4369	272.785	210.978	0.000374501	8.54925e-05
102	0.4369	270.165	209.432	0.000377185	8.52025e-05
103	0.4369	277.566	214.629	0.000371879	8.51833e-05
104	0.4369	282.815	218.758	0.00037968	8.54456e-05
105	0.4369	279.895	216.155	0.000373783	8.5526e-05
106	0.4369	276.153	213.526	0.000375389	8.54042e-05
107	0.4369	286.065	220.811	0.000375218	8.55933e-05
108	0.4369	274.102	212.225	0.000377752	8.54486e-05
109	0.4369	277.928	214.634	0.000374187	8.5473e-05
110	0.4369	282.75	218.614	0.000378715	8.55715e-05
111	0.4369	268.993	208.037	0.000371379	8.51512e-05
112	0.4369	280.328	216.876	0.000382529	8.55129e-05
113	0.4369	274.271	211.952	0.000363639	8.52444e-05
114	0.4369	282.42	218.263	0.000375707	8.5376e-05
115	0.4369	272.749	210.957	0.000370388	8.51861e-05
116	0.4369	282.278	218.123	0.00037557	8.5534e-05
117	0.4369	278.835	215.527	0.000377242	8.55729e-05
118	0.4369	276.774	213.981	0.000371663	8.54855e-05
119	0.4369	284.223	220.021	0.000384881	8.55105e-05
120	0.4369	275.09	213.015	0.000375711	8.53716e-05
121	0.4369	270.036	209.214	0.000372405	8.51778e-05
122	0.4369	275.961	213.358	0.000372555	8.53555e-05
123	0.4369	278.54	215.007	0.000370184	8.54921e-05
124	0.4369	289.339	223.698	0.000386406	8.58958e-05
125	0.4369	280.572	217.261	0.000386095	8.57431e-05
126	0.4369	286.217	221.243	0.000380689	8.56517e-05
127	0.4369	278.735	215.821	0.000375798	8.54222e-05
128	0.4369	276.941	214.413	0.000377809	8.53734e-05
129	0.4369	274.466	212.61	0.000376431	8.52591e-05
130	0.4369	268.652	207.852	0.000371295	8.52803e-05
131	0.4369	285.527	220.899	0.000384041	8.5624e-05
132	0.4369	284.039	219.493	0.000377206	8.55777e-05
133	0.4369	275.258	213.142	0.000380096	8.52181e-05
134	0.4369	279.752	216.737	0.000378816	8.53106e-05
135	0.4369	276.615	213.778	0.000372921	8.53125e-05
136	0.4369	276.665	213.726	0.000373363	8.54998e-05
137	0.4369	279.007	216.009	0.000380956	8.55778e-05
138	0.4369	280.179	216.822	0.000378806	8.56514e-05
139	0.4369	271.651	210.281	0.000374283	8.50987e-05
140	0.4369	279.594	215.966	0.000374929	8.55337e-05
141	0.4369	269.058	207.983	0.000366936	8.50348e-05
142	0.4369	283.881	220.12	0.000383994	8.52384e-05
143	0.4369	274.284	211.861	0.000365433	8.53258e-05
144	0.4369	274.649	212.57	0.000367423	8.5104e-05
145	0.4369	284.377	219.883	0.00038525	8.56937e-05
146	0.4369	276.07	213.263	0.000370784	8.54572e-05
147	0.4369	278.064	214.895	0.000374535	8.5605e-05
148	0.4369	274.4	212.749	0.000376582	8.52167e-05
149	0.4369	277.001	214.325	0.000365703	8.53377e-05
150	0.4369	271.356	209.819	0.000365444	8.51857e-05
151	0.4369	278.121	215.001	0.000374224	8.54059e-05
152	0.4369	276.446	213.61	0.000370474	8.53102e-05
153	0.4369	282.085	218.023	0.000376031	8.55505e-05
154	0.4369	281.882	217.852	0.000378909	8.56396e-05
155	0.4369	277.875	214.756	0.00036859	8.52859e-05
156	0.4369	279.321	216.251	0.00037625	8.54246e-05
157	0.4369	276.577	213.809	0.000378173	8.52741e-05
158	0.4369	280.425	217.056	0.000377741	8.53956e-05
159	0.4369	278.66	215.495	0.000381636	8.55652e-05
160	0.4369	267.822	207.32	0.000367448	8.51098e-05
161	0.4369	285.477	220.654	0.000378916	8.56873e-05
162	0.4369	278.203	215.488	0.000381676	8.51086e-05
163	0.4369	276.902	213.959	0.00037135	8.55868e-05
164	0.4369	283.958	219.73	0.000386603	8.55491e-05
165	0.4369	276.41	214.199	0.000381311	8.53858e-05
166	0.4369	290.369	224.588	0.000392391	8.57771e-05
167	0.4369	275.197	213.106	0.000377738	8.53184e-05
168	0.4369	280.832	217.132	0.000379425	8.56224e-05
169	0.4369	276.091	213.553	0.000375874	8.55265e-05
170	0.4369	276.076	213.779	0.000372881	8.51993e-05
171	0.4369	274.236	212.587	0.000377772	8.53599e-05
172	0.4369	275.376	213.34	0.000377525	8.53257e-05
173	0.4369	281.376	217.773	0.000381341	8.55838e-05
174	0.4369	282.407	218.296	0.000379305	8.54754e-05
175	0.4369	281.028	217.319	0.000379494	8.56759e-05
176	0.4369	282.501	218.344	0.000382136	8.54927e-05
177	0.4369	282.589	218.417	0.000375452	8.53826e-05
178	0.4369	278.298	215.323	0.000380722	8.55762e-05
179	0.4369	284.625	219.764	0.000374741	8.56619e-05
180	0.4369	279.112	215.607	0.0003709	8.53402e-05
181	0.4369	287.183	221.822	0.000375878	8.55142e-05
182	0.4369	280.302	216.67	0.000373179	8.53346e-05
183	0.4369	278.787	215.748	0.000379522	8.54581e-05
184	0.4369	275.009	213.214	0.000376063	8.51927e-05
185	0.4369	276.721	214.136	0.000377792	8.53875e-05
186	0.4369	274.716	212.155	0.000367262	8.55336e-05
187	0.4369	279.76	216.482	0.000380962	8.55189e-05
188	0.4369	279.897	216.295	0.000384037	8.55727e-05
189	0.4369	280.256	216.937	0.000382405	8.54214e-05
190	0.4369	276.552	213.912	0.000373248	8.54812e-05
191	0.4369	274.964	212.653	0.000368548	8.5301e-05
192	0.4369	274.114	211.896	0.00036878	8.52475e-05
193	0.4369	281.019	217.332	0.000379995	8.56805e-05
194	0.4369	279.743	216.599	0.000379864	8.54385e-05
