Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	83.1269	253.423	193.364	0.00025983	8.08967e-05
1	83.1269	252.817	192.808	0.000256788	8.07046e-05
2	83.1269	250.089	190.219	0.000241968	7.97061e-05
3	83.1269	248.828	188.927	0.000233027	7.90804e-05
4	83.1269	253.789	193.799	0.000265485	8.12257e-05
5	83.1269	251.81	191.794	0.000248795	8.01983e-05
6	83.1269	251.889	191.869	0.000249551	8.02479e-05
7	83.1269	256.602	196.384	0.000275464	8.17972e-05
8	83.1269	252.893	192.837	0.000254779	8.05813e-05
9	83.1269	256.208	195.864	0.00027033	8.15372e-05
10	83.1269	251.543	191.458	0.000244729	7.99309e-05
11	83.1269	250.27	190.317	0.000240674	7.96398e-05
12	83.1269	255.696	195.525	0.000271346	8.15866e-05
13	83.1269	254.934	194.9	0.000267588	8.13182e-05
14	83.1269	254.136	194.172	0.00026593	8.12176e-05
15	83.1269	250.909	191.023	0.000248052	8.01161e-05
16	83.1269	254.746	194.623	0.000265416	8.12387e-05
17	83.1269	248.68	188.85	0.000234452	7.91689e-05
18	83.1269	254.347	194.12	0.000260323	8.09425e-05
19	83.1269	252.839	192.779	0.00025441	8.05673e-05
20	83.1269	256.156	195.965	0.000273897	8.17323e-05
21	83.1269	253.151	193.186	0.000256543	8.06479e-05
22	83.1269	251.564	191.554	0.000247184	8.00831e-05
23	83.1269	253.274	193.212	0.000257933	8.07834e-05
24	83.1269	258.485	198.371	0.000299148	8.29963e-05
25	83.1269	252.939	193.073	0.000260522	8.08764e-05
26	83.1269	253.936	193.84	0.000260684	8.09566e-05
27	83.1269	247.802	188.011	0.000230733	7.88889e-05
28	83.1269	259.762	199.563	0.000304138	8.32241e-05
29	83.1269	256.826	196.659	0.00027786	8.19209e-05
30	83.1269	245.035	185.379	0.000219645	7.79895e-05
31	83.1269	239.35	179.783	0.00019371	7.54983e-05
32	83.1269	249.92	189.965	0.000239373	7.95433e-05
33	83.1269	260.664	200.289	0.000303791	8.32549e-05
34	83.1269	259.33	199.005	0.00029357	8.27663e-05
35	83.1269	255.651	195.621	0.000275662	8.17812e-05
36	83.1269	242.602	182.906	0.000204725	7.66607e-05
37	83.1269	245.896	186.099	0.000219084	7.79689e-05
38	83.1269	250.248	190.368	0.000243436	7.98121e-05
39	83.1269	249.322	189.477	0.000235477	7.92303e-05
40	83.1269	254.36	194.328	0.000263221	8.10654e-05
41	83.1269	254.988	194.908	0.000267317	8.13234e-05
42	83.1269	249.822	189.914	0.00023821	7.94503e-05
43	83.1269	247.963	188.089	0.000229075	7.87766e-05
44	83.1269	255.932	195.806	0.00027239	8.16155e-05
45	83.1269	253.223	193.163	0.000256927	8.07213e-05
46	83.1269	258.42	198.275	0.00028627	8.22487e-05
47	83.1269	255.079	194.928	0.000266843	8.13296e-05
48	83.1269	246.01	186.218	0.000220201	7.80596e-05
49	83.1269	257.39	197.138	0.000281432	8.21445e-05
50	83.1269	257.04	196.963	0.000280846	8.20333e-05
51	83.1269	243.733	184.135	0.00020916	7.70365e-05
52	83.1269	244.552	184.788	0.000212802	7.74199e-05
53	83.1269	252.953	192.893	0.000255067	8.06068e-05
54	83.1269	248.299	188.449	0.000230737	7.88945e-05
55	83.1269	253.944	193.856	0.00026147	8.10037e-05
56	83.1269	254.902	194.866	0.000271516	8.1567e-05
57	83.1269	253.218	192.945	0.000252575	8.04554e-05
58	83.1269	254.086	193.979	0.000261485	8.10079e-05
59	83.1269	247.981	187.988	0.000226661	7.85966e-05
60	83.1269	254.571	194.527	0.000269442	8.14217e-05
61	83.1269	251.169	191.265	0.000249652	8.02365e-05
62	83.1269	258.109	197.869	0.000286592	8.23997e-05
63	83.1269	239.501	179.986	0.000196177	7.57584e-05
64	83.1269	255.117	195.022	0.000267567	8.13375e-05
65	83.1269	246.169	186.41	0.000220745	7.80914e-05
66	83.1269	252.451	192.486	0.000252291	8.03895e-05
67	83.1269	250.499	190.596	0.000245194	7.99403e-05
68	83.1269	247.739	187.885	0.000227823	7.86795e-05
69	83.1269	250.667	190.71	0.000243382	7.98275e-05
70	83.1269	253.662	193.576	0.000259028	8.0854e-05
71	83.1269	255.512	195.355	0.000270161	8.15174e-05
72	83.1269	240.66	181.013	0.00019689	7.58592e-05
73	83.1269	256.069	195.922	0.000275549	8.18045e-05
74	83.1269	262.554	202.069	0.000316536	8.38226e-05
75	83.1269	250.058	190.113	0.000240747	7.9639e-05
76	83.1269	249.879	189.884	0.000237528	7.94171e-05
77	83.1269	244.682	184.842	0.000210937	7.72372e-05
78	83.1269	250.222	190.276	0.000240367	7.96147e-05
79	83.1269	252.756	192.755	0.00025739	8.07398e-05
80	83.1269	259.818	199.517	0.000297674	8.29396e-05
81	83.1269	251.351	191.436	0.000248143	8.01241e-05
82	83.1269	250.201	190.262	0.000240253	7.96025e-05
83	83.1269	242.891	183.189	0.0002059	7.67751e-05
