Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.4172	281.134	216.521	0.000355591	8.54403e-05
1	0.4172	281.828	216.87	0.00034755	8.51579e-05
2	0.4172	283.988	218.629	0.000360065	8.56485e-05
3	0.4172	276.061	212.582	0.000345837	8.50938e-05
4	0.4172	270.67	208.547	0.000341129	8.48561e-05
5	0.4172	281.098	216.36	0.000354802	8.54378e-05
6	0.4172	277.5	214.207	0.00036986	8.58674e-05
7	0.4172	288.855	222.246	0.000368997	8.5986e-05
8	0.4172	282.165	217.368	0.000362664	8.571e-05
9	0.4172	281.209	216.659	0.000358161	8.55334e-05
10	0.4172	286.362	220.312	0.000357915	8.55436e-05
11	0.4172	285.002	219.35	0.000361923	8.57259e-05
12	0.4172	292.798	225.203	0.00037121	8.60827e-05
13	0.4172	270.386	208.612	0.000343892	8.4811e-05
14	0.4172	280.597	216.302	0.000362775	8.56587e-05
15	0.4172	283.035	218.043	0.000365275	8.58078e-05
16	0.4172	305.194	234.016	0.000371325	8.61682e-05
17	0.4172	286.956	220.659	0.000355796	8.55687e-05
18	0.4172	295.729	227.722	0.000385881	8.64431e-05
19	0.4172	283.388	218.05	0.000354631	8.54825e-05
20	0.4172	294.012	226.126	0.000366887	8.58463e-05
21	0.4172	282.114	216.863	0.000345309	8.51531e-05
22	0.4172	280.17	215.926	0.000357154	8.5367e-05
23	0.4172	274.447	211.535	0.000351208	8.52515e-05
24	0.4172	284.279	218.873	0.000360516	8.56515e-05
25	0.4172	286.192	220.333	0.000363911	8.57486e-05
26	0.4172	282.233	217.294	0.00035404	8.54018e-05
27	0.4172	285.983	220.242	0.000369044	8.59615e-05
28	0.4172	275.404	212.512	0.000356603	8.53317e-05
29	0.4172	281.344	217.067	0.000368975	8.57975e-05
30	0.4172	301.259	231.179	0.000375137	8.62975e-05
31	0.4172	279.907	215.781	0.000357642	8.54352e-05
32	0.4172	282.269	217.697	0.000363134	8.55571e-05
33	0.4172	296.2	227.662	0.000362706	8.5705e-05
34	0.4172	301.186	231.116	0.000370318	8.6166e-05
35	0.4172	288.196	221.826	0.00036483	8.58107e-05
36	0.4172	285.244	219.264	0.000350312	8.53643e-05
37	0.4172	281.712	217.679	0.000377325	8.58736e-05
38	0.4172	277.088	213.521	0.000351153	8.52332e-05
39	0.4172	295.153	226.808	0.000370834	8.60799e-05
40	0.4172	292.877	224.994	0.00035823	8.56561e-05
41	0.4172	287.133	220.547	0.000348581	8.53162e-05
42	0.4172	286.081	220.063	0.000354925	8.54519e-05
43	0.4172	283.683	218.552	0.000365934	8.584e-05
44	0.4172	284.706	219.399	0.000364817	8.57284e-05
45	0.4172	281.835	217.428	0.000367796	8.57083e-05
46	0.4172	289.842	223.307	0.000374308	8.60089e-05
47	0.4172	284.119	218.637	0.000353186	8.53589e-05
48	0.4172	273.508	211.282	0.000364046	8.55583e-05
49	0.4172	282.358	217.63	0.000363895	8.57263e-05
50	0.4172	288.067	221.281	0.000351209	8.53928e-05
51	0.4172	279.57	215.308	0.000350374	8.52484e-05
52	0.4172	282.424	216.43	0.00031977	8.41098e-05
53	0.4172	278.751	214.853	0.000359781	8.55819e-05
54	0.4172	293.357	225.712	0.000365356	8.5721e-05
55	0.4172	283.408	218.303	0.000361629	8.56764e-05
56	0.4172	266.793	205.922	0.000345158	8.49173e-05
57	0.4172	291.17	224.253	0.000371022	8.59092e-05
58	0.4172	274.075	211.66	0.000360815	8.54588e-05
59	0.4172	288.057	221.452	0.000354554	8.54927e-05
60	0.4172	271.994	209.975	0.000353508	8.52514e-05
61	0.4172	282.892	217.914	0.000362704	8.57319e-05
62	0.4172	283.012	217.672	0.000351683	8.53793e-05
63	0.4172	273.628	211.093	0.000356165	8.5387e-05
64	0.4172	272.277	208.97	0.000312633	8.37184e-05
65	0.4172	283.427	218.128	0.000354233	8.54444e-05
66	0.4172	282.047	216.937	0.000349737	8.52861e-05
67	0.4172	309.718	237.168	0.000374591	8.63807e-05
68	0.4172	279.095	214.962	0.000350444	8.52184e-05
69	0.4172	285.691	219.859	0.000360571	8.56413e-05
70	0.4172	283.666	218.157	0.000350788	8.53151e-05
71	0.4172	283.362	218.012	0.000354937	8.54723e-05
72	0.4172	279.036	214.823	0.000345757	8.5039e-05
73	0.4172	294.512	226.546	0.000368413	8.58873e-05
74	0.4172	280.822	216.666	0.000366067	8.56764e-05
75	0.4172	286.595	220.835	0.000371427	8.59293e-05
76	0.4172	276.963	213.522	0.000354852	8.53344e-05
77	0.4172	288.818	222.108	0.000356719	8.55424e-05
78	0.4172	286.598	220.356	0.000347094	8.51162e-05
79	0.4172	282.787	217.558	0.000351313	8.5337e-05
80	0.4172	285.686	220.351	0.000365801	8.55365e-05
81	0.4172	279.226	215.149	0.000352209	8.52639e-05
82	0.4172	286.879	221.042	0.000361947	8.55548e-05
83	0.4172	288.235	221.218	0.000339636	8.49804e-05
84	0.4172	290.919	223.935	0.000367044	8.58053e-05
85	0.4172	291.154	223.82	0.000362531	8.58149e-05
86	0.4172	287.639	221.069	0.000354936	8.55453e-05
87	0.4172	285.866	220.072	0.000366113	8.58487e-05
88	0.4172	287.267	220.727	0.000347447	8.5219e-05
89	0.4172	279.494	215.447	0.000355505	8.53391e-05
90	0.4172	298.85	229.34	0.00036468	8.5933e-05
91	0.4172	286.398	220.618	0.000370905	8.601e-05
92	0.4172	287.396	221.428	0.000373066	8.60388e-05
93	0.4172	293.346	225.165	0.000355413	8.56227e-05
94	0.4172	281.625	216.862	0.000353449	8.5366e-05
95	0.4172	276.298	213.248	0.000355783	8.52393e-05
96	0.4172	286.473	220.597	0.000363958	8.57249e-05
97	0.4172	299.584	231.027	0.000387141	8.59953e-05
98	0.4172	287.115	220.252	0.000338639	8.49791e-05
99	0.4172	285.672	219.818	0.000358052	8.55661e-05
100	0.4172	283.128	217.984	0.000352252	8.52802e-05
101	0.4172	281.173	216.485	0.000349211	8.51044e-05
102	0.4172	280.334	216.319	0.000360681	8.53742e-05
103	0.4172	279.095	214.978	0.000350654	8.52286e-05
104	0.4172	298.676	229.275	0.000366753	8.60495e-05
105	0.4172	285.346	219.662	0.000362736	8.57259e-05
106	0.4172	288.491	222.27	0.000371705	8.59822e-05
107	0.4172	274.61	211.721	0.000353418	8.53202e-05
108	0.4172	278.079	214.575	0.000364168	8.56204e-05
109	0.4172	289.598	222.423	0.000354537	8.55505e-05
110	0.4172	270.007	208.289	0.000345289	8.49133e-05
111	0.4172	280.344	216.407	0.000370765	8.58402e-05
112	0.4172	283.202	218.1	0.000359097	8.55413e-05
113	0.4172	284.756	218.735	0.000343306	8.51201e-05
114	0.4172	289.994	223.33	0.000372253	8.60258e-05
115	0.4172	287.649	221.137	0.000357918	8.56292e-05
116	0.4172	292.127	224.214	0.000355619	8.56232e-05
117	0.4172	288.432	221.846	0.000363411	8.58222e-05
118	0.4172	282.081	217.273	0.000350219	8.51458e-05
119	0.4172	284.383	219.158	0.000368193	8.58439e-05
120	0.4172	283.71	218.097	0.000346677	8.52097e-05
