Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0016	306.395	235.238	0.00038925	8.67917e-05
1	0.0016	304.311	233.703	0.000386052	8.66814e-05
2	0.0016	282.626	218.128	0.000377292	8.61524e-05
3	0.0016	287.169	221.427	0.00038006	8.62984e-05
4	0.0016	296.319	228.032	0.000384649	8.65437e-05
5	0.0016	329.084	251.214	0.000398282	8.72653e-05
6	0.0016	286.962	221.276	0.000379977	8.62933e-05
7	0.0016	300.133	230.698	0.000383482	8.65609e-05
8	0.0016	294.46	226.697	0.000383701	8.64957e-05
9	0.0016	292.801	225.443	0.00038052	8.6387e-05
10	0.0016	295.689	227.58	0.000384451	8.6532e-05
11	0.0016	323.594	247.262	0.000390942	8.7018e-05
12	0.0016	289.857	223.374	0.000381514	8.63751e-05
13	0.0016	280.125	216.276	0.00037492	8.60555e-05
14	0.0016	279.989	216.199	0.000375851	8.60808e-05
15	0.0016	308.944	237.055	0.000390536	8.68556e-05
16	0.0016	299.697	230.448	0.000386338	8.66327e-05
17	0.0016	290.677	223.954	0.000381392	8.63828e-05
18	0.0016	299.896	230.599	0.000386417	8.66381e-05
19	0.0016	296.876	228.423	0.000384787	8.65564e-05
20	0.0016	316.552	242.439	0.000393614	8.702e-05
21	0.0016	306.496	235.306	0.000389092	8.67888e-05
22	0.0016	295.805	227.66	0.000384508	8.65355e-05
23	0.0016	303.212	232.972	0.000387986	8.67205e-05
24	0.0016	294.231	226.503	0.00038266	8.64648e-05
25	0.0016	290.741	224.013	0.000381985	8.64e-05
26	0.0016	293.537	226.005	0.000382143	8.64414e-05
27	0.0016	310.35	238.048	0.00039114	8.68876e-05
28	0.0016	282.22	217.776	0.000373971	8.60598e-05
29	0.0016	287.812	221.853	0.000378593	8.6267e-05
30	0.0016	298.665	229.688	0.00038465	8.65773e-05
31	0.0016	292.501	225.274	0.000382866	8.64468e-05
32	0.0016	287.708	221.818	0.000380409	8.63155e-05
33	0.0016	297.052	228.543	0.000384739	8.65569e-05
34	0.0016	301.477	231.721	0.000386715	8.66655e-05
35	0.0016	299.517	230.328	0.000386268	8.66294e-05
36	0.0016	301.256	231.574	0.000387119	8.66734e-05
37	0.0016	289.616	223.186	0.000380885	8.63546e-05
38	0.0016	290.565	223.881	0.000381747	8.63905e-05
39	0.0016	290.958	224.166	0.000382107	8.64064e-05
40	0.0016	284.441	219.386	0.000375835	8.61434e-05
41	0.0016	299.074	230.009	0.000385998	8.6617e-05
42	0.0016	298.2	229.294	0.000381613	8.64859e-05
43	0.0016	277.611	214.467	0.00037467	8.60116e-05
44	0.0016	289.578	223.118	0.000379048	8.63039e-05
45	0.0016	289.971	223.453	0.000381538	8.63786e-05
46	0.0016	299.606	230.401	0.000386452	8.66309e-05
47	0.0016	311.546	238.853	0.000389517	8.68571e-05
48	0.0016	294.409	226.652	0.000383527	8.64903e-05
49	0.0016	297.129	228.616	0.000385166	8.65697e-05
50	0.0016	304.569	233.939	0.000388544	8.67517e-05
51	0.0016	286.463	220.917	0.000379766	8.62808e-05
52	0.0016	289.267	222.948	0.000381231	8.63597e-05
53	0.0016	295.778	227.542	0.000379929	8.64088e-05
54	0.0016	296.594	228.229	0.000384812	8.65536e-05
55	0.0016	274.26	212.017	0.000372969	8.5913e-05
56	0.0016	282.465	218.01	0.000377634	8.61647e-05
57	0.0016	286.189	220.716	0.000379614	8.62731e-05
58	0.0016	307.822	236.257	0.000390047	8.683e-05
59	0.0016	295.675	227.556	0.000383824	8.6515e-05
60	0.0016	308.828	236.967	0.000390262	8.68471e-05
61	0.0016	294.408	226.624	0.000382301	8.64571e-05
62	0.0016	300.289	230.87	0.000386384	8.66424e-05
63	0.0016	293.489	225.995	0.000383317	8.64729e-05
64	0.0016	318.736	243.973	0.00039453	8.70672e-05
65	0.0016	285.426	220.146	0.000378484	8.62314e-05
66	0.0016	299.084	230.015	0.000386093	8.66197e-05
67	0.0016	322.7	246.758	0.000395963	8.71442e-05
68	0.0016	294.72	226.878	0.000383925	8.65056e-05
69	0.0016	306.476	235.27	0.00038811	8.67626e-05
70	0.0016	299.553	230.347	0.000386166	8.66276e-05
71	0.0016	299.255	230.058	0.000382481	8.65232e-05
72	0.0016	295.617	227.524	0.000384198	8.65243e-05
73	0.0016	300.972	231.367	0.000386987	8.66669e-05
74	0.0016	302.069	232.154	0.0003875	8.66937e-05
75	0.0016	295.193	227.218	0.000384221	8.65199e-05
