Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	14.6864	285.288	220.021	0.000375546	8.61043e-05
1	14.6864	302.529	232.224	0.000382857	8.65697e-05
2	14.6864	293.51	225.972	0.000381686	8.63908e-05
3	14.6864	316.354	242.258	0.000391945	8.69686e-05
4	14.6864	327.099	249.675	0.000391948	8.70763e-05
5	14.6864	284.721	219.539	0.000374683	8.61117e-05
6	14.6864	296.565	228.156	0.000383554	8.65177e-05
7	14.6864	279.635	215.972	0.000375127	8.60551e-05
8	14.6864	300.264	230.825	0.000386125	8.6634e-05
9	14.6864	304.806	234.064	0.000387398	8.67224e-05
10	14.6864	268.759	207.908	0.00036767	8.56756e-05
11	14.6864	291.205	224.276	0.000380673	8.637e-05
12	14.6864	289.379	223.02	0.00038082	8.63304e-05
13	14.6864	294.852	226.885	0.000380762	8.64165e-05
14	14.6864	277.739	214.513	0.000373229	8.59664e-05
15	14.6864	294.99	226.933	0.000377746	8.63373e-05
16	14.6864	280.501	216.474	0.000372882	8.60032e-05
17	14.6864	289.399	223.08	0.000380554	8.63081e-05
18	14.6864	291.394	224.415	0.000379932	8.63513e-05
19	14.6864	292.896	225.538	0.000382443	8.64395e-05
20	14.6864	272.804	210.897	0.000370224	8.57967e-05
21	14.6864	288.54	222.184	0.000375732	8.61915e-05
22	14.6864	288.677	222.463	0.000379455	8.62801e-05
23	14.6864	291	224.106	0.000379595	8.63305e-05
24	14.6864	308.505	236.571	0.000386141	8.67278e-05
25	14.6864	277.813	214.593	0.000374104	8.59967e-05
26	14.6864	309.421	237.308	0.000389166	8.68223e-05
27	14.6864	287.275	221.46	0.000378727	8.62627e-05
28	14.6864	279.235	215.56	0.000373145	8.59925e-05
29	14.6864	293.849	225.914	0.00037023	8.60982e-05
30	14.6864	268.966	208.079	0.000367322	8.56532e-05
31	14.6864	297.005	228.395	0.000385198	8.65507e-05
32	14.6864	312.743	239.74	0.000391878	8.6922e-05
33	14.6864	280.507	216.432	0.000373454	8.60195e-05
34	14.6864	302.576	232.513	0.000385818	8.66161e-05
35	14.6864	280.674	216.679	0.000376708	8.60935e-05
36	14.6864	301.387	231.62	0.000385668	8.66321e-05
37	14.6864	312.513	239.43	0.000385604	8.67513e-05
38	14.6864	326.047	249.065	0.00039636	8.71849e-05
39	14.6864	278.529	215.043	0.000369411	8.58404e-05
40	14.6864	305.186	234.219	0.000382902	8.65943e-05
41	14.6864	298.066	229.255	0.00038416	8.65546e-05
42	14.6864	289.767	223.176	0.000375907	8.62182e-05
43	14.6864	293.289	225.834	0.000382719	8.64537e-05
44	14.6864	273.192	211.23	0.000371763	8.58515e-05
45	14.6864	270.297	209.033	0.000368519	8.57238e-05
46	14.6864	287.629	221.645	0.000376802	8.62091e-05
47	14.6864	286.88	221.153	0.000379307	8.62654e-05
48	14.6864	271.599	210.012	0.000369329	8.57629e-05
49	14.6864	305.629	234.646	0.000386244	8.66744e-05
50	14.6864	293.903	226.215	0.00037947	8.63489e-05
51	14.6864	289.268	222.929	0.000381017	8.63528e-05
52	14.6864	289.671	223.082	0.000375035	8.61921e-05
53	14.6864	320.261	244.963	0.000392803	8.70345e-05
54	14.6864	294.417	226.605	0.000383366	8.64854e-05
55	14.6864	299.549	230.275	0.000383877	8.65639e-05
56	14.6864	270.482	209.186	0.000368647	8.57297e-05
57	14.6864	291.642	224.581	0.000379941	8.63575e-05
58	14.6864	302.72	232.589	0.000386365	8.66516e-05
59	14.6864	310.356	237.845	0.000383552	8.668e-05
60	14.6864	286.811	220.944	0.000371535	8.60315e-05
61	14.6864	279.859	215.997	0.000372824	8.59907e-05
62	14.6864	304.162	233.598	0.000386939	8.67036e-05
