Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0003	278.805	215.24	0.000372899	8.59693e-05
1	0.0003	282.337	217.751	0.000372423	8.60054e-05
2	0.0003	290.634	223.845	0.000379219	8.63151e-05
3	0.0003	293.112	225.606	0.000378591	8.63343e-05
4	0.0003	280.094	216.14	0.0003714	8.59463e-05
5	0.0003	288.782	222.402	0.000376385	8.62066e-05
6	0.0003	277.213	214.103	0.000371677	8.59191e-05
7	0.0003	280.783	216.655	0.00037174	8.59715e-05
8	0.0003	282.039	217.575	0.000372953	8.60222e-05
9	0.0003	276.494	213.533	0.000369698	8.585e-05
10	0.0003	289.427	222.949	0.000378671	8.6286e-05
11	0.0003	289.866	223.308	0.000378859	8.62973e-05
12	0.0003	284.064	219.046	0.000374726	8.61006e-05
13	0.0003	294.85	226.894	0.000380804	8.64192e-05
14	0.0003	293.457	225.901	0.000381419	8.64162e-05
15	0.0003	278.818	215.272	0.000372206	8.59594e-05
16	0.0003	287.937	221.87	0.000376342	8.61919e-05
17	0.0003	286.478	220.823	0.000376075	8.61728e-05
18	0.0003	288.671	222.355	0.000376957	8.62209e-05
19	0.0003	281.746	217.297	0.000370652	8.59467e-05
20	0.0003	279.947	216.045	0.000371847	8.59569e-05
21	0.0003	282.413	217.846	0.000373325	8.60342e-05
22	0.0003	280.259	216.326	0.000373419	8.60121e-05
23	0.0003	273.963	211.577	0.000367295	8.57296e-05
24	0.0003	286.93	221.134	0.000376068	8.61764e-05
25	0.0003	281.259	217.012	0.000373207	8.60156e-05
26	0.0003	277.429	214.231	0.000371126	8.59026e-05
27	0.0003	295.354	227.152	0.00037905	8.63654e-05
28	0.0003	288.835	222.55	0.000378497	8.62748e-05
29	0.0003	290.503	223.721	0.000376874	8.62492e-05
30	0.0003	287.624	221.735	0.00037941	8.62865e-05
31	0.0003	279.49	215.676	0.000371557	8.59356e-05
32	0.0003	274.147	211.839	0.000370064	8.58234e-05
33	0.0003	286.697	220.993	0.000376149	8.61815e-05
34	0.0003	280.349	216.419	0.000374121	8.60361e-05
35	0.0003	293.911	226.168	0.000379856	8.63728e-05
36	0.0003	291.578	224.449	0.000377247	8.62677e-05
37	0.0003	284.923	219.694	0.00037514	8.61243e-05
38	0.0003	272.833	210.878	0.000368883	8.57691e-05
39	0.0003	277.719	214.354	0.000370793	8.58867e-05
40	0.0003	281.52	217.21	0.000373099	8.60184e-05
41	0.0003	282.365	217.812	0.000373211	8.6032e-05
