Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.0263	269.368	208.461	0.000370465	8.57409e-05
1	0.0263	273.117	211.173	0.000371904	8.58649e-05
2	0.0263	270.393	209.18	0.000370634	8.57864e-05
3	0.0263	269.442	208.478	0.000369901	8.575e-05
4	0.0263	269.152	208.265	0.00036982	8.57453e-05
5	0.0263	270.073	208.94	0.000370294	8.57716e-05
6	0.0263	269.842	208.769	0.000370016	8.576e-05
7	0.0263	270.302	209.114	0.000370597	8.57836e-05
8	0.0263	269.167	208.272	0.00036971	8.57405e-05
9	0.0263	269.79	208.73	0.000370113	8.57618e-05
10	0.0263	270.239	209.068	0.000370568	8.57818e-05
11	0.0263	269.75	208.702	0.000370158	8.57629e-05
12	0.0263	270.124	208.979	0.000370478	8.57778e-05
13	0.0263	272.361	210.626	0.00037182	8.58508e-05
14	0.0263	269.009	208.153	0.000369378	8.57285e-05
15	0.0263	269.198	208.301	0.000369891	8.57457e-05
16	0.0263	269.786	208.735	0.000370284	8.57665e-05
17	0.0263	269.858	208.787	0.00037033	8.57691e-05
18	0.0263	269.215	208.314	0.000369917	8.57473e-05
19	0.0263	268.959	208.124	0.000369716	8.57374e-05
20	0.0263	269.279	208.361	0.000369948	8.57491e-05
21	0.0263	269.736	208.694	0.000370124	8.57637e-05
22	0.0263	270.622	209.342	0.000370591	8.57898e-05
23	0.0263	270.702	209.394	0.000370266	8.57805e-05
24	0.0263	271.154	209.741	0.000371136	8.5812e-05
25	0.0263	269.081	208.211	0.000369666	8.57379e-05
26	0.0263	269.332	208.4	0.000369979	8.57504e-05
27	0.0263	269.209	208.309	0.000369918	8.5747e-05
28	0.0263	269.335	208.403	0.000370022	8.57522e-05
29	0.0263	270.042	208.92	0.000370333	8.57719e-05
30	0.0263	269.513	208.532	0.000370112	8.57576e-05
31	0.0263	270.37	209.146	0.00036981	8.57627e-05
32	0.0263	269.136	208.251	0.000369847	8.5744e-05
33	0.0263	269.135	208.249	0.000369707	8.57401e-05
34	0.0263	269.481	208.508	0.000370001	8.57538e-05
35	0.0263	271.217	209.786	0.00037113	8.58134e-05
36	0.0263	272.538	210.756	0.000371877	8.58554e-05
37	0.0263	269.605	208.599	0.000370056	8.57574e-05
38	0.0263	269.37	208.425	0.000370036	8.57533e-05
39	0.0263	271.679	210.111	0.000370927	8.58154e-05
40	0.0263	270.173	209.011	0.000370146	8.57688e-05
41	0.0263	271.48	209.952	0.000370049	8.5787e-05
42	0.0263	269.451	208.486	0.000370068	8.57562e-05
43	0.0263	269.951	208.856	0.000370398	8.57728e-05
44	0.0263	269.628	208.61	0.000370008	8.57567e-05
45	0.0263	269.186	208.293	0.000369904	8.57456e-05
46	0.0263	268.995	208.144	0.000369692	8.57367e-05
47	0.0263	269.906	208.818	0.00037027	8.57685e-05
48	0.0263	269.288	208.365	0.000369951	8.57497e-05
49	0.0263	270.154	209.004	0.000370471	8.5778e-05
50	0.0263	269.645	208.628	0.000370195	8.57622e-05
51	0.0263	269.833	208.766	0.000370285	8.57685e-05
52	0.0263	270.081	208.951	0.00037045	8.57764e-05
53	0.0263	274.774	212.395	0.000373206	8.59278e-05
