Sample	Conc(uM)	APD90(ms)	APD50(ms)	CaMax(mM)	CaMin(mM)
0	0.045	262.171	200.978	0.000291908	8.27293e-05
1	0.045	269.109	207.043	0.000324813	8.424e-05
2	0.045	260.756	198.679	0.000258819	8.09359e-05
3	0.045	271.848	208.816	0.000318795	8.40372e-05
4	0.045	276.438	212.754	0.000340026	8.49001e-05
5	0.045	269.296	207.204	0.000325187	8.42576e-05
6	0.045	267.589	205.248	0.00030298	8.33118e-05
7	0.045	271.252	209.021	0.000339486	8.48123e-05
8	0.045	265.908	204.174	0.000306076	8.34253e-05
9	0.045	264.458	200.868	0.000247384	8.02678e-05
10	0.045	267.921	206.111	0.000321997	8.41142e-05
11	0.045	266.684	204.302	0.000293962	8.28824e-05
12	0.045	267.688	205.889	0.000320006	8.40323e-05
13	0.045	269.303	207.356	0.000330111	8.44455e-05
14	0.045	275.508	210.565	0.000292317	8.29087e-05
15	0.045	267.567	203.319	0.000252459	8.0626e-05
16	0.045	278.867	214.597	0.000343923	8.50703e-05
17	0.045	264.863	202.611	0.00028357	8.23509e-05
18	0.045	268.648	206.271	0.00031032	8.36436e-05
19	0.045	270.153	207.254	0.000307389	8.35365e-05
20	0.045	269.197	206.548	0.000306852	8.35016e-05
21	0.045	269.018	206.575	0.000311612	8.37036e-05
22	0.045	276.929	212.81	0.00032962	8.45267e-05
23	0.045	285.32	219.243	0.000345251	8.51981e-05
24	0.045	274.926	210.539	0.000303543	8.34238e-05
25	0.045	266.37	204.568	0.000309027	8.3559e-05
26	0.045	271.056	207.571	0.000297897	8.31206e-05
27	0.045	264.976	202.935	0.00029003	8.26732e-05
28	0.045	265.679	204.519	0.000322557	8.41057e-05
29	0.045	278.431	213.782	0.000326399	8.44209e-05
30	0.045	262.033	200.124	0.000271711	8.16886e-05
31	0.045	271.083	207.198	0.000286883	8.25907e-05
32	0.045	277.011	212.712	0.000324452	8.43285e-05
33	0.045	265.53	201.819	0.000251736	8.05569e-05
34	0.045	285.695	219.166	0.000333185	8.47674e-05
35	0.045	279.524	214.977	0.000340461	8.49571e-05
36	0.045	266.895	204.211	0.000287706	8.25814e-05
37	0.045	278.72	213.302	0.000305223	8.35446e-05
38	0.045	274.072	209.153	0.00028197	8.23762e-05
39	0.045	262.092	200.021	0.000267996	8.14831e-05
40	0.045	272.931	210.021	0.000333338	8.46141e-05
41	0.045	276.599	213.098	0.000348548	8.51981e-05
42	0.045	272.222	208.435	0.000298618	8.3168e-05
43	0.045	275.457	211.733	0.000329089	8.44881e-05
44	0.045	279.274	214.178	0.000319813	8.41715e-05
45	0.045	273.494	210.11	0.000321727	8.41765e-05
46	0.045	276.871	212.312	0.000314978	8.39438e-05
47	0.045	269.343	206.431	0.000300456	8.32165e-05
48	0.045	252.481	191.042	0.000222159	7.8307e-05
49	0.045	277.325	212.861	0.00032199	8.42347e-05
50	0.045	272.405	209.646	0.000332231	8.45666e-05
51	0.045	268.072	204.983	0.000285229	8.24725e-05
52	0.045	265.955	203.588	0.000288947	8.26303e-05
53	0.045	266.008	203.66	0.000288954	8.26327e-05
54	0.045	265.491	202.676	0.000273485	8.18275e-05
55	0.045	263.911	201.885	0.000282794	8.22967e-05
56	0.045	276.488	212.347	0.000324762	8.43364e-05
57	0.045	267.371	205.103	0.000302971	8.33063e-05
58	0.045	269.656	205.8	0.000276705	8.2048e-05
59	0.045	270.272	208.361	0.000341296	8.48617e-05
60	0.045	255.835	194.755	0.000249863	8.03193e-05
61	0.045	271.192	207.819	0.00030205	8.33125e-05
62	0.045	266.138	204.25	0.000304042	8.33379e-05
63	0.045	262.745	202.058	0.000311802	8.36289e-05
64	0.045	313.868	239.605	0.000356444	8.58796e-05
65	0.045	283.214	217.199	0.000326545	8.44845e-05
66	0.045	263.147	200.594	0.000263366	8.12326e-05
67	0.045	268.928	205.568	0.000284499	8.2448e-05
68	0.045	261.94	199.315	0.00025354	8.06275e-05
69	0.045	268.046	206.288	0.000324914	8.42287e-05
70	0.045	271.828	208.633	0.000312962	8.37967e-05
71	0.045	252.346	190.925	0.000221853	7.82808e-05
72	0.045	273.716	210.722	0.000336969	8.47569e-05
73	0.045	271.173	208.997	0.000340843	8.48613e-05
74	0.045	286.561	220.107	0.000344583	8.51899e-05
75	0.045	274.628	211.117	0.000328044	8.44379e-05
76	0.045	286.408	218.553	0.000299212	8.33537e-05
77	0.045	269.968	207.364	0.000314894	8.3854e-05
78	0.045	264.135	203.224	0.00031764	8.38888e-05
79	0.045	271.687	207.317	0.000278482	8.21695e-05
80	0.045	272.135	208.766	0.000310222	8.3683e-05
81	0.045	259.37	197.982	0.000266159	8.13466e-05
82	0.045	267.935	206.561	0.000336963	8.46788e-05
83	0.045	271.416	208.124	0.000306255	8.35028e-05
84	0.045	271.403	208.625	0.000322318	8.41735e-05
85	0.045	265.89	201.991	0.000249658	8.04302e-05
86	0.045	266.911	204.566	0.00029674	8.3016e-05
87	0.045	280.475	214.859	0.000314864	8.39804e-05
88	0.045	274.5	210.569	0.000313672	8.38596e-05
89	0.045	275.077	211.841	0.000342207	8.49623e-05
90	0.045	266.958	205.756	0.000333029	8.45218e-05
91	0.045	273.686	210.323	0.000324558	8.42923e-05
92	0.045	264.687	202.603	0.000286684	8.25036e-05
93	0.045	270.703	206.682	0.000280175	8.22452e-05
94	0.045	259.468	198.706	0.000283015	8.22533e-05
95	0.045	262.951	202.319	0.000315071	8.37669e-05
96	0.045	275.564	211.064	0.000305445	8.3517e-05
97	0.045	256.512	195.514	0.000256571	8.07459e-05
98	0.045	251.088	189.424	0.00021072	7.73301e-05
99	0.045	279.663	215.277	0.000347848	8.52155e-05
100	0.045	262.97	201.636	0.00029418	8.28455e-05
101	0.045	265.965	202.37	0.000257091	8.08931e-05
102	0.045	271.868	208.591	0.000311113	8.37181e-05
103	0.045	278.42	213.758	0.00032583	8.44002e-05
104	0.045	273.576	209.452	0.000300091	8.32512e-05
105	0.045	271.234	208.324	0.000315403	8.38925e-05
106	0.045	268.366	204.713	0.000272884	8.18308e-05
107	0.045	272.259	209.122	0.00031897	8.40506e-05
108	0.045	273.094	208.21	0.000275471	8.20249e-05
109	0.045	270.992	208.952	0.000343588	8.49516e-05
110	0.045	259.347	197.98	0.000266717	8.13761e-05
111	0.045	269.849	207.923	0.000335641	8.46577e-05
112	0.045	267.942	205.063	0.000289854	8.27007e-05
113	0.045	283.363	216.856	0.000312752	8.39232e-05
114	0.045	269.805	206.695	0.000300033	8.32006e-05
115	0.045	274.317	211.641	0.000355165	8.53801e-05
116	0.045	278.218	213.099	0.000311676	8.38186e-05
117	0.045	261.515	199.865	0.000274638	8.18414e-05
118	0.045	272.602	209.253	0.000314847	8.38854e-05
119	0.045	281.379	215.385	0.000310838	8.38201e-05
120	0.045	266.859	204.192	0.000287753	8.25826e-05
121	0.045	265.842	203.785	0.000296262	8.29807e-05
122	0.045	274.56	209.432	0.000280082	8.22844e-05
123	0.045	277.474	212.27	0.000301039	8.33411e-05
124	0.045	266.176	203.397	0.000279437	8.21533e-05
125	0.045	271.911	209.272	0.000331519	8.4534e-05
126	0.045	266.444	200.013	0.000200853	7.6623e-05
127	0.045	271.868	209.029	0.000324459	8.42635e-05
128	0.045	279.353	214.999	0.000346312	8.51597e-05
129	0.045	277.884	213.566	0.000332017	8.46294e-05
130	0.045	265.895	203.968	0.000301165	8.32051e-05
131	0.045	275.511	210.122	0.000280447	8.23141e-05
132	0.045	267.061	205.516	0.000324289	8.41929e-05
133	0.045	268.49	206.048	0.000307259	8.35107e-05
134	0.045	266.867	204.931	0.000308565	8.3547e-05
135	0.045	269.918	207.148	0.000309409	8.36214e-05
136	0.045	272.729	208.419	0.000288102	8.26703e-05
137	0.045	262.442	201.421	0.00029906	8.30659e-05
138	0.045	262.77	201.253	0.000288234	8.25568e-05
139	0.045	279.619	214.799	0.000332402	8.46636e-05
140	0.045	279.095	213.117	0.000292809	8.29728e-05
141	0.045	268.246	205.991	0.000310346	8.36408e-05
142	0.045	263.22	201.93	0.000297903	8.30219e-05
143	0.045	273.563	209.816	0.000311059	8.37376e-05
144	0.045	271.575	208.216	0.000305809	8.34858e-05
145	0.045	271.912	209.128	0.000326972	8.43608e-05
146	0.045	276.095	212.091	0.000325531	8.43596e-05
147	0.045	265.131	202.924	0.000286816	8.25182e-05
148	0.045	259.815	198.269	0.00026551	8.13156e-05
149	0.045	271.558	208.121	0.000303252	8.33711e-05
150	0.045	265.716	203.958	0.000304123	8.33374e-05
151	0.045	268.08	205.813	0.000308844	8.35738e-05
152	0.045	281.146	215.874	0.000331384	8.46466e-05
153	0.045	292.465	223.76	0.000326937	8.46024e-05
154	0.045	271.334	207.539	0.000291332	8.28125e-05
155	0.045	270.098	206.42	0.000285483	8.25098e-05
156	0.045	277.165	212.828	0.000324778	8.43456e-05
157	0.045	261.642	200.427	0.000287341	8.24991e-05
158	0.045	280.647	215.713	0.000337719	8.48747e-05
159	0.045	265.614	203.927	0.00030562	8.34015e-05
160	0.045	269.915	207.466	0.000319353	8.40356e-05
161	0.045	284.953	216.96	0.000283652	8.25801e-05
162	0.045	288.783	220.875	0.000321148	8.43321e-05
163	0.045	261.461	200.752	0.000300071	8.30988e-05
164	0.045	267.087	204.526	0.000291794	8.27845e-05
165	0.045	265.835	204.157	0.000307838	8.35013e-05
166	0.045	257.679	195.896	0.000245473	8.00586e-05
167	0.045	273.573	210.092	0.000319957	8.41058e-05
168	0.045	270.797	207.861	0.0003119	8.37409e-05
169	0.045	252.922	192.555	0.000247996	8.01622e-05
170	0.045	278.926	213.595	0.00030958	8.374e-05
171	0.045	280.593	215.297	0.000325353	8.44084e-05
172	0.045	271.037	207.688	0.000301495	8.32867e-05
173	0.045	257.554	196.235	0.000255708	8.07068e-05
174	0.045	277.761	213.235	0.000324888	8.43553e-05
175	0.045	263.855	202.323	0.000295734	8.29306e-05
176	0.045	269.032	207.013	0.000325534	8.42676e-05
177	0.045	263.937	201.579	0.000273984	8.18384e-05
178	0.045	278.779	213.44	0.000308484	8.36896e-05
179	0.045	268.183	206.051	0.000313853	8.37885e-05
180	0.045	280.574	216.278	0.0003612	8.56597e-05
181	0.045	276.383	212.542	0.000333875	8.46796e-05
182	0.045	274.295	210.228	0.000307675	8.35998e-05
183	0.045	276.148	210.741	0.000284682	8.25391e-05
184	0.045	275.559	212.164	0.000341839	8.49528e-05
185	0.045	258.055	195.986	0.000241496	7.97976e-05
186	0.045	264.156	201.453	0.000266815	8.14417e-05
187	0.045	263.736	201.962	0.000288203	8.25677e-05
188	0.045	274.005	210.409	0.000319592	8.40984e-05
189	0.045	276.536	212.539	0.000330031	8.4539e-05
190	0.045	265.542	203.803	0.000303558	8.33116e-05
191	0.045	268.314	205.931	0.000307338	8.3512e-05
192	0.045	270.72	207.064	0.000290265	8.27545e-05
193	0.045	265.449	203.591	0.000299039	8.31044e-05
194	0.045	264.647	203.558	0.000315235	8.37986e-05
195	0.045	271.887	209.627	0.00034477	8.50058e-05
196	0.045	271.648	208.572	0.000315712	8.39095e-05
197	0.045	265.574	204.505	0.000324317	8.41746e-05
198	0.045	272.527	208.061	0.000282412	8.2382e-05
199	0.045	278.743	213.617	0.000311084	8.38048e-05
200	0.045	272.112	208.535	0.000303921	8.34086e-05
201	0.045	259.284	198.857	0.00029103	8.26474e-05
202	0.045	277.674	213.174	0.000324296	8.43316e-05
203	0.045	277.182	213.583	0.000350737	8.52798e-05
204	0.045	276.81	213.041	0.000340596	8.49303e-05
205	0.045	267.424	205.1	0.000301624	8.32474e-05
206	0.045	267.559	205.639	0.000315398	8.38428e-05
207	0.045	283.934	218.596	0.000358083	8.56069e-05
208	0.045	272.803	209.759	0.000326861	8.43683e-05
209	0.045	271.836	208.703	0.000315125	8.38865e-05
210	0.045	265.716	204.382	0.000317174	8.38927e-05
211	0.045	269.384	205.747	0.000285314	8.24913e-05
212	0.045	282.382	216.01	0.0003084	8.37271e-05
213	0.045	265.367	203.893	0.000309801	8.35803e-05
214	0.045	262.124	199.782	0.000261702	8.11225e-05
215	0.045	279.284	215.103	0.00035133	8.53277e-05
216	0.045	275.76	212.119	0.000334659	8.47012e-05
217	0.045	274.898	211.549	0.000336339	8.47508e-05
218	0.045	277.042	211.692	0.000296314	8.31169e-05
219	0.045	257.849	196.973	0.000268403	8.14533e-05
220	0.045	264.73	202.212	0.000275371	8.19212e-05
221	0.045	257.275	196.831	0.000275286	8.1823e-05
222	0.045	265.82	204.555	0.000320789	8.40389e-05
223	0.045	270.201	207.115	0.000302289	8.3314e-05
224	0.045	260.663	198.962	0.000266945	8.14072e-05
225	0.045	263.619	202.388	0.000302373	8.32319e-05
226	0.045	268.197	204.442	0.000268937	8.16096e-05
227	0.045	278.765	213.762	0.000318013	8.40935e-05
228	0.045	288.637	220.547	0.000311463	8.39259e-05
229	0.045	268.132	205.902	0.00031037	8.3641e-05
230	0.045	266.779	204.616	0.000301077	8.32146e-05
231	0.045	277.648	213.59	0.000338802	8.48758e-05
232	0.045	271.794	208.148	0.000299308	8.31952e-05
233	0.045	285.972	219.499	0.000337995	8.49471e-05
