# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
5.543381600885483040e-01 6.827299655644123888e+00 5.735172621929980785e+00 6.410160244084328607e-02
4.609314797983165568e-01 4.476293594783519403e+00 5.947456677319849838e+00 1.673105079955363172e-01
5.102914658793128444e-01 5.361854152117361494e+00 5.947930438702138112e+00 2.906414970358395800e-01
5.756333457439847257e-01 3.408327908081049795e+00 5.826719077473123676e+00 1.160562713761225107e-01
9.326549282908153105e-01 4.562321288847744682e+00 5.724392291057819548e+00 1.008582168929981204e-01
6.538387391483275746e-01 4.269104795990901202e+00 5.961337370514717904e+00 2.390657786672072405e-01
7.807171029883537283e-01 5.928674166996934503e+00 6.181784304761409388e+00 2.204598357578916590e-01
7.950232152773304417e-01 4.628989370058278929e+00 5.863328923186636565e+00 2.787742996799035256e-01
6.206021961362717665e-01 7.177418555425179925e+00 5.805134884853478283e+00 2.103499030517028690e-01
8.294077720842766288e-01 5.079411317642112067e+00 5.909525507484363338e+00 1.477535034891176435e-01
8.143864883133347110e-01 7.255879773268125277e+00 5.878203696319610039e+00 1.665946424564885842e-01
6.360654051303710199e-01 6.115310753267819699e+00 5.835857211355894414e+00 1.137061998862748113e-01
6.347735963133952497e-01 6.416848613280641267e+00 6.062658161835102533e+00 8.970773921843556986e-02
6.608980909246238156e-01 7.249184713816867465e+00 5.728822132275691814e+00 3.275145253203387563e-01
5.368132184706109200e-01 5.096312830896659207e+00 5.847676227276108030e+00 2.225716748981876880e-01
6.139057437402654083e-01 9.440046241246909275e+00 6.003244431093635924e+00 8.073999029913303538e-02
6.459921544360691659e-01 8.662342720242822480e+00 5.922201060130236172e+00 9.941356205024726167e-02
9.248282175933628668e-01 4.638415138488192646e+00 5.696066570684883423e+00 1.689851505403247578e-01
9.340763077731282227e-01 5.376850326802566471e+00 5.786814476488422621e+00 1.651141045695427301e-01
4.885859533223014251e-01 7.567497750711449811e+00 6.052639904123667591e+00 1.302286425385941748e-01
7.395129513231329943e-01 5.827509951003933431e+00 5.993257981075819529e+00 1.749022387945218249e-01
5.756957823640999061e-01 1.057557668664849082e+01 5.779039437607041307e+00 1.165063320494528071e-01
6.378551183508665012e-01 7.572062539115957946e+00 5.801373183837243097e+00 1.231770939094358891e-01
6.963030248784564114e-01 8.195510988532175745e+00 5.895991665588860009e+00 9.489532723817734050e-02
6.360097286754839985e-01 5.212674011511238881e+00 5.712275189347760573e+00 9.550275163760375829e-02
5.960430057617490673e-01 6.258826311542850185e+00 5.656597623416907972e+00 2.603717478527046159e-01
6.682667016371620639e-01 6.801938131772212515e+00 5.976445961801634787e+00 3.437125647096040959e-01
7.252491147283433026e-01 5.103444918067449265e+00 5.876303654996365644e+00 3.343081361845285926e-01
6.552710924175350060e-01 7.187611708657351883e+00 5.816615634298782034e+00 7.099342274241651762e-02
5.019646867522287170e-01 7.028622821361897977e+00 5.758053495388702814e+00 2.339168427540400108e-01
5.895834516995239749e-01 9.306846171147347135e+00 5.764607056394678075e+00 9.735181079837752771e-02
4.837095250818522207e-01 6.240893623887259878e+00 5.976710907660491401e+00 1.400935900068865092e-01
6.945326227144106301e-01 5.281371935345777757e+00 6.042365001702901139e+00 1.831835613046737810e-01
7.350536549554295140e-01 6.393725883257710407e+00 5.904160897047892931e+00 1.723541134911223960e-01
7.537612151017236695e-01 4.427003668757041766e+00 5.798845313935291124e+00 1.709567827771295290e-01
6.614178880622245682e-01 3.345619415170701050e+00 5.792741631714125816e+00 7.285836334853745822e-02
5.343758079259056659e-01 8.688953225144224746e+00 5.973242033475902879e+00 1.687213839799527604e-01
6.233018947000840138e-01 3.363565940852716096e+00 5.760509606551688755e+00 1.920313339283725718e-01
6.472384593021067722e-01 7.849708304006617787e+00 5.758901193829263576e+00 3.591485019750750851e-02
6.137440769218547310e-01 1.026381093197935712e+01 6.040169440300537040e+00 3.540923034622113774e-01
6.693536074869738117e-01 3.329625041606547153e+00 5.877489671179322528e+00 1.544735369773457545e-01
6.911974349661305084e-01 4.116913843379292004e+00 5.788276084338362715e+00 1.352853332504065642e-01
6.999376444096295780e-01 5.514818461202807498e+00 5.985794026458240324e+00 2.582252849695652053e-01
5.130025766092728423e-01 5.150010636241209028e+00 5.912896164932944565e+00 2.311102322083267435e-01
6.631238441931150973e-01 4.537481403806579827e+00 5.902143587347606690e+00 1.855463987161944106e-01
