# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.764405231492961246e+00 5.574744455709629065e+00 3.276102398968046447e+00 5.489637127026748553e-01
1.443501212309802773e+00 6.059043795654297959e+00 1.485010602138092217e+00 1.402477241875094705e-01
1.008599241426639592e+00 6.185562813637718982e+00 2.670295958167580253e+00 2.068413431773277189e-01
1.966520919518076393e+00 6.071456598471133503e+00 2.901280362395602941e-01 9.323467616837234628e-02
7.988801513348642303e-01 4.225648015937529145e+00 6.865946424372726398e-02 1.473297201043844429e-01
2.458247764321900508e+00 5.332273585943510419e+00 1.910118051168936848e+00 2.491974790344601565e-01
2.592155606506526322e+00 1.088120341854589945e+01 3.247205099403914108e+00 8.418978996665628378e-02
1.779379401808913075e+00 3.119862899584180838e+00 -3.938936708209878068e-02 1.798564528156374465e-01
1.806088138389255082e+00 6.037917439301478062e+00 1.402546806804592983e+00 3.352768999248301185e-01
1.270944122040081226e+00 3.857822947013314963e+00 3.087808854931208824e+00 7.558635444683742266e-02
1.746933562570311071e+00 4.430252592757264019e+00 9.594551260834416340e-03 1.137618254282247998e-01
1.720519021214423905e+00 9.475489563965233231e+00 -1.012605866824286549e+00 2.045528280783133201e-01
8.584997506403586609e-01 7.038204567192725136e+00 -9.347244929615374787e-01 2.342623649574915035e-01
9.813526938975019043e-01 8.765064625663494979e+00 -1.520744498850645776e-03 2.952830281389062228e-01
1.865267211003623027e+00 4.225477865573968650e+00 2.439654706607266466e+00 9.014599713217932853e-02
1.498854060025712531e+00 4.925626669919194178e+00 -1.396899624185185651e+00 1.016592155467102299e-01
7.041532830559424916e-01 3.880263340864568367e+00 -1.119486279965197895e+00 1.422261057436721432e-01
2.121279707335167686e+00 3.497014200393636862e+00 3.973346134503986438e+00 1.537294882251152572e-01
1.746641477655099361e+00 5.325880168667843861e+00 2.609466775233836522e+00 9.898492479103321307e-02
2.929594967352169732e+00 7.187308586067675975e+00 3.346598555203328385e+00 3.340194724002493731e-01
7.525462391549816443e-01 7.337452583701162823e+00 2.612375317417137577e+00 2.708259137286332385e-01
9.110360923508508124e-01 4.994472066980323532e+00 4.137630356127242059e-02 5.694040883462160585e-02
1.752009307384954306e+00 4.661687178524868358e+00 1.796110648122913656e+00 3.531956747102777960e-01
1.460528114352543261e+00 6.490735478531528102e+00 -5.899317883832120302e-01 1.093985092798434172e-01
6.112482638339815644e-01 3.890285673847258874e+00 -3.213929646345262681e-01 3.490940889407266323e-01
1.335424583598305404e+00 3.039934667504923915e+00 4.068171024537508562e-01 1.511639290758086118e-01
2.458488702291187877e+00 6.840214149508900832e+00 -1.040746067874824821e+00 3.352535330112313416e-01
2.498019240563456922e+00 5.692752522264933113e+00 1.445190713397658921e+00 1.476349699007880045e-01
1.326657813110892370e+00 5.020618154980741821e+00 1.517453337380235467e+00 2.903946806534271063e-01
2.098091904011121667e+00 7.892171406039371284e+00 6.510366698296941035e-01 2.357386848921062261e-01
2.497014283158061954e+00 4.902567518688419668e+00 -1.708736267603183645e-01 3.617719598850590024e-01
3.248163453808374790e+00 9.926873099892397079e+00 7.987660559353840783e-01 1.040853866004760181e-01
1.689516933031955048e+00 4.573862229091050224e+00 2.309848501624762740e+00 1.195791974641136068e-01
1.876750949102456545e+00 4.644667413503374753e+00 -6.899654594617272707e-01 1.405918399618039938e-01
1.055058264246556243e+00 5.137529848817331768e+00 2.791452802021744617e+00 3.198606969992021098e-01
2.472401563183031836e+00 6.712395174021519750e+00 2.608443489559256534e+00 1.543893043803606924e-01
3.018636201058127355e+00 3.192628212212376582e+00 2.952989162021753877e+00 3.032898728063643801e-01
5.722294803146088515e-01 5.669636033969276845e+00 -1.875855597268661468e+00 8.610204310714109077e-02
2.229869335060889135e+00 5.484364309569139451e+00 2.444966903261261315e+00 2.178921134548322536e-01
1.980650229353176917e+00 9.126741176194540728e+00 1.383507641774452512e+00 1.231297083517384622e-01
1.080302325353462267e+00 6.130159752177294585e+00 1.053550820166438751e+00 1.349168052276317198e-01
1.735895822789762510e+00 8.100944168235210796e+00 -4.945772835840990256e-01 2.873463437632757245e-01
9.234858395550792354e-01 5.038539438710645690e+00 1.224699893750370139e+00 2.734829426465472113e-01
1.083046379530753001e+00 7.060747052586462402e+00 1.764439136091121019e-01 1.094243184575229844e-01
8.183934206155425439e-01 3.278833133907003816e+00 2.197284188827079099e+00 1.858525553175221501e-01
1.284234240614342770e+00 4.553408602836344521e+00 -1.755085550929663007e+00 1.112860328693408424e-01
1.469354514789251720e+00 4.783518171323036583e+00 3.245266252824221098e+00 1.527962365604031147e-01
1.537104150453997509e+00 6.569873683949872145e+00 8.359388064740251867e-01 6.009874075834304996e-01
1.064375177250339366e+00 6.623051034491913569e+00 3.096108585061531748e+00 2.437056942320841579e-01
1.990082546503246785e+00 3.831254466106550627e+00 3.365325826896802930e+00 1.266964802633057108e-01
1.490963353497675614e+00 9.644763294855307478e+00 2.419736590292584921e-01 1.141632680344738110e-01
1.333628705752146093e+00 4.259130064879615318e+00 -1.875752768268916792e+00 2.187825488844012678e-01
1.734685988489723885e+00 4.754823196977218558e+00 3.114413501299016507e-01 3.132491129700998300e-01
1.459539701395392797e+00 8.681051641602415714e+00 2.294795902762406303e+00 1.285027237122977894e-01
2.420715550620696099e+00 7.155348428357863000e+00 -1.298036250193351782e+00 2.322230018023810350e-02
2.183505767137137177e+00 3.102790995242430405e+00 1.841950045639798361e+00 2.353703921741581162e-01
1.737038350396361785e+00 7.027489078892182661e+00 7.850193094283173245e-01 2.976928680161544105e-01
1.239293619026430537e+00 2.582332225519569313e+00 1.813604729088659662e+00 1.930376256102243060e-01
1.143252548110998523e+00 1.176075601809695215e+01 2.925221700661155388e+00 2.239626028117154555e-01
1.715911727810208731e+00 4.574716214222666721e+00 5.850743901412684966e-01 1.188747616038134669e-01
9.151760053857602717e-01 3.733637332086940486e+00 4.853868985464004915e-01 3.383010363279110866e-01
2.632923991092813498e+00 6.803935074721732867e+00 3.419497105137284887e+00 2.568390313870058117e-01
2.001700058783317804e+00 4.893385997112192243e+00 6.600209236486187514e-03 3.167544736138250272e-01
9.563773177779534285e-01 8.241343590024545307e+00 1.633248145753251723e+00 1.771628163103519671e-01
5.889049923433434808e-01 5.505517442869697575e+00 1.023468985879861570e+00 5.256901124386390567e-01
1.754055542933991019e+00 7.605452030574865852e+00 -5.674027959766908547e-01 2.258487612925432764e-01
1.350862305541960406e+00 3.900893496530725812e+00 1.472834146933592603e+00 9.681294573950263715e-02
1.419793146175910570e+00 3.908140768602613058e+00 -5.161292880959167384e-01 2.856972642945558860e-01
1.090387590341094892e+00 4.481002278954562712e+00 -1.196964601681471896e+00 2.118587138057537178e-01
5.451727984506749003e-01 4.856143401939897686e+00 -6.738304624081259409e-01 7.645374863272974553e-02
1.804607856436663438e+00 2.923314362955609091e+00 2.319676096753237715e+00 1.539242600722391940e-01
1.918996749035671412e+00 7.015150564819230716e+00 -1.578998462467311681e+00 1.335575567159922594e-01
1.346444603827326558e+00 6.060567705408637096e+00 1.301527968179025940e+00 1.192961201893429080e-01
8.883778318079470493e-01 8.489292975659498808e+00 4.184236778267647061e-01 4.285009835601542583e-01
1.216221637858472260e+00 5.563662875518311957e+00 -1.769387312105057175e+00 3.149472651779285925e-01
7.730011823248661429e-01 4.081726447462851404e+00 1.379200062206183963e-01 2.708631165003812513e-01
1.863163403727255307e+00 4.132064308609492365e+00 3.054904201313483281e+00 3.474715637488029474e-01
1.055723667987099157e+00 7.408157898089548610e+00 6.929871040569065554e-01 1.054855359862626879e-01
2.775065224844715406e+00 8.127890456996096802e+00 6.971733253136747077e-01 2.326609687313080654e-01
1.284627586668143584e+00 6.138951392946709440e+00 -6.649884461483843712e-01 4.543926590526510823e-01
1.696003490381399414e+00 4.457649364464958630e+00 2.233842922875598269e+00 2.951293298870479864e-01
9.560182411049509277e-01 5.278269239357777032e+00 5.783126811605997508e-01 3.607357337091592897e-01
2.152684313270892602e+00 5.382103903448749449e+00 3.199127886537492582e+00 2.854221428362710422e-01
2.067429600728309058e+00 7.726099939457772514e+00 3.132152463391807640e+00 1.033073644641813310e-01
3.197638261868607223e+00 4.218940363219898515e+00 2.896882415906684827e+00 2.120123194637262842e-01
3.127666277924709526e+00 4.869897894090063240e+00 -6.449622944501373079e-01 1.072531884263869806e-01
1.382973763782715526e+00 4.550236045251438988e+00 1.562256852238384397e+00 7.810025916574246663e-02
1.281437806677029334e+00 7.072305441523570657e+00 -6.179772900527695789e-01 2.227350373579242704e-01
1.408701939351565846e+00 7.612106412008524003e+00 -1.656187415444597244e+00 9.707041395815389773e-02
2.113791673435811092e+00 7.026259339530428250e+00 -8.819122356006543484e-01 3.336628782465657084e-01
1.447047351515364788e+00 7.581658068972327413e+00 1.483171443149570834e+00 1.250721068453687079e-01
2.613952554103426973e+00 7.862479728192913520e+00 9.812954863772894720e-01 1.216336227292363903e-01
4.935049580499508148e-01 5.200589271349166154e+00 -9.521525005522930574e-01 3.372273029073652451e-01
1.187668440055112296e+00 2.822810700644029502e+00 1.325785937769613732e+00 3.120370133837193499e-02
1.771065133103110645e+00 3.068571452174805980e+00 1.830807357938530888e+00 1.572254076679042711e-01
1.426205492461668722e+00 3.449490294258360290e+00 1.350922767282811687e+00 2.071577542125355720e-01
1.492338222948658588e+00 3.268585979957687737e+00 -9.650786377138318439e-01 1.791462950437886781e-01
1.453256644449652413e+00 8.043981066031253846e+00 -1.766589407824360469e-01 2.060858460968492678e-01
1.841690436886329163e+00 5.026512291002366517e+00 1.273207974904286610e+00 5.828700842422710471e-01
9.236000436845355210e-01 5.179793135078821109e+00 2.389046051303510776e+00 2.576354234821618405e-01
1.009757768027831570e+00 4.663741045837268118e+00 2.840935757383939553e+00 1.388584245672000450e-01
1.179618497411708544e+00 4.270559548823856133e+00 -3.526175273353781003e-01 1.971609553221177202e-01
6.366433796154644664e-01 5.018632299446888823e+00 1.376645211708694472e+00 1.923264935388587504e-01
1.148262285200505550e+00 9.905481306683425302e+00 5.202841611340190964e-01 1.149934187209517844e-01
2.272041327830712554e+00 6.527668069875508294e+00 6.431734469156876743e-01 1.866264003141799299e-01
2.102167017533972171e+00 4.395373835819637698e+00 -1.303602925726300432e+00 1.472609222547652807e-01
1.288536469051837052e+00 4.564107798232443614e+00 -1.766588056440798304e+00 4.209813147486639318e-02
1.330997217838028712e+00 1.111536396314513730e+01 -6.527562167605807097e-01 2.932960787527779667e-01
3.065564283952845859e+00 8.859934706440776964e+00 1.424919272607149123e+00 1.279023739764795220e-01
2.585482770403068287e+00 6.808159616700965699e+00 -1.046008826264795299e+00 2.209660268340877254e-01
1.647845680492538101e+00 7.754621329152926457e+00 2.286958969137617093e+00 1.835824640470589131e-01
1.537790118278771212e+00 7.057389498573354736e+00 4.356347836886604874e-01 8.497533266875517688e-02
1.253853942920156062e+00 7.233707341936717938e+00 3.243064155025194850e-01 1.411553853517674706e-01
1.102849716304576067e+00 4.154780866071556389e+00 -3.953099121257342974e-01 3.748868436008185867e-01
8.624271604464838203e-01 5.394049196663598167e+00 -1.199189822211127465e+00 2.154313040144790192e-01
8.227758359290577861e-01 1.372134936343335454e+01 -1.834971683471355863e-01 2.967981389639601231e-02
1.111396687760210167e+00 3.430146512926662172e+00 -7.076617883527417385e-01 1.000201680355095324e-01
1.287748835754790155e+00 4.212206848002342241e+00 2.060941611311772448e+00 2.698958685116864542e-01
1.851575493670332362e+00 4.421573971754745536e+00 2.731965423018702932e+00 2.785381795003822325e-01
1.118147471537430437e+00 5.226259722495854021e+00 1.554758499516024628e+00 2.833791032045571145e-01
1.408587061978653354e+00 6.336366606237354482e+00 1.904265053806142083e+00 1.311955553226458460e-01
