# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
4.867610508249868850e-01 5.204498732543424211e+00 5.465606467552806436e+00 1.664229706643026163e-01
4.841253513199202940e-01 6.959828950520357438e+00 5.689440381057734086e+00 2.811675744802660248e-01
3.592214440641998130e-01 5.582154341103403361e+00 5.260745097694091044e+00 1.618597994128213591e-01
4.406293337466269389e-01 5.605940581256512623e+00 5.606804810874016276e+00 1.246819818983915529e-01
5.275129247518056674e-01 3.696495281634005092e+00 5.337828450790667922e+00 7.939958914477104890e-02
6.633225330980522250e-01 9.747177200272444608e+00 5.698536496798755735e+00 1.481299162507884182e-01
7.729674340779737474e-01 3.897717473951590961e+00 5.425564853695929557e+00 2.483461835282254893e-01
6.923925125270466996e-01 4.944736498965310645e+00 5.551252089123567934e+00 1.902637050423116871e-01
4.329208536566372945e-01 5.267139669425542792e+00 5.476410712614787180e+00 6.648478859846576605e-02
7.555659662879382621e-01 2.617349558680069688e+00 5.369992254170205648e+00 2.861156387352327135e-01
2.639614235319215907e-01 8.757329950749483061e+00 5.273514557964609217e+00 1.472588027521481713e-01
7.278426735874696796e-01 7.171218467151569520e+00 5.646679763205623814e+00 2.115216224519943511e-01
6.744855307543281553e-01 3.131591295690082433e+00 5.307642855148969829e+00 1.770099637761414491e-01
5.380590735326333807e-01 2.897901397097681908e+00 5.575126012386214747e+00 8.167608571022064168e-02
5.614209202070422622e-01 5.429751818965465660e+00 5.679265205347953760e+00 5.684710771796672168e-02
6.520923210799017822e-01 6.259716152178983251e+00 5.516029634987518193e+00 1.907298038228601167e-02
5.181703162216115821e-01 2.877494040282013721e+00 5.436055609608636097e+00 1.070299418550837434e-01
6.834836697343678047e-01 5.078768437381908640e+00 5.691515505436505862e+00 3.081765643650055675e-01
5.632112214359308311e-01 4.316326148120302797e+00 5.103095198956087764e+00 1.745411335113040696e-01
5.306930161813316893e-01 3.827152701712486227e+00 5.585057630622070945e+00 3.549297664789565210e-01
4.657283759426506520e-01 6.894326430337872402e+00 5.653570455441678355e+00 4.236000896632836910e-02
5.439734128161655136e-01 6.985911994522711943e+00 5.451768641404195037e+00 1.574649256528853625e-01
5.299933276833174167e-01 4.541973579477017076e+00 5.701945490710161657e+00 2.339399739205632045e-01
6.035209439444890744e-01 3.749141299894728441e+00 5.426438870164620454e+00 4.663379467944454154e-02
6.041981037922845577e-01 2.907688977798179142e+00 5.348471599218118655e+00 1.641269067171079454e-01
5.123798268083457064e-01 5.952116884707823630e+00 5.495266367122269457e+00 8.436577517555193806e-02
5.980740226034310103e-01 4.967279448993586755e+00 5.507445457186838311e+00 1.311218983620210943e-01
7.179488995774210292e-01 4.396457925475221629e+00 5.663324653700641420e+00 2.049957867400316047e-01
5.235381469429368773e-01 3.008904841748614167e+00 5.447287214753219864e+00 3.028091109150463089e-01
3.846684852669690624e-01 5.856661412805550526e+00 5.344689354166200168e+00 2.120625318447636465e-01
7.022997924423934890e-01 4.690869842910370124e+00 5.318626678457664347e+00 6.755923408716232870e-02
6.598588153811658641e-01 6.217206379009628137e+00 5.528863835785586822e+00 4.400151424776649889e-01
5.191768782914832903e-01 4.593245810661814588e+00 5.485983866351043403e+00 1.873906872982602223e-01
5.952884128074901193e-01 2.259082750181360844e+00 5.536056627714723177e+00 1.371240535273842154e-01
4.849663902362396084e-01 2.413858170651175250e+00 5.441567115985522562e+00 5.422458292458010726e-02
3.905925297246108929e-01 4.011790880071410825e+00 5.304333804512943118e+00 1.613352426088167091e-01
9.054114278276903516e-01 2.630283869568219579e+00 5.597773360518216279e+00 1.941858128373749881e-01
6.306710215345948667e-01 8.260752401834180247e+00 5.376137443169606733e+00 1.508946587393948935e-01
4.807037836898980787e-01 4.206993755590347384e+00 5.568124692233149098e+00 1.437322010149911788e-01
5.881573504586352641e-01 5.045039576157281935e+00 5.060470143208982918e+00 3.123331765488149836e-01
3.837963743886750878e-01 4.923114996176200187e+00 5.353593400739224073e+00 2.457511013577944881e-01
4.209865095681462055e-01 5.688993697768232494e+00 5.841000746653445930e+00 2.054850366233894055e-01
4.901198515541504430e-01 7.421840434460835745e+00 5.730657255823786045e+00 5.353839955501980136e-02
6.737760866265496418e-01 3.022457926394707339e+00 5.199732019369783131e+00 4.072457357971853154e-01
6.312407036207225985e-01 5.110414748891606962e+00 5.674402376128510284e+00 1.896336469633123079e-01
5.565001725798547350e-01 7.757361141128811255e+00 5.784618477329607877e+00 2.239374162508339372e-01
5.764782375546416704e-01 3.453029647628042209e+00 5.271603866193548704e+00 2.760231928182019234e-01
8.188898421651894521e-01 4.432388990773630688e+00 5.341197668911203067e+00 9.986997004692961533e-02
6.156502997132726751e-01 4.379539062086912793e+00 5.624836563346677032e+00 1.331446768890665877e-01
6.566311015893900871e-01 4.912244523623903625e+00 5.524731485424123179e+00 3.153017105210890181e-01
4.027043453856400390e-01 5.721798629823811488e+00 5.389518185377283999e+00 1.542754310749752944e-01
5.835858848269999122e-01 5.157660596897919447e+00 5.386928645965033624e+00 3.044101812384703565e-01
6.878044686495144999e-01 4.993511724244557470e+00 5.603730821196606371e+00 8.595678836692083324e-02
4.642036475906863302e-01 2.551854721310506946e+00 5.196127609823689042e+00 3.135332132783629766e-01
