# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.105826561649424056e-01 4.699255082726022437e+00 4.890786252562951297e+00 5.611514784940103279e-02
8.828468686880015515e-01 4.295612081544456728e+00 4.498698643225707450e+00 1.614308354907589282e-01
5.668314708329721396e-01 1.165576597708121298e+01 4.218547645686871128e+00 2.642755146269061828e-01
7.277795312933731386e-01 5.155296044346986406e+00 4.462345483385223410e+00 1.102517120908679121e-01
7.542159627674036582e-01 4.788552325589650493e+00 4.690355704196003117e+00 1.152593415041707203e-01
9.500940574459000310e-01 4.846372986835016938e+00 4.450574735375632862e+00 1.868093794089048520e-01
9.904149047832981889e-01 5.211780265544010859e+00 4.841677699867860341e+00 1.818402539367370563e-01
6.916778429312449017e-01 9.246826228542582626e+00 5.225347303935696353e+00 3.082365110951383880e-01
7.097296494617344464e-01 1.067319013341053768e+01 4.755223298795322684e+00 1.118992162516944666e-01
1.301809018416116182e+00 4.096938186763788181e+00 4.918704299150547854e+00 7.330757427104790669e-02
6.598154114309865426e-01 2.669304632885531881e+00 4.929240523183589850e+00 4.999188691837535004e-01
1.033594192997987271e+00 9.407730907355174921e+00 4.688123407352038363e+00 2.117097270611259519e-01
7.266674196049760504e-01 7.549980022057947160e+00 4.725009386942666367e+00 3.733358425858915863e-01
6.150388820874017615e-01 6.528146250863319011e+00 4.903421020608068837e+00 1.802647987116229589e-01
6.203300567523931663e-01 4.849179845577689107e+00 4.712748628741290524e+00 1.706386691759233798e-01
8.913435444665879226e-01 2.640035534861675082e+00 4.880117995821664501e+00 2.202433272933438657e-01
6.417848162795636302e-01 5.677190359964921385e+00 4.948326704825765532e+00 1.653860222630362253e-01
7.171103624173842395e-01 5.579160864507613837e+00 4.809051280962449049e+00 9.029696495140045187e-02
6.077446452336031646e-01 4.383377895613486785e+00 4.727789992360149185e+00 3.583520800294695552e-01
7.535878278054355395e-01 5.901875634950075167e+00 4.837304253348873040e+00 2.890814368421828484e-01
1.057731242832294472e+00 6.717702942201327687e+00 4.788461147882872915e+00 1.580211995682981596e-01
9.391696200352340762e-01 3.210702662540003249e+00 4.872114268898541489e+00 1.161485707446344579e-01
6.063702636397316770e-01 6.153905632946966797e+00 4.604450325847344594e+00 2.094716918793998739e-01
8.964475729170972018e-01 6.722064675612550388e+00 4.562826575588643685e+00 1.409475534155656407e-01
5.843155399815624929e-01 6.912080787935614978e+00 4.678574106964591195e+00 2.428429884529751948e-01
1.072668788710919419e+00 4.470088746817835634e+00 5.009722266180731687e+00 9.451281314568812930e-02
8.090779001071479737e-01 7.264421964122416142e+00 4.776484748805394531e+00 3.547216976605271355e-01
6.789943136935534529e-01 7.731439235886210071e+00 4.344663883438321328e+00 2.644167035177114600e-01
5.327623102848811909e-01 5.004717744742414709e+00 5.028259326851164168e+00 1.379116831009660760e-01
7.022658347150171343e-01 7.007215119383224611e+00 4.597814003958855089e+00 2.777736621055632016e-01
7.560847103035521766e-01 5.378304825718831950e+00 4.338955962503651342e+00 3.508302186230851660e-01
1.072267171410722808e+00 3.488610582829868356e+00 4.927126789684836083e+00 1.725727809478120323e-01
8.094061732682177324e-01 8.886256854337517552e+00 4.500018758066199887e+00 7.876117685167405291e-02
8.259351928664236953e-01 8.561191757975255001e+00 4.709669876613734374e+00 3.215679005849072514e-01
9.561079668191225789e-01 1.030224381037130676e+01 4.933347645145675919e+00 3.341520935822600569e-01
8.754448723082085548e-01 6.022289807083964774e+00 4.682200484905794546e+00 7.685495229425734487e-02
7.174129563152328304e-01 6.109909236681352773e+00 4.859536768308037047e+00 7.000997934729288885e-02
