# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
5.434084443977925671e-01 6.885466038594824312e+00 4.203152402579834579e+00 1.697751217060043116e-01
4.141625091161901806e-01 5.206557261476671528e+00 5.301849687305376868e+00 2.738505797594524283e-01
6.234658647757009842e-01 6.989213694793302345e+00 5.273084769202734279e+00 7.498812541681007526e-02
8.350247371863617207e-01 5.772916246005753038e+00 5.409134068453179012e+00 1.653040926503053787e-01
3.375671367562042557e-01 8.130742718393959123e+00 5.075488037014853404e+00 2.005892885999630282e-01
5.752845443567791150e-01 8.934652793327758857e+00 5.244556390746447860e+00 1.060945296386273107e-01
4.453986914637714234e-01 9.367128047340205654e+00 5.095313681983845377e+00 6.665035611499278700e-02
4.381654711154511217e-01 4.818341478690571833e+00 4.969428639807699000e+00 1.674579068176522967e-01
6.120877350400292238e-01 3.955523632896243313e+00 5.158575403565270001e+00 3.268534241632387038e-01
5.873984183436461448e-01 3.440986501882101312e+00 5.288052349476607183e+00 1.784334744517182547e-01
3.215971052051886381e-01 8.274292633249723750e+00 5.184244299056142147e+00 1.162494573483117966e-01
4.271664240887542152e-01 5.852212736429346585e+00 4.611264439250514435e+00 3.245129677205399465e-01
6.165899015334034283e-01 6.950340889936203581e+00 5.070717163067229194e+00 1.518633746302744947e-01
3.999875942767567860e-01 6.650739248927125757e+00 5.231568856481379370e+00 1.533524814362255406e-01
3.509220056271005750e-01 3.870702810800296323e+00 4.925344803163191010e+00 3.722956633652258485e-01
5.122812505444420683e-01 5.450302100933104299e+00 5.186669915546058718e+00 1.525515295608731170e-01
2.854064245847403591e-01 8.073939207958884978e+00 4.891625297101693803e+00 2.330065923446314469e-01
4.045006587212418014e-01 4.195654081717604456e+00 5.191864644408076046e+00 1.699737698099891281e-01
5.015642814782981240e-01 4.097632825268404666e+00 5.440834792257683183e+00 1.017160313326498228e-01
5.380246442558506148e-01 5.582366543480811849e+00 5.179292531326201932e+00 1.081014684477234061e-01
3.512772442920885640e-01 8.687946417239212238e+00 5.191983523734050365e+00 1.899138973480251902e-01
3.990918714165772041e-01 6.727139405455003995e+00 5.201312726703402944e+00 3.648189791485961786e-01
3.245169479991602546e-01 8.098650092002358747e+00 4.958757524526125060e+00 2.617613272665093582e-01
4.213849857224635231e-01 5.827262411689675403e+00 5.004665891968561375e+00 1.107495725536819520e-01
4.990302090153477255e-01 6.705493793133999958e+00 5.345903427118616769e+00 1.961596451393347318e-01
5.056101102024630478e-01 3.932512397933285886e+00 5.271613856078081639e+00 1.754406015569385247e-01
4.251811040615563475e-01 6.862804628902068771e+00 5.647097020896563180e+00 3.085779765256909668e-01
6.028746372991518054e-01 7.331850171002348482e+00 4.747958259881128740e+00 3.298815813687254739e-01
4.751574312387970567e-01 7.118379842924289491e+00 4.930837304413287825e+00 1.807102186524006671e-01
6.101313247820974173e-01 6.866996973999054177e+00 5.093191553887767675e+00 2.832610374102192408e-01
6.971964014381113461e-01 2.937436351836639759e+00 4.986296216945985016e+00 2.963107409224667865e-01
3.740157179680631550e-01 5.277971659327890919e+00 5.155265188536019672e+00 2.239823647874740198e-01
7.401395256346336993e-01 3.507182119530418696e+00 5.330630767504047185e+00 1.817212721198933623e-01
4.137908876958487081e-01 8.701277850412544979e+00 5.452824252566736973e+00 2.590796329768534911e-01
3.603898847105806436e-01 3.712859261306486136e+00 4.924133111294319853e+00 1.579698721102041070e-01
6.753870991087138620e-01 4.715105266635363002e+00 5.629776868191423311e+00 3.379993219006339755e-01
3.490599310745106099e-01 6.619427941393404069e+00 4.581567030816489527e+00 3.081850354902960776e-01
5.802744841633902251e-01 5.830343941722197165e+00 5.278018788580135734e+00 2.869037895644334091e-01
4.478964905049066525e-01 4.309480977195028650e+00 5.302340479313950361e+00 1.195873592038895900e-01
4.230234914091573484e-01 3.963209193092438021e+00 5.152027486639409126e+00 1.896739972501864102e-01
4.147009059628095073e-01 3.147160850447788594e+00 5.348325309625423962e+00 2.758247796101485072e-01
7.822033035708392257e-01 2.750236855248341161e+00 5.222924270508793931e+00 2.697244651295727796e-02
3.490559062094663045e-01 5.730349294272889082e+00 5.344086562337455604e+00 2.766817432511308184e-01
4.206683487636732055e-01 7.852380902976470622e+00 5.089609607375849443e+00 1.739834649927701204e-01
5.615968217263418438e-01 3.275614978537539024e+00 4.886136141493845564e+00 1.773309542286197749e-01
7.870878787124570009e-01 5.846309207533240127e+00 4.768856882459187041e+00 9.342729211936552647e-02
5.288856406910386054e-01 4.470987252972073556e+00 4.839091952795096852e+00 1.779777200227669887e-01
5.256422985344948451e-01 3.780511348965390095e+00 5.148017764538322716e+00 3.811516061291757573e-01
4.970664549807570776e-01 7.427697480115045714e+00 5.175184966693088029e+00 2.047926707261316093e-01
4.399688351795072450e-01 6.482548856741447096e+00 5.024381197269006449e+00 1.584837953716309311e-01
6.633994979920602164e-01 7.656846056037913684e+00 4.976892043813124999e+00 2.788383523925113128e-01
4.180713533336224419e-01 5.634739959534911691e+00 5.363836809470535982e+00 2.263042612462410064e-01
4.364790305940839943e-01 6.442479003341924582e+00 5.408192848202965308e+00 2.098397972286617508e-01
5.526567049065628234e-01 6.515788527384249740e+00 6.270065537232059505e+00 7.031721663600828398e-01
3.436189284051400228e-01 3.558194451249142354e+00 5.085865693834011658e+00 7.203535368967528552e-02
5.041269698336782179e-01 5.458113211624612049e+00 4.926295248736964894e+00 2.701344871758244448e-01
8.253104374645676700e-01 6.935741721603522869e+00 5.393914437657773675e+00 1.964864054500732871e-01
4.662633310295272171e-01 5.576224765887765500e+00 4.894378746938595981e+00 2.740849074837215515e-01
3.679306709633380912e-01 5.614744681143405636e+00 5.553105725673421311e+00 1.044051119257971699e-01
6.226440232958658783e-01 6.229505845019287946e+00 4.941028644847802909e+00 8.833755728123300621e-02
4.142330578466332236e-01 4.247656363189961759e+00 5.189669623589813874e+00 2.667585597296547872e-01
4.448254260609613153e-01 6.832343686026650431e+00 5.028600317304387168e+00 3.265140309830091847e-01
