# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.254157785382812751e+00 3.127645936618602018e+00 5.601177162091637740e+00 1.925775335316836645e-01
6.667926126821237531e-01 3.514410428216507398e+00 5.449050514982356042e+00 1.695528868186267080e-01
6.892251195964564925e-01 5.561789344761811194e+00 5.451782915365834370e+00 1.000886767892811002e-01
9.134002915997453398e-01 3.773720562273750190e+00 5.407588364685627091e+00 1.403964616506801488e-01
6.676326253982631798e-01 8.020910886880662005e+00 5.212347072609519572e+00 1.037771351561158906e-01
1.250044315700599817e+00 8.572927021826064475e+00 5.613938464279205398e+00 1.739700101296423052e-01
8.028635124011812563e-01 4.661067394304009959e+00 5.293656227239680767e+00 6.575494914647835032e-02
7.388397054971056477e-01 3.845642660715461236e+00 5.289802526181657250e+00 1.094661651038209005e-01
7.295965987576432665e-01 6.668590428033065010e+00 5.488563703119729631e+00 1.091551833368626240e-01
6.860743983423571724e-01 3.639564015666317154e+00 4.862685516511520589e+00 2.030873373327635456e-01
8.130560561556815502e-01 8.145355134345075854e+00 5.152861375096662755e+00 2.333361646443321835e-01
9.318505037108467670e-01 6.510777840996831323e+00 5.614137155055613171e+00 2.529873178098705488e-01
5.328039778078439426e-01 5.851353742125628088e+00 5.699432188875515060e+00 2.570058115262734422e-01
1.111910725864220684e+00 6.822372964315622568e+00 5.176138444138120853e+00 1.500464099394197004e-01
7.204980952558105445e-01 7.507518780855864549e+00 5.106076834867805836e+00 2.481140039006495268e-01
8.632239044241412085e-01 3.912270078788020466e+00 5.414006786288070749e+00 2.162588612704925695e-02
7.557578899982302367e-01 7.073809251179608459e+00 5.246300993491009201e+00 1.717561876856524006e-01
8.273711541841056727e-01 3.825845950286120178e+00 5.045486183741354935e+00 2.461152931619211559e-01
8.308711761569795851e-01 5.963800359556757691e+00 5.490468068669279944e+00 2.036985537290700032e-01
1.006971452196264494e+00 5.100953946196980837e+00 5.375424665194894480e+00 1.463480054645758532e-01
7.974427139857585001e-01 3.085279686997770554e+00 5.431214526498690631e+00 1.182476706226798929e-01
