# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.708445406858669635e-01 5.409666619285373734e+00 5.927291989726708010e+00 1.354039773131602287e-01
6.301535150509327554e-01 7.419244060313808120e+00 6.150543032655629183e+00 3.293534938973767812e-01
6.542327945538106704e-01 7.504854095631638522e+00 6.072887412932781892e+00 1.672188666932041823e-01
5.628842550507360265e-01 5.393678721456102387e+00 5.948781686198102214e+00 4.418186406697743873e-02
7.443180676795149164e-01 5.987031178935799502e+00 6.132113007406692518e+00 1.619523337556858233e-01
9.115815000338107765e-01 8.179732555146518536e+00 6.001470786342207653e+00 1.462315455051981239e-01
7.259979091794293016e-01 4.529829248988733070e+00 6.218461683124887784e+00 2.742232002122740320e-01
8.347237837457770482e-01 5.634740095398898418e+00 6.040173572901871957e+00 1.714502476224016303e-01
4.410718981218276213e-01 3.443871170418451477e+00 5.992057865097048186e+00 9.562636824200067276e-02
9.137649873658357791e-01 3.520629976884019463e+00 5.473091414159301671e+00 3.223347484798212426e-01
5.907899052180711763e-01 4.646643649616875038e+00 5.936276286296827465e+00 7.165901036844574135e-02
9.008639626474609363e-01 1.094622283697690790e+01 6.124330328801747214e+00 1.681718942504787928e-01
4.993682901207424640e-01 4.846154115045869126e+00 6.273086166285242626e+00 2.036576028768679603e-01
1.342766277574254374e+00 4.775871949791028470e+00 6.049104588494250478e+00 1.728737081649321938e-01
6.310751219193354578e-01 7.359955727078471455e+00 6.182203249821534463e+00 1.471082885728715595e-01
6.282808186937829387e-01 6.658754122326380198e+00 5.806679843561999732e+00 2.908908476303980195e-01
5.874129027468478759e-01 7.267044260521815957e+00 6.278777780570016454e+00 2.613912476455971801e-01
1.003953567362311672e+00 4.673969424341322565e+00 6.060278967975270881e+00 8.908472517768115106e-02
8.249971252795827992e-01 3.117911307573239643e+00 6.002938542968498936e+00 2.825111316921048443e-01
8.747641503119490958e-01 6.791406117716241475e+00 6.097631299762449331e+00 1.572695726586585407e-01
8.608435210244153035e-01 5.830704594546990194e+00 6.011858454480523584e+00 4.957511221144007829e-02
8.188422571896707414e-01 6.007170826234661476e+00 6.213449981229406838e+00 2.230619471418044952e-01
7.555862762716808456e-01 6.244617492671904913e+00 6.013190226245364478e+00 1.913002813456372575e-01
1.010557001671596566e+00 1.052383971356412218e+01 6.268001469912723778e+00 1.886385566938258151e-01
5.085383083663637116e-01 5.962537827380610445e+00 5.589702175461303213e+00 3.951862015037311271e-01
8.915284740165756450e-01 1.384964483515121358e+01 6.329542459997187009e+00 1.961389835466386122e-01
