# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.018082647759911197e+00 4.625471959067634309e+00 5.792504319227462339e+00 6.834256015343856405e-02
1.281602208613338956e+00 6.815352255849560947e+00 5.884679106301828000e+00 9.944454067676233855e-02
1.250071540448480123e+00 7.409252010235682917e+00 5.660336872633191518e+00 1.574187087548098996e-01
1.350230928193687063e+00 6.941143836254388688e+00 5.816512337390626897e+00 1.095855031775954391e-01
1.850831171178024981e+00 5.902761478025750463e+00 5.709475192122282827e+00 1.098926611367837813e-01
1.169015062481528533e+00 9.581845876896959879e+00 5.762410110733889645e+00 1.036137610088685990e-01
9.126566433100056219e-01 5.701698919133990628e+00 5.880777501333626311e+00 7.642183665021536065e-02
1.288118875469952851e+00 6.081118909575659259e+00 5.815715684350236003e+00 8.471982600765382010e-02
8.764033297183801974e-01 5.293413038669544157e+00 5.818294187814054830e+00 8.464566357585023848e-02
1.192970097759237236e+00 2.714158253107563201e+00 5.947856493749148932e+00 2.081871672531828421e-01
1.029030851176974348e+00 7.968520200563535383e+00 5.901992652793740746e+00 1.416318984124826930e-01
9.402057201591944580e-01 7.104579556713726873e+00 5.706611086784287856e+00 1.090051692370532371e-01
1.287748317036636614e+00 5.790923533769858800e+00 5.871524279758631337e+00 2.787676903579467957e-01
1.147812142919249379e+00 5.857920246829008804e+00 5.839785685588370967e+00 1.558251802567973687e-01
1.083268874454147213e+00 4.947496731866654507e+00 6.073625443386382550e+00 3.160573961253878572e-01
1.176860918173278758e+00 4.307617438517409525e+00 5.904412047312819212e+00 5.037970031167572638e-02
9.272895935510921950e-01 9.902843301692820788e+00 5.872822614865366830e+00 1.417104731702312215e-01
1.023280156381367600e+00 9.564141499759951870e+00 5.977822807719824105e+00 2.313351473179025009e-01
1.196018060698638585e+00 1.096949731842451214e+01 5.694987112817008423e+00 2.053636871417550691e-01
8.103169214825660660e-01 4.494389772258345239e+00 5.900554924675423862e+00 1.764344389815967196e-01
7.779495509597619263e-01 4.289799603957002105e+00 5.965397413108848745e+00 7.484341707240227404e-02
1.239415814202660115e+00 2.467993215395639872e+00 5.983603033638179802e+00 1.348501084863152344e-01
9.282090834078045027e-01 6.352827765143065797e+00 5.671663107060150644e+00 3.613425139794715357e-01
1.128634059507684029e+00 6.858533643725351681e+00 5.836890432540895901e+00 2.477679922177016547e-01
1.117478531976827894e+00 5.401164558455892717e+00 6.341082010332920404e+00 1.692397519789055615e-01
1.177917239081119005e+00 8.778539441791195941e+00 5.938344144468368668e+00 8.731101559940042389e-02
1.133072514272657427e+00 4.576734788556307443e+00 5.880568520727771364e+00 2.097680488504453100e-01
