# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.551597248863242795e-01 9.591963312460366708e+00 3.347560976344507555e+00 3.569808261870645039e-01
4.858192549214216949e-01 5.445424301777387122e+00 1.510144075957269516e+00 2.499490160241790437e-01
1.323493297414165770e+00 1.151513633544596793e+01 3.315634824969274863e+00 2.745033133536599057e-01
9.425864478195664642e-01 6.169811784384768849e+00 2.295557308744304414e+00 1.104117629200403322e-01
1.751691981216302541e+00 3.201980600727588833e+00 3.091089634561776212e+00 2.555275197966212497e-01
1.272737368215664411e+00 4.614000503059783043e+00 2.842193584535456896e+00 5.127821012094597730e-01
1.573422411139969057e+00 4.674320823161410843e+00 3.529504639917553366e+00 1.588005662024632170e-01
1.905173236983711771e+00 1.016701319854599994e+01 3.678652089076789089e+00 8.189819487822258548e-02
1.554748309897426406e+00 3.401798082588644689e+00 2.938905356787949508e+00 1.290116984459127869e-01
2.212627247963397270e+00 3.247100927882321297e+00 3.985999360425764415e+00 1.385787328449308853e-01
2.204233881805158113e+00 4.495276653057575622e+00 4.045188640095469523e+00 1.153620104271124575e-01
1.741376487691339126e+00 6.669725926876320266e+00 3.788157067633004971e+00 2.175526804129244429e-01
1.935290302704437027e+00 3.762840216241105207e+00 1.108057893499674540e+00 3.066490338885567990e-01
1.231503922139918661e+00 3.651347970010991872e+00 1.484727728617381004e+00 1.393178608061739765e-01
9.834945043763657635e-01 4.854002315465972828e+00 2.455929319365252272e+00 2.246800075339071834e-01
1.193462606093740108e+00 5.750493149197324350e+00 1.811355449182346256e+00 3.574059815023474251e-01
1.586931081558535350e+00 6.269971120438733614e+00 3.705767543839144640e+00 2.308745628725188959e-01
8.351334986368502689e-01 5.540033353947515060e+00 2.396472150279042257e+00 3.198497547910453820e-01
2.171511804222601150e+00 4.495490614345302838e+00 3.506017951548072276e+00 8.501677409926064466e-02
1.091468724584718775e+00 4.534075582373087165e+00 2.564472391252986760e+00 2.277024050171891911e-01
9.240117864263118763e-01 4.685577624743364922e+00 2.598400438512896926e+00 2.542001541321154967e-01
1.140572044334938528e+00 4.865071903696474465e+00 3.691374011461542093e+00 3.288631971664395248e-01
