# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.394533320306637680e-01 5.044262377139123288e+00 5.801984683951388000e+00 4.209777452461351821e-01
6.795295812127908341e-01 5.493162512855934487e+00 5.552536146307221365e+00 5.531038572194145742e-01
8.857713089934116102e-01 3.135057341937674824e+00 5.214800522250009784e+00 2.931985379122529212e-01
7.991199188253740315e-01 3.228163701401133956e+00 5.483874390958468403e+00 3.004814836899229458e-01
9.189341983719376827e-01 3.502823375811586093e+00 5.362337181465222535e+00 3.456233451768206955e-01
6.799207029317936302e-01 5.249948293239184771e+00 5.297226251760257298e+00 2.817576313820080447e-01
1.186801603966736840e+00 5.087024705742457797e+00 5.385286000194626332e+00 5.830082968159822077e-01
7.983994070123910936e-01 3.043567312810499637e+00 5.482566256865883503e+00 4.020163579664521869e-01
7.746137858421771050e-01 4.395178186855574154e+00 5.724050677525292841e+00 3.347199570568821225e-01
1.093591842925649482e+00 3.112769412339522646e+00 5.887634548563936754e+00 4.206759555694471464e-01
7.684084150191566875e-01 5.021767021325029390e+00 5.613865247222872945e+00 4.041150743523265199e-01
5.519865200765453617e-01 2.705667477361098694e+00 5.609192163370694928e+00 5.210450926901610824e-01
7.393244911169059019e-01 3.715053914835158011e+00 5.389849813567940906e+00 3.822074533370191096e-01
5.766552750035999209e-01 4.263390373398866728e+00 6.124476828304262988e+00 3.690407541201941588e-01
5.080037396593135579e-01 5.291571434097638971e+00 5.885570019495660610e+00 2.881860058768494492e-01
8.665404175279102228e-01 2.480597887254619938e+00 5.547564672092756055e+00 4.735553865612888713e-01
8.070524257229069187e-01 3.535827250209215400e+00 5.249353200207107051e+00 3.647764537957005060e-01
7.174651997033953954e-01 6.223551386370026250e+00 6.456036178009297188e+00 4.683150823260144313e-01
9.067223631327148148e-01 3.033169281261367534e+00 5.174172540058361136e+00 4.482605461017179493e-01
9.510069766752698994e-01 3.464101975970714342e+00 5.726262068760100021e+00 4.347883344401529682e-01
8.147790258455600565e-01 4.095937461160132464e+00 5.815229233149854515e+00 5.711880474935551177e-01
9.903114507028395463e-01 4.130673069429750655e+00 5.776969766643286874e+00 3.841268074726201798e-01
7.591905501186403393e-01 3.530311574660401241e+00 5.549395730538331684e+00 3.291940114513818849e-01
7.368608599192304487e-01 3.142443089361871333e+00 5.541997157638379079e+00 5.746770636069380433e-01
8.015255537921083251e-01 3.939848217787571549e+00 5.194472059548675524e+00 4.596818902661890527e-01
7.531627676307881547e-01 4.109684692378607451e+00 5.577919541530788727e+00 3.028793469156400575e-01
4.689938973982166748e-01 6.980176026551633939e+00 5.817044336694809026e+00 3.127539366857533532e-01
6.336164212872366086e-01 3.772403828623285271e+00 5.340826125753910247e+00 3.196452343976652899e-01
6.938825356882993844e-01 2.435499020682284410e+00 5.815900776550870788e+00 3.849030414318576065e-01
7.513632874570529419e-01 5.424564389471158599e+00 5.893755426219659199e+00 4.647689365055755473e-01
6.814953332240550887e-01 4.432356361071389195e+00 5.350270462273098993e+00 3.086520376644333874e-01
6.208761712965424895e-01 5.320651176534110682e+00 5.265146663024856011e+00 4.357904910336675153e-01
6.405241667497174607e-01 2.956274781218505510e+00 5.521566433354727188e+00 3.961048449264369387e-01
7.094905371576607500e-01 2.944045440753282783e+00 5.833761757769200251e+00 4.226229575052504739e-01
1.032474055361103593e+00 6.235087028552328547e+00 6.320540544041460151e+00 4.936196267292233819e-01
8.124204249176111281e-01 2.535249813247064665e+00 5.027810876765326675e+00 5.500590282421120580e-01
7.628179939232487827e-01 3.347677830029732959e+00 5.964787316721587018e+00 3.231557485964323684e-01
9.826295327868084239e-01 5.381159497237082867e+00 5.780854820214358369e+00 4.851688093721221451e-01
5.513290477150559754e-01 5.563975295988860204e+00 5.997455248854302923e+00 4.554111035285002274e-01
7.502951520504046456e-01 4.385956192631997652e+00 5.555768815854063902e+00 3.318430962002529849e-01
5.129980810669771962e-01 4.239531838994208712e+00 5.743013911306723784e+00 4.273333201090234179e-01
8.004110616500410558e-01 5.922894885423123590e+00 6.221318422653707714e+00 3.704302133369498096e-01
7.427392937238908033e-01 4.615729574692450043e+00 6.131560430069397327e+00 3.944045441746673597e-01
7.470157081487011075e-01 4.361254028336971622e+00 5.348262687455657804e+00 2.909222580643499589e-01
1.055699044763755090e+00 3.439097413377125712e+00 5.156738476150167116e+00 3.319733665190274241e-01
5.827284149591732687e-01 6.583759146847132371e+00 5.651009905018010038e+00 3.760608838464462589e-01
7.418194354590826878e-01 3.764053095286028938e+00 5.800317390668744189e+00 3.962527495169447800e-01
7.207415568850122911e-01 2.901520753351692683e+00 5.970059128877140964e+00 3.620326060469237772e-01
7.259336115149159774e-01 2.384855938135438169e+00 5.961330565307378038e+00 3.090829769578842257e-01
4.603287100779031027e-01 3.852205213764183789e+00 5.548432482885432115e+00 5.134250569207674531e-01
8.669215365975707632e-01 3.759655794957206254e+00 4.859320148236509596e+00 4.692738647686862663e-01
9.759476860098486029e-01 3.622553822335722984e+00 5.211396253945138390e+00 3.692395140824111799e-01
1.016086860448582430e+00 3.765448988320550860e+00 5.709582205965888946e+00 3.405965491210047880e-01
1.335934925101490700e+00 4.504517397252405075e+00 5.519699147569726350e+00 3.395913611982933622e-01
7.198152672603553848e-01 5.887087900832764120e+00 5.565699826651575144e+00 2.986836629989717551e-01
7.555800680491910892e-01 2.699559847517703393e+00 5.432427867165123381e+00 3.368634907713535243e-01
1.004243947878567411e+00 3.970038035587284853e+00 5.006794121647622831e+00 3.083073561813188812e-01
6.635214241844581418e-01 3.116521138604719354e+00 5.380301020517937793e+00 4.324179403735844973e-01
1.038093738125811072e+00 3.484001823493819927e+00 6.041107137091166202e+00 3.864177187787856682e-01
4.500374804896343228e-01 2.788962306159140425e+00 6.087696792619765596e+00 4.509476990758922721e-01
7.542282205007987406e-01 3.572539326060421239e+00 5.654290206266384899e+00 3.219558008501279822e-01
1.005865477897870619e+00 3.389229895169850959e+00 5.582245707425007808e+00 3.221863130206066295e-01
8.708865419375925176e-01 4.087306743039270884e+00 5.936311279417751052e+00 4.345881714348421854e-01
9.924004988681289774e-01 3.855273542753986593e+00 5.814175595813582120e+00 3.196618843909700969e-01
6.469253201360917194e-01 7.248792980360259541e+00 5.420025244215661786e+00 4.867002435242456793e-01
1.067104056732020023e+00 2.632576868805983406e+00 5.347102548810301670e+00 3.492089571032117590e-01
7.657163752900973952e-01 3.871012095602703873e+00 5.146796156950202317e+00 3.475220328044531515e-01
1.175775320066307028e+00 3.286490140307321006e+00 5.350252647266044548e+00 4.970744680771689850e-01
9.592308552454102966e-01 3.702915963532587451e+00 5.588300355480630977e+00 3.449089254855718378e-01
8.607235308846848953e-01 5.533177350465100730e+00 5.777827670404923843e+00 5.007298013770439260e-01
6.690921065341524088e-01 4.291003651960035192e+00 5.569845770168389443e+00 3.696264540385648667e-01
7.493623746713077294e-01 4.645865591402779771e+00 5.508829487300649141e+00 5.035091985594105646e-01
7.810857293416744174e-01 4.118378395355855481e+00 5.631511496849109122e+00 7.550172804636442470e-01
9.152391919861501135e-01 5.159411776701820607e+00 5.573913723426994871e+00 7.439248192117463576e-01
