# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
5.723333835161302785e-01 5.556392032206707299e+00 5.642629417104751965e+00 2.909542582900555008e-01
7.721062847978146237e-01 3.020585515596488246e+00 5.594019624078901742e+00 1.181451971399503503e-01
6.515828068879568891e-01 6.230589842565370517e+00 5.589734705734677789e+00 9.555739065918053554e-02
4.344641100967204794e-01 3.518926757200883770e+00 5.334581563751359390e+00 2.404024191764363438e-01
4.878711739644497891e-01 3.744788441073167107e+00 5.982818751784855671e+00 2.769732098171258095e-01
7.967640621958038682e-01 5.621097867102887058e+00 5.475389857152355155e+00 6.068378229262541557e-02
1.066022136234127116e+00 2.986839322746337011e+00 5.918155089887624065e+00 2.776256307500003517e-01
4.800882208581064292e-01 7.507490677159232462e+00 5.720028983941374712e+00 1.182856107634095155e-01
5.229703439290074307e-01 1.035553579063059360e+01 5.530866423753185046e+00 1.290360986913281494e-01
1.105894056757816157e+00 5.169239487870907368e+00 5.527939423182496981e+00 7.818179716379894395e-02
3.424260829815787832e-01 4.258563651351038537e+00 5.376536242566309909e+00 2.281251915982100420e-01
7.050716832585859351e-01 3.514975593099394668e+00 5.570380671261064620e+00 5.499776612118621733e-02
6.701936450005927526e-01 3.830321485463208386e+00 5.386145826638472300e+00 1.049029617489389554e-01
5.134932123002211579e-01 9.995633909414269880e+00 5.917883796510263750e+00 1.666339074666547682e-01
6.600059774704624127e-01 5.282261379790983646e+00 5.392686987410633570e+00 8.421420679220893712e-02
5.114913332234376497e-01 7.358102939059117276e+00 5.675809797154444780e+00 3.662651472729526458e-02
1.015684704573212027e+00 2.723507509495113776e+00 5.361136889917804460e+00 7.637334480748354804e-02
8.031183796603007519e-01 7.139020829575173366e+00 5.795975723360816012e+00 3.565346818640506843e-01
5.900779163015510420e-01 3.313935456855611861e+00 5.539961490178556325e+00 7.661124740379419984e-02
6.693306086027694946e-01 4.917426146514181973e+00 5.447489689490405240e+00 7.771801674963467466e-02
5.729316020632221340e-01 5.908958362214490556e+00 5.292461177516985416e+00 1.516711234014186949e-01
9.870938527922508143e-01 6.045260835723000881e+00 5.425622466783707409e+00 1.000952953563176429e-01
5.090139663515126367e-01 8.142935021326834999e+00 5.571660708084611890e+00 7.417305239356580815e-02
5.537847890397331607e-01 5.633182369355814956e+00 5.572642545525499536e+00 3.134952499045821905e-02
5.330779247318152558e-01 3.395547067847842548e+00 5.615786832449996879e+00 1.705100556651649168e-01
4.659402227103823790e-01 5.935951280432691490e+00 5.658363900094736110e+00 8.156536258233079706e-02
5.034741466142738098e-01 8.670521656300373081e+00 5.688286596316193489e+00 1.586061258084605352e-01
7.675363014407680096e-01 8.416289946406799061e+00 5.671457403120437668e+00 2.575938397170887684e-01
5.493036003022387925e-01 5.328645403812769743e+00 5.947974978799287271e+00 2.423352940690081947e-01
5.653352158328750487e-01 5.050395451030851746e+00 5.377501977034571112e+00 7.565904696083344816e-02
6.970475655871476439e-01 7.921469969911835385e+00 5.550923910805384942e+00 1.263316978730478768e-01
7.692224994442409258e-01 3.990895670871978052e+00 5.887391431774658734e+00 2.806453352320157912e-01
8.716044759331488256e-01 4.461169042859283174e+00 5.207944667678154005e+00 2.319297745833212021e-01
4.625604718699564133e-01 6.872935797522154999e+00 5.521924627644803962e+00 7.611423120241733731e-02
5.671975733432540467e-01 5.398170510690053270e+00 5.780130890362686458e+00 1.501436876358621109e-01
5.480036419369294087e-01 4.579579018113561162e+00 5.447941879544838883e+00 1.862130550245861271e-01
4.580345327740151795e-01 6.240721813120843287e+00 5.743102985641290736e+00 9.053497694906072202e-02
6.468238620534525474e-01 4.775381930583399104e+00 5.228018275072448873e+00 1.510608034500530716e-01
6.948352398967860832e-01 4.894950676801149925e+00 5.491519162339731253e+00 1.671921406736333882e-01
6.343867283449076133e-01 4.360144133116646614e+00 5.386193921097303772e+00 1.102505276117471400e-01
6.380059018070403098e-01 3.971717737786579772e+00 5.410573513750853714e+00 2.261944941544600240e-01
6.649213543256223824e-01 6.740717119628914844e+00 5.349191620281992243e+00 1.317383965230660148e-01
6.238879156575408702e-01 5.240596037037404287e+00 5.575847333148876039e+00 7.650462864003790275e-02
7.196955174869493765e-01 3.745336831645607933e+00 5.456687202202087583e+00 1.918210616070352426e-01
3.993320604811187446e-01 4.049926047311153354e+00 5.500958049022572460e+00 9.451408446565634502e-02
6.298053036272480698e-01 4.397314274365392350e+00 5.137785338511933197e+00 2.264078529111616112e-01
6.380790541054091047e-01 8.527043334785087580e+00 5.402031516812259682e+00 8.522084419037868896e-02
5.153458471355070181e-01 6.673346539718287396e+00 5.546926470062073733e+00 1.233268086349695591e-01
5.441096220359893376e-01 5.848991930631465053e+00 5.787235968527634000e+00 1.180414092721657759e-01
7.694626523201408830e-01 8.291079851819224800e+00 5.510767001277811161e+00 3.077363245630615821e-02
5.663297897501043954e-01 7.449062513409778319e+00 5.522571886808013808e+00 2.252452372102321521e-01
7.963963992001439340e-01 6.918869206005606287e+00 5.661421217721929189e+00 8.052817454523045204e-02
6.371245550500188592e-01 4.390297309415537086e+00 5.545599807632926037e+00 6.857885655022036286e-02
6.754901468648596419e-01 6.552539971308023681e+00 5.464676391200070427e+00 8.783475985237990113e-02
5.464782530782863468e-01 4.393184356684569636e+00 5.582061659055787217e+00 2.656572569866182815e-02
5.996793476472462858e-01 2.979543504932983922e+00 5.199501496031809999e+00 1.219356353492622447e-01
6.157625968083924040e-01 7.106368395095560508e+00 5.261435473399704854e+00 2.679228002148428267e-01
5.878735512467228030e-01 3.082551233330532270e+00 5.570008540994614954e+00 8.400424660911522123e-02
4.752769083946181694e-01 6.281500823927228971e+00 5.502837505411049435e+00 1.034617660019023222e-01
6.596781559408841922e-01 4.760544697078867848e+00 5.642150946356320418e+00 1.992886650593551218e-02
4.635981612590359680e-01 4.192582287699874399e+00 5.689525515225607677e+00 1.346039247832650221e-01
4.529350977719902582e-01 7.095174363831590725e+00 5.494852913714594500e+00 1.070045774106241493e-01
5.647197216921981955e-01 5.564813619320911009e+00 5.309571400805168651e+00 1.173590018562516851e-01
7.167736378436790901e-01 4.062850921412561433e+00 5.542401180023507123e+00 1.662448804571548810e-01
4.076197349525928493e-01 5.762521852966123070e+00 5.320391417925172561e+00 2.101770075441723451e-01
7.305739240467831186e-01 3.262346934387108988e+00 5.180047715625204496e+00 1.191742423386650818e-01
5.109255022251917300e-01 6.738454951923169567e+00 5.646944061299316253e+00 2.027144217119238589e-01
9.923425523618545352e-01 4.565205886927452994e+00 5.350831065939909870e+00 1.551120423266623416e-01
5.045175248203228602e-01 5.928607588034556564e+00 5.723822548090602425e+00 8.889743123472663988e-02
5.185244667712092248e-01 4.311752423291489222e+00 5.479544651219561580e+00 1.205665876825343097e-01
5.405685275218385932e-01 6.194882248578286621e+00 5.451547902254873179e+00 1.747370071807028413e-01
4.271955235079966662e-01 7.967729929974496805e+00 5.476020782617993632e+00 1.306209411868546610e-01
7.754687323078720551e-01 3.752709397829808946e+00 5.701409685694717844e+00 8.786980734437323248e-02
6.628613275345832667e-01 3.694584847009111161e+00 5.477625707422139278e+00 1.171342301098463462e-01
8.412258945098161078e-01 3.988858137152076377e+00 5.256149769440934705e+00 2.291179903285492370e-01
6.502007039970493230e-01 6.251234768025854649e+00 5.650210148415632183e+00 1.964948715680591429e-01
8.294209667582155276e-01 3.659609886729184414e+00 5.432697268521514466e+00 5.987550589253457650e-02
4.641877539700806077e-01 6.884601661960052965e+00 5.379162885966048080e+00 1.246185148442018747e-01
5.463554923902282923e-01 6.407060198964586561e+00 5.510007808293805986e+00 1.063354791166678387e-01
5.737682272672557371e-01 7.004768487810975053e+00 5.543645614250369391e+00 2.013037962494867994e-01
6.928656227596549089e-01 1.046147569681933653e+01 5.651581540265816272e+00 8.793665692358715313e-02
5.684856677810191661e-01 4.797892561221757113e+00 5.554582135308418600e+00 9.607352453287031080e-02
4.813668280620003737e-01 4.866583383874847790e+00 5.456989644810350093e+00 1.908233989959802479e-01
5.446387610357048548e-01 9.483203447319409563e+00 5.200638268829099076e+00 2.050119826109555732e-01
6.454502419528815871e-01 4.269341500041935689e+00 5.415630103760581626e+00 2.051331913905473370e-01
5.983950852566616296e-01 6.861060740099357957e+00 5.525173597305247597e+00 3.036141720366134500e-01
4.618345793573885860e-01 5.734893986733151650e+00 5.551559661101007848e+00 7.751832762514174191e-02
