# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.719924773918554139e-01 4.784618495234941093e+00 5.454745005041528039e+00 1.674963289703259028e-01
8.541681775481885230e-01 3.912180012277170160e+00 5.181261803769242391e+00 3.510780429901985134e-01
7.895603832346267392e-01 8.865108630031805603e+00 5.031991122344377843e+00 2.284201629045312931e-01
5.345256705631594718e-01 9.928935012923201242e+00 5.254017907856753489e+00 1.430778230416790697e-01
6.093910278413113835e-01 5.174899396606178037e+00 5.332965577285124326e+00 1.362950497084404189e-01
7.459811563955207614e-01 4.168095800433057718e+00 5.129263667907082436e+00 4.626206269249455438e-02
5.789461455385264133e-01 5.132063153000242295e+00 5.003583745280171691e+00 2.808810069070997728e-01
5.433265723551596871e-01 2.934227206597718407e+00 5.379110396626591850e+00 1.082053538556966010e-01
7.446560290237844715e-01 4.733435334534410899e+00 5.297630094056879457e+00 6.825868646866357914e-02
6.580516430090751490e-01 4.453324101394017021e+00 5.382726242138310191e+00 3.071092400956956237e-01
9.793656534942638547e-01 3.564231185735533103e+00 5.476531332028938159e+00 1.376708420569455749e-01
5.292544353403582091e-01 4.085299931662253137e+00 5.099089341533247222e+00 1.980447770846972821e-01
5.360500740564468902e-01 5.697966763415345248e+00 5.491049921591437233e+00 2.059046165664423222e-01
6.044707447917425647e-01 3.957367405294530904e+00 5.112527950181801728e+00 1.671119048659886475e-01
6.591669005702255335e-01 5.974672650141719998e+00 5.087712362957762302e+00 2.130878140436283097e-01
5.799945564826664013e-01 7.930097877408059936e+00 5.513962760592431955e+00 3.032821202268036198e-01
6.328661559137153114e-01 5.916022403109709948e+00 5.031560485692161855e+00 1.904830573113063530e-01
7.541312182930945962e-01 9.293453534234393132e+00 5.412544778826789305e+00 1.645528700217986917e-01
1.190621655569015003e+00 3.628766580023630173e+00 5.002864062299838821e+00 3.069580344096345947e-01
7.084750082969829554e-01 5.872785417733974000e+00 5.400174283905835537e+00 1.512150773269665682e-01
6.467568764716398189e-01 5.838779787974330837e+00 5.080497480495045792e+00 6.607769620428016744e-02
5.113494401766996988e-01 1.189480123260204536e+01 5.128189254613421788e+00 2.192692028819508698e-01
5.631963635224777054e-01 5.878261595929792804e+00 5.226531179467197141e+00 1.273817129021064254e-01
5.473596073577151611e-01 3.283701417982610504e+00 5.718472684713878706e+00 1.646926967252866358e-01
6.513950609196087482e-01 7.639506648028337565e+00 5.346048713322074875e+00 6.785947699842351244e-02
