# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
3.064860738122902717e+00 5.180943524131690126e+00 5.290094412056074447e+00 5.871577368978325717e-02
1.183923542014072350e+00 7.430607236667771787e+00 5.186472937436968245e+00 1.308998930884349710e-01
2.920423536636681305e+00 6.781117556083189335e+00 5.199826444926857860e+00 1.412812669063881477e-01
1.162506993671560629e+00 3.953566120992973332e+00 5.218610505500826058e+00 5.620926397334525398e-02
1.788168489325668187e+00 8.372438557490518463e+00 5.202408086544372701e+00 1.032598517666180465e-01
2.375583123529354523e+00 4.164660222313468552e+00 5.160442528703641507e+00 5.551224314811233074e-02
2.597289735960710111e+00 3.311120783326756634e+00 5.531207171668277134e+00 1.611697635126280725e-01
2.779057564744655817e+00 5.669517900605010929e+00 5.356932337229199703e+00 1.070939959214465276e-01
1.833491971880663707e+00 6.140547837703897116e+00 5.315590620088203266e+00 1.015489597289526702e-01
1.514463969051052183e+00 4.167661199557569418e+00 5.116268404214096677e+00 5.323094924073692308e-02
1.421353055996558368e+00 1.010289426373330635e+01 4.864951239793116500e+00 5.025100695527493500e-01
2.030008952662052835e+00 5.883212265103973770e+00 5.252879805719859796e+00 4.347009254620257113e-02
1.677511545508796775e+00 3.887406561373457414e+00 5.371941248541259206e+00 7.637654346575915854e-02
1.402975818188304524e+00 6.422993635196488249e+00 5.125788560597790422e+00 7.029128915919123644e-02
1.621392440066754093e+00 5.063899496239416820e+00 5.247432071230909933e+00 1.253903505774691396e-01
1.805985289906590463e+00 7.565664901141476939e+00 5.295327764296983375e+00 8.922879516603327010e-02
1.330753723135960298e+00 4.232388580609476314e+00 5.276576193732346987e+00 1.304850036508253264e-01
1.552643968920634387e+00 7.366162071379312337e+00 5.311386037223696732e+00 5.976364115175319958e-02
1.453629905731598226e+00 4.656409737619942035e+00 5.276043270047749978e+00 7.376777405912511576e-02
1.922843392450390265e+00 9.796990638718526156e+00 5.180481066960378023e+00 1.632143971521746728e-01
1.560800805572331251e+00 2.439761065422019204e+00 5.253437098649976100e+00 7.928019189837311187e-02
1.340671187402531217e+00 6.657706047330735899e+00 5.136410599364436891e+00 3.737452772101029774e-02
1.672584266802902953e+00 8.682352882799607485e+00 5.236097209637701866e+00 2.378422453495276923e-01
1.201568728741725600e+00 1.111101842421895292e+01 5.245690918047475115e+00 4.349677236706421535e-02
2.328858253880012885e+00 3.956207560950613100e+00 5.337247849137940037e+00 6.465003195179191975e-02
2.299185568113804479e+00 7.687210723887247354e+00 5.355707979215264203e+00 1.773780785960334672e-01
2.481845567344870940e+00 4.496704539754694530e+00 5.397797559127520906e+00 7.940728311215349000e-02
1.526345965695215856e+00 5.771848589252757122e+00 5.330928113100126708e+00 1.648051902945926739e-01
2.188909569624038376e+00 3.367070680992335419e+00 5.360238627753015628e+00 8.667760229748901202e-02
1.313358115904323498e+00 4.168104749069001080e+00 5.397442243552932339e+00 1.837557775435478269e-01
9.761291786897250411e-01 4.858401932267963907e+00 5.370926431522649480e+00 1.855606842419633418e-01
2.016302605864401798e+00 5.631402042074133085e+00 5.272150212969229699e+00 2.479066907198544945e-01
2.026090919935547241e+00 2.210797429116716284e+00 5.257116132554909171e+00 2.192077854434484885e-02
1.422643909246015470e+00 9.521103990687119989e+00 5.259558850476697245e+00 9.405258187010621940e-02
2.036740735314365836e+00 5.891872894455302045e+00 5.275074344569829599e+00 1.541499403160430937e-01
1.675967194420124207e+00 3.395371812782800980e+00 5.289997595835009392e+00 4.013935406116665716e-02
2.952832365373676993e+00 3.368404774703911198e+00 5.231856257826465573e+00 1.458792536960189234e-01
1.420685603591979040e+00 1.178383691747139750e+01 5.294565171758742750e+00 1.445795538553444060e-01
1.652025611439826625e+00 4.422039952710243860e+00 5.218431658090226577e+00 8.057238201619987272e-02
1.607185562986079619e+00 3.999579817092711931e+00 5.199692760018733928e+00 1.927444081376550600e-01
1.193724365297610390e+00 5.111527181991382562e+00 5.189037778483649888e+00 5.374002738175556043e-02
1.187979887107287302e+00 5.079548026923385251e+00 5.207815448773555289e+00 2.073501317959531298e-01
1.517681773330269435e+00 4.663944213109226133e+00 5.250778299310705499e+00 7.578859561647584286e-02
1.432587905296334618e+00 1.525739850520888297e+01 5.042892503024063444e+00 1.552387137206171497e-01
1.902993769471242214e+00 7.998166975845853344e+00 5.450720782566134126e+00 5.524775523616780315e-02
1.607339294245568428e+00 4.001564836911517986e+00 5.268591393972872794e+00 7.945386883716026860e-02
8.134324313965398678e-01 4.427150383106495113e+00 5.368404656104572403e+00 2.377979217573138460e-01
1.986218158186731308e+00 6.300145278874920152e+00 5.219769823878929849e+00 1.442144549428602263e-01
1.297765038108710467e+00 7.278890218531826051e+00 5.270491349323159547e+00 6.544320459993881178e-02
2.009400459854780774e+00 9.776121984282820421e+00 5.293615115709738639e+00 5.219903609901185848e-02
2.557087348187438991e+00 2.560914221381513922e+00 5.359079748925867470e+00 1.002855552120456434e-01
1.868183252987194232e+00 5.933886619291822484e+00 5.200406195640903562e+00 6.846867793273275771e-02
1.570122292799809083e+00 6.522932805064917794e+00 5.586748245742823471e+00 2.224350641805687701e-01
1.399212497497689833e+00 5.696318135360964874e+00 5.161506309403444348e+00 1.471386530243764257e-01
1.612635490691271656e+00 5.568747016015137774e+00 5.409302571770922441e+00 7.247253206336008724e-02
1.171797535926680345e+00 4.520149691535213066e+00 5.191945071861431948e+00 7.445968855622307758e-02
1.374948675393815600e+00 5.763318994758237501e+00 5.008526535745225772e+00 2.511139289636097338e-01
3.164039808033004775e+00 7.995279400050623764e+00 5.356475471750226980e+00 4.999555427277767999e-02
1.532042796444262223e+00 5.988543950241331792e+00 5.231691671622228590e+00 1.604642587775951257e-01
1.625907711420195412e+00 5.124659141539560814e+00 5.271277590246643996e+00 1.118471079921551647e-01
1.186415275061309282e+00 7.636314094540733066e+00 5.198105976785926785e+00 1.036783594602067177e-01
1.346820871890230142e+00 9.364354115990687788e+00 5.551181505138837124e+00 1.665210216420683897e-01
9.807975272423099522e-01 5.162146167795747864e+00 5.039544689301920677e+00 1.784045615903500914e-01
1.506780445582425410e+00 4.344878376596710723e+00 5.046347029875537515e+00 1.401583526524630696e-01
2.126850147743101882e+00 3.764101064769753702e+00 5.372359177117215445e+00 1.330453281693091405e-01
2.847866296218094284e+00 6.396265457281307576e+00 5.327752525004676443e+00 1.521535791723732656e-01
1.275342454105889978e+00 7.416689903058807154e+00 5.221100117110360372e+00 6.314486918268243099e-02
2.283770638419735377e+00 1.069725301193257394e+01 5.233425225778939982e+00 1.009106326806776255e-01
1.850148883503661912e+00 7.586205912457305800e+00 5.251152642361834211e+00 7.314511423094428866e-02
1.482102053661549679e+00 4.552770085291569124e+00 5.264000035272946576e+00 2.902511734061358206e-02
2.138267927766218879e+00 4.492917847434545031e+00 5.299381639221134144e+00 6.815664986556269067e-02
1.358209407834855886e+00 7.914324455690973537e+00 5.141743390183415308e+00 3.069525908706367476e-02
2.217786646664504868e+00 5.362444161810117293e+00 5.281173131068835680e+00 1.791846132920534018e-01
1.710748366342049520e+00 6.645280600590211861e+00 5.141011601267754472e+00 1.049586935035385082e-01
1.412819135542077387e+00 5.240704125876106012e+00 5.392238501458933797e+00 1.553535383676650228e-01
1.500551551451321686e+00 6.879481450314491653e+00 5.182321097989301961e+00 6.287346704558346988e-02
1.410440388108507470e+00 7.810739219675141953e+00 5.113506407135517406e+00 3.305132944138796658e-01
1.677417989836480716e+00 5.680106997181783690e+00 5.162454025625077492e+00 1.256780595265334921e-01
1.364768001488753102e+00 4.425742814149140614e+00 5.243469904043061902e+00 7.412230122563535917e-02
9.247299490668628996e-01 6.712460496105359553e+00 5.194359628674674489e+00 5.903009764815143195e-02
1.615933834661757773e+00 7.610744747629486717e+00 5.354378941257005309e+00 1.484788294053046298e-01
2.517492779654167290e+00 6.360905628646917442e+00 5.338202831983245744e+00 5.731283203902609591e-02
1.574020719491750597e+00 3.895944378318854096e+00 5.229333827362842690e+00 7.729451186748313718e-02
1.862936825715983069e+00 5.720887923948970943e+00 5.317328956985045707e+00 3.712019443578067068e-02
1.721337328345832640e+00 7.211651882290461835e+00 5.359500927973969375e+00 1.349573830668537311e-01
