# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.514504388063049989e+00 6.055173192304406093e+00 5.378741493289829201e+00 2.255507536649670186e-01
1.779270232500589577e+00 3.194087156170691610e+00 5.473173325842686232e+00 2.410627214973452281e-01
1.072523488537509451e+00 3.350152680224813384e+00 5.417637591011908782e+00 1.519725476616319293e-01
1.000098427067312779e+00 4.598151899493995387e+00 5.503195137320596508e+00 1.118231705168128004e-01
1.118349873642140002e+00 8.549855144590249978e+00 5.388496491718711034e+00 8.178344315349588001e-02
1.123857327454050425e+00 6.390029860596198041e+00 5.281471152980840245e+00 1.102068833122461788e-01
8.805603987440010494e-01 2.959508672575108967e+00 5.609202215817287396e+00 1.332192565569674803e-01
1.554747308547794526e+00 6.378960712412398593e+00 5.547544298823718911e+00 1.943287980792481606e-01
1.377685728585174241e+00 4.471295569459935670e+00 5.439173279719836884e+00 2.042381420292801453e-01
1.651382556209438190e+00 3.258674104588452192e+00 5.494255669027507061e+00 7.544228217154867744e-02
1.058811105325917268e+00 8.428684496362802037e+00 5.670902880246541322e+00 1.786298160772459009e-01
1.198433302596146888e+00 8.160627706545801274e+00 5.606000016532427743e+00 3.406677334486447606e-01
7.868970253302784990e-01 3.227374182427871663e+00 5.389111926924776697e+00 8.275677183722020269e-02
1.024447983981983779e+00 6.897903723735039350e+00 5.397777165905466745e+00 6.329617385026395371e-02
6.764717606682744133e-01 2.535735107681001743e+00 5.177105553567759699e+00 2.064243179666205852e-01
1.560420597297412115e+00 7.392917002388161407e+00 5.482657491502672897e+00 1.052905073842821670e-01
1.578529028807349466e+00 4.471663634553030064e+00 5.645106443459610546e+00 2.472657828864183449e-01
1.149071244765588196e+00 5.577036799467201433e+00 5.357595190057411472e+00 4.961058582705692166e-02
9.142541698742031597e-01 3.418677048362394721e+00 5.285968538354792301e+00 1.005531813475896707e-01
1.126000195811690086e+00 4.118006007406236790e+00 5.525633891133527875e+00 4.222258292600179763e-02
1.018804304897220181e+00 2.541932509577488730e+00 5.404064949694308062e+00 1.256160123701395848e-01
9.460847536049323825e-01 8.481846238641544744e+00 5.116758670571253553e+00 8.081996310092420810e-02
7.019608996504890230e-01 4.332293118848051350e+00 5.372632734870903093e+00 1.768584051779055755e-01
1.085927740236978245e+00 4.156108816909050319e+00 5.463848324291960878e+00 1.462751540210076584e-01
1.528784699852173912e+00 6.858658222276168281e+00 5.424610654588749803e+00 2.339623098702398041e-01
1.057844422115326477e+00 9.750909495802758897e+00 5.481872989744674740e+00 5.583644798625111982e-02
1.209220242289201774e+00 3.403355642055375441e+00 5.623053871798193271e+00 1.520684618319659009e-01
1.164117465279151942e+00 4.202520398219545150e+00 5.282547822045892794e+00 9.176658168187959430e-02
8.831353587892254442e-01 3.243022224594267477e+00 5.331648506886928374e+00 1.783788294227681703e-01
1.173842103809747295e+00 7.761181612158681631e+00 5.232131619580531634e+00 1.568711488663109832e-01
1.476126776685788844e+00 4.554745378867152361e+00 5.407067215762534573e+00 2.735078940587654661e-01
1.644079749984840522e+00 1.372005021524737778e+01 5.414547084116434483e+00 7.518655223814919852e-02
9.552429619728233234e-01 5.675451637581121922e+00 5.449081486178221745e+00 3.073403811399209040e-01
1.146048493783230926e+00 8.916292323690443666e+00 5.635612167461494515e+00 2.494473502551543820e-01
1.289479416393003453e+00 5.748291322370695511e+00 5.281975494290826134e+00 1.872952141878072851e-01
2.095137725641737170e+00 4.338235857488800917e+00 5.077580230948264273e+00 2.349428217630589177e-01
1.179790760162830354e+00 3.662560594217383336e+00 5.312324884113813539e+00 2.054124687998727661e-01
9.572480511546389570e-01 9.742225924143257387e+00 5.509770857630199359e+00 1.124439998300431759e-01
1.183380674974499724e+00 5.807848188197368700e+00 5.439561425459831234e+00 9.240449856529145412e-02
8.110789635512699602e-01 4.175197734182440001e+00 5.116742105446436817e+00 1.975586593449834560e-01
1.284205967779421753e+00 3.641570004465601418e+00 5.346429463243224767e+00 2.081799567450454136e-01
5.924478782265368837e-01 6.259381929093400743e+00 5.067235792247092085e+00 2.940579161299194944e-01
1.018146517288129882e+00 1.064396683982538327e+01 5.288549873498083365e+00 3.502426956389499413e-01
9.410253723138088944e-01 5.538041344638224395e+00 5.582681279513757922e+00 2.436126995955534280e-01
