# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.021127579935956486e+00 6.102716973982469817e+00 2.938849258714745005e+00 1.550839769914202637e-01
2.098483509691017268e+00 4.251704456256603315e+00 2.865090647308496941e+00 1.658232706256872468e-01
1.996189694408856630e+00 3.952132412074708778e+00 3.171273988151850798e+00 1.358821367347998466e-01
1.789823497315359724e+00 9.270604609892263426e+00 3.022847480905787698e+00 1.216081598194278246e-01
2.434693024575607101e+00 1.075747226175978888e+01 3.131302371907193294e+00 2.803088533363655085e-02
2.132635302460811566e+00 5.330712789998198531e+00 3.001200232554271707e+00 1.637563598123285835e-01
2.072403693328291219e+00 6.695725952806037995e+00 3.016971211852633061e+00 1.326947116490075629e-01
2.158296629562981295e+00 4.732378844352407299e+00 2.939557843678217264e+00 8.853236646118783915e-02
1.867067505144008210e+00 5.189523492957826889e+00 3.240787324101331635e+00 1.941163940026258694e-01
1.637898199615605455e+00 6.603235706461094701e+00 2.899022442629556995e+00 1.008989965353402490e-01
2.421897407638446964e+00 1.103746859876435060e+01 3.138037290223652409e+00 1.465787477724491694e-01
1.469423075762099629e+00 5.835011863459024894e+00 2.849225261176899782e+00 1.490465148644903592e-01
2.000426746923415156e+00 6.954151675696319757e+00 3.357020142914323380e+00 2.490775051358741221e-01
1.548084444460207765e+00 4.802351876276898857e+00 2.870603701466635016e+00 1.384805932040775733e-01
2.049503799977733021e+00 7.649872295889704965e+00 2.985640080647740113e+00 2.378400197959611717e-01
2.896078100661264365e+00 6.026529123809426736e+00 3.337617982587754994e+00 2.017909786342106659e-01
1.954519827097831008e+00 6.257657711817062207e+00 2.588415866927431086e+00 1.948019677011214035e-01
2.597050769656929159e+00 8.285032261070153226e+00 3.057460016303518380e+00 8.144987799421217478e-02
1.921159439576509698e+00 5.326949408941290542e+00 2.980585809525073238e+00 9.964575792250517094e-02
1.744991475020580163e+00 4.871596593924595098e+00 3.236395512839258082e+00 1.141718616380766049e-01
1.962425876356106880e+00 4.461241625474747785e+00 3.066053476274356093e+00 2.005414463835161476e-01
2.478911909654289314e+00 4.946836630987839989e+00 3.162110993556283223e+00 1.344578507957923941e-01
2.275042035387137229e+00 5.319791568109276447e+00 3.051074896600147301e+00 8.723534831896423425e-02
2.475054072593555254e+00 5.582791362599666130e+00 3.147764085421428604e+00 2.016217150024249838e-01
2.023302400523013134e+00 4.583316525873562419e+00 3.210442763298549718e+00 7.549400839896117099e-02
2.415957718179016389e+00 4.849352429279761623e+00 2.997267655430357447e+00 4.107771439765338650e-01
2.378934479323388196e+00 4.769240834184271804e+00 3.150927485076254531e+00 1.482667989766774941e-01
2.467901911996375208e+00 6.196684189637887918e+00 3.179027747138963189e+00 8.452039249125446740e-02
1.914343206747298964e+00 7.893703949200266301e+00 3.021465423408127293e+00 2.179037585002266963e-01
2.101563504826242212e+00 6.227232018743102060e+00 3.040545632260013065e+00 7.099081004059848432e-02
1.973577883320104753e+00 3.854793906970953365e+00 2.800670329232739508e+00 1.335545567647273280e-01
1.998204513211504052e+00 1.011972646850422386e+01 3.065579082897196272e+00 1.069477657230651080e-01
1.893593783357904625e+00 5.365896417039564881e+00 2.886426664728005242e+00 8.511727999048078475e-02
1.917518301941556036e+00 3.803165615139199485e+00 3.002450210299415723e+00 1.041913825636106711e-01
1.834275966762829002e+00 3.465518377465778954e+00 3.124534033376651365e+00 2.150946232589049933e-01
1.972356558000067261e+00 5.000663947754472538e+00 2.833323400387735003e+00 2.022975660315677326e-01
1.957510374094195926e+00 4.187435259159284939e+00 2.988766818524410063e+00 1.611274156956999937e-01
2.123750385837081200e+00 4.128831516981794181e+00 3.244484372391777782e+00 2.366154592569021387e-01
2.803844526321976005e+00 4.190533547377389922e+00 3.234958170715118708e+00 3.154124534283704318e-01
1.834481516198997131e+00 6.154527533906977155e+00 2.825445353557168193e+00 1.424143237263250927e-01
2.399555289291809945e+00 4.541176104510764588e+00 3.018041914280227278e+00 1.689246740455754292e-01
2.364279931730793649e+00 5.821536604628167133e+00 2.917167059640313198e+00 1.843705452630232111e-01
1.586353656350226737e+00 3.731576553223842740e+00 2.985468586542390224e+00 2.661852992639981430e-01
2.735723743023398047e+00 6.491857167144518215e+00 3.165119846078908949e+00 6.672791541601109933e-02
1.633401410539511156e+00 5.817530000755852804e+00 2.773245494926126931e+00 1.285341378993074823e-01
2.582285151241120680e+00 3.272406594867358631e+00 3.235879077120241032e+00 2.140891204342040000e-01
2.658059601762433832e+00 6.202709385036880185e+00 3.190364836773932566e+00 9.099543847069815894e-02
2.356876462424156937e+00 8.056773220363590227e+00 3.031983232896407365e+00 1.362075705096904010e-01
1.954346522612854686e+00 8.046614283083400210e+00 2.892369520851367337e+00 1.795014183802016161e-01
1.752656059925766563e+00 6.672938647400894929e+00 3.270794667814062695e+00 1.665667465772260325e-01
1.623368388739194756e+00 4.447434065754286792e+00 2.992708465391694439e+00 3.393717750527135424e-01
1.731869358360167199e+00 2.813199167530584521e+00 2.838297118895473314e+00 3.554626330599110484e-01
2.374526227604129680e+00 8.829178981569317131e+00 3.042244567604075911e+00 1.071067468115572408e-01
1.887939056464265741e+00 7.216265342777808733e+00 2.971306641864234876e+00 1.110816170867301722e-01
1.807966964793474185e+00 5.514220569680421846e+00 2.900746290601837973e+00 2.532453090287490882e-01
2.173915244988569917e+00 6.035404305800224911e+00 3.113771356627095699e+00 6.467341311060077758e-02
2.155623446819729949e+00 4.223189205001653512e+00 2.928075912587368101e+00 1.432121538576841824e-01
3.080256535468615553e+00 4.467123678308256629e+00 3.244402581393392104e+00 1.746585311219358005e-01
