# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.415268346048463854e+00 7.520571968499483617e+00 3.369905686992994198e+00 6.604303388034485356e-02
4.219659182881542847e+00 5.348629452275063478e+00 3.290110460117465330e+00 6.986173821408080131e-02
7.073326570258505086e+00 7.428078270193709365e+00 3.343300869636179673e+00 3.671439592120777362e-02
4.249987823678408994e+00 5.861363390918048033e+00 3.328566144792903359e+00 6.046651461247133652e-02
5.078389519979147337e+00 5.429287858343289308e+00 3.305902100770924168e+00 5.435137941441005316e-02
3.638231312132077289e+00 3.411383912214895453e+00 3.336493493935362320e+00 2.335583169078804186e-02
3.752818485197116249e+00 3.187171591027173179e+00 3.298190476298296314e+00 8.496521718634852949e-02
3.852294846724509725e+00 2.550514183037711380e+00 3.274904753790892631e+00 4.419475260400460015e-02
4.189114200226693008e+00 2.742222040871123312e+00 3.220322317175039473e+00 9.363866057790114217e-02
4.789903750798168325e+00 2.726450648472319660e+00 3.306199957613319640e+00 3.898960253025567785e-02
6.593161139698960227e+00 4.229513534747241010e+00 3.205030523861111647e+00 1.204777124571308478e-01
3.014850679850261450e+00 2.862151304328861556e+00 3.294960652833982540e+00 6.771446493968848179e-02
5.465979765857814421e+00 5.756579003750522894e+00 3.337807340582120919e+00 2.500272485266392952e-02
5.356199630730783312e+00 4.730057882920971402e+00 3.354641002182251697e+00 2.805676772596563812e-02
5.896480501043789069e+00 6.506371115255068283e+00 3.269913163963321878e+00 4.362048749657938818e-02
3.165140073606542259e+00 3.651264409570918801e+00 3.249903945859743182e+00 5.840525702967222510e-02
3.314757862444520864e+00 5.579678282101829367e+00 3.328895875751499478e+00 2.139292874655029930e-02
2.344534900779994047e+00 3.167222263557722517e+00 3.299561901468027969e+00 3.449847540370833826e-02
5.456132927913479591e+00 3.877440780820025523e+00 3.331651379915093525e+00 3.626366704255676310e-02
2.345740839014955448e+00 2.757051143114216618e+00 3.173730677545867351e+00 1.137261605863249120e-01
4.274800794054034903e+00 4.618399736421793023e+00 3.384924948687416446e+00 2.863049211874860167e-02
5.045953927929256011e+00 3.800845068706035779e+00 3.343473253878774365e+00 3.028547203272548283e-02
5.045204649779141626e+00 4.396557037553549208e+00 3.481466186750728831e+00 1.514515111581601348e-01
6.147360277093751435e+00 3.505037414643546345e+00 3.323359088946251205e+00 6.399367414624598793e-02
6.203679031904925978e+00 6.135428043025378031e+00 3.351194694181801825e+00 9.781680883782882530e-02
5.034885909904255996e+00 3.846342527896614794e+00 3.332858359934845804e+00 1.529087855179225505e-02
4.955785182664468103e+00 3.520784412014841713e+00 3.322676634325270939e+00 5.124743480647993288e-02
3.047212907742318677e+00 2.538220150066178959e+00 3.515025893277875291e+00 1.362042587844968788e-01
4.699872831759679848e+00 2.451322170381272869e+00 3.356752577554535044e+00 3.355891313743292886e-02
4.808982501743687799e+00 4.935855577760102086e+00 3.371872914504938645e+00 3.793276368897131184e-02
3.209475317743875955e+00 2.478357332971478311e+00 3.332171687512106129e+00 6.906093646217141557e-02
4.408806978634406626e+00 3.847050251484264383e+00 3.342879733270316400e+00 4.503501014995490298e-02
4.580081245524319833e+00 3.469655633878008683e+00 3.379782036113625487e+00 9.604313290463012409e-02
5.590862404930019736e+00 5.967419392884096396e+00 3.311645727267834349e+00 5.641096040381810006e-02
3.833104649287021104e+00 4.034266949750081821e+00 3.326740289800677264e+00 3.625837354438943283e-02
4.038068734697051632e+00 3.598862601323648214e+00 3.272062710276320452e+00 1.002196799956842216e-01
4.701601847757079788e+00 3.702123882523042031e+00 3.363195826516951925e+00 6.053357791399253951e-02
4.093417743897195038e+00 3.312179880344222838e+00 3.229376871848008701e+00 1.489334407162022922e-01
4.139385625121428269e+00 7.908375718585942238e+00 3.236792636630335895e+00 9.099061725611073959e-02
3.493061554805500180e+00 2.696742453926139316e+00 3.213653722664690626e+00 1.594963775259663763e-01
3.109995069413376445e+00 3.135085532936243258e+00 3.362099920782576579e+00 7.019655803664238969e-02
3.143055804289794697e+00 3.141724675253462884e+00 3.385411607771108056e+00 9.026189099052543685e-02
4.223443732752833135e+00 4.627661882663478110e+00 3.096053242037579700e+00 7.018695752740927718e-02
5.743510057587179141e+00 5.137783906295524616e+00 3.230812983430497276e+00 1.063734177933801511e-01
4.180008033271608525e+00 2.832203102089930535e+00 3.293907252627792825e+00 2.759915464331788582e-02
3.026641757533267363e+00 3.683311790271176722e+00 3.268402402213555824e+00 3.213740730160135478e-02
3.906631251990867248e+00 2.205587991680006077e+00 3.456742292075222878e+00 1.465084312939307354e-01
6.171887165463544989e+00 8.048571608030291813e+00 3.413245584373972630e+00 3.848169011826899771e-02
2.869521063128271710e+00 2.653624586909188565e+00 3.342861855838753282e+00 2.139407875681810164e-02
3.606823816651273162e+00 2.869271724535826795e+00 3.314958850961128967e+00 5.831949273160051683e-02
3.151538178708072735e+00 2.496925257941415843e+00 3.373460168120888447e+00 7.346551913819339419e-02
4.801984603941479079e+00 4.445605297999692951e+00 3.343165914652399540e+00 2.789507165545030559e-02
3.700619510663314848e+00 4.705767358997152705e+00 3.368754654695603090e+00 9.102914573770205797e-02
3.111994278377062884e+00 3.072063481147490727e+00 3.250611785819002453e+00 4.857466325029871634e-02
4.357898384093870092e+00 3.551829846073523367e+00 3.386632854885609056e+00 9.232054715349438667e-02
5.160935815087528411e+00 3.865997520041607682e+00 3.290427694116707880e+00 1.454194998940043781e-01
5.549130256893979762e+00 7.375441436348129542e+00 3.344686171234275918e+00 2.707982697037330383e-02
2.297918194449232843e+00 3.237577560216810646e+00 3.319278999739910585e+00 2.888110851176664204e-02
4.336927520957373439e+00 3.205894196672138818e+00 3.321106521547748880e+00 4.894130415802393913e-02
3.924320555966873680e+00 4.064942829917248979e+00 3.294824282432660123e+00 7.061939760306788771e-02
4.938309661586833599e+00 4.517888335710414260e+00 3.329588050262141330e+00 4.857065973011691351e-02
5.551349445087977230e+00 3.119049287927830427e+00 3.235693775173391185e+00 6.552082501591592612e-02
5.473432736854118019e+00 5.546638099071459216e+00 3.343684550760312124e+00 5.931279061511047362e-02
3.670639983942341811e+00 2.422658020818835745e+00 3.218887036494031406e+00 9.152064489381206425e-02
4.413528228564394418e+00 4.167131408329626474e+00 3.355675110475523137e+00 4.504620387500563733e-02
4.998758014703209795e+00 6.241600400014365668e+00 3.387647504446682500e+00 7.529560998440254505e-02
3.702614668142829135e+00 3.163709512546473590e+00 3.389199984613093353e+00 6.662242530838252685e-02
4.033257825464776403e+00 4.572966749829763700e+00 3.329234260818376256e+00 5.364779359358356342e-02
4.371848915078848208e+00 4.213028892142130388e+00 3.332741180378087531e+00 2.563846667190319145e-02
5.571887762096445762e+00 4.832045621109171130e+00 3.347167461661266330e+00 6.961434287558782019e-02
5.326348118923093011e+00 6.712480163767714281e+00 3.384308299643689288e+00 4.694975847514366862e-02
4.142422024255160373e+00 4.190274548406489608e+00 3.342564532164248536e+00 4.597193404486468737e-02
5.337930615301820225e+00 5.343115544837118591e+00 3.334862862492795177e+00 1.107905848328162579e-01
3.353436549741545925e+00 2.637966534930304974e+00 3.352257100682465740e+00 5.563583263455242067e-02
5.007424322745780643e+00 4.544052121127561072e+00 3.296120639236511440e+00 4.400353437441094362e-02
5.260619586061682007e+00 3.608183064847905186e+00 3.334222684068918863e+00 5.962068447067651877e-02
3.274875553863517919e+00 4.124356040640388521e+00 3.339373768167769096e+00 6.109741962385541875e-02
4.208267477394043610e+00 3.548401912711720119e+00 3.363243359975543356e+00 5.368285553240297742e-02
