# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.828448933570101520e-01 2.338431772355499039e+00 3.865507597426854680e+00 1.597608628395528196e-01
1.078118313166893660e+00 4.555240678985877700e+00 4.137923566201941128e+00 1.905933396843216276e-01
6.757484472764963002e-01 4.080309791318381230e+00 3.922629364491671655e+00 3.153744414356497994e-01
6.251781098282547244e-01 2.750657317665142543e+00 4.142877340670006348e+00 2.155432494519777809e-01
6.487024017001681298e-01 5.939884529434829474e+00 4.061655664401051524e+00 2.379303502448560925e-01
8.728907481131985557e-01 6.356528248321772878e+00 4.089521779348741504e+00 4.456745547725310397e-01
4.694724987070431066e-01 9.035829435179232760e+00 4.228720356646348932e+00 3.942945947426806930e-01
8.860054297149673186e-01 4.162102605931942811e+00 4.911698563875995127e+00 4.419656507052157068e-01
1.286969766589544095e+00 5.248335578360545206e+00 3.227086301858893336e+00 3.742369456505780789e-01
6.128851237515459127e-01 3.180566047963325094e+00 3.832506797233726115e+00 5.963647538817831162e-01
8.067353525573240924e-01 4.043455595400903491e+00 4.013449117249785481e+00 1.969792141725487944e-01
6.696050047876878075e-01 8.437043646982418821e+00 4.307529453532231933e+00 4.619505687101169711e-01
8.724638961681936422e-01 5.489048644575855285e+00 4.094147700400823986e+00 1.853462241760221452e-01
7.186802065849881016e-01 6.950493300797730534e+00 3.948401000012254691e+00 1.457216962021763984e-01
5.961772752710454704e-01 4.571089623356802356e+00 4.523826410424614863e+00 2.248386519381112003e-01
9.268024820394924479e-01 3.961574826045498376e+00 4.040741392801907139e+00 2.435425812427463033e-01
6.517427262019286349e-01 4.000627311310192447e+00 4.522668230208223505e+00 4.549265757884386474e-01
6.880925981365979549e-01 4.545642595451286461e+00 3.898847318871102363e+00 1.804921741130678381e-01
6.114266457486791095e-01 3.478183765333352717e+00 4.036723871071970393e+00 2.647363538235106284e-01
1.167645443183777942e+00 2.924702315271871189e+00 4.222928261452073784e+00 3.789843799585550510e-01
