# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.289157650830778934e+00 5.519525431403796034e+00 3.155109911588536153e+00 1.776977617390579633e-01
1.436675751455013472e+00 1.064502195018044439e+01 3.214231781500982876e+00 1.542199914338415190e-01
1.319851806604283251e+00 4.735624772395520488e+00 3.378688057400991429e+00 2.388668170858398443e-01
9.702119870801394486e-01 6.781007019598828123e+00 3.164650780731227631e+00 3.395656284844690842e-01
1.020936687236228213e+00 8.044988314570593602e+00 3.409497963109344720e+00 1.524989948568863662e-01
1.153658823628241237e+00 8.198977794857658097e+00 3.332762410784985807e+00 7.770750065565053266e-02
1.227116086021502017e+00 6.014092914719695315e+00 3.355787599032673985e+00 1.907856076886799146e-01
1.372979324084722341e+00 6.706917422633278392e+00 3.204769551205258082e+00 1.144587553742760638e-01
1.020128743641055324e+00 6.821926955321656827e+00 3.387587912862127126e+00 1.407642161852763474e-01
1.832757266138584473e+00 2.416304768330639341e+00 3.421926721285617035e+00 1.124640138107168286e-01
1.231321340903574590e+00 2.677407173684552610e+00 3.136228837745925979e+00 1.281336986494407415e-01
1.109611189584323254e+00 3.514538420706282196e+00 3.168084137373376130e+00 2.462456491271242942e-01
1.111364724309810370e+00 9.289568653753928373e+00 3.122407133025949300e+00 2.211521860555856756e-01
1.113896801449010487e+00 5.589712135271257765e+00 3.145495839221426504e+00 8.411806438565457011e-02
8.707602052446323793e-01 7.063202895651693680e+00 3.162032151697079296e+00 1.004976998353319384e-01
1.411457662553682324e+00 5.163524626248136684e+00 3.295142031566659746e+00 2.083515105049831839e-01
1.038597640745804629e+00 5.639716663432110977e+00 3.227797344591969875e+00 2.038343664518441067e-01
9.517607355786548151e-01 6.288610419798045470e+00 3.542970008472221544e+00 2.330464745261390802e-01
1.219632488624126543e+00 8.640612530747842968e+00 3.518769099919548449e+00 2.453826181995454048e-01
1.158828589343860127e+00 5.683428856441046229e+00 3.520593042490376412e+00 1.352042778956973057e-01
1.014159061083520053e+00 1.366363623747606759e+01 3.104280441599254203e+00 1.440454040510522060e-01
9.017246061867570939e-01 8.168113408363229411e+00 3.300087345312483489e+00 1.512301885811228597e-01
1.063572583447337738e+00 9.802624744543543045e+00 3.177941980854783299e+00 2.017354761208721703e-01
9.717983064420919748e-01 3.737699256071206122e+00 3.224200965583436052e+00 7.872410627963478957e-02
1.166915976485129347e+00 8.186532228065416916e+00 3.543554644936357523e+00 2.492403411338164898e-01
1.264953334511824234e+00 6.918413774973714681e+00 3.370502464255502151e+00 1.962607001008667140e-01
8.735361633700208239e-01 7.994012638021970041e+00 3.178612717327486958e+00 9.682785231333815301e-02
1.167458834232255382e+00 4.410801182746999061e+00 3.245285119752309821e+00 2.392241790894771014e-01
1.361390342037341883e+00 4.851582937710863241e+00 3.344899483702194143e+00 1.385496266297442658e-01
1.107473787460068637e+00 2.802901071006457023e+00 3.364518467097731058e+00 1.401596005266795286e-01
1.452372606960660617e+00 4.983125934721578609e+00 3.187311567279747404e+00 2.343157628638613543e-01
9.904108580462333000e-01 8.517970511035569459e+00 3.319867334421552574e+00 1.979292750555066149e-01
1.533353375350482217e+00 3.493543886977460655e+00 3.364048851163993881e+00 9.125824794577544474e-02
1.788966856516562176e+00 7.028965500503683295e+00 3.410553751949458867e+00 7.316927728784891616e-02
1.015578422663793390e+00 8.474427743424948645e+00 3.415664485649012150e+00 1.758408643582667352e-01
1.305591551247966331e+00 3.657058775797391803e+00 3.714124608259785632e+00 4.256725777095970997e-01
1.209208702325676565e+00 8.349714589024227251e+00 3.245868475118209417e+00 1.420103466204218901e-01
1.667376677004873242e+00 6.909922414251521872e+00 3.340939149368659322e+00 8.755892217390121024e-02
1.677011657901536834e+00 3.714930143565351894e+00 3.363056439389403796e+00 1.941632347131263536e-01
1.412314084139276948e+00 8.182188814089144557e+00 3.235523009450726128e+00 9.957930035647852285e-02
1.487641429089973322e+00 7.975782048178815309e+00 3.474390869832225448e+00 1.180241595212891265e-01
1.249154154305869735e+00 8.015658911873622117e+00 3.514252714125590149e+00 2.051250399321958295e-01
1.329955737346652400e+00 8.840115756394343549e+00 3.091243630494846961e+00 2.026137283314832227e-01
1.485942404109897641e+00 4.631543487947267224e+00 3.547179424333586351e+00 6.509531871396237457e-02
1.242298060957666372e+00 4.910053169703617826e+00 3.349238382951048809e+00 1.315501527859669895e-01
8.662659689050223877e-01 8.906345791698202063e+00 3.389847494124743843e+00 1.761995011014253765e-01
1.295478591674453783e+00 6.139130960286090399e+00 3.155046207603279473e+00 1.014856949183494811e-01
1.239538893301324274e+00 6.103441515222138847e+00 3.052149455680194468e+00 1.958149740813809325e-01
1.148301800558860108e+00 8.739131748193729621e+00 3.150393831496613561e+00 1.239078771577442062e-01
1.321860868066398575e+00 4.508767788619179484e+00 3.150192274928321545e+00 1.963319345087325973e-01
1.176180251706679947e+00 1.096098301808976849e+01 3.337907411304797289e+00 1.842484094018412843e-01
1.468214802489524518e+00 5.020693990707044030e+00 3.394226441595002530e+00 3.029171824192552487e-01
1.357297283241867047e+00 8.996670427170741391e+00 3.152072924237705465e+00 2.311151090670393315e-01
9.850882010760081409e-01 6.942587659332636107e+00 3.317527250681278961e+00 1.403083098674395568e-01
1.108617177499404249e+00 4.695302841290612150e+00 3.082608849977240162e+00 2.327172769437682032e-01
