# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.607340712764500523e+00 9.135538973521040162e+00 3.693656523951168502e+00 4.128849984593668115e-02
2.556445245536406397e+00 3.170490356890644179e+00 3.797401496107654317e+00 9.864028079146346106e-02
1.906023083147854846e+00 4.944982922521909963e+00 3.891043180891994968e+00 1.803967583220515980e-01
2.017392476424417325e+00 4.750281369339975690e+00 3.398602002512300047e+00 2.568575279071960704e-01
1.922845870757020625e+00 5.610178002252624196e+00 3.636437901248279481e+00 1.596354287414669948e-01
1.922319702260901098e+00 5.219548574503413363e+00 3.748867945473606689e+00 1.004083121662807526e-01
1.598407598647021199e+00 8.422285001392067372e+00 3.814117575924490300e+00 6.783524225944251307e-02
1.980283975505496841e+00 7.056691391807590641e+00 3.751883602855883293e+00 4.849696978179399848e-02
2.360133757477054228e+00 6.326081101212114532e+00 3.817317566090509651e+00 2.296851855419988486e-01
2.361628657386168229e+00 1.330289578758485902e+01 3.785017475551609945e+00 1.133965423629310076e-01
1.295554262055190309e+00 5.342383688320650137e+00 3.693676034442321399e+00 3.951312237318016507e-02
1.866712432994671378e+00 4.041269292142968261e+00 3.581669445135818641e+00 6.284921925653005892e-02
1.553257243769532225e+00 5.586512846247143393e+00 3.683332975568613943e+00 9.213637300158908361e-02
2.059111382585171235e+00 3.359644098337823515e+00 3.748700618433917775e+00 3.490736522638093753e-02
2.095468023606732899e+00 5.206345142206043164e+00 3.606227993810179555e+00 1.834555071668240722e-01
1.749299985646656674e+00 6.171199625864962179e+00 3.751318399545410909e+00 2.720394409560630278e-01
1.694371749750267497e+00 4.106014248118570187e+00 3.676233001383831578e+00 4.630185225695004902e-02
1.827577953985610959e+00 4.765399141868597255e+00 3.760807800662231859e+00 7.687521293886560858e-02
2.349520257436078730e+00 6.714435062516308506e+00 3.831393691191975481e+00 7.501283344424107546e-02
1.599961476601108989e+00 6.241128459697462105e+00 3.784453543723160340e+00 7.420047781201585813e-02
2.180783292201338597e+00 4.883468555958661028e+00 3.671827918893061593e+00 4.249093481934147765e-02
2.718812266756176932e+00 4.745205706502804155e+00 3.731568971988893590e+00 2.858354484924485184e-01
2.193231485661614411e+00 5.598425189928168066e+00 3.769813774442940968e+00 4.024254066997433321e-02
2.404021156040227591e+00 6.077946405497677063e+00 3.691761549258637309e+00 1.097406730442815059e-01
1.716431773409334838e+00 5.661108121923645875e+00 3.689688547532301133e+00 6.407465070856335765e-02
1.671408696384933501e+00 7.480847347458020380e+00 4.016417389075030542e+00 2.315735259278819125e-01
2.149681869988020466e+00 6.577923551802688173e+00 3.956385665294645193e+00 1.407829575438097891e-01
1.541256302672824319e+00 4.888372147373403642e+00 3.713001945743568122e+00 1.140226498916239450e-01
1.919081994338585950e+00 4.505391069135412430e+00 3.748701653658589983e+00 3.967434971974928559e-02
1.948119283588972683e+00 5.095380335905586477e+00 3.707705860237748841e+00 8.872146399840698250e-02
1.122395762173448164e+00 4.906502239383284447e+00 3.712305906750013929e+00 2.401453384287562803e-02
1.328452098279204296e+00 4.603905699948708019e+00 3.615527615045358800e+00 1.270059645483634647e-01
2.578912622396907217e+00 5.670238914269725150e+00 3.662315579563073076e+00 6.484893236885239109e-02
2.332339437573129448e+00 3.574497645011384783e+00 3.722697736984661887e+00 2.801733652035176547e-02
1.295843809392680734e+00 3.970313282591210857e+00 3.728011944070164674e+00 4.269038331853706320e-02
1.479640264885431877e+00 4.890946209619812635e+00 3.867772118195303310e+00 1.759564782791255555e-01
1.871298224262325061e+00 8.923891330187684545e+00 3.947198222317174210e+00 7.293645722388553132e-02
1.593420616820510061e+00 4.328237550393739141e+00 3.826412465823866960e+00 5.141759051920287427e-02
2.153509336636483251e+00 4.707272040577198169e+00 3.748517569973900621e+00 8.057292394758470977e-02
1.709696107526840869e+00 5.646438396141164162e+00 3.627123440194125248e+00 1.003349103717753321e-01
1.685139528193502656e+00 6.039235993888565801e+00 3.674180258905400009e+00 7.071275199772297793e-02
1.218459769914530977e+00 6.286344605135221641e+00 3.981669232813795922e+00 1.944658264528520975e-01
1.877841373957234383e+00 8.511760994080090015e+00 3.643209271580517772e+00 6.164091960568241629e-02
1.782464566652994797e+00 1.056792931490250176e+01 3.689149658688473554e+00 9.157631611979172304e-02
1.564524107088349769e+00 1.102866312873823595e+01 4.273355431272270799e+00 3.518183839744568608e-01
1.392854269348950735e+00 3.835295316978054814e+00 3.707742848191554863e+00 1.409652851127361772e-01
2.021606868616192099e+00 3.352783746824481881e+00 3.744223110785621866e+00 9.256904578152649887e-02
2.529741686678118828e+00 3.632033904582346651e+00 3.805256698996998921e+00 6.182273397502631440e-02
1.496226570790061272e+00 5.210498290576078162e+00 3.682689705702188121e+00 3.039726205191516095e-02
2.139467641898465278e+00 3.452691420313416248e+00 3.777299700717351882e+00 5.109424743337344366e-02
1.300600071746293107e+00 3.710092953882631051e+00 3.520822631280117410e+00 2.106233276931978871e-01
1.315882371474528467e+00 5.333009556349789904e+00 3.687001733550729021e+00 1.183022900656858500e-01
2.412101152440908169e+00 9.074186814253407007e+00 3.669545586026834894e+00 4.370003834330273701e-02
1.557164138518657648e+00 3.553871856263812745e+00 3.668854032557549161e+00 5.643858158919090595e-02
2.086744389709589420e+00 5.524805903268432239e+00 3.805772246167146378e+00 1.782259054565437095e-01
2.154648464426275112e+00 4.406816897179721693e+00 3.646446296485676974e+00 1.544058046212293256e-01
1.883598003909057406e+00 5.100225633784186030e+00 3.839917683762757328e+00 2.389217688266302708e-01
1.522527746364584988e+00 6.890240665780532403e+00 3.525041587213100680e+00 2.263019344104142405e-01
1.412836029008112781e+00 4.081078908365785907e+00 3.813392741791551632e+00 1.170986437777082889e-01
1.788338022039460240e+00 5.361692518976600930e+00 3.892704593357545928e+00 2.122163607218891246e-01
2.147537904702770284e+00 1.251263248033243514e+01 3.771598164151048760e+00 7.719669791703888395e-02
1.222299251888017135e+00 4.928411865522176249e+00 3.703449466742422924e+00 4.612511807909368960e-02
1.455265485658904456e+00 3.819719376442339165e+00 3.770722614736065736e+00 1.064611603307738935e-01
1.855398671111098352e+00 5.080589156868304812e+00 3.465510969838463851e+00 2.411392985345865991e-01
1.938006204280795508e+00 8.801794149331385597e+00 3.455356194067380482e+00 2.406997597317594717e-01
2.126483385703823004e+00 3.664494314649877182e+00 3.722060616199841743e+00 2.110445989736262351e-01
1.967689904212012175e+00 7.128010989281864163e+00 3.540508066304347778e+00 8.111291901433498319e-02
1.988274667989754940e+00 8.748503279605419181e+00 3.923530768482740516e+00 1.689048518391640941e-01
1.384207055668002617e+00 5.769132807822216158e+00 3.887452093245509666e+00 1.444865918933145865e-01
1.820853868325520875e+00 4.358207396494751862e+00 3.833459629277200964e+00 1.074094245131423236e-01
1.843506516855266231e+00 3.037747960787002821e+00 3.615166212048227745e+00 8.983297464753511874e-02
2.196310279118085962e+00 4.860909534256874664e+00 3.587743348667151722e+00 2.751693148789404741e-01
2.127516567398935354e+00 5.179424741088257456e+00 3.748440109038384094e+00 2.989710605616625189e-02
1.755243791657230767e+00 8.667954694792811665e+00 3.649593775741320822e+00 3.111956402517048956e-02
1.721960212812975843e+00 4.194010024081382682e+00 3.836001359473209416e+00 1.090386023860495379e-01
1.893394308787871960e+00 4.774393134836405039e+00 3.502076053381200538e+00 1.696047055839218776e-01
2.111989713826220250e+00 8.972017908523897134e+00 3.763453628976817011e+00 1.307270595626197907e-01
1.237901827196412619e+00 4.540400045884405600e+00 3.635970242705359290e+00 1.556440645692176994e-01
1.709065725129996771e+00 9.699704529457799040e+00 3.590546407391671302e+00 1.233156401350879450e-01
1.620521581450546034e+00 7.636508030076374354e+00 3.748938110493342801e+00 3.066592330942197187e-02
1.876500185642262730e+00 5.843805661713991739e+00 3.767331279670920186e+00 3.008802343453646083e-02
1.315454515834259874e+00 5.136737329719919032e+00 3.850144464081473039e+00 3.624346923802496123e-01
1.436130960276933877e+00 5.805523328697872465e+00 3.647891645432352448e+00 1.857249834893913154e-01
1.762134566506176725e+00 5.612942153748272212e+00 3.720476840376874428e+00 4.968673044463051136e-02
2.230156647155604244e+00 5.799830368863330143e+00 3.719022769089389335e+00 3.488422083659068612e-02
1.832676109100826789e+00 5.239153083865462079e+00 3.622688815003269003e+00 1.290995568983832331e-01
2.657656907118723044e+00 5.033504712526134739e+00 3.779723628338799823e+00 1.324538916022456325e-01
1.990765059762133582e+00 7.649694805174709344e+00 3.867737229740459970e+00 1.821992219149299042e-01
1.344095663684927722e+00 3.901627191886599455e+00 3.864758073775721670e+00 1.756158033497627058e-01
1.911224662260718077e+00 9.340966263236536449e+00 3.786817987409227815e+00 1.996689021991750745e-01
1.921611762713812732e+00 2.994984745365005363e+00 3.805359449373301839e+00 8.212277091349128033e-02
1.772363546844353488e+00 6.411371391147000942e+00 3.613672537419419850e+00 6.706841764338949963e-02
1.942803392321512890e+00 1.165098846223729367e+01 3.567437267725372951e+00 7.382374980721083391e-02
1.613082566924664008e+00 4.843788520564627831e+00 3.680913596679082911e+00 1.797622135728159098e-01
2.008674456658325003e+00 5.180821664562456519e+00 3.713209470967475223e+00 4.981110935591074457e-02
1.647694369867538811e+00 5.837513994332326206e+00 3.587225904591430758e+00 1.207660797402418107e-01
2.070223065894309489e+00 6.444263915703517753e+00 3.708507920719312789e+00 7.875006495318985500e-02
2.011385094449862798e+00 6.645514183621669346e+00 3.451845401462560581e+00 9.580435534749874582e-02
1.996928686352102300e+00 1.438046303583994856e+01 3.673186848856653697e+00 1.723103295917102207e-01
1.931354407094231451e+00 5.150736594565046289e+00 3.789146812400928432e+00 1.095596241529370740e-01
1.546865278189622606e+00 4.863616959906616799e+00 3.692554206559328644e+00 1.352678077875897888e-01
1.982606993606228718e+00 4.816013326039945142e+00 3.681416368527631100e+00 5.864186355004832873e-02
1.885608924981314827e+00 3.673170819301102785e+00 3.719076925402216016e+00 2.242548858919400645e-01
2.262490591273980112e+00 6.224369551174335768e+00 3.844927659118261065e+00 1.572101684106250175e-01
1.515498836442860986e+00 6.479995945040661454e+00 3.788218407678983990e+00 6.433452788868240790e-02
1.971131874015486840e+00 5.077335898961298888e+00 3.842327144499976477e+00 1.580231294301422673e-01
2.190057120361568188e+00 6.954970467987514837e+00 3.395986674226574742e+00 2.818548626894661346e-01
1.896479676117569069e+00 8.193027000285880490e+00 3.755918676104455844e+00 6.356341796511065512e-02
1.610811866207014997e+00 7.795051685793307428e+00 3.775417238442728252e+00 1.775191356264665399e-01
1.408788498045754345e+00 5.404494570113209662e+00 3.557874795736012175e+00 8.075401449474203797e-02
1.401440099474552614e+00 5.036985172039299741e+00 3.570918201238750811e+00 1.036381105055682872e-01
2.463025320881183422e+00 8.830510251345135231e+00 3.878822594935520396e+00 1.462741565066505711e-01
1.813881295312743669e+00 6.421828232473677289e+00 3.781112487467617633e+00 4.014976552481491767e-01
2.006646378130798158e+00 5.799460485591438896e+00 3.678661625344185282e+00 1.266167275961920802e-01
1.535643799460325365e+00 2.934982935898077017e+00 3.637566652474712559e+00 1.420713977281700402e-01
1.684445203868312646e+00 7.312766535658941081e+00 3.731668848224710899e+00 2.934339328904920358e-02
1.576787443332390293e+00 4.236619177294556948e+00 3.671016812531770146e+00 7.140778245668194524e-02
1.831685754936779098e+00 5.990528867226765364e+00 3.701700488531097566e+00 1.038629788633393114e-01
1.382676783198294013e+00 5.562667029897199633e+00 3.647688845261586099e+00 7.676146407658325510e-02
1.592097228664643982e+00 6.857601634916442812e+00 3.841042836643242531e+00 1.957944935756998905e-01
2.119870793239190476e+00 6.310308495239544513e+00 3.701352943779497640e+00 5.975191015353042978e-02
1.792254238895679030e+00 4.895190236811079565e+00 3.808288969231254040e+00 9.536682136604865412e-02
2.069676984171669787e+00 6.873978485239381264e+00 3.695544885382950451e+00 6.991076664356687953e-02
1.790569472113340943e+00 7.749253243364782051e+00 3.675411744320414176e+00 2.538654886847510964e-02
1.880575317291886650e+00 1.090978420151447992e+01 3.606256435200561938e+00 1.088755141883660377e-01
1.779090771630697621e+00 5.513218771530365103e+00 3.750592098594861312e+00 5.036652931963191138e-02
1.860859002619550839e+00 4.344153494793164150e+00 3.559672151177001087e+00 1.474260633910384477e-01
2.028054450499555905e+00 8.652065209541023094e+00 3.841785533437165334e+00 1.181829554132166338e-01
