# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
3.021277916512032036e+00 5.855815136317632508e+00 3.288624632764043376e+00 1.759171981126410600e-01
1.645193641105391347e+00 5.012103666587822914e+00 2.908728881115759002e+00 7.095814916057201216e-02
1.656612984247771925e+00 4.893452992113301647e+00 3.044801589150939236e+00 1.911876986806683443e-02
1.684237912768513867e+00 4.233415224382719444e+00 3.056643538293814188e+00 1.430653870083362089e-01
1.862456373225647832e+00 4.622637001367248644e+00 2.912292121738230488e+00 9.036441728475728963e-02
1.692586221548922465e+00 8.381278074491721242e+00 3.109478393776841543e+00 8.658526992780429810e-02
2.259522537569923273e+00 4.731988674666400385e+00 2.837184376998052926e+00 2.024985182161558872e-01
1.083589521281840717e+00 1.250753446005575498e+01 2.936401489448124735e+00 3.595887636799421361e-01
2.152727463952329945e+00 4.987755523560775117e+00 3.109406843214332916e+00 7.870882724714675649e-02
1.483660394064258092e+00 6.711753066211828767e+00 2.962488029548184798e+00 9.787511225154818528e-02
2.206572007107915123e+00 6.936550848648325385e+00 3.180339531762077954e+00 1.026161207485186411e-01
1.602200957433320250e+00 7.481676132080574249e+00 3.075052931630739561e+00 1.613836547773626617e-01
1.822715630274889476e+00 5.052465484005295160e+00 2.892316074013991045e+00 2.114389714557058375e-01
1.586611358090335600e+00 5.591731299162226776e+00 3.055831222542165992e+00 1.450540744541238825e-01
1.840543701571254687e+00 5.225363823037377564e+00 2.996346441213305845e+00 7.953326064558279007e-02
1.839657651833143781e+00 4.885677648184319821e+00 2.888037772810082782e+00 1.320164268206336922e-01
1.126966572426776114e+00 7.564205078412728156e+00 2.679863707853497701e+00 3.000976437626637905e-01
1.241212917099855595e+00 2.850743178357282304e+00 3.093009841168673724e+00 1.540450975351636553e-01
2.586805050641462156e+00 6.086784812543943879e+00 2.867248241038160117e+00 1.417448088629193470e-01
2.289995177928713321e+00 4.729644154637323794e+00 3.232882477557993184e+00 8.772535679751462812e-02
2.132737456569383738e+00 5.620144490378782720e+00 3.172688512320763987e+00 1.050674581754030279e-01
2.780677718570404799e+00 5.212751416122023862e+00 3.260620512817700156e+00 3.958894256881081986e-02
2.005298047855540222e+00 4.849324175647547364e+00 3.043208108573066450e+00 3.248880329575181691e-01
