# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.197842387052662882e-01 2.732944830433117200e+00 4.437644855528199095e+00 1.222999691302993075e-01
6.851279568232219175e-01 5.226250326982834871e+00 4.164675203202658160e+00 2.584097364858798374e-01
6.613535788390346726e-01 4.242801680120640739e+00 4.214298881059291624e+00 9.929581278841143055e-02
7.322966542574590454e-01 5.435457455778713864e+00 4.008654890875058996e+00 1.897691503867589835e-01
5.473260978916749675e-01 7.311961475020974710e+00 4.262602272129664804e+00 2.058461212698847742e-01
7.652316147028361826e-01 8.159839997110521992e+00 4.057679012387177764e+00 2.407103196055757621e-01
9.250917877418256552e-01 4.761867778651655669e+00 4.018676517729630859e+00 1.348965735095450091e-01
5.311010851771169605e-01 7.318621385226119713e+00 3.871170825497772583e+00 1.796216040457049301e-01
4.951969450885801427e-01 6.466827417697733615e+00 3.823270094212103398e+00 1.985706709794731739e-01
4.847850843379644115e-01 5.235134578755462620e+00 4.394695345162726419e+00 1.924616412369033747e-01
7.950117974483746908e-01 3.071007598401004568e+00 3.976808071043225645e+00 2.917860232930219455e-01
8.220727246648169562e-01 3.262134919116059351e+00 4.704532483003800003e+00 3.015416148032661336e-01
8.249665615340767699e-01 6.361178554311414324e+00 4.270172737848342948e+00 2.584231790985468402e-01
8.537009060057920706e-01 6.301879736545432209e+00 3.680106245616936445e+00 3.360640567461515849e-01
8.325801719554357661e-01 3.535138608927567816e+00 4.515888934357016993e+00 2.554601238623819826e-01
7.601578929389942729e-01 5.532717712134856747e+00 4.020316366540234831e+00 1.495303942772671646e-01
6.156030719650691374e-01 6.709942733928452085e+00 3.931338318835990719e+00 3.643770226457411776e-01
5.720196274535025438e-01 4.222884111330922785e+00 3.916467820196001259e+00 2.505460032732357845e-01
4.872704567744197690e-01 7.445569632224256829e+00 3.744723020706203886e+00 2.511857383975076852e-01
7.077467814348454844e-01 3.896120524193792622e+00 4.337076216149633012e+00 3.188610379087141178e-01
5.592585370883175200e-01 8.846885746040985765e+00 4.196401014958652809e+00 1.467362036919803991e-01
4.787210116282305528e-01 3.486102541088343276e+00 4.287606337358224273e+00 3.053825136570496035e-01
6.131140030267844265e-01 9.822668311847795763e+00 4.967606355483866309e+00 3.165649725905829159e-01
5.742976719176255962e-01 7.087856457058873794e+00 3.972961478468824303e+00 4.542260213940670366e-01
6.646078196694814588e-01 3.618696596521075559e+00 4.336781671307960551e+00 2.128729743787942941e-01
5.773761563969976862e-01 1.034460659514368608e+01 4.199778727710463677e+00 3.525121236068599062e-01
7.328433061732899656e-01 9.371370004524351316e+00 3.969768869897773111e+00 2.725007664996015322e-01
4.209126130614041505e-01 6.132137234211044508e+00 3.139148341489327088e+00 1.984893925777042878e-01
5.718163291514161140e-01 7.920350103230044070e+00 4.049882750701467415e+00 3.191391783321722575e-01
6.183820168395266492e-01 3.029114973771981134e+00 4.135080160859894605e+00 3.055009201008216380e-01
9.010764086127985850e-01 4.365439324506128926e+00 4.591191762338467264e+00 2.346076276143705952e-01
5.971688082866981606e-01 6.355477284855925113e+00 4.101276590604167716e+00 3.314321387785195139e-01
4.009016345242794044e-01 1.020223618984260128e+01 4.133296568471830135e+00 3.083240764500760900e-01
6.864450423276134972e-01 7.565578207199819438e+00 4.309170073892628849e+00 2.437723999305195788e-01
7.625356576785221607e-01 7.112976715634592217e+00 4.413090782390338696e+00 2.789748816060733105e-01
7.656264269866922545e-01 5.730589601233963215e+00 4.227297172693945448e+00 3.191306700165357779e-01
7.760218878656069963e-01 6.240079552476681890e+00 4.056313184793752136e+00 1.902693589043160105e-01
3.905731314910657059e-01 4.563559777093311176e+00 4.356272400318859539e+00 3.804865213786465250e-01
