# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.965629237983155919e-01 7.303372974717216692e+00 5.376104218008324942e+00 1.716173531055638080e-01
7.063459049213779428e-01 5.075379380081455949e+00 5.367421153237976306e+00 2.067579638108661966e-01
7.805974018089385513e-01 4.109087885584651545e+00 5.498143471697591878e+00 1.965751853288692230e-01
7.480208831636464550e-01 6.829225567459970669e+00 5.681897466773126126e+00 2.741024782285864103e-01
4.958631773992334124e-01 5.435534001463802056e+00 5.728329301214856173e+00 1.503655318329555901e-01
1.210844644857519192e+00 4.320635996055455230e+00 5.169700795056006548e+00 2.699304725824676621e-01
5.472047888692979090e-01 6.327270480152605181e+00 5.527735757854886245e+00 8.165022823880219160e-02
6.319622614801769789e-01 5.671976575640414353e+00 5.593647117422575477e+00 1.171020065689079293e-01
6.437405562482547694e-01 5.402313332238582788e+00 5.813766061138728958e+00 1.371735669107266575e-01
9.550414647012382963e-01 3.094559447640100824e+00 5.555869362672137157e+00 1.379394450187947929e-01
6.707308052169467238e-01 6.026998507055639998e+00 5.604694082130027510e+00 1.359406417577975479e-01
6.742704245667743290e-01 6.327866003236618297e+00 5.524624330774836167e+00 1.925943744935914581e-01
6.141224786386316747e-01 1.011111687614593713e+01 5.459833522132201189e+00 2.107511701112517732e-01
6.362196201017309427e-01 5.535284901012960113e+00 5.607579006357400253e+00 2.853875779247603273e-01
1.065327250981028318e+00 3.032925723850473432e+00 5.715953218554744808e+00 1.192062149031411361e-01
9.021631199504784870e-01 5.218591360269441815e+00 5.367844626207440406e+00 2.047676835978515242e-01
7.915168178505780361e-01 4.717147258283858058e+00 5.789880232906197577e+00 7.419133229635677118e-02
7.863209165309196225e-01 4.564223668782932286e+00 5.348014374091039080e+00 1.408469586088564873e-01
9.153973229575184112e-01 5.591202850628560483e+00 5.284599609318973990e+00 2.380676311771749709e-01
7.292751827640922002e-01 4.980131217135070010e+00 5.220055643672264267e+00 2.204062787385580591e-01
8.248754679256192768e-01 3.349690120390506731e+00 5.557634013986263888e+00 1.879937378841973483e-01
5.793853156661636916e-01 6.017885000642884563e+00 5.351654347642692322e+00 3.131025299721303390e-01
1.030294870094701221e+00 5.060276933641578267e+00 5.681335402296713966e+00 1.337804698284071059e-01
7.964890432832483214e-01 7.788041271082306594e+00 5.435206507246840069e+00 1.206279838467700372e-01
