# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.810312900018826276e+00 6.257341100296528680e+00 2.812130148390618034e-01 1.888092358835494755e-01
8.536079546612767022e-01 6.877516774410277201e+00 -1.245178438872552640e+00 1.095358738929063103e-01
5.256702501087275881e-01 5.743620441707723678e+00 -1.695117946275820797e+00 1.781348891699938708e-01
1.136073341644346257e+00 5.390391305739298033e+00 2.133769837523815660e+00 4.022629788403948858e-02
1.505519219335673231e+00 6.294144369097169900e+00 2.742337982559684750e+00 8.815469205670478647e-02
8.969922603939992634e-01 4.420479567032887580e+00 -9.243240330626572021e-01 1.590204303825103749e-01
2.664764740612517002e+00 7.836272528102835366e+00 1.140346345634454472e+00 4.641031085431070458e-01
2.596172969601906022e+00 6.869669337638894646e+00 2.414430060048090354e+00 7.638011491851656731e-02
8.703894058572823056e-01 4.220324969072270171e+00 3.189149726049911315e+00 3.638786201100904782e-01
1.862887674039744423e+00 5.835408810661328438e+00 2.499225232912814842e+00 7.819037377696552715e-02
1.943329376062566505e+00 4.289664985748560255e+00 1.693120967221560580e+00 8.090247018821747349e-02
2.474669265103656368e+00 9.813459016698587334e+00 3.623057923552192694e+00 3.872385743766852961e-01
2.546472789614416588e+00 4.562070728817607446e+00 4.255868210769662596e+00 2.800692863092782980e-01
1.170734927591575048e+00 5.279438610082462624e+00 -7.179046104055477606e-01 3.513228050974203098e-01
8.369410468948706994e-01 4.237668273260787544e+00 -1.054035373696410760e+00 1.300084058178178625e-01
2.239243649832992400e+00 7.505126601710881751e+00 -1.051514321913512351e+00 3.122221383854851262e-01
2.056603067769057436e+00 3.619108633508628881e+00 -1.649485912150776112e+00 2.065015252825502245e-01
1.111600919516530839e+00 2.259703334712889422e+00 -7.928707166623585323e-01 1.856360803078196675e-01
7.986332540717391293e-01 5.623106106721148301e+00 1.420282502979786088e-02 5.458984366361040452e-01
1.373959347615633986e+00 5.329516124125924570e+00 3.071703509461268577e+00 2.467498378637849876e-01
1.751090593829292441e+00 3.032154289395560198e+00 1.107313569590469449e+00 6.097962328211933847e-02
2.143313747065028974e+00 3.053918093847324933e+00 1.702900599533260451e+00 1.606823950548623703e-01
1.303586313423324761e+00 8.813750898039902637e+00 1.920240951508425331e+00 9.464790777093848306e-02
7.699122589326561350e-01 4.332220053420080319e+00 1.451274005585111437e+00 4.874626291219771868e-02
1.031471235443592427e+00 6.467771079485318708e+00 -8.845817802755246984e-01 7.897011336541037707e-02
2.454773194478549581e+00 3.487545510950005756e+00 2.680461364425094306e+00 2.084065173610371302e-01
1.654371351027694503e+00 7.027429380891537569e+00 2.563211200289589264e+00 2.731407955224121609e-01
1.024216623394890835e+00 5.349471031211692207e+00 1.837158164334841581e+00 1.504377066720886114e-01
1.133364176274026747e+00 2.904068958592102234e+00 1.219113577405921856e+00 1.251934645161251469e-01
2.280696053258589817e+00 4.614351413118039424e+00 1.205664840290436191e+00 1.115196976599774070e-01
1.953653590758762437e+00 4.591982681873956196e+00 -1.125878138197444089e+00 1.417684168643913722e-01
1.157534181952488250e+00 5.215192640186234740e+00 1.061858486958604519e-01 1.757667890068133620e-01
6.258890866255394370e-01 7.281304213802155978e+00 -4.646458551850871643e-01 3.234455295370291528e-01
9.105397665822934083e-01 4.648456191656110015e+00 -1.951504286720935066e-01 4.003216170646319849e-01
1.246659495077257374e+00 3.521139691347550560e+00 -3.942364034424095109e-01 2.705091897372484677e-01
2.522774336312326948e+00 9.612323469104888218e+00 1.232103182486955717e+00 2.825738086738543431e-01
1.074487413321782769e+00 4.897185282020279473e+00 1.530336947609687082e+00 2.594457425550383278e-01
1.879409654143417097e+00 7.442596463127218342e+00 -4.895858516503884261e-01 2.864119296395891689e-01
1.912041551492707825e+00 1.184002866968643453e+01 -9.043093275550877497e-01 2.987806159549080132e-01
1.648202831270596525e+00 2.536925862166516943e+00 -1.649854985330278634e+00 2.597749121511679915e-01
7.842226788784689706e-01 5.034009293520933070e+00 -7.778771117947456126e-01 1.246481551479922262e-01
2.193330415131261368e+00 1.108244967255185287e+01 1.980166569119151898e+00 1.989824369858529951e-01
2.244285326721091600e+00 7.149891605157105090e+00 2.824250652138521112e+00 6.407179889043366217e-01
1.459234030087142475e+00 6.609852180777110675e+00 3.043494021622640933e+00 5.067800474159424307e-02
1.990737265977933657e+00 4.583351337118437563e+00 -1.648199388502252560e+00 2.254687199012281873e-01
1.485767398390960059e+00 6.215856410560467005e+00 3.845210581120760418e-01 2.809580577180988969e-01
1.622572965525133526e+00 3.153966175029702779e+00 -3.329982425749312691e-01 3.855119083713853256e-01
1.531230465279268982e+00 4.376650038764984707e+00 -1.633764624529766785e+00 2.198786040668708752e-01
1.644373997460752745e+00 6.486153540816085972e+00 1.823167195327283885e+00 2.078740784453257939e-01
2.114540584734475370e+00 3.957547078849140920e+00 -1.624180943534845323e-01 1.288287024852917684e-01
2.162972404402192517e+00 5.255533683394578937e+00 -4.575992266183602775e-01 4.125746378218300703e-02
2.855344441593391291e+00 8.186578205420804721e+00 -1.923461007919906596e+00 1.724993394126808632e-01
1.826585219299935448e+00 5.168813403170010368e+00 2.855974590486088704e+00 1.127616666251772815e-01
2.916203591694164654e+00 9.607007893732292914e+00 9.531888920109138352e-01 1.927978204387568173e-01
1.056648998297919251e+00 5.063775572173486061e+00 -1.781527316104360548e+00 9.225471721811244474e-02
8.638541493691581641e-01 1.271130998773646326e+01 1.789737836430710383e-01 2.192100787262220851e-01
1.041824294860723477e+00 4.430363889711022019e+00 7.797189418504447689e-01 2.411137412570303618e-01
2.345374751685663561e+00 9.736053325959462157e+00 1.355973401083073515e+00 2.600264394994001860e-01
2.286093212631305605e+00 3.711923207662600532e+00 2.458098842434714992e+00 1.980028604650421187e-01
1.465582093426393451e+00 2.997637048901529599e+00 -3.229060348875654740e-01 8.849411122032591059e-02
1.176379929451733197e+00 5.820385043538836456e+00 -1.768350267705815604e+00 1.418947348003344044e-01
1.341062507646566759e+00 5.550334436032396290e+00 -7.508271726931037282e-02 2.679686925909505191e-01
1.988235499832866848e+00 3.013448732602862723e+00 1.532697032952533789e+00 9.860222436092330733e-02
1.702645630928412590e+00 7.595401385479184420e+00 8.679391434819069273e-01 4.743473206125068953e-01
2.815969830845135746e+00 5.591832718652886669e+00 -1.230152884344649644e+00 1.270634027610659245e-01
1.059792729902526931e+00 5.472110087836770553e+00 5.021712307325736369e-01 2.793209751251021777e-01
1.031368189077196629e+00 3.936315472676765737e+00 1.013859760098285712e+00 1.900750388372426380e-01
2.020538988617115006e+00 1.104343193569155623e+01 2.488221360835690010e+00 1.281595260680443160e-01
1.660892881669113974e+00 6.679182463790304780e+00 4.989025479551938425e-01 4.330917614361916579e-01
4.003462505422288764e+00 4.365049734003690673e+00 2.628104294182793677e+00 6.236311572862636432e-02
2.029271806046260451e+00 3.415340701247041366e+00 -3.798327215393907941e-01 3.983904336771617594e-01
1.776031000002092464e+00 1.004034578603274142e+01 -5.777160662377087696e-01 4.790808213515156955e-01
2.672803665035872633e+00 9.389058890354567311e+00 1.129797461812087178e+00 1.940396003117469126e-01
1.212624450820844135e+00 5.831593681857337508e+00 -9.768677002123271613e-01 4.292149912506739717e-01
1.206034209305451466e+00 3.809922615751563768e+00 1.244011014256541037e+00 8.702014119791008639e-02
1.155914552002576423e+00 6.182527682599674890e+00 1.812618632186981493e+00 1.384658606095449385e-01
1.270340615320365796e+00 7.094217897868433376e+00 2.510545150058329789e-03 1.154193947854835478e-01
1.444535075315344086e+00 5.789830142385945067e+00 2.293369159452976369e+00 2.925234072386976303e-01
7.095538966273211567e-01 5.443861884237633397e+00 -7.942993908189625030e-01 1.296691629962112846e-01
1.706050976146291864e+00 1.052050855438210419e+01 2.141520685496904441e+00 2.527811873339860238e-01
1.332192708242901258e+00 4.781609068699095744e+00 -1.143416922119400603e+00 1.800026031812738125e-01
7.900404746223714803e-01 4.132134601834991372e+00 9.294424969695800343e-01 2.136501903723523887e-01
4.011588164593178796e+00 4.042611900669800917e+00 1.513399125399975897e+00 1.218683832246636872e-01
1.833120648315906154e+00 5.560201816719100520e+00 2.129809443799820734e+00 1.321437695697201264e-01
1.285212394262842395e+00 7.985393210636997807e+00 -4.299265477285969528e-01 4.020889263003889491e-01
1.761195156298941189e+00 6.482476940794947851e+00 4.110135246044582580e+00 1.539035997912753806e-01
1.401975408001508550e+00 7.541189004150846031e+00 -7.584053767729971307e-01 1.624396454816021129e-01
1.372809680150332223e+00 7.122823503134489087e+00 2.181486930836045612e+00 1.921058113947826385e-01
1.346635405373314720e+00 6.115677174014009232e+00 1.955777251302617259e+00 5.935381311160059514e-02
2.088404033433174156e+00 5.340635641373852494e+00 4.154055338958963617e+00 3.637506703366828464e-01
2.001195511347958256e+00 5.231172169255096094e+00 2.375289748689711988e+00 6.551123586046361802e-02
7.707607334392839737e-01 8.968462456574364694e+00 2.354360967346881495e+00 2.025117497531547794e-01
2.019787892717869404e+00 5.005187370467510277e+00 2.461567619903436643e+00 1.846620813484475820e-01
1.447208732613694870e+00 3.175270523839006209e+00 -1.220496064909017742e+00 2.827301568862287118e-01
1.082228846293419755e+00 5.751508848708512645e+00 7.891067848982680211e-01 2.106515529950335197e-01
2.314110941224617690e+00 3.477040576467670174e+00 -4.250716712655977503e-01 1.859041057260119867e-01
1.596508540355467742e+00 3.922399373797945010e+00 -2.054094077376967808e-01 1.196134975342105500e-01
1.575819299228070625e+00 8.287286538548608306e+00 3.898180344265380626e+00 1.480173252578262377e-01
7.997055246808485451e-01 6.520669900948733222e+00 1.086602584845914210e+00 3.072941361110762548e-01
2.849062059210126563e+00 4.274989686131707600e+00 -2.546738269260754306e-01 1.804230914423909371e-01
2.542526495401751241e+00 9.101560471277618802e+00 2.715433411637276251e+00 2.010051105705029095e-01
2.450931197854319787e+00 7.347281020745621838e+00 2.091659126020441128e+00 8.165187598898118737e-02
2.194008716333398556e+00 7.496110723359783456e+00 8.786512899775844598e-01 1.483178295474125441e-01
3.521053064235253327e+00 5.343772040703690607e+00 -2.509086369402534489e-01 1.969330061485677352e-01
2.183177311863610193e+00 5.665582092792954327e+00 -9.913271226761293242e-01 3.456077387808381696e-01
2.453714620798834734e+00 2.975045468107036406e+00 -1.240893905302607125e+00 1.281915309433115935e-01
1.793862891096357881e+00 8.390258936074978635e+00 1.061075486846816407e-01 2.018594901111399054e-01
8.407328871697417050e-01 6.242111555304781234e+00 -7.657887332639001787e-01 2.277036885066075766e-01
1.213803513340814266e+00 6.550610299294184813e+00 1.990467371327396595e+00 2.618006334847383099e-01
3.038403107007877413e+00 8.779453048233602175e+00 -1.515774419040420540e+00 1.042123886125236459e-01
1.425598306733154796e+00 3.450390448565268109e+00 2.361908680261342930e+00 1.849975785771881820e-01
1.345124757953207073e+00 7.845233830498754557e+00 9.077843217030906464e-02 1.280244107271543974e-01
2.077424105722295078e+00 3.543698815672078339e+00 1.382153637345448161e+00 8.117432551422461284e-02
1.883375940484364630e+00 7.212636694722988295e+00 2.553856029264507832e+00 4.728516153227584340e-01
2.960740113339690005e+00 6.949839652547408875e+00 1.592208176570514944e+00 1.902088463223721715e-01
7.396087340324800641e-01 5.837584440417544762e+00 -1.625459622834332762e+00 7.570481617341105751e-02
1.899679584576138502e+00 1.375236541472391494e+01 -1.352068026298400394e+00 2.448569646645352427e-01
1.857697754831828085e+00 5.281562294813020308e+00 -1.535744839432158004e+00 2.787536501394008992e-01
2.129627135178830954e+00 2.921673695999716269e+00 -1.011650039181457350e+00 3.581342082219376999e-01
1.486489047223563231e+00 3.864503921801102138e+00 3.940861056688781394e-01 9.646133252024000071e-02
2.466425107399913941e+00 1.150064980701584538e+01 3.629093131746895740e+00 2.295459165645721833e-01
2.835828741716735379e+00 3.934848452178171474e+00 1.329775584255739718e+00 2.394859921066533615e-01
8.673301020143993068e-01 3.616126753098475088e+00 1.091364473324207829e-01 1.346343038712216333e-01
3.042813081231676708e+00 5.251357873158942979e+00 2.733355899750358198e-01 2.157338032904407843e-01
1.482737207654194256e+00 6.505866920882311000e+00 5.295287125235892400e-02 7.864618998221564738e-02
1.237007792192246214e+00 4.742385661662690488e+00 2.695744260447990648e+00 2.092780049467453940e-01
1.113739786658703990e+00 4.036257604974976765e+00 1.261619521862716198e+00 2.213015506708870261e-01
1.472372034825701892e+00 4.901448001223260853e+00 3.233589568914113421e+00 6.274744575480423192e-02
1.539967049377484187e+00 4.547475652500877707e+00 4.356171992295363449e-01 2.988739986728770059e-01
1.350982516652639687e+00 8.087269890236740366e+00 -8.428148769407722840e-01 5.123327944625097885e-01
2.585953923441682623e+00 4.970934888818256070e+00 3.353999864439208611e+00 1.822083405062247252e-01
2.270837599722128619e+00 5.333518652724599463e+00 2.553963984171372825e+00 3.100931423792210873e-01
1.893546008901224376e+00 3.808533568378698941e+00 -5.427426824217573831e-01 7.533621238600828052e-02
1.368787433388765296e+00 3.922162814608924464e+00 7.036463622656705663e-01 2.345332812020531066e-01
3.023966204394816337e+00 4.927324173924922945e+00 1.008155694572150596e+00 4.026545521329673583e-01
9.684821463521915419e-01 3.514827234031004721e+00 -9.806970870165127030e-01 2.553430520390841951e-01
1.536669751282462526e+00 6.052889492102226043e+00 -4.733590912373044635e-01 8.353601194442626665e-02
1.043110037033055049e+00 6.577044073359209264e+00 9.696534641433569579e-01 3.213676666512592650e-01
1.678020819858493606e+00 9.713877847046807901e+00 -7.725957979452573454e-01 3.886501227714111439e-01
1.068552541893673657e+00 4.903491650924076239e+00 -4.886850768555437430e-01 1.242507543194000669e-01
2.420362542104372849e+00 2.405412881159445959e+00 -4.157651557753815341e-01 3.214213436692679449e-01
1.856368426675488514e+00 4.432894958955321485e+00 2.599490051319668371e+00 3.070083194244832003e-01
1.578230229435589216e+00 8.319781826290354232e+00 -1.749219894607797254e+00 1.337656238433781453e-01
2.684498272921157724e+00 3.318963466729528022e+00 1.089672058979779257e-01 2.751514485234877183e-01
1.903089515870697745e+00 1.017435339262593352e+01 9.177632632018630776e-01 3.918362163074366467e-01
1.808292918220355538e+00 7.617830155976781370e+00 1.039539796199811628e+00 6.926722333344564886e-02
1.070618446732569451e+00 6.530697981123203988e+00 1.023035828629993649e+00 1.374140932701594375e-01
1.302638830682548710e+00 5.657863406955685015e+00 -1.024900047924836466e+00 4.709585144558080250e-02
2.989520469093337685e+00 1.135572516271138532e+01 4.322946168432396874e+00 5.360804663017702115e-02
3.479370906536162433e+00 4.133470317749645240e+00 -1.856138151420329230e+00 4.674746192992251803e-02
1.099269075415206132e+00 6.321097770399888738e+00 2.368071962259976626e+00 8.884287348524830263e-02
2.279962487879007238e+00 4.864293793676952582e+00 -1.067225368970486699e+00 1.149566789198629979e-01
2.049054598872510624e+00 8.846902194505259942e+00 7.242983586534302853e-01 2.307018955463086829e-01
1.388592186799024519e+00 8.058334695239505407e+00 1.014988984925949023e+00 1.283765744419822219e-01
2.870469979982480879e+00 5.381555635784197378e+00 2.075819305722588215e+00 5.935976052578756379e-02
1.683760629164789524e+00 5.887886653357070621e+00 1.779284931564374173e+00 1.318350309409118681e-01
2.572838021777937634e+00 6.380678151779361151e+00 1.000356674343787278e+00 1.347841964273374382e-01
2.540440282556547302e+00 3.532543890082618709e+00 -4.400415436388688262e-01 3.262497625037902860e-01
1.681265098807159353e+00 7.139970579485332536e+00 -1.668889028034734823e+00 1.576511333390501202e-01
1.208814480324588825e+00 1.013165278995829155e+01 2.869679372827950381e+00 1.479761049576032994e-01
2.644263290228965779e+00 6.577744494119738938e+00 -8.687107667809923495e-01 9.204250726224988410e-02
5.760248052002987507e-01 6.563113336504610373e+00 1.570320762161400596e+00 1.488526141821865101e-01
1.417081798329837161e+00 5.329450909823340687e+00 -6.958252930111452628e-01 1.448401516894749497e-01
1.189788961252366439e+00 4.656353333349849244e+00 1.461656032363865432e+00 1.401326064900907664e-01
