# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
3.797602120051361663e+00 7.624065873825151662e+00 4.489705278586471060e+00 2.487728033489124135e-01
3.688268130358127728e+00 5.064784492857087983e+00 5.077776021007513130e+00 1.428804990764057925e-01
3.286880021494063886e+00 4.741434517099850865e+00 4.742770284323849950e+00 1.564173630253943847e-01
2.603116560621429709e+00 5.703183811639200407e+00 4.270585853989384617e+00 3.130180862469357783e-01
4.169029629318833585e+00 3.127559777553371223e+00 4.780788346139496880e+00 1.517347814927740568e-01
2.456560869416226645e+00 4.493428798775344291e+00 4.688410850290989806e+00 4.799137271231311841e-01
2.334320518663017818e+00 2.584081232259459515e+00 4.414155128303910658e+00 3.811093981663967734e-01
4.595043885821352703e+00 4.602904931329457661e+00 5.106238445500633993e+00 9.180968115765694715e-02
2.521132747009533936e+00 6.380834114252575517e+00 4.764208270560842173e+00 1.987409411097829370e-01
2.490910731849244719e+00 4.313980256224483334e+00 4.496853551282646855e+00 2.841042549975549836e-01
2.802911606579821857e+00 1.031842368945568289e+01 4.046448211350999635e+00 3.944015063465518556e-01
2.802306373688045138e+00 9.213946389653344227e+00 4.177668116175691893e+00 3.859627943690118745e-01
3.455753846893596659e+00 4.609292715245111083e+00 4.896344810169450668e+00 1.540520090246689233e-01
3.168622404908685741e+00 1.081868585769507440e+01 4.874572605089822375e+00 2.462220906246064267e-01
2.376484062459063740e+00 5.803554154387765784e+00 4.034627051398842923e+00 3.977804864518824091e-01
2.834646915261463729e+00 9.017711276457276881e+00 4.320394520617909073e+00 5.468141360944929197e-01
3.403326685160284359e+00 5.115187873865204793e+00 4.292682030675003979e+00 2.383861656243186355e-01
2.761180099815236488e+00 7.543046511814297084e+00 4.538363917411308179e+00 3.503417758543609373e-01
2.423141187606011382e+00 1.041840106613833683e+01 4.516817062045336506e+00 3.439442589181159193e-01
4.316983331204463425e+00 4.573661391305911650e+00 5.119609124191186744e+00 1.926463739084254556e-01
3.402062966326559579e+00 3.782121103221692149e+00 5.086503265754092062e+00 1.295272129770208835e-01
3.331153258269807793e+00 1.131143367400539645e+01 4.383021824724362858e+00 1.551909552957058958e-01
2.868740157238834687e+00 5.188766261589901063e+00 4.878446237178748923e+00 1.588497528626123256e-01
3.291613995321998942e+00 9.284180471219361408e+00 4.748022386412062090e+00 2.520116166118342438e-01
3.665265775154841421e+00 4.443973538608906537e+00 4.939831302094922272e+00 2.724607953776699842e-01
2.861737255148789405e+00 6.539090810291355638e+00 4.710816918610329473e+00 1.297497576679128017e-01
2.473035013372967050e+00 6.928643166888528881e+00 4.748797518861904265e+00 3.320947687011401306e-01
2.988975459316882244e+00 3.345445630742716503e+00 4.784318231692401113e+00 2.137932231768481239e-01
3.807259633011003785e+00 7.538771601799599154e+00 4.722890933475272668e+00 1.335329192524458142e-01
4.200124975770235913e+00 6.935963657530166415e+00 5.005309648466615968e+00 4.544011805436482532e-01
4.112348322618305296e+00 1.015021677057512406e+01 5.197985239496029308e+00 2.885844465899106148e-01
4.390248475827499774e+00 6.526017809265158398e+00 4.913844661013345494e+00 1.522978525836357067e-01
3.594324137351276871e+00 7.014925501061472168e+00 4.462636221114353319e+00 3.683153371609147464e-01
3.389403913203657304e+00 2.720092960073866806e+00 4.379608445785690307e+00 4.137335305878676595e-01
4.512217186298804528e+00 5.108347659085248793e+00 4.746264347927518834e+00 2.381779733113659203e-01
2.967981027751694700e+00 4.937115360828287614e+00 4.468022993119966202e+00 2.416290459710750127e-01
3.532603910049264329e+00 7.091918430416040309e+00 5.052616894810215697e+00 4.328655421614781007e-01
