# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.770199068263929920e+00 9.590088749113041544e+00 5.324901979778969618e+00 1.708487584004771964e-01
1.130794205936779262e+00 3.179815918726212054e+00 4.647536112034114986e+00 5.543522978791685929e-02
1.272521775266830746e+00 1.181006811939664658e+01 5.151265950971770202e+00 2.872924387993913697e-01
1.015943293001043246e+00 4.087288353796385110e+00 4.721768105146435524e+00 5.510088975123481059e-02
1.221137733251166146e+00 5.223500558151277673e+00 4.746966506763075522e+00 1.942788279493122272e-01
1.722624738445417414e+00 8.491687230488427218e+00 4.935428043618786731e+00 1.110709571682901714e-01
7.420979100902116432e-01 7.918528632917479548e+00 4.616976120235150916e+00 1.222972976373676302e-01
7.145322500818884759e-01 4.217957526765906628e+00 4.215154931515407100e+00 1.891519498276917899e-01
1.257253716210164463e+00 1.209315810595612284e+01 4.792382293209807465e+00 1.950427875008928225e-01
1.307295101445089980e+00 8.998064966921662133e+00 4.904115423228635251e+00 2.552337814385340423e-02
5.921800556053166131e-01 3.995340137501748767e+00 4.189732544164661121e+00 1.036929456968353758e-01
8.652406421596022801e-01 6.066711552740472690e+00 4.483885602568520312e+00 1.973051823063706467e-01
1.097722152045741195e+00 1.145901613810088193e+01 4.527015741531950965e+00 1.324731700669106726e-01
1.287723482551764498e+00 4.049916695999320915e+00 4.679166012116508178e+00 1.289277442296546394e-01
1.392219664643077337e+00 6.082630409069397004e+00 5.155295429464183066e+00 9.605592796637560382e-02
9.707134881976563490e-01 2.721315297284902623e+00 4.607115511998149948e+00 3.048545154556485670e-01
8.006665486884245730e-01 6.742341894426375326e+00 4.453706056872743346e+00 3.337572103106153376e-01
1.238196783794242251e+00 3.347499166246619584e+00 4.821413271312898097e+00 9.248611595126869644e-02
1.164679249881844569e+00 6.663048715179940906e+00 4.899404329040521588e+00 6.276290900469536083e-02
1.100443523356220865e+00 4.344434371938898032e+00 4.692167269159988940e+00 1.219068343121591236e-01
1.213161866364168784e+00 2.571009307773082675e+00 5.021631263961717551e+00 8.197079157379624781e-02
8.688174938137699366e-01 5.942968291910881717e+00 4.370023445316868482e+00 1.280099457293127352e-01
1.985193339854935513e+00 1.241714979201698910e+01 5.134310148669442242e+00 6.396411273660719543e-02
8.130872217358848797e-01 7.061031711354039508e+00 4.780776235281987141e+00 1.851486726603632782e-01
2.094180143725890453e+00 8.227475169829435941e+00 5.179029898959749190e+00 8.930597090063469023e-02
1.518902385015350243e+00 2.806732409825853036e+00 4.972371131421557955e+00 1.049985990774676275e-01
1.803111135936937393e+00 5.605156886805744421e+00 4.813718678038756416e+00 1.030525350512551258e-01
1.228073514526787147e+00 9.041441860381379314e+00 5.018881920757060300e+00 2.103319355649505007e-01
1.418907641286596188e+00 1.012751639564713280e+01 5.018806614281475120e+00 2.298566377906470226e-01
1.901393405389840474e+00 7.058445960678085385e+00 5.132258003691054782e+00 1.239334251503290268e-01
8.100577139892312095e-01 5.192555134650175930e+00 5.053208044614218686e+00 3.615714394330801773e-01
8.683007735036992747e-01 7.458802811660092402e+00 4.515591000509489028e+00 1.946404328049327337e-01
1.627726227189627339e+00 5.360132823895690457e+00 5.061113558415168967e+00 3.720558630831542063e-02
1.387937652001548949e+00 5.354408861790659557e+00 4.871877823714454436e+00 4.175818698515366967e-02
1.303920549196694312e+00 1.036364862845793766e+01 4.895852946524357208e+00 3.904793043165460942e-02
1.178377447970902825e+00 4.895400281595029490e+00 4.943095291532873858e+00 2.223813227023338501e-01
1.157756633105626154e+00 6.689680428295520898e+00 4.622415034987733762e+00 2.398844745857067751e-01
6.879843118174802097e-01 6.277985940531673137e+00 5.006850202001664307e+00 1.723049607045443743e-01
6.657179334609197863e-01 4.851835708106467138e+00 4.451213016111065457e+00 9.146417172183332611e-02
7.073376268799534961e-01 8.107084501170559676e+00 4.101405299318471975e+00 1.843291543717379133e-01
6.889442712745756925e-01 4.880535805599534704e+00 4.293226635560205118e+00 9.703132515504434008e-02
1.037894315741433537e+00 1.136791430511478040e+01 4.716682996791965898e+00 1.154785811150348673e-01
1.033999100019960204e+00 7.858696092043988557e+00 5.079981415711750437e+00 8.166678164461584066e-02
8.012214878154728659e-01 8.067502005577146917e+00 4.569406648117609215e+00 8.278487552284446993e-02
8.770114529261182623e-01 7.974808206019166512e+00 4.816238450551581174e+00 6.721463563426287313e-02
7.062278372095921464e-01 9.319346865924773127e+00 4.399972346562245562e+00 2.072304140931015559e-01
