# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.933798565985321405e+00 4.839637463780236182e+00 5.768727713681720992e+00 1.407198377080194907e-01
1.693387376620851148e+00 6.324720463937958392e+00 5.740852563802024022e+00 5.932495261493537370e-02
1.515619324874862839e+00 3.927451376715415776e+00 5.588359719176182239e+00 1.645801691840232395e-01
1.453576505512540029e+00 6.057637791540934735e+00 5.839594955498690787e+00 6.712281254188891266e-02
1.272324869972683015e+00 2.566763880392989972e+00 5.599256545827155485e+00 1.389452184332722884e-01
1.260108246646317820e+00 3.153072929241523603e+00 5.764006129415955471e+00 1.830830260184644065e-01
1.444595584059120696e+00 4.776398302052409228e+00 5.806471002678736504e+00 1.468010713079886398e-01
1.457447922283823694e+00 5.405714527887203857e+00 5.783073819539588989e+00 5.863330613577087680e-02
1.818668613293761283e+00 5.414466872847948586e+00 5.752021144762399452e+00 5.686578980944195782e-02
1.458120993694252743e+00 6.306031918122314117e+00 5.712750381155478507e+00 6.279313416612380960e-02
1.566024590662725036e+00 6.675844519590850901e+00 5.686478153887093434e+00 1.584734384944730956e-01
1.244096228964753692e+00 3.035120714508396489e+00 5.703083709917254218e+00 1.761606210842160680e-01
1.572802582843217056e+00 9.156456104093788184e+00 5.609029127445145591e+00 5.287067513409751673e-02
1.130747850357715967e+00 4.400063186759618716e+00 5.776268380883692544e+00 1.157806321312949693e-01
1.634601232605512822e+00 6.572573597524371536e+00 5.716330476452477605e+00 1.119329923102683061e-01
1.150100026829452116e+00 5.924385486204288398e+00 5.474125587398729564e+00 2.379479102722293626e-01
1.438292086249448376e+00 4.976370246172525214e+00 5.818400621565971598e+00 3.423899156230515439e-01
1.817000320414117853e+00 6.610758339864215571e+00 5.870812597425055124e+00 1.045729243685423610e-01
1.426942109065326036e+00 4.331276487766128724e+00 5.686145567332745898e+00 1.693913572683742041e-01
1.479605229420703605e+00 6.666434405958780118e+00 5.757896542373956095e+00 1.463728713335938347e-01
1.265923455371962270e+00 6.251779561157513321e+00 5.701607025514348059e+00 2.013606198464012453e-01
1.376293674732158578e+00 7.982772826448383263e+00 5.878059016678055748e+00 1.477492976901698674e-01
1.273789271017071956e+00 6.159801991396304466e+00 5.796345345885451472e+00 5.612758993683075737e-02
1.725997581361490063e+00 5.647389914653600407e+00 5.712813845111107902e+00 8.126922254377413890e-02
1.139395739974936594e+00 8.332058225783615768e+00 5.682433058282184923e+00 1.902573236466262863e-01
1.113123421684835357e+00 6.419154686811266330e+00 5.681275460922289966e+00 4.518054538565308836e-02
1.630644106363320800e+00 6.219355035551504152e+00 5.834277585825952350e+00 5.199462052083622665e-02
1.211613249403908910e+00 4.168872363623487232e+00 5.586145279355391402e+00 1.549301296128739180e-01
1.690164544210431163e+00 5.731639082601217794e+00 5.535357512809403246e+00 1.401552423845792428e-01
1.394268163133432381e+00 7.357268772840404480e+00 5.736534690336061892e+00 4.845475604793526847e-02
1.862381038432089131e+00 4.451905732608503641e+00 5.732201422220182252e+00 1.412159046037750887e-01
1.402646141239356714e+00 7.809320312707464851e+00 5.727976376410428117e+00 4.686353387221581235e-02
1.385686565148435134e+00 6.403531487219460416e+00 5.757913603610318454e+00 7.346692060168813487e-02
1.632996226410959428e+00 8.885973883843272247e+00 5.949241278774831443e+00 1.703515593966185016e-01
1.665182962179548642e+00 8.108340989175369273e+00 5.825321260546582280e+00 9.142684165393295814e-02
1.904459405402048056e+00 5.586975807257346105e+00 5.726053062144202954e+00 5.898726250450798958e-02
1.080560071366427177e+00 6.437010118537977554e+00 5.698257451998824941e+00 1.447244875350920668e-01
1.511478178453410814e+00 7.587756518687226226e+00 5.596390610588280801e+00 1.118740661826465588e-01
1.448535679444498570e+00 7.363527994179428937e+00 5.446406311466950534e+00 2.709877492096965934e-01
1.281476298588191121e+00 4.949427607478570579e+00 5.752572400956008636e+00 1.379772090203451596e-01
1.507120134725882021e+00 3.553175860100452610e+00 5.590362961584635748e+00 2.178618795504697614e-01
1.390229355040077053e+00 9.682270997711162508e+00 5.687113910489258295e+00 7.551971962566902952e-02
1.827699394650211362e+00 1.064244049023898597e+01 5.825449479631128469e+00 9.880003150303309778e-02
1.211070921374645781e+00 5.168450775859916746e+00 5.717304082033063395e+00 1.026025758935898841e-01
1.055126848157600383e+00 4.767349730050557177e+00 5.745817448806256778e+00 6.228469578601043138e-02
1.408035749225149402e+00 5.614701453534415521e+00 5.730890378256948914e+00 1.207334249260338388e-01
1.119840102485937239e+00 1.025465327057185050e+01 5.743243345926949850e+00 1.254353426666763860e-01
1.445589550569556181e+00 1.030699857481634574e+01 5.743767049196455865e+00 2.271516598313081947e-01
1.676835528867902436e+00 5.836210226379012767e+00 5.648633356693035346e+00 1.094301430306441614e-01
1.777882420873498459e+00 6.900340175209836779e+00 5.760557981044047260e+00 9.604425573648592285e-02
1.333834184460321204e+00 5.108228462561310579e+00 5.818226222930778846e+00 1.625774591719298945e-01
1.140664447488295652e+00 7.544051307461673517e+00 5.664715249954013210e+00 6.773510303334068228e-02
1.498129110337321102e+00 5.832449372900974538e+00 5.729764111855556230e+00 6.480977799483357560e-02
1.322604718962962611e+00 4.618757164700547868e+00 5.585438661541511252e+00 8.025376124112579279e-02
1.750018261584337598e+00 7.525046702415899347e+00 5.728464995209274768e+00 8.824885963304929248e-02
1.727497655942419108e+00 7.672174616979528849e+00 5.719440863231069372e+00 1.234099079048587289e-01
1.969474057172159398e+00 6.809518764760265519e+00 5.806472511604612308e+00 6.395529136288513605e-02
1.478402886093497903e+00 7.591719625676140559e+00 5.654622841347431539e+00 9.763707168241785028e-02
1.493177498499731692e+00 3.451659182715482110e+00 5.637041325637321521e+00 9.776060191454209736e-02
1.193854428577271864e+00 6.167623081715497335e+00 5.781583330826511435e+00 8.216284689411675057e-02
1.300381747407802990e+00 1.002226831542702712e+01 5.695706838821018358e+00 8.329050923267530826e-02
1.286805415158466470e+00 4.926607625332475315e+00 5.834207355971857467e+00 1.105395845601148674e-01
1.947376670826681533e+00 5.624888896942804806e+00 5.797926621740246311e+00 1.335578317543891225e-01
1.318081252545573179e+00 4.908421797035155798e+00 6.032480033440407396e+00 2.061680965866319881e-01
1.616480965560242566e+00 6.852633466774859627e+00 5.701313481378023518e+00 2.392750442542378730e-01
1.694113620049005231e+00 3.771825766698837956e+00 5.666056266234850369e+00 1.972583961999280211e-01
1.511188257819173097e+00 5.317502129871985339e+00 5.814744610903769484e+00 1.114486297268470760e-01
1.570096948600037789e+00 4.812972402248593795e+00 5.623936913849306052e+00 8.970629319898326681e-02
1.589653872988614047e+00 5.926999935713578971e+00 5.886391796837747492e+00 1.949308378511153961e-01
2.702533512347640610e+00 2.347632277371274778e+00 5.755416698539560727e+00 5.807074834609744773e-02
1.844424092100180212e+00 3.580378794930627162e+00 5.627909356287068121e+00 1.583148274393624266e-01
1.858187905388307914e+00 3.983570385111044665e+00 5.512534772980950848e+00 1.091320037496019274e-01
1.754564282543718434e+00 4.081162940478741952e+00 5.751956169771117899e+00 4.628642156436941352e-02
1.350589104822545350e+00 5.943356818513686690e+00 5.735865820642068513e+00 1.322398857220052903e-01
1.658082365927496804e+00 1.327366099843946401e+01 5.870664186335518231e+00 1.367968597880631632e-01
1.534520610035639887e+00 7.794726482699932291e+00 5.684541931293182415e+00 8.088424284439728329e-02
1.329024420771068637e+00 5.033450350606244683e+00 5.795833867955430208e+00 5.839315368106814952e-02
9.881957433367192234e-01 2.991550681353045249e+00 5.601066597478030928e+00 1.865703438738281206e-01
1.277946872732673489e+00 1.379350315808516392e+01 5.401862264122605950e+00 1.426563535281793194e-01
1.484402058396118385e+00 8.285719606854643260e+00 5.677633475709121136e+00 1.166336315670304102e-01
1.363179812388203960e+00 6.482891406970358261e+00 5.798828549766661844e+00 7.573206363072065850e-02
1.689245766076747923e+00 5.951025979856379600e+00 5.553928462850427294e+00 2.656115254369875167e-01
1.533392607979358502e+00 3.794858549459311448e+00 5.810662130645015466e+00 9.418905122381199257e-02
1.157830161163314608e+00 8.373348728524959483e+00 5.883669675677272615e+00 1.886491749731389334e-01
1.382081929799483744e+00 3.779438403419008274e+00 6.020669221165673157e+00 1.983659853744683399e-01
1.622664170960107288e+00 6.172572323968897656e+00 5.863750872005105919e+00 9.889976925538342123e-02
1.351636600086205897e+00 3.274381839350288814e+00 5.801141582812030961e+00 2.389480182488571414e-01
1.162392991735673675e+00 1.018852903063461746e+01 5.834802596897024074e+00 7.517413726197530455e-02
1.421775618225271876e+00 3.928750446169989807e+00 5.797617800558416690e+00 1.215293615359943347e-01
9.365915696520407119e-01 4.005763075719415589e+00 5.665456492146182299e+00 2.334956366530953065e-01
1.647758422354513641e+00 6.597730619589603052e+00 5.754238049603207728e+00 6.782099515540450374e-02
1.127021935735639913e+00 3.993359484052104058e+00 5.751332612417060730e+00 1.062620677265929681e-01
1.552099102566818267e+00 6.495563647694617693e+00 5.636717004916151907e+00 2.005015090437581582e-01
1.564399760377793047e+00 2.766608844049550875e+00 5.704034823337685189e+00 2.036701118096397312e-01
1.243134333783737500e+00 4.812851112532086972e+00 5.675853719239161599e+00 4.996266273917433776e-02
1.355618239410258719e+00 6.507495772589914296e+00 5.635642466451617594e+00 5.186376342475249035e-02
1.266258973325394610e+00 7.714866646793709926e+00 5.998666324215240486e+00 1.621385430229432267e-01
1.429559700556114921e+00 2.693214714862037340e+00 5.793232946932551641e+00 5.706252330828068958e-02
1.355043335640399471e+00 2.657756493914626539e+00 5.715287089890311201e+00 7.603883347004714022e-02
1.969204578790259674e+00 8.382256120285953571e+00 5.744725612538928772e+00 1.659748913665165249e-01
