# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.460547192511262748e+00 9.295057026010860923e+00 5.601179204787785082e+00 4.422811312552728941e-02
2.133563744952012620e+00 9.647362045585545332e+00 5.594379746168400835e+00 1.281613358966455507e-01
1.068922600059172945e+00 4.189019546258992754e+00 5.440266430993975888e+00 2.233403181561575690e-01
1.774829333874684556e+00 7.292620355411932209e+00 5.511494981135069082e+00 6.621321363430036910e-02
1.625653418288168783e+00 1.139780119832472494e+01 5.723728510974638084e+00 5.124285857663075927e-02
1.137072772522207842e+00 6.394180636141796548e+00 5.338161362186860437e+00 1.025931949350330913e-01
1.426965953739219639e+00 4.981208164077322920e+00 5.574279435450752551e+00 1.679730343932721859e-01
1.928948674114933315e+00 4.852708347174807813e+00 5.575582817677394054e+00 7.472324848399443387e-02
1.471647082274132767e+00 5.162845667262400795e+00 5.601125479068154611e+00 7.370898349201904232e-02
1.340297278257093883e+00 6.053209141241882030e+00 5.316759446012067514e+00 2.067976296197500674e-01
1.538289145096351174e+00 2.707279544324891596e+00 5.543825059979387682e+00 1.187765046642841882e-01
1.222827260596754950e+00 6.985957907683564727e+00 5.482327182669088472e+00 1.025531231246349928e-01
1.308552940485175897e+00 6.654089134400515526e+00 5.505472988403575130e+00 1.139222589270240393e-01
1.191261768672613242e+00 6.311683939807425148e+00 5.488788018020841264e+00 9.179451541033159523e-02
1.366969915557680437e+00 4.587294076741800453e+00 5.478493930600307316e+00 8.545543861527075957e-02
1.179262045220612398e+00 3.733994593331952938e+00 5.613129493024609395e+00 1.026376554495400523e-01
1.678650525947352978e+00 5.276074377351276823e+00 5.376451306469639313e+00 1.188459025671715213e-01
2.111373529984321262e+00 4.768649368329048954e+00 5.532808960768729634e+00 6.502551029159300833e-02
1.097058653999642974e+00 5.060491348707210513e+00 5.555552507281722008e+00 4.596730427347456988e-02
1.386032405085192876e+00 8.528374664022974727e+00 5.501353090138772828e+00 1.005840420994708051e-01
1.818023286246840620e+00 5.924566330539192016e+00 5.534682866773446008e+00 7.232938118306142528e-02
1.721848478628304813e+00 3.503474079861188084e+00 5.510200886164578371e+00 3.754869069945547533e-02
1.624600895148863522e+00 8.075682538733138571e+00 5.609490343553764191e+00 7.448769883193043229e-02
2.111416690896554815e+00 3.439925070222137560e+00 5.411409161645059029e+00 1.672842327998328438e-01
7.891410521788985166e-01 2.918415375312778171e+00 5.599521016173286014e+00 1.007778600048809953e-01
1.933595119431933629e+00 2.794415564583664580e+00 5.454734546810193763e+00 9.370071562111220720e-02
