# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.377868671138157808e-01 6.023570006703810265e+00 6.973295178183556153e+00 2.349829623056987060e-01
1.117406366864496681e+00 4.784804557854418938e+00 6.614790193254315831e+00 3.196103858471274761e-01
1.057958592968301526e+00 4.473135795852106966e+00 7.039240013937535068e+00 2.070868828345824031e-01
1.203147873655646904e+00 8.764542792323984699e+00 6.889492427601327407e+00 4.526763451094757418e-01
1.342184884010648283e+00 4.318500554864046492e+00 6.273244242066930099e+00 1.841562722077652592e-01
1.178993873695230121e+00 4.391383205324203232e+00 6.813315126789603049e+00 2.851824126680559401e-01
1.175805282088746129e+00 4.724385584918195491e+00 6.514545641674697407e+00 1.302287940600341809e-01
6.006292464423691468e-01 2.347581783558089441e+00 6.627420823947999473e+00 2.228622114267401755e-01
1.339109631669353373e+00 3.837247296724498380e+00 6.634806104767096535e+00 3.132761550976106424e-01
8.918526659658555511e-01 6.053424906298429775e+00 6.648804694090197032e+00 2.050776182908574108e-01
1.415081213141327732e+00 3.035645401639889940e+00 6.645078018059276559e+00 1.671772882930851190e-01
1.617268469918806018e+00 2.988198563271255548e+00 7.285680814946123185e+00 3.718891110123707655e-01
1.454810745722066034e+00 3.437442547908008628e+00 6.965270549047367865e+00 1.540189945953533701e-01
9.404760786630966818e-01 3.587201132171246698e+00 6.542444569929786624e+00 2.603418594525299667e-01
1.062405245361486950e+00 5.810393439411339678e+00 6.637588772507236889e+00 2.455011126388630394e-01
1.010735558281973923e+00 2.634747443130469602e+00 6.932968882581856285e+00 1.374048013313122485e-01
8.592831284594212304e-01 5.551980172096821597e+00 7.554496262637833581e+00 2.811516473144198280e-01
7.826737002080534911e-01 4.259528171439458610e+00 6.979355714944297517e+00 1.169632693414962843e-01
1.400425392127523150e+00 4.536769842214094517e+00 6.876657874308409468e+00 1.106631854535268245e-01
1.321467029351963030e+00 6.817603257404844186e+00 7.041923593401340220e+00 2.567565731812401775e-01
1.016917223935687398e+00 5.802064837270194175e+00 6.623301873711588073e+00 1.946209758554414693e-01
1.139968370939566045e+00 6.356450793020677281e+00 6.561928888566711748e+00 2.248177570701494488e-01
1.430880324076404086e+00 3.414093483887943759e+00 6.317570817657202298e+00 3.250336454648974360e-01
1.158985457041474820e+00 8.587398694758416440e+00 6.696550475145178538e+00 3.277333558078118769e-01
1.073345208649597593e+00 4.078012186862191690e+00 6.633377302770046668e+00 2.357368510505667702e-01
6.982255022886348916e-01 2.373121435392955281e+00 6.870421702176021661e+00 1.764495307859573203e-01
9.435442928068403790e-01 6.417036835986341892e+00 6.740720521885976702e+00 1.869172333380572648e-01
1.048633223532501102e+00 6.016607253674568057e+00 7.421649343423619705e+00 4.141594635511107736e-01
1.451642223798471409e+00 4.230556506728401445e+00 6.733525635893317762e+00 1.754071641721004493e-01
1.339538576023231897e+00 9.923511907682705413e+00 6.846002286993596364e+00 1.876530268744868168e-01
8.967372341922659196e-01 5.719145050535848540e+00 6.939098281028837079e+00 2.635986345327037683e-01
1.110404538134255548e+00 3.765526478092708462e+00 7.014964326517060478e+00 1.540072263210824077e-01
1.063281064666998343e+00 5.265047337217755974e+00 6.841204082247030804e+00 1.908292181528373210e-01
2.054874676939082878e+00 3.480559749081606480e+00 6.352071417648804008e+00 2.778376218197408654e-01
9.109156794800777890e-01 8.986834558523625560e+00 6.981994016688451765e+00 3.828372907942961811e-01
8.141442044763179675e-01 3.934858168983025983e+00 6.458341275320367281e+00 2.362578071092079346e-01
1.004228068095759152e+00 4.378932369217091392e+00 6.520882911988812758e+00 4.981897871382366394e-01
1.395801367473367804e+00 3.151936792115359598e+00 6.824443550572358852e+00 1.256857238690413658e-01
1.065747594671098586e+00 6.721063005134594981e+00 6.353278613765199978e+00 2.197415923563653117e-01
1.407392588864747385e+00 4.380202589991680107e+00 6.776390059769334506e+00 9.363968603404970725e-02
1.235509025605429745e+00 6.427269585261084828e+00 6.686691746685240467e+00 2.641265722942859329e-01
1.456949035243151336e+00 3.611307327148565616e+00 6.584801994293815852e+00 1.836777515422201579e-01
1.223287347016963400e+00 3.978443426657596760e+00 6.504231455619665425e+00 2.503575020931589346e-01
1.159132953166475577e+00 3.159677262705692158e+00 6.445768995515215316e+00 2.653952614239450392e-01
1.129779410723079636e+00 7.907470189106177827e+00 7.122775741903901725e+00 2.899970396340105783e-01
1.504004840645973617e+00 5.637815957070350770e+00 6.568019540207774121e+00 2.590621140294417923e-01
1.071739314614068794e+00 5.342644551936274411e+00 6.805621432750465161e+00 1.880650708254463233e-01
7.698167266289722699e-01 4.953554648033675178e+00 6.728064045802241822e+00 2.391333058257411603e-01
1.036682607714292548e+00 1.024751551046405673e+01 6.795499538052993671e+00 3.113601531653831245e-01
1.116734186246050697e+00 8.337444517301307201e+00 6.976520076101685675e+00 2.261176583069257895e-01
1.236418060770190008e+00 2.894859878741383952e+00 6.748729502259448232e+00 2.255135872030491484e-01
8.221157830815865042e-01 5.041659852312172951e+00 6.943711621558620983e+00 1.532808178890184281e-01
1.369326071747094975e+00 3.115611172011638175e+00 6.649612862492493726e+00 1.166955022077398596e-01
9.908264554402624880e-01 4.467878798040491262e+00 6.667415273929711006e+00 1.642882698753742043e-01
1.381774381405455276e+00 4.019014416017713920e+00 7.277680849657217621e+00 3.088078498710671305e-01
6.339613231232623658e-01 2.885890545909972627e+00 7.049218047861906200e+00 2.298922572775827788e-01
1.510781408870027986e+00 4.188917581162741044e+00 6.933897565821951048e+00 2.495449818529429376e-01
1.403757086342650284e+00 4.136735583763971214e+00 6.390939833889643928e+00 2.771680413316219282e-01
9.381609599857448911e-01 2.864173093475449683e+00 6.612323590663357287e+00 1.711652832547344016e-01
1.023015824691450248e+00 3.524909254619791987e+00 6.546991751078794053e+00 1.762399226758937509e-01
8.392554006843416792e-01 4.319253044548276854e+00 6.288386169690196148e+00 2.689134084309622863e-01
1.466679893496225073e+00 4.279161565725807748e+00 6.925504871537704332e+00 1.906917376696666000e-01
1.054705460059469413e+00 7.121386197735899870e+00 6.701806275849828687e+00 2.849458253360826476e-01
1.081932902993014256e+00 6.248123781425341861e+00 6.983929236409039731e+00 4.399231210503566358e-01
1.321527772946805346e+00 3.231138013978575252e+00 6.831148983217931736e+00 2.091222396622625102e-01
6.398862710027209966e-01 4.785897288977563058e+00 6.759738704439980594e+00 2.696876946020332344e-01
1.072709907953089958e+00 4.089428879269011219e+00 6.737634716080114217e+00 3.202399441768883359e-01
1.116437816621640877e+00 5.454441190747949975e+00 7.255516899139640152e+00 2.836417279833056138e-01
1.145208864622574430e+00 4.547319735207609348e+00 6.747642468820683526e+00 2.261529238823459520e-01
1.547749051643234397e+00 2.969550793156336965e+00 6.739572137213190040e+00 3.129763271558413940e-01
1.584103485775153253e+00 4.818287053630177397e+00 6.205019845535977296e+00 3.874472619235430071e-01
1.341199936339257937e+00 4.091196943584578527e+00 6.605588136566026947e+00 2.697055271568410961e-01
8.969837513428831066e-01 5.889045308127597522e+00 6.541436099452635489e+00 3.566372973534703283e-01
9.982702394960464298e-01 1.184982929278144326e+01 6.773883662303415321e+00 2.330494486094486228e-01
1.256952189130343012e+00 2.841425032543011486e+00 6.782580950877173720e+00 1.796776922228126572e-01
7.824628749473810929e-01 5.439301700771999926e+00 6.335017892738976641e+00 2.528271311113030606e-01
9.245659279908111650e-01 7.638369781521220148e+00 6.774923267916318714e+00 1.083030943877079377e-01
1.327612480156356245e+00 7.128462067282406167e+00 6.860349684100887302e+00 1.461633543398932755e-01
9.425684675175775018e-01 5.233784703100272218e+00 6.604616286778671075e+00 3.183702935889734520e-01
7.582620982698513590e-01 3.637588321151750570e+00 6.760118032898794205e+00 2.258521636596736715e-01
1.689692700027734862e+00 3.110874107951108858e+00 6.535780990308624361e+00 3.064157234012540587e-01
8.287366791073778050e-01 4.275280919451392769e+00 6.998771465249878254e+00 3.154181423058679545e-01
1.032576468793908742e+00 5.476087264601949833e+00 6.835933367000270877e+00 1.424484578634144516e-01
1.218205822117504278e+00 6.473310183772069237e+00 6.802862919525373364e+00 1.918463926133451569e-01
1.191317522917232585e+00 7.818374792173760746e+00 6.874878198127267304e+00 2.410410313301051266e-01
9.861368248972023354e-01 4.413565632144869966e+00 6.571869486776783731e+00 3.221094818093749867e-01
1.272379344137501311e+00 1.026497892342436735e+01 6.925119166708689988e+00 2.218198407114675419e-01
8.946033315451842327e-01 5.361715179209167736e+00 6.821541884509201736e+00 2.211819868332346728e-01
1.032605532787492342e+00 3.499949260690980779e+00 6.562046412640933468e+00 4.780864781499870597e-01
1.401411211474845375e+00 3.581875674109473273e+00 6.832743244547120121e+00 1.493223185146354270e-01
1.034042898869375948e+00 7.511264567246616508e+00 6.830619248265661803e+00 3.326261468120634279e-01
1.026751461615776462e+00 5.014168217876061817e+00 7.033355544351270972e+00 2.017182490609711887e-01
