# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.870588470884311461e+00 3.876702359947862497e+00 -8.556562487437968656e-03 2.024928587133618396e-01
1.301011634856632959e+00 3.360119497193250204e+00 -2.910588161330983636e-01 2.197817797563832165e-02
1.877157933971806969e+00 4.758362010523337737e+00 1.088924078675411966e+00 1.348456831729741290e-01
1.433781238580400741e+00 5.076374271020282158e+00 1.222430030078823116e+00 1.485793841637222945e-01
2.350225738638529016e+00 3.640093314878414255e+00 3.727325097329955650e+00 2.668883642834276038e-01
2.565579954134467933e+00 6.354193784077430074e+00 -9.033644052699876248e-01 1.027155852336178454e-01
2.227981548056595429e+00 9.198937208931239340e+00 2.224384984085240546e+00 8.918291593531449402e-02
1.419257026511206332e+00 4.508281921180750551e+00 3.379465464854448431e+00 7.134955581665695934e-02
1.240985306695125523e+00 3.240849250729093800e+00 -8.699625908442855104e-01 3.974351859568860945e-01
2.127084550107957828e+00 3.327231710460374803e+00 2.066470000929303108e+00 1.579917539731755527e-01
1.230586198770716289e+00 5.821170520289383532e+00 -1.145994508531426481e+00 5.809132292762979322e-02
1.147411892733729122e+00 9.005169606400805549e+00 2.509863587217485481e+00 7.619814325677251587e-02
1.780210829445381115e+00 6.213360150377547519e+00 3.224506950149996776e+00 2.621056956256877513e-01
1.763759377464941602e+00 3.859453425557378914e+00 -1.673935262130187285e+00 4.137977121666204239e-01
1.495221024573463620e+00 6.701311969163796789e+00 3.042809927214105592e+00 1.304301354511812616e-01
1.194624469760783958e+00 4.494398589073734129e+00 -2.049868216722998682e-01 3.008512796250960020e-01
2.199807059278994892e+00 7.679075962863570304e+00 1.457846441954746552e+00 1.439495860547786443e-01
7.709172036703951791e-01 7.439602793586008289e+00 -1.279479352231138511e+00 6.387828974543222071e-02
9.592377722562082099e-01 4.809371475628319459e+00 1.191910885410290000e+00 3.157044562843876884e-02
1.561087051751824051e+00 4.221906009553597627e+00 2.621551577003640610e+00 1.843204323896874275e-01
1.862677651886688990e+00 2.907398525408413814e+00 -1.557835143235289488e+00 2.024595122210929854e-01
1.456866846679609306e+00 6.251990913892814916e+00 3.838521519956951678e-01 1.292101684152812680e-01
1.679070378875088920e+00 7.373531873637362288e+00 9.328271338895379738e-01 9.416094922932266575e-02
1.384211979795607617e+00 6.425145186975453448e+00 3.420318714599169807e-01 1.438850790521641332e-01
2.148510760570605527e+00 3.894913773595575002e+00 -7.011204024262196466e-01 2.346128908338013797e-01
1.209055219284918881e+00 3.619877389799913470e+00 1.762363552531311717e+00 8.755526261676531419e-02
1.592555779853720210e+00 4.568077832569494845e+00 1.477590048132532141e+00 2.462873525477909942e-01
1.400914147720932812e+00 3.905630691157080392e+00 1.187880336019780936e+00 1.564470269875165853e-01
1.238114763939814678e+00 1.075912126903518384e+01 3.008269053425951078e+00 6.668666671830403292e-02
1.841990524493547943e+00 5.665653956479969722e+00 2.595986404943049219e-01 1.547550026958838809e-01
3.107065518368624879e+00 9.535606508155860084e+00 3.685943386630747831e+00 9.650253871910877135e-02
1.337882931775272510e+00 4.292364606071037869e+00 1.011565896176757295e+00 1.188608173050863803e-01
1.637006605063436426e+00 6.400398172104401873e+00 -1.025522274578215987e+00 1.346428762184059824e-01
1.644667472012642850e+00 6.091957829759160781e+00 1.153543680777088909e+00 1.592245323842861882e-01
2.077889878452784167e+00 3.813860905664300915e+00 -1.284208797525262291e+00 1.116736060702663846e-01
1.549382195527305051e+00 7.808270875661065702e+00 7.025837956232872106e-02 1.960391312934617603e-01
1.412615058384302902e+00 6.858423459216841600e+00 3.517300268782485251e+00 8.362674993384246191e-02
1.657587926804732881e+00 4.190041503666988021e+00 2.281924571925230349e+00 2.232507081635582979e-01
1.658290867934266499e+00 7.058110827129654652e+00 3.488506481075437371e+00 1.654847003123446347e-01
2.216750416584663874e+00 5.560492757519433837e+00 1.412127760542950305e+00 2.773220654796094697e-01
1.452887562171675917e+00 7.696335264612500282e+00 3.198486352718588055e-01 2.426050544182395685e-01
1.020703124206435941e+00 8.832020591859452097e+00 1.449145959835968167e+00 6.906893469845123978e-02
7.391020635152610874e-01 6.044814690108485600e+00 1.152773837937767665e+00 2.212187471885994627e-01
1.054904751414864617e+00 6.056963578958162842e+00 1.009766253340225628e+00 4.152066223167407144e-01
1.269891673258766618e+00 3.596082401252964189e+00 2.714129443869937930e+00 2.280708243582051375e-01
5.354489374569287863e-01 4.063764719103106771e+00 1.313867897700024434e+00 2.119764486290945937e-01
1.116033788938662674e+00 2.594984281786861136e+00 2.916786607600756476e+00 3.773620556201023879e-01
1.698219881457970537e+00 4.680096976301819645e+00 4.826556550434470960e-01 2.954546994702250684e-01
1.589840808182901410e+00 5.770906295227544724e+00 3.116680905879557262e+00 2.570603208268343876e-01
2.617140766341178093e+00 7.187236555246264480e+00 6.845321540800297644e-01 1.350427341037831186e-01
1.178017923876206074e+00 3.744300537011623131e+00 8.536841708936959705e-01 1.139850047725666227e-01
1.423130498882720918e+00 4.065441695947647816e+00 1.728592848645952973e+00 1.464677025045335312e-01
2.028682584198818972e+00 1.007139605371892266e+01 -1.070190040500840434e+00 1.473206684407993849e-01
7.637643234888579213e-01 4.376216908905597336e+00 3.737635111362703766e-01 1.995151181452942679e-01
4.246021670883800780e+00 3.350166177754223540e+00 3.635004599665594860e+00 3.716020722374169805e-01
1.836001004464562048e+00 3.271245505913439544e+00 1.364317522107211467e+00 9.707937024443619167e-02
2.220251519374892180e+00 6.069938289218990590e+00 -6.980084329332798543e-01 1.555882631802899263e-01
1.495232173180704782e+00 3.509554059200983289e+00 3.053326637151864809e+00 1.305286940348877045e-01
3.745540215058590916e-01 4.506193165858620731e+00 5.699701113600277314e-01 8.609481307243431469e-02
1.920279241817495430e+00 4.137447461198881626e+00 3.260056582646203793e+00 1.268236368449869589e-01
1.041752842153480740e+00 3.230901420944856106e+00 1.524891110311087594e+00 2.391833849431697079e-01
1.851718516022669458e+00 1.010178756193800531e+01 3.165576799042312039e+00 1.484729580698843920e-01
1.503607660535920321e+00 7.864794353123421011e+00 3.124652452653341239e+00 7.877813895805160782e-02
1.402276981447860837e+00 3.528446248243365169e+00 -9.941890779067064088e-01 3.589412168349612742e-01
2.006156186278354348e+00 6.817729165677992142e+00 1.515851702599727124e+00 3.312214324965050416e-01
2.101023797795877002e+00 6.801435588537557919e+00 2.777592475857509680e+00 2.793450908827093127e-01
1.310739780932669074e+00 8.480796296297814507e+00 -1.636367246840555900e+00 2.542052806821292199e-01
1.817535483034047550e+00 7.657281998517170507e+00 3.617847139542389012e+00 1.994747049960728380e-01
1.767225261889140864e+00 6.410173655215474220e+00 -1.106737564563287979e+00 2.026204801711546100e-01
1.471099247856518355e+00 8.010460210653455704e+00 2.996637838123527242e+00 2.986876356050355286e-01
1.850728308358577268e+00 4.193236838860172178e+00 2.077533011987887424e+00 1.556799551653042513e-01
1.299910852772401704e+00 5.967241061173144345e+00 1.994625185396500910e+00 1.417442905523400298e-01
9.381451679639155605e-01 6.126165698489795197e+00 2.868247049560686435e+00 3.855492844492011684e-01
1.365052240645941328e+00 4.178901201305870394e+00 -9.264311613598296136e-01 2.768475800640367579e-01
1.000804548235429525e+00 3.774392128326464757e+00 2.755689614094887663e+00 1.872898319267633505e-01
2.181741492923412906e+00 3.633220067365511952e+00 2.765201351452159617e+00 9.950289277848851921e-02
2.728790671268451096e+00 9.566770300402124505e+00 2.567289038457465811e+00 3.545420734742677493e-01
2.471413940363672346e+00 3.461276987103218072e+00 3.440084729238716221e+00 1.509132660554694527e-01
1.438349014760450739e+00 1.087686229653574088e+01 6.578711972668696006e-01 1.530980010293924998e-01
7.073013625950516081e-01 9.424479485445850457e+00 9.892873277847418212e-01 7.746099822215447850e-02
1.241460943219192981e+00 4.208770359375275660e+00 1.882968332342235040e+00 4.545362683272552440e-01
1.255808792237979921e+00 5.518567879013295041e+00 -2.003101512597657008e-01 1.404239792338145554e-01
