# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.487434343534961068e-01 4.846623536493417816e+00 4.729685793817538730e+00 1.210415216560507684e-01
8.448759799503611223e-01 1.053934231463272120e+01 5.050294038283487552e+00 6.001346839723945004e-02
8.964687764484426946e-01 6.676030803706822780e+00 5.179904010226621835e+00 2.461493850282739093e-01
6.875695984543664929e-01 2.989845148854747947e+00 4.799591973320381122e+00 1.348532370202556174e-01
1.187189368117652410e+00 1.030544636162632344e+01 5.174048025016481311e+00 2.021163634651309549e-01
1.036663556571151723e+00 6.190647345974521265e+00 4.949739345514072575e+00 7.229378774873286562e-02
8.043937687219997468e-01 8.633440172136776170e+00 4.900710495497781594e+00 2.677984277586848427e-01
1.150449179163965052e+00 8.566829978171464077e+00 4.873074122300388389e+00 3.896383319727196870e-01
8.042827699691482701e-01 8.622808527402488821e+00 5.124319153671105909e+00 1.081286774179801430e-01
1.084282173640807256e+00 7.174218840846151579e+00 4.943034964568711942e+00 2.375707099814580447e-01
8.441949418304474095e-01 6.593784770764105296e+00 4.817768970075352541e+00 3.182086233510771911e-01
6.361980125632745731e-01 6.853010653858397916e+00 4.863511520548390088e+00 1.338943432330576000e-01
8.298356035864192792e-01 8.569519282202445964e+00 5.017402641103341665e+00 7.693292312779857756e-02
9.588820245569789069e-01 6.407417559257847728e+00 4.885488089839699732e+00 1.989845558929162483e-01
1.039595730558760867e+00 1.016192649263958003e+01 4.931747942733218260e+00 5.657416157793657141e-02
9.298418848547153059e-01 7.430251269954189830e+00 4.791336514975200522e+00 1.232818143505865077e-01
9.424305974879600978e-01 8.327909329429090235e+00 5.178413162436448225e+00 1.544660986486384446e-01
7.640133140434425263e-01 1.084280610917490506e+01 4.857968352518599708e+00 9.758467794356207037e-02
8.103386566476997732e-01 6.096823011085776400e+00 4.806558514375240065e+00 2.773155374244050675e-01
7.369733730749106204e-01 1.153073315423506884e+01 5.002037973070726729e+00 8.925195252953366243e-02
8.141408280290998167e-01 8.678201828185732936e+00 4.937411172866170261e+00 8.060318588544282403e-02
1.119670827060198270e+00 9.033921716280980618e+00 5.321491186957250541e+00 3.706804368978167119e-01
7.927121873203319957e-01 1.207082386260197104e+01 4.798280319872899824e+00 1.419132074558385193e-01
8.009454395019272033e-01 6.230359516067058401e+00 5.020557071255391968e+00 6.215274379472572608e-02
9.218688524903843051e-01 9.680953036330224748e+00 4.888558246872191759e+00 1.240531936060721985e-01
1.443757868132739208e+00 6.358733179790929668e+00 5.006677354759333731e+00 6.029956667251946956e-02
6.386865595970393494e-01 8.386097607910260265e+00 4.744884228356561984e+00 6.066409080366404888e-02
7.640017052089220773e-01 5.576742821222929969e+00 5.051712034057058709e+00 1.824757322843983676e-01
9.832545805433023922e-01 6.922909207168688184e+00 5.035749924358173146e+00 1.892057003884697330e-01
1.173905991897651324e+00 7.824465626938347462e+00 5.257690006909335523e+00 1.074855740614568123e-01
7.677108844407615207e-01 7.113085354350541678e+00 5.074439265598570614e+00 1.210999727137160031e-01
7.718865163063637347e-01 6.013668436806844042e+00 4.889471858783532632e+00 1.820624051397747578e-01
1.136740935066647085e+00 5.295277532524899300e+00 4.900730092359892431e+00 1.539395621255654489e-01
7.253296147542673822e-01 6.065606248132328737e+00 4.998547663864755464e+00 1.935970763790655913e-01
1.252062710613453644e+00 6.954446247019002492e+00 4.873007271915763994e+00 1.301838445398028898e-01
9.304527584892148262e-01 5.263462701585835291e+00 5.019001849972336338e+00 1.036580871558265560e-01
8.637103577707236912e-01 8.892476364862504923e+00 4.956127719410218901e+00 2.809374148913560965e-01
1.248087267332476324e+00 4.449875410874082782e+00 4.801509224545951859e+00 1.480981054636198446e-01
9.185869672713443679e-01 5.745082734653216505e+00 4.908565585814957721e+00 5.295935349444298029e-02
1.003770344854097551e+00 8.396159201019377960e+00 4.893628321203744136e+00 7.744364985537567636e-02
8.836324681760410193e-01 1.005522735397777545e+01 4.907143373716095880e+00 8.475238179827042362e-02
9.489792072811767953e-01 6.138403592058518043e+00 5.064045077557512542e+00 2.040862094251892633e-01
8.094377459072763514e-01 4.982566338597644418e+00 5.236852828460946796e+00 2.039597360537997728e-01
1.105801614520849352e+00 6.543007189604270302e+00 4.816267915200096006e+00 1.292358385956186850e-01
7.157464469003307350e-01 1.055119658138596073e+01 4.935673329559863376e+00 1.634387416423371264e-01
7.320707872549054862e-01 9.104928981075078198e+00 4.887843853334453037e+00 1.732833130601685312e-01
7.331342938983311797e-01 7.220409158667242977e+00 4.665577387580835733e+00 1.710240653516867659e-01
8.523208093379578409e-01 1.696252618773734611e+01 4.858723125683100719e+00 1.286719599557273885e-01
7.501767835590799072e-01 4.641998068030089186e+00 4.866079897151391442e+00 1.496285243741861115e-01
1.039427054719904708e+00 4.543729326246458200e+00 5.240543336450875778e+00 3.904061759818931998e-01
9.949099517823782879e-01 7.697339047197400141e+00 5.149629120924376302e+00 1.252407563942045110e-01
8.983510260493576816e-01 7.508241296801973164e+00 5.405489099036462797e+00 1.954858698863541078e-01
1.555869852765396022e+00 3.434511064390912694e+00 5.118440362119728526e+00 1.608911818116435244e-01
7.792767706087392332e-01 8.115321277110368214e+00 5.018765969271477445e+00 4.424276091742168626e-01
9.116497992821865903e-01 1.271777932269782774e+01 4.865649519498695064e+00 1.267065195523203736e-01
6.957004165886697677e-01 3.653199412281393776e+00 4.902584495101902640e+00 1.360448229621802341e-01
9.740174700424674148e-01 4.605835165362877959e+00 4.837672531061624426e+00 1.135824959900286618e-01
1.247872757118001941e+00 9.125182117298480833e+00 5.024980638812995615e+00 2.786035609795028400e-01
6.962197463980719370e-01 7.217263197621932136e+00 5.021867420218075750e+00 2.295142293351537521e-01
9.354269781907199599e-01 9.001113615251050248e+00 5.161525662276148729e+00 1.636598740155330856e-01
8.762686653472853138e-01 1.051717263652606249e+01 5.093671875455439313e+00 1.783437280998582120e-01
1.006830871038047581e+00 9.269043675445010066e+00 5.164382283520629002e+00 1.267514429507454743e-01
7.127527981703054571e-01 6.749443907634786299e+00 5.140706903982317222e+00 6.391568130279588755e-02
1.669659963479034337e+00 4.804703453209532960e+00 4.886712211099050407e+00 1.462982782748614707e-01
9.224864380563035926e-01 5.019067200371822857e+00 4.884308375312139461e+00 6.959539739654485579e-02
6.900755302429208982e-01 4.550255043190436943e+00 5.008161265046792820e+00 2.191986690117720127e-01
7.078837809386381297e-01 5.970848954735689773e+00 5.003630823567931429e+00 1.348701495387283344e-01
7.576068139773418642e-01 5.019677829417605430e+00 4.988495289884243178e+00 2.184718328218458183e-01
1.007927543828032180e+00 4.528267927818669492e+00 4.942526295910409040e+00 7.421330594023939353e-02
8.941487692291703038e-01 7.352256675817309350e+00 4.827889093549488031e+00 7.944353308946536241e-02
8.994185339214235686e-01 1.272525818514558438e+01 4.755913675502580595e+00 1.026865826217641248e-01
1.063134245317376880e+00 7.713901116972979644e+00 5.089205902889500699e+00 1.658857358470792742e-01
7.352645718347317061e-01 8.050969013241259020e+00 4.965915659729146725e+00 3.078266344333701471e-02
7.531773221908099059e-01 5.373775897227490717e+00 4.819164813045477835e+00 8.489053235121668539e-02
8.351028386706612627e-01 9.753183975558002317e+00 4.918582824596249736e+00 2.810272519987540574e-01
7.774455826249635493e-01 6.947688469677856027e+00 4.961337705706021950e+00 1.169848729494707279e-01
1.057888865139831047e+00 5.851157257757976460e+00 4.988324644878868952e+00 5.105758452923691432e-02
9.707452598522390286e-01 4.119330425734569090e+00 5.206821525931470518e+00 1.435682388305245805e-01
7.723326121171714131e-01 5.947979266475234006e+00 4.931916788913368599e+00 2.096080253304935803e-01
1.016111501504964654e+00 3.079327049362469371e+00 5.043851789443649203e+00 1.030380364874896176e-01
8.403091522998406004e-01 4.309340431043144903e+00 4.937939661955994985e+00 2.208047456108993833e-01
8.431299688536897374e-01 6.888717022164192016e+00 4.695662367000120518e+00 2.102599452912668476e-01
1.093193619182386556e+00 7.639693334690004001e+00 4.998967603208902766e+00 1.447821349329430907e-01
9.000228018023116450e-01 5.377456940340240799e+00 4.984547790517187771e+00 1.060568386269633290e-01
8.468315893790473448e-01 1.091928215254533718e+01 4.877671742491601847e+00 9.726981856036363838e-02
