# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.984604366150239718e-01 5.225055898559354262e+00 2.201200022647741505e+00 1.098117205097756538e-01
9.968893112960812708e-01 2.934976293552274296e+00 -4.242064955213321609e-01 1.736566884702236135e-01
6.404848488767475034e-01 4.347647800148674690e+00 1.222873682797719574e+00 1.326821078266639808e-01
1.076984572280975216e+00 5.688662184482965678e+00 2.764868699508505667e+00 7.324001175561586918e-02
1.033509600310811294e+00 1.238815841190334588e+01 -9.013160991525784871e-01 2.981520033183833740e-01
9.319601246894122504e-01 8.313498120869224906e+00 2.125167093810953478e+00 2.428777263399653219e-01
1.008504110294347722e+00 7.242530679381525616e+00 1.037237570083190619e+00 9.226109351268539649e-02
9.037740490858022779e-01 4.223689323575461785e+00 -6.102556475744158604e-02 7.818470922600205542e-02
8.829858481939520942e-01 5.610582279951891849e+00 1.742073602029651891e+00 3.010128562154685827e-01
7.817547641498968636e-01 5.314811216076148703e+00 2.414617881123507281e+00 2.136641607868387804e-01
9.655433373461639324e-01 5.052482958356428355e+00 3.037250890845917262e+00 1.088160054549536099e-01
1.134589624823505449e+00 9.592890047895686223e+00 -8.463970833746781164e-02 9.377378266772666560e-02
1.784993516196056840e+00 4.673638786352895202e+00 3.299693181141494680e+00 1.075775964019074493e-01
9.506307192223366620e-01 6.366392021927272715e+00 8.597331420205897023e-01 7.249193882947721490e-02
9.572111102080053113e-01 6.890115284900127257e+00 1.624812510559161982e+00 1.208706408634259294e-01
4.911870515418360617e-01 6.351011302341491138e+00 -1.505468178963163206e+00 8.698965821483151117e-02
4.306261811425868280e-01 8.179985132111639246e+00 2.226077171248515008e-01 7.540626716703073551e-02
1.315255404926553906e+00 4.956233911106241230e+00 9.408629416502947151e-01 1.001517826946304174e-01
1.579418304785039417e+00 5.293979870978291480e+00 3.252260878087597007e+00 7.057702809537828859e-02
6.409840795978871686e-01 1.006013245274422374e+01 2.533048926878456619e+00 7.358239513999566273e-02
1.307189346154130183e+00 7.468558219719341196e+00 3.210078182808190128e+00 9.786175442575112404e-02
1.404959185761482043e+00 9.337280875309236450e+00 2.646476441382363820e+00 1.834519823777793768e-01
9.503124472648406540e-01 7.181494305739141382e+00 2.272797432689558139e+00 2.611172562920895945e-01
1.071296069040533316e+00 6.518167862334122376e+00 2.016124532407545633e+00 4.966886915557386373e-02
1.462109847321895417e+00 5.525481932070569258e+00 1.695100304427200832e+00 8.898678095868137183e-02
1.103085078638952110e+00 5.735433559835867001e+00 2.696198976987940199e+00 5.119730365853242954e-02
7.641163079495105759e-01 4.938946721506387583e+00 1.194936645169650591e+00 1.231696779502495231e-01
7.952772453167065159e-01 2.824288150830307487e+00 -5.292900001724734071e-01 1.217956515562218511e-01
5.693748070466362332e-01 5.082126280989424316e+00 1.061369080142806176e+00 1.098646073463497574e-01
7.653182984537426625e-01 6.496916499447752180e+00 2.119642345529533678e+00 1.433372834889673486e-01
9.492925841655034391e-01 4.974226476607700675e+00 2.872217796390251543e+00 1.209876783128117222e-01
9.191074378328758510e-01 4.428342643498732301e+00 2.464521731914686598e+00 1.326620068891386506e-01
8.078010486861544326e-01 6.126422586502002332e+00 2.851463107193721314e+00 5.747048096589462557e-02
6.575864858104051303e-01 7.028577165782080804e+00 1.885845660291127546e+00 1.494303956550338819e-01
1.223095453801866128e+00 4.208061229577219287e+00 3.094461275888594098e+00 2.615647443870709465e-01
1.381632169864388304e+00 1.095033930671911726e+01 3.301152693343012423e+00 2.075438824830778128e-01
1.864097857532148961e+00 7.207545935490681899e+00 3.419493954458298290e+00 2.127498184509773738e-01
1.123715635082252140e+00 3.645984366864381432e+00 2.949610394342571773e+00 7.087589556328190155e-02
7.892322905407854750e-01 5.614436502868046297e+00 2.562839085670169936e+00 1.420758851790773214e-01
1.528805627473479367e+00 4.333540100595372202e+00 3.227922086308727234e+00 6.970968697894890098e-02
4.048443465852343826e-01 4.756921360916206432e+00 -1.589436010467605742e+00 1.088437879183750401e-01
6.742543570651433615e-01 5.511947838490530494e+00 2.015004835713491094e+00 1.382405299433757395e-01
4.349578573375228463e-01 3.851438595498887896e+00 -3.745341439136778972e-01 1.375723040799451957e-01
9.858581399584616101e-01 5.469959032042407188e+00 2.280679494486543835e+00 1.598807365785332169e-01
5.271232433037525977e-01 4.646727050744604348e+00 -5.402979917106702779e-01 1.330878669705563011e-01
7.391215688485893720e-01 3.681887224777579792e+00 5.043098485143651111e-01 1.583826785695680028e-01
6.750773124169034967e-01 4.034076748994823269e+00 7.668727996859031615e-01 1.444360679936311231e-01
8.519008213759913239e-01 5.895261617202120163e+00 1.648785792677373241e+00 1.868014405744630735e-01
1.276613502088364216e+00 2.806316013595210102e+00 2.913284880478374639e+00 8.820025520266126795e-02
8.501043995232298034e-01 4.799140510176685304e+00 2.559543014015393414e+00 7.731772067838832418e-02
1.083164000158118201e+00 4.319943671778098349e+00 8.917165071729199477e-01 1.458483786297032625e-01
1.465356580440879908e+00 4.026332963522527564e+00 2.488388179700834257e+00 8.146057626085545511e-02
9.649932103137812689e-01 4.915985914696475056e+00 2.318799038471498708e+00 2.290421115847037226e-01
6.854212084898786417e-01 6.574819258742220285e+00 8.697365347476586628e-01 6.626079839867221599e-02
