# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.708335153053600397e+00 1.955355112836042863e+01 4.037263795735592353e+00 2.644858038739501538e-01
9.892970116589379082e-01 7.083317232398962382e+00 4.011041434432911501e+00 1.704527992537423486e-01
1.274152051433634192e+00 7.342998272933509263e+00 4.234940672330383293e+00 4.133112994579822563e-02
2.327222605627575547e+00 5.840899610038913892e+00 4.290788809245420055e+00 1.827032953216374822e-01
1.369432876271409416e+00 4.721236998438247845e+00 4.204516412536257519e+00 1.199764522828277447e-01
1.301799615736303872e+00 4.851037707457280135e+00 4.162592391690551175e+00 7.482886424201951048e-02
1.486176748344429477e+00 6.210787082559432015e+00 4.244511482919471668e+00 4.586238117586427521e-01
1.371418752346677650e+00 8.119637281589071165e+00 3.981281982358290783e+00 2.723528051323792498e-01
1.222179624452440327e+00 5.297511494480535710e+00 4.261564912785764214e+00 1.517359581415428371e-01
9.340582640071869447e-01 5.291437705430871219e+00 4.087737557304112812e+00 9.383059876555041590e-02
1.104276574090134799e+00 3.561755284245309294e+00 3.797182406613659467e+00 1.240496523468557211e-01
1.448055677301726352e+00 4.346872436714123822e+00 4.286724341506302771e+00 1.160450035239284083e-01
1.824346121350234107e+00 5.020644890496461343e+00 4.027024107123440722e+00 2.763851996197492777e-01
1.121406674665966108e+00 3.245238323031438110e+00 4.100944630829546966e+00 1.027610490624144834e-01
1.321654795745457855e+00 6.513601364313744035e+00 3.988971244378823666e+00 9.910048669466495208e-02
9.663522208106676281e-01 6.861463138931511274e+00 3.758589569162957833e+00 2.635762544195585089e-01
1.589163076389128681e+00 5.808934466861825463e+00 3.982163463831787986e+00 1.737677116977975611e-01
1.170486497137708248e+00 7.409177278841191594e+00 4.083513208038353604e+00 8.914604049863826540e-02
2.409222177398885556e+00 4.548790563330131320e+00 4.196180266364299527e+00 2.609909227938728149e-01
1.127451777405433342e+00 4.934339494812791216e+00 4.240830850926178286e+00 3.187743462571464570e-01
1.357520939412774741e+00 4.825103560986263140e+00 4.505866929122779752e+00 3.199586760229398141e-01
2.062717226075085009e+00 6.979823729500507667e+00 4.229637065710454280e+00 7.378606132626359948e-02
2.184436954826624699e+00 5.488178747023130910e+00 3.905758954938453265e+00 1.622164134374608491e-01
1.635098540257368782e+00 3.604757837136030485e+00 4.390441638071977515e+00 1.890393611903091464e-01
1.344984926678810755e+00 1.149346947178727341e+01 3.898226731692609359e+00 9.271834454636629363e-02
1.164272869137852551e+00 3.407516748520846406e+00 3.935736660077976179e+00 1.979349657005158303e-01
1.126214757100653552e+00 4.364802435338683395e+00 4.072084746201675820e+00 3.279826510933945838e-01
1.992437521156057434e+00 5.824428533630713112e+00 4.090013851502998676e+00 2.551235960832854421e-01
1.568979013821520718e+00 4.613158993245559003e+00 4.165444108815520075e+00 1.314313116115374824e-01
1.735069695630184761e+00 4.186981590117099472e+00 4.062709785545203012e+00 4.730535588819900772e-02
1.367715455723087281e+00 8.713908596171210164e+00 4.136537685116542740e+00 7.492562392328458443e-02
1.150125220464500719e+00 4.039086636050141621e+00 4.488203117601559100e+00 2.469481353766904419e-01
1.694185784534998795e+00 7.247082980908738037e+00 4.258000192791599581e+00 1.593825518490065707e-01
1.389682187077489139e+00 6.302343538525397193e+00 4.118142114094093031e+00 6.047437247144739347e-02
1.888424141066681550e+00 3.750589265723862198e+00 4.226364961970622502e+00 5.990172776918344100e-02
1.698852160630714980e+00 9.979422293524331522e+00 4.200327215672356118e+00 1.394955225683418565e-01
1.488605727753501640e+00 1.069611059062178349e+01 4.057595571338469931e+00 2.123950167839717962e-01
1.619045517708420201e+00 5.191913827619296207e+00 4.411306673245865007e+00 2.437375242018375299e-01
1.608801469943555551e+00 8.201113383301615656e+00 4.098628610496684921e+00 1.296404794843209751e-01
2.190235878777468947e+00 7.111452376345258841e+00 4.198914768154272004e+00 7.178687814157658220e-02
2.133055787888810340e+00 4.167296974382993291e+00 4.263916664799548784e+00 7.684673992663416942e-02
2.256096597827334627e+00 5.912824458090031321e+00 4.249229895078164176e+00 7.373562279908915662e-02
1.782272367389614143e+00 2.602248763734625214e+00 4.250136663961515460e+00 1.090186677743810867e-01
1.541030460917641065e+00 3.481583832994835870e+00 4.228683199833358053e+00 9.073241086156669244e-02
9.867803168396274138e-01 6.065609103188283058e+00 3.895226172373332130e+00 6.437357103298572969e-02
1.559971598832932127e+00 6.567603353243868014e+00 4.187351387216313725e+00 1.799773742376409302e-01
1.555020802025782745e+00 1.085030210771256876e+01 4.326577620599817209e+00 2.362298955330034977e-01
1.408578600909879519e+00 1.120554278191787922e+01 4.319111308441466512e+00 1.607181486645052615e-01
