# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.869302834739887231e+00 9.752744510999713512e+00 4.042127518790452179e+00 3.531422777592320150e-01
6.969121156329366462e-01 4.206791703598017129e+00 4.049208136680825909e+00 3.900283494466968981e-01
8.271167458667895156e-01 7.780497643560329912e+00 4.004448397884408095e+00 1.772888647436055842e-01
1.212448133123164018e+00 6.932068556399526571e+00 4.215650196850986298e+00 1.976643077994690301e-01
6.783637083283015068e-01 5.450307112446819424e+00 3.808959572371469982e+00 2.200599296627704926e-01
1.512370895379498537e+00 5.882138750542684313e+00 4.155677202437322748e+00 1.286923928466905953e-01
1.530221456066779506e+00 3.017696802368856623e+00 4.032452171774878025e+00 2.900630082937875054e-01
2.065061345657512870e+00 2.944241072296092110e+00 4.078197816572166623e+00 2.380863110455499199e-01
1.853475669100714818e+00 4.416294651633364765e+00 3.726146914642933350e+00 1.734725942214761507e-01
1.469387696689490097e+00 3.012540649928291625e+00 4.066311745541141498e+00 3.162120628418456092e-01
1.013069367583953051e+00 1.034967397926754451e+01 4.247289111326654876e+00 1.523911922280955233e-01
1.646943675319679778e+00 5.211089707123390369e+00 4.514096033913153505e+00 1.413675263397174975e-01
1.139599354819236021e+00 1.135205919038636857e+01 3.876142421689181106e+00 1.689276582084679734e-01
1.372945849446741473e+00 6.972479981430904417e+00 4.210237910957234320e+00 2.271082186152186266e-01
6.964523632660877261e-01 5.631129122061321546e+00 3.966663401613109041e+00 1.324084395940776371e-01
2.224435673975263317e+00 5.458818239524597438e+00 4.195321225020984812e+00 1.525781982198173570e-01
5.617275450930897529e-01 5.294191974875319673e+00 3.508680790579719044e+00 1.464109893906511972e-01
2.869513747488583011e+00 7.460070752248750381e+00 4.402525943919218143e+00 6.212172586663177593e-02
6.735013630318873457e-01 9.135336704746382708e+00 3.981490448041101970e+00 1.767274661538185410e-01
1.547350407793396831e+00 3.786430048661705072e+00 3.530051846478924560e+00 2.996010132922286018e-01
1.325767010281407199e+00 3.420952457229181398e+00 3.974047702588316522e+00 1.121416893805229353e-01
1.075979111643988739e+00 7.495214736659412402e+00 4.242551588641426896e+00 6.382109041710838371e-01
1.724851540168715669e+00 6.916370408700504235e+00 4.217346257248788532e+00 2.003397084919708859e-01
8.165735531559971117e-01 7.221102582788198276e+00 4.047543218113501595e+00 1.968039049889622749e-01
1.994493349423137385e+00 4.200790332164132224e+00 4.471555309409485979e+00 3.244728792863844080e-01
1.130728939503002017e+00 3.279706292035258652e+00 4.148626791867734198e+00 4.306053380545230014e-02
1.432458996271365859e+00 5.700689550632871416e+00 4.337008897194097656e+00 1.683542091384998829e-01
1.024547772375041577e+00 3.099920920259151558e+00 4.141562779257059290e+00 1.724296186522561447e-01
7.384826285079729713e-01 6.519858513869895233e+00 4.028756424548328496e+00 2.076867497365259829e-01
6.771764215328511805e-01 6.526381506542082711e+00 4.130637310109550597e+00 2.004283244242448525e-01
1.479126721307730374e+00 8.442308489118802939e+00 4.191679595216911025e+00 1.539812660387236964e-01
1.119090249308145157e+00 4.862451166936046398e+00 4.230138095094523543e+00 1.748188373634174675e-01
1.933659490107012768e+00 4.413208080945743461e+00 4.353734838724602874e+00 2.951423125630650221e-02
1.138749637869015841e+00 4.021011321205639533e+00 4.543912801404061064e+00 4.096712978699391106e-01
1.201438699622020545e+00 2.809261265126508089e+00 4.204212845744220495e+00 7.056427674566997932e-02
6.393705149480943817e-01 6.978633073090453998e+00 3.870135170206101538e+00 2.596295420309295832e-01
