# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.057737850642859856e+00 8.636410708321255569e+00 3.794892978830052499e+00 1.641015848290326429e-01
2.545100850435396023e+00 5.630298858437281950e+00 4.421680308987395946e+00 7.139500619254311731e-02
1.594022246337978510e+00 4.600671482996757433e+00 4.288191498592441420e+00 1.312112009113144961e-01
1.618862789861517104e+00 7.679662673424149766e+00 4.288220217327384454e+00 9.123170525639745509e-02
1.314959116783416038e+00 7.117673296027562380e+00 4.098893189520472546e+00 6.356435426138082323e-02
8.000130573718396976e-01 1.046247103971836268e+01 3.680677358820198197e+00 8.824155648975316735e-02
9.662450552848267371e-01 4.085999299698729104e+00 3.449104955778794945e+00 1.076615310897907213e-01
1.149792355273504318e+00 7.181014956845787722e+00 4.105712420631163262e+00 8.117899739408786230e-02
9.437069282611315613e-01 5.667947073438493355e+00 3.926467089673936872e+00 1.674889239180491762e-01
2.425836159650328394e+00 3.790187586326966951e+00 4.359294304572494561e+00 1.287628159916413551e-01
1.340301728071433329e+00 3.909180656963928691e+00 3.985615964225030616e+00 1.910943604299729370e-01
7.438777177832696097e-01 4.924675263327884522e+00 3.471101196089600993e+00 1.442161774503621929e-01
1.330184822723878169e+00 4.598638489209590396e+00 4.040795096078702464e+00 1.989833125141672321e-01
1.544926849550156245e+00 4.876624410941517773e+00 3.905206339186200193e+00 1.029919985109747638e-01
1.779446867393750908e+00 4.573035503182308226e+00 3.987285184709536967e+00 1.193286412096796478e-01
1.130432143450965210e+00 3.815221196574026585e+00 3.693751815352905865e+00 8.376383620694613508e-02
8.340860420844218304e-01 4.219636331388433526e+00 3.928099003524593957e+00 1.808484966134356053e-01
1.263588343090944699e+00 7.465415633102617576e+00 4.190244161610312545e+00 1.765695520861590428e-01
8.966812030072245365e-01 8.081773095620720326e+00 3.926711026948191741e+00 1.309089609031673929e-01
1.637820024970537691e+00 7.689461060325221808e+00 4.147896906848151488e+00 6.680712185875067877e-02
1.096897742286389477e+00 5.611702251589592017e+00 3.947756185337045309e+00 1.944866054199012040e-01
1.016422002700205551e+00 6.333461264772681787e+00 3.765408639883787156e+00 3.058905599976948220e-01
7.852317885864283920e-01 3.775369555367990237e+00 3.296533179747161757e+00 2.081707414551575985e-01
1.339242503633126802e+00 7.078595777282801649e+00 4.051938463282207081e+00 4.805981158174178758e-02
1.030944214835969097e+00 1.204856129400180542e+01 3.842728240637224513e+00 6.922609865683643227e-02
1.932566940797373345e+00 5.886820312013354872e+00 4.314738100039041235e+00 1.351618765780255582e-01
1.341771258242299592e+00 8.171254198215381237e+00 4.182685852849698627e+00 8.059265791150599378e-02
1.275419269459421301e+00 3.558173177811852383e+00 3.765649302484538108e+00 2.605257742278710431e-01
1.792264811766059340e+00 4.644571835133022297e+00 4.117636917576677824e+00 1.455280524033057965e-01
1.459219510562345334e+00 5.453162899507019823e+00 3.960860670381629145e+00 2.744882720981718649e-02
2.398309756913694191e+00 9.177098371829252699e+00 4.417918642037499843e+00 4.948405239780449827e-02
1.067864195453829268e+00 8.094117559953465602e+00 3.802186214215179216e+00 4.510345538297260148e-01
1.304574202109650027e+00 5.681437161602016062e+00 3.673456048242048411e+00 1.976743978657893863e-01
1.591131512129833059e+00 5.604182348707084316e+00 4.218462386590458024e+00 1.625426791782056402e-01
1.747264504467123558e+00 7.394303174739883744e+00 4.190564479712075574e+00 5.066766079588898991e-02
9.082212723754315986e-01 6.730669489214462509e+00 3.711553520847493903e+00 2.161380243174670368e-01
9.180641149047805705e-01 8.558178246958430435e+00 3.989692343174287892e+00 3.461606432800344302e-01
1.092590620024039172e+00 4.251389661188378355e+00 3.839452086494153704e+00 1.101255930164109220e-01
1.194860196489169857e+00 4.839464685335769012e+00 4.317826570669902608e+00 3.609702249628846671e-01
1.004646608637391747e+00 6.009996847673247267e+00 3.735336398683700487e+00 1.228833467152264242e-01
1.201807689812125712e+00 2.693421541480277792e+00 3.952149366290142574e+00 6.873785639433641070e-02
1.573689704950866464e+00 6.625338750458194426e+00 4.085144750888955123e+00 6.669527743524597541e-02
1.417122504279184847e+00 1.092727793364285560e+01 4.020369544214819513e+00 7.843446417531729775e-02
1.503804116030767357e+00 7.306550796361056754e+00 4.302463408836443293e+00 1.228190477359598215e-01
1.340396355700455011e+00 8.052012775747078521e+00 4.250043616294904680e+00 8.230884633510560100e-02
1.119493407086691317e+00 4.497210001443541216e+00 3.587832375172039789e+00 1.086483068912852679e-01
6.134019775588487322e-01 5.732975228317197747e+00 3.334239634896043469e+00 1.843374623514874022e-01
1.388294587814992376e+00 6.701624048958572999e+00 4.068687089183201877e+00 1.462244459411451425e-01
1.653696395987161116e+00 7.269099255341202159e+00 4.205420879945549473e+00 1.163099217394984730e-01
1.554667442576117553e+00 4.927056662452449665e+00 4.157693325355808156e+00 6.458171082981034594e-02
1.429448712890191597e+00 3.126236136179971759e+00 3.838436601885708566e+00 1.239152251703991847e-01
8.722399490033730940e-01 5.540074085489686162e+00 3.657203409503765545e+00 2.386005642893837264e-01
1.441043037571796637e+00 1.039045627457133847e+01 3.976877032188684602e+00 1.006822318932670407e-01
1.291440027182853223e+00 4.006114546049369451e+00 3.564080489469331425e+00 1.163363879683402546e-01
1.587453015320896554e+00 3.351129186292941320e+00 4.186925754499204899e+00 8.902138742339328614e-02
7.966558642528995815e-01 9.255054973884222491e+00 3.505472176547224539e+00 4.374262862409359909e-01
1.085179664041353353e+00 5.116707668402207254e+00 3.695859461848640670e+00 1.285718977899467930e-01
1.306751218502978595e+00 3.519491974383255783e+00 3.830601909694070439e+00 9.161029383157787143e-02
1.041093536602440528e+00 8.999386958257813873e+00 3.966963548139658791e+00 3.348103498562167157e-01
1.341065297370319209e+00 3.571722035484700797e+00 4.409453751649452968e+00 3.266333221984966673e-01
1.151937140603731757e+00 8.105014147947432690e+00 3.969066330806974907e+00 1.088357347361260941e-01
1.019286786723719418e+00 4.091906370744966992e+00 3.645763097212957771e+00 2.005237068189653638e-01
1.720331946828191905e+00 7.488878929769629877e+00 4.481647522217936164e+00 1.448508142099683982e-01
9.752304705839006660e-01 7.985599064549492532e+00 3.503818862922292166e+00 2.430402022679803709e-01
1.197717319201273778e+00 1.324635645448717902e+01 3.798129972633225382e+00 1.626666326672193130e-01
1.269747721903478066e+00 6.620515903964728999e+00 4.098662407124340490e+00 1.079480783547642209e-01
1.324577872124448330e+00 3.199937342100144022e+00 4.100757623462953916e+00 1.134192189230825293e-01
8.017460220963785744e-01 4.015863339860713310e+00 3.560658100425342365e+00 3.938805760400199835e-02
1.095741750983135310e+00 5.584369895368328507e+00 3.900409591702996615e+00 3.331473090889702782e-01
